Link: ;https://www.instagram.com/p/CZKRQmbssJ4/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;julia.stader;Was hat das mot Sophie Scholl zu tun.............;2022-02-19T22:17:18.000Z;0;-
2;yhwxy;Der Familienteil meiner Mutter ist schon immer sehr offen gewesen, . meine Oma ist als Baby aus Tschechien nach Deutschland zwangsumgesiedelt wurden. Sie hat ihre 6 Kinder in der DDR großgezogen, die nicht alle den selben Vater haben, sie erzählt nicht gern darüber. Wobei sie trotzdem sehr offen über Sexualität spricht, meine Mutter ist die jüngste und naja sie nimmt sich kein Blatt vor den Mund. Meine Geschwister sind da nicht ganz so, wiederum ich bin da auch nicht verschlossen. Ist ja auch nichts schlimmes, nur weil man damals nicht darüber sprach, heißt es nicht das es nicht passiert ist 😅;2022-02-10T17:46:43.000Z;0;-
3;ninagre;"@ichbinsophiescholl Ist das tatsächlich so, dass man keine Kondome kaufen kann? Ich kann da mal aus dem Nähkästchen plaudern (meine Oma - Gott hab sie selig- würde es mir verzeihen): Meine Oma hat im Dezember 1944 meine Tante geboren und sie erzählte, wie Gütersloh bombardiert wurde während sie meine Tante „unterm Herzen getragen“ hat. Als meine Oma schwanger wurde, waren meine Großeltern noch nicht verheiratet. 😇Meine oma hat immer sehr offen gesprochen und erzählt, dass Sex vor der Ehe offiziell zwar verboten war, „aber Opa und sie, sie hätten sich eben lieb gehabt“. 😁 Als ich gefragt habe, ob sie denn nicht verhütet haben, also ob es damals noch keine Kondome gegeben hätte, hat sie verächtlich geschnaubt und gesagt: „Doch, gab es, aber die waren ja nix!“ 😅 Keine Ahnung, vielleicht hat es das Kondom-Verbot nicht in die ostwestfälische Provinz geschafft. 😆 Ich will meinem Opa ja nichts unterstellen, aber ich könnte mir vorstellen, dass Kondome damals auch nicht gerade sonderlich beliebt waren, erst recht nicht wenn ein Mann eine feste Freundin hatte…. Die waren sicher auch deutlich dicker als sie heute sind…
Meine Großeltern wurden übrigens komplett ausgebombt im Krieg, es ist aber keiner von ihnen verletzt worden, auch meine Tante hat den Krieg als Baby unbeschadet überstanden.";2022-02-01T09:28:22.000Z;9 likes;-
4;rebekkahiob;😮;2022-01-29T20:59:58.000Z;0;-
5;lukas.rct;Ne ich hab recht wenig Lust mit nem 7 jährigen über Kondome zu reden;2022-01-27T18:43:33.000Z;0;-
6;barb_.winter;Ja, machen wir. Mein Bruder hat mir sogar Mal Kondome gekauft und das sogar ohne, dass ich ihn gefragt habe. Das machen nicht alle Geschwister, aber da ich die jüngste bin wollen mich meine Geschwister glaube ich extra behüten und wollen, dass ich mich wohl fühle;2022-01-26T22:01:43.000Z;2 likes;-
7;mvr_alternativ;Wow, diese Versuche, mit irgendwelchen Storys mit der jungen Zielgruppe zu „connecten“ werden immer abstruser. Sophie Scholl war gläubige Christin, sie hätte wohl kaum so lapidar über Abtreibungen fabuliert, wie das die woke Instagram-Sophie das hier macht. Und: ich bezweifle dass im eiskalten Winterkrieg in Russland irgendeine Logistik bereitstellen konnte, die „Kondome“ funktionstüchtig hielten.;2022-01-26T18:08:48.000Z;1 like;-
8;queenofthebottom;Ich glaub im 3.Reich wäre Verhütung mein geringstes Problem gewesen. 🏳️‍🌈;2022-01-26T17:01:45.000Z;2 likes;-
9;miezzekatze;Kann das Ende nicht so sein wie bei „once upon in hollywood“ oder „inglourious basterds“ 😪;2022-01-26T16:53:24.000Z;2 likes;-
10;voll.muttiviert;Er ist unglaublich. Das Ausmaß der systematischen Traumatisierung der Menschen ist kaum vorstellbar;2022-01-26T15:27:07.000Z;0;-
