Link: ;https://www.instagram.com/p/CWSfvW8D312/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;sophie.rmrs;Da wohne ich in der Zukunft <3;2021-11-18T20:48:29.000Z;1 like;-
2;annaisabel_r;Ich habe als Kind ganz oft und manchmal für eine Woche auf dem Stroh Oden eines Bauernhofes geschlafen. Zusammen mit den anderen Kindern, Hunden und Katzen. Das war toll!;2021-11-17T19:03:02.000Z;1 like;-
3;freiraum_lernen;Ich habe mal knapp 4 Jahre am indischen Hamalaya gelebt, da mein Mann und ich Lehrer & Lehrerin an einer internationalen Schule waren. Dort gebar ich 2 Kinder. Wir verließen zu zweit Europa und kamen zu viert zurück.;2021-11-16T12:41:00.000Z;1 like;-
4;drachenbabies;Auf einer schmalen Wendeltreppe in einem alten Londoner Altbau, weil die Oma die Türklingel nicht hörte und wir den Schlüssel vergessen hatten.;2021-11-16T12:15:04.000Z;0;-
5;irene.garbe3;Auf den Balkon als Kind😂;2021-11-16T11:45:04.000Z;0;-
6;pelannina;Ich hab für zwei Monate in einem WG-Zimmer gewohnt, das zwar ein eigenes Bad hatte, dessen Fenster aber nur in eine Automechaniker-Garage führte..ich hatte so Lust auf ein eigenes Bad nach vielen Jahren WG..😂bin dann aber in ein anderes Zimmer mit Zugang zum Garten gezogen .. so mit Mechanikerlärm und vor allem ohne Frischluft und Licht war einfach unschön..😅;2021-11-16T10:09:15.000Z;0;-
7;morekhodovaa;ich war vor zehn Jahren bei der Hochzeit meiner Schulfreundin in Burjatien und da hab ich in einem sehr alten Haus übernachtet. ich musste auf dem Boden schlafen (kann mich jetzt gar nicht erinnern, ob es wenigstens eine Matratze gab?) und durch die Nacht ist zu mir eine kleine Katze gekommen und hat sich ständig auf meinen Kopf hingelegt 😅 am Morgen hab ich erfahren, dass es spät in der Nacht einen Streit zwischen Männer gab und einer von denen wollte das Haus anzünden 😱 Gott sei dank, ich bin unverletzt nach Hause gekommen, aber die Rückfahrt war auch gar nicht angenehm 😬;2021-11-15T22:32:48.000Z;0;-
8;esther.yvonne.gebhard;"Wann entstanden diese Aufnahmen?
Zwei Tanten meiner Familie wurden August 1943 wg religiöser Aktivitäten in München verhaftet. Und im Jahr darauf hingerichtet. Danke für die Bilder. Damit bekommt München in all meiner Recherche ein greifbares Gesicht für mich. 🙏🏼❤️🙏🏼";2021-11-15T22:29:46.000Z;2 likes;-
8-1;ichbinsophiescholl;@esther.yvonne.gebhard #TeamSoffer Wir bedanken uns bei dir, dass du deine bewegende Geschichte mit uns und der Community teilst. Die Aufnahmen sind von 1941.;2021-11-16T09:09:47.000Z;4 likes;8
8-2;esther.yvonne.gebhard;"@ichbinsophiescholl
Danke euch! 🙏🏼❤️🤪";2021-11-16T19:02:24.000Z;0;8
8-3;esther.yvonne.gebhard;"@ichbinsophiescholl
…und dann stelle ich mir vor, unter all den Passanten könnten auch diese Frauen meiner Familie sein. Sie hatten übrigens auch einer Vervielfältiger, der dann bei Verhaftung von der Gestapo konfisziert wurde. Ich bin so dankbar für euer Projekt und all die Bilder! 🙏🏼❤️";2021-11-16T21:30:46.000Z;2 likes;8
9;olivergaa;Aus welchem Jahr stammen die Filmaufnahmen ca.?;2021-11-15T20:49:43.000Z;1 like;-
9-1;ichbinsophiescholl;@olivergaa #TeamSoffer Die Aufnahmen sind von 1941.;2021-11-16T09:10:11.000Z;4 likes;9
9-2;olivergaa;@ichbinsophiescholl Vielen Dank!;2021-11-16T20:49:50.000Z;0;9
10;paula.bensone;"Ich bin als kleines Kind (3-5 Jahre) mal mitten in der Nacht mit meinem Kissen und meiner Lieblingsdecke in unser Bad gegangen und hab mich dann da auf den Boden gelegt und weiter geschlafen. Meine Eltern hatten morgens erstmal einen Schock, weil sie mich erst nicht gefunden haben und dann wurden Bilder von mir gemacht. Sind bis heute immer noch mit meine Lieblingsbilder aus meiner Kindheit.
Kind müsste man wieder sein";2021-11-15T17:27:08.000Z;0;-
11;sascha.kascha;Nachtzug von Grodno nach Minsk. Als AusländerInnen wurden wir vor, während und nach der Fahrt vom Personal durchgezählt. Wir waren zu dritt 😅;2021-11-15T17:00:07.000Z;6 likes;-
11-1;ichbinsophiescholl;@sascha.kascha Es ist lästig, sich die gesamte Zeit beobachtet zu fühlen. Damit wird die Reise wenig entspannt...;2021-11-15T17:10:15.000Z;3 likes;11
11-2;mswalkingonsunshine;@sascha.kascha das machen die immer so. Für den Fall der Fälle, dass einer auf dem Zwischenstopp raus ist und es nicht vor Abfahrt zurück geschafft hat.;2021-11-16T02:26:38.000Z;0;11
12;anitram321;Ich habe mal eine Nacht im Mittelgang eines überfüllten uralten, klapperigen Reisebusses auf der Fahrt von Laos nach China geschlafen.;2021-11-15T15:42:26.000Z;4 likes;-
12-1;ichbinsophiescholl;@anitram321 Oh, das klingt sehr spannend! Und stelle ich mir äußerst unbequem vor...;2021-11-15T16:16:13.000Z;2 likes;12
13;zabel56;Ich war mit meinem damaligen Mann in Gouda auf der Suche nach einer preiswerten Übernachtung.Als wir eine Passantin nach dem Weg zur Jugendherberge gefragt haben,bot sie uns spontan an auf ihrem Hausboot zu übernachten!!!! Diese Gastfreundschaft werde ich nie vergessen!!! Damals war ich 31,jetzt bin ich 65!!!;2021-11-15T15:40:42.000Z;10 likes;-
13-1;ichbinsophiescholl;@zabel56 Wie wunderbar, dass du dich in Dankbarkeit noch daran erinnern kannst!;2021-11-15T16:16:55.000Z;3 likes;13
14;annicorsun;Bei Regen in einem Unterstand für Schafe in den Bergen Korsikas - als wir uns auf einer Wanderung verirrt haben.;2021-11-15T15:38:33.000Z;0;-
15;tina_d21;Pop-up Strandmuschel vor einem Konzert auf der Loreley... 🤷🏼‍♀️🙈;2021-11-15T13:58:34.000Z;1 like;-
16;trompetenerna;In einer Abstellkammer ohne Fenster, 13 m2 mit meiner Mama, als ich 3 war. Es war klein, aber trotzdem sehr gemütlich. Das war zur Untermiete, ohne Bad und Toilette eine Etage tiefer. Im Winter hat Mama Schnee hochgeholt und zum Waschen auf nem kleinen Ofen gewärmt, weil die Hauptmieterin, wenn sie betrunken war, und den Zugang zur Küche verwehrt hat. Zum Duschen/Baden ist Mama mit mir früh in die Warmbadeanstalt gefahren ( so hieß das damals).;2021-11-15T13:06:46.000Z;3 likes;-
17;lupusinulm;Habe im Oktober 2017 eine ungemütliche Nacht im ICE verbracht, weil der Zug wegen des Sturmtiefs XAVIER nicht weiterfahren konnte. Zum Glück versorgten uns die Helfer vom Roten Kreuz mit Decken, Suppe, Würstchen und Kaffee.... 🙂;2021-11-15T12:29:03.000Z;0;-
18;katharina.helling;Hallo #TeamSoffer: bezüglich Bildbeschreibung: ist es möglich, dass ihr die Glyptothek mit dem Nationaltheater am Max-Joseph-Platz/Maximilianstraße 1 verwechselt habt? Man sieht ja ganz am Anfang dieser Szene die ganze Maximilianstraße runter bis zum Maximilianeum auf der anderen Seite der Isar und der Vorbau.. (dieser zweifache Spitz vorne..oder wie man das nennt) - sowas hat die Glyptothek doch nicht..?;2021-11-15T12:20:49.000Z;12 likes;-
18-1;ichbinsophiescholl;#TeamSoffer Liebe @zuagroastebayrischeschwaebin, das stimmt, danke für den Hinweis. Wir haben es in der Bildbeschreibung geändert.;2021-11-15T13:20:45.000Z;8 likes;18
18-2;katharina.helling;@ichbinsophiescholl Gern. Wisst ihr eigtl, ob die Beflaggung von so vielen Gebäuden normal/Alltag war oder war das nur zu bestimten Anlässen?;2021-11-15T14:27:14.000Z;5 likes;18
18-3;ichbinsophiescholl;"@zuagroastebayrischeschwaebin #TeamSoffer An bestimmten Feiertagen, wie z.B. der Reichsgründungstag, Heldengedenktag, Führergeburtstag und Erntedanktag, sollten Flaggen an privaten Gebäuden gehisst werden. Auch an anderen Anlässen konnte dies angeordnet werden.
Es war nicht verpflichtend, wurde aber von den Ortsgruppen- und Blockleitern überwacht und es kam auch zu Verhören, falls man ""vergessen"" hat, die Flagge zu hissen. Beim Hissen von verschmutzten oder zerrissenen Fahnen konnte man auf Grundlage des Heimtückegesetzes angeklagt werden. Juden und Jüdinnen durften die Flagge nicht hissen.";2021-11-15T14:55:16.000Z;5 likes;18
18-4;katharina.helling;@ichbinsophiescholl Danke für die Antwort! Also eher kein Alltag.. Da würden die Flaggen ja auch sehr viel schneller verschleißen.. aber Filmaufnahmen werden halt wahrscheinlich hauptsächlich von solchen Tagen zur Verfügung stehen.;2021-11-15T15:01:20.000Z;5 likes;18
19;wolf_schmitt;Ich habe die erste Zeit meines Studiums in einem umgebauten Kiosk gewohnt;2021-11-15T11:53:49.000Z;2 likes;-
20;aleju63;Eine Nacht unten im Gepäckraum eines Reisebusses, der neben einem Campingplatz parkte.;2021-11-15T11:52:40.000Z;1 like;-
