Link: ;https://www.instagram.com/p/CP0SHTyrOdC/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;influ.sensei;"Liebe Sophie Scholl. Wir sind Deutschstudentinnen an einer Universität
in Kyoto. Heute haben wir im Unterricht über dich gesprochen und deine
Geschichte gelernt.
Deine Freunde und du, ihr seht sehr glücklich aus!
Sehr schönes Lächeln und lustiges Foto!! Ihr seht aus, als hättet ihr
viel Spaß!
Wo bist du entlang gefahren? Wo seid ihr hingefahren?
Liebe Grüße aus Japan, MMMM";2021-06-24T05:44:04.000Z;2 likes;-
2;killikillivideo;"Liebe Sophie Scholl. Wir sind Deutschstudentinnen an einer Universität in Kyoto. Heute haben wir im Unterricht über dich gesprochen und deine Geschichte gelernt.
Deine Freunde und du, ihr seht sehr glücklich aus! Was habt ihr gemacht?

Sehr schönes Lächeln und lustiges Foto!! Ihr seht aus, als hättet ihr viel Spaß!
Wo bist du entlang gefahren? Wo seid ihr hingefahren?

Liebe Grüße aus Japan, MMMM";2021-06-24T05:03:39.000Z;0;-
3;munich_new_in_town;Tolle Portrait 🙌;2021-06-12T09:59:35.000Z;0;-
4;victorria.morgan;How long till you get back to Munich?;2021-06-10T00:14:31.000Z;0;-
5;dam.leon;Das film ist gross! Mien Respekt zu Sophie Scholl und Familie. Grusse aus Mexiko;2021-06-09T15:24:59.000Z;0;-
6;stephan.frederik.becker;Ihr macht das großartig!;2021-06-09T08:25:18.000Z;1 like;-
6-1;ichbinsophiescholl;@stephan.frederik.becker #teamsoffer Vielen Dank lieber Stephan!;2021-06-09T08:52:04.000Z;1 like;6
7;heike.1969;Du bist verliebt in Alex😍 geniess das Gefühl. Du strahlst so! Wunderschöne Story in der Natur und am Lagerfeuer🔥🔥;2021-06-09T07:23:05.000Z;1 like;-
8;uschaluschi;wusstet ihr damals schon, dass in den kz menschen auf grausame weise umgebracht wurden?;2021-06-09T07:22:56.000Z;0;-
8-1;ichbinsophiescholl;"@uschaluschi #teamsoffer Es ist sehr schwierig eine allgemeine Aussage darüber zu treffen, wieviel die Menschen von damals wussten. Was die Scholls betrifft ist das ähnlich, jedoch wissen wir zum Beispiel, dass Robert Scholl die Enteignung seines jüdischen Vermieters mitbekommen hat und später dessen Tochter half, aus Nazideutschland auszureisen. Und Sophie Scholl soll sich an einem Tag nach der Reichspogromnacht in der Schule über die Behandlung des Ulmer Rabbis empört haben - dies ist aber lediglich durch die Erinnerungen der Mitschülerin Mathilde Dengler belegt (Maren Gottschalk: 136).
Liebe Grüße";2021-06-09T08:39:02.000Z;1 like;8
8-2;nichtsophiescholl;"@uschaluschi @ichbinsophiescholl Fritz Hartnagel hat Sophie Scholl am 26.6.1942 u.a. folgende Zeilen geschrieben: „Es ist erschreckend mit welcher zynischen Kaltschnäuzigkeit mein Kommandeur von der Abschlachtung sämtlicher (im Original unterstrichen) Juden des besetzten Rußlands erzählt hat und dabei von der Gerechtigkeit dieser Handlungsweise vollkommen überzeugt ist. Ich saß mit klopfendem Herzen dabei.“ In der Briefedition steht außerdem, dass Fritz Hartnagel schon im Sommer 1941 eine Unterhaltung von Offizieren mitgehört hatte, in der es um Massenerschießungen von Juden in den besetzten Gebieten ging.

Nachlesen kann man das in Sophie Scholl, Fritz Hartnagel: Damit wir uns nicht verlieren, Briefwechsel 1937 - 1943, S. 368-369.";2021-06-10T20:29:28.000Z;5 likes;8
9;anuschka_lavieenrose;Das ist so ein tolles Projekt ❤️ danke !!!;2021-06-09T05:46:53.000Z;1 like;-
9-1;ichbinsophiescholl;@anuschka_lavieenrose #teamsoffer Danke euch, dass ihr Teil dessen seid ♥️;2021-06-09T08:52:49.000Z;2 likes;9
10;franciscoestradaok;Como me gustaría entender aleman para entender lo que decís!!!;2021-06-08T23:24:50.000Z;0;-
11;my.kind.of.pics;Ah ja.. Das machst Du also.. Radfahren. Was für Snobs.. Toll, wer hat denn so viel Zeit über? Spaaaaß! Freut mich, wenn Du Zeit dafür hast. Genieß es, aber denk dran, was ich Dir geschrieben hab: Sei vorsichtig!! Sag nicht alles, was Du denkst. Könnte wirklich nach hinten losgehen... Hab Dich lieb! 😘 Und meld Dich wieder 😉😘;2021-06-08T21:43:07.000Z;1 like;-
