Link: ;https://www.instagram.com/p/CaMzXh1Mmid/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;ce_la_k1;es mag viele Kritiker geben, ich fand diese Intensivität, die unsere Vergangenheit in Deutschland betrifft, grandios erzählt. Einfach grandios wenn auch traurig geendet. Nun stehen wir wieder vor einer sehr beängstigenden Situation 😔;2022-02-28T07:14:41.000Z;1 like;-
2;doscho31;Ein ganz tolles Projekt. Vielen Dank dem Team für diese Umsetzung.;2022-02-23T19:19:46.000Z;0;-
3;krentzrainer;😢;2022-02-22T16:16:26.000Z;0;-
4;tommavic2004;Dieser Richter Roland Freisler war wohl einer der schlimmsten Richter jemals, ein Monster. Schade, dass er nie seine gerechte Strafe verbüßen konnte. Rip Sophie Scholl;2022-02-22T16:06:00.000Z;0;-
5;afsin_aysegul;Das ist soo Traurig;2022-02-22T15:57:57.000Z;0;-
6;gartenliebes_rezepte;Obwohl man schon quasi ein Leben lang um die Weiße Rose und die Schicksale der Geschwister Scholl weiß, als Jugendliche schon erschüttert war, so kann ich aktuell trotzdem sagen: Ich bin tief ergriffen von jedem fühlbaren Moment der Dokumentation. Als geschehe es gerade.;2022-02-22T13:53:55.000Z;0;-
7;fibi_1107;Trotz das man wusste was irgendwann passiert ,war man Tag für Tag gespannt was kommt. Vielen Dank für soviel Zeit und Mühe die ihr in dieses Projekt gesteckt habt und das wir daran teilnehmen durften ❤️;2022-02-22T13:04:28.000Z;0;-
8;54gradnordfotofgrafie;❤️😢;2022-02-22T12:33:06.000Z;0;-
9;dequisser;❤️😢;2022-02-22T12:29:38.000Z;0;-
10;masima1992;Das schmerzt so sehr…;2022-02-22T10:17:18.000Z;0;-
11;jenseeilers;@radolfobernardo ah ja. 1. Du schreibst ich leide am Dunning-Krugee-Effekt, das stellt ganz klar eine Beleidigung meiner Person da. 2. Du kritisierst auf Grund der Gefühle (Hauptkommentar äußerst seine Gefühlswelt) die Gesellschaft in sozialen Medien! Du urteilst über die Gesellschaft in sozialen Medien, aufgrund eines Kommentars mit über 1500 likes. Alleine das ist schon extrem Vorurteilsbehaftet. Beschwerst dich aber über die Vorurteile anderer. Du bezeichnest mich als Kommentar-Polizist (was ganz nebenbei wieder eine persönliche Beleidigung darstellen könnte), bist aber der Jenige, welcher einen vermeintlichen Fehler kommentiert hat, was sich als grober Fehler deinerseits herausgestellt hat. Jetzt mal ganz sinnbildlich gesprochen, du hast versucht dich über andere Menschen zustellen, etwas zu kritisieren wo von Du Teil bist, und durch die Tatsache Fremde im Internet beleidigt zu haben, bist du gewaltig tief gefallen und hast bewiesen,dass du eben kein Zentimeter besser bist als wir.;2022-02-22T09:56:33.000Z;0;-
12;stephanie.heinzinger;Meinen Applaus und meine Tränen für alle Widerstandskämpfer;2022-02-22T09:43:13.000Z;0;-
13;radolfobernardo;@jenseeilers Das ist eben nicht klar 😄. Du interpretierst ja mehr hinein, als jede Tarotkartenlegerin in ein Stück bedruckte Pappe. Ich kritisiere nicht, ich stelle fest. Und beziehe mich auf ein Handeln, nicht auf Gefühle. Ich greife nicht an, ich stelle fest. Und beziehe mich dabei auf dein Geschreibsel, nicht auf deine Person.;2022-02-22T09:42:35.000Z;0;-
