Link: ;https://www.instagram.com/p/CV8WBxSsKFb/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;vegard_15;🐷🐷🐷;2022-01-07T14:13:18.000Z;0;-
2;corneliushein;Hallo Sophie, mein Großvater Siegfried Abramczik hat in der Zeit des Nationalsozialismus meine Großmutter Eva geheiratet. Er hatte ein wenig jüdischess Blut (glaube 1/8) in seinen Adern. Deswegen haben sie damals Probleme bekommen und kurz vor ihrer Hochzeit ist sogar ein Bruder von meiner Oma in Marine Uniform quer durch Berlin gefahren, um sie davon abzuhalten, meinen Opa zu heiraten. Sie haben trotz allem geheiratet und waren bis zu ihrem Tot im hohen Alter zusammen, sonst könnte ich das jetzt ja auch nicht schreiben...;2021-11-08T13:43:00.000Z;10 likes;-
2-1;ichbinsophiescholl;@corneliushein #TeamSoffer Wir bedanken uns bei dir, dass du deine bewegende Geschichte mit uns und der Community teilst. Dieses Projekt löst bei vielen User:innen Erinnerungen an Zeiten aus, die man sich nur schwer vorstellen kann. Dennoch ist es umso wichtiger diesen Geschichten Platz zu geben. Vielen Dank dafür!;2021-11-08T14:23:00.000Z;3 likes;2
3;corneliushein;Moum;2021-11-08T13:29:58.000Z;1 like;-
4;khamlin.05;@mxnable_356;2021-11-08T09:25:15.000Z;0;-
5;achat2433;Ja es ist schwierig wenn die Freiheit der Menschen von der Politik eingeschränkt wird. Was für eine Anmaßung das Glück von Menschen derart zu zerstören.;2021-11-07T19:36:00.000Z;0;-
6;wene_beinhart;Kein Geburtstag bei Christoph? 🤔;2021-11-07T18:45:14.000Z;0;-
7;veryinsignificantperson;👏👏;2021-11-07T14:46:01.000Z;0;-
8;angelikaweidmann;"""ANSCHEINEND"", nicht ""scheinbar""🤦‍♀️";2021-11-07T12:37:15.000Z;0;-
9;queenofthebottom;Die Nazis haben auch andere Beziehungen kriminalisiert und die BRD hat das bis in die 90er Jahre fortgeführt. Juden waren nur die prominentesten weil zahlenmäßig größten Opfer der Nazis. Aber es traf auch Homosexuelle. RIP §175;2021-11-07T09:56:47.000Z;1 like;-
9-1;k.tiptrs;"@queenofthebottom deine Intention kann ich nachvollziehen, wenn du auch auf die Diskriminierung und Verfolgung anderer Beziehungen hinweist. Ich persönlich denke jedoch, dass ""Juden waren nur die prominentesten[...] Opfer"" sehr unglücklich ausgedrückt ist.";2021-11-07T12:23:11.000Z;2 likes;9
9-2;queenofthebottom;@k.tiptrs Das mag sein und es tut mir leid wenn das so empfundenen wird. Wenn wir an Opfer der Nazis denken, fallen uns immer die Juden ein. Mit Recht, ihr Blutzoll war am höchsten. Es ist uns oft nicht gewahr, daß in KZs auch andere Mißliebige landeten, von politischen Gegnern über Roma und Sinti bis zu Homosexuellen. Mich hat in diesem Fall angesprochen, daß Menschen verfolgt wurden weil sie ihrem Herzen gefolgt sind und geliebt haben.;2021-11-07T13:40:19.000Z;3 likes;9
