Link: ;https://www.instagram.com/p/CXy17O4MPGK/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;ines_s_2;❤️🔥;2021-12-23T10:39:49.000Z;0;-
2;raul_mccallister007;❤️;2021-12-23T05:29:12.000Z;0;-
3;salt_nd_isi;So wie ich, ohne Familie in Japan. 😢;2021-12-23T04:22:50.000Z;0;-
4;darth_vato58;😢 🎄;2021-12-22T23:35:06.000Z;0;-
5;helmutkeimel;Kämpft weiter.;2021-12-22T22:28:42.000Z;0;-
6;_dream._.horse_;Ich drücke sehr die Daumen das alles klappt! Ich kann mitlerweile sehr gut nachvollziehen wie komisch und schwer es ist Weihnachten alleine zu verbringen. Ich bin im Oktober ausgewandert nach Portugal und hätte oben Weihnachten kein Urlaub bekommen, weshalb ich alleine sein werde. Dennoch werde ich Weihnachten nach der Arbeit zu meiner Freundin rüber gehen und wir machen uns einen schönen Abend!😍;2021-12-22T22:11:45.000Z;0;-
7;tina_harz;😂;2021-12-22T21:44:37.000Z;0;-
8;jaapkanis;❤️;2021-12-22T20:51:09.000Z;1 like;-
9;doju123456;Braucht man seine Familie besonders. Genieße sie ihre Liebe und Nähe so lange es irgendwie geht;2021-12-22T20:45:56.000Z;0;-
10;doju123456;Gerade in so schweren düsteren Zeiten ba;2021-12-22T20:45:23.000Z;0;-
11;norbert.prinz;….. ist übrigens eine mega Story , vielleicht falsch ausgedrückt …. Aber ihr macht das super, real so nah dran, bekomme oft Gänsehaut ….. was für eine schlimme Zeit , wird eure Story verfilmt ? Liebe Grüße aus hamburg;2021-12-22T20:39:30.000Z;1 like;-
12;ulrikemunner;Wartet morgen Früh ab,vielleicht gibt es dann Karten.;2021-12-22T20:10:02.000Z;0;-
13;anjamuller565;Halt uns doch bitte auf dem Laufenden . Hoffe ihr bekommt Zugkarten und könnt mit der Familie feiern!!!;2021-12-22T19:26:27.000Z;0;-
14;mrmanoleat;Das könntet Ihr auch in zwei Tagen mit dem Fahrrad schaffen. Per Anhalter würde wohl auch schwierig werden. Oder gibt es in der Nähe eine Spedition, die diese Strecke bedient? Stellen wahrscheinlich auch schräge Fragen…;2021-12-22T19:21:08.000Z;14 likes;-
15;toriaf90;Ihr werdet schon einen Weg finden. Zu Zweit könntet ihr doch auch gut per Anhalter fahren. 🤞;2021-12-22T19:16:07.000Z;0;-
16;rpiakatharina;"Oh, man das ist traurig.
Weihnachten gehört irgendwie zur Familie.
In diesen Kriegszeiten weiss man doch auch gar nicht, was nächstes Jahr sein kann. Ich drücke ganz feste die Daumen , das es morgen mit den Karten klappt.";2021-12-22T18:59:42.000Z;0;-
17;bemerkenswerth;Doof, aber nicht vergessen: Du hast Hans dort, auch Familie.;2021-12-22T18:59:26.000Z;0;-
18;katrinpruchniewski;Hoffentlich kommt ihr noch nach Hause, zur Familie.🌟;2021-12-22T18:56:05.000Z;0;-
19;arthursteinbock;Liebe Sophie, ich bin an Covid erkrankt und deswegen auch dazu verdammt, Weihnachten ganz alleine ohne meine Familie zu verbringen. 😢 Wir schaffen das!;2021-12-22T18:55:10.000Z;10 likes;-
20;nick_moddy;Ich hätte übrigens mal eine Frage an der Produktion. Wie lang haben die dreharbeiten beziehungsweise die Fotos machen in der Produktion gedauert. Prodoziert ihr jeitzr auch noch vor zu für Febreuer oder wie macht ihr das ?;2021-12-22T18:51:19.000Z;6 likes;-
21;scodiak;@ichbinsophiescholl wieso gibt es eigentlich keine Fahrkarten mehr für die Züge heute? Und warum kann Hans nicht gleich Fahrkarten für den nächsten Tag kaufen?;2021-12-22T18:49:39.000Z;1 like;-
22;heyricarda;Das klappt sicher noch! Du wirst sehen, an Heilig Abend sitzt ihr alle schön beisammen, und könnt die gemeinsame Zeit genießen 🌟🌟✨✨;2021-12-22T18:45:04.000Z;2 likes;-
23;kaddariiina;Ihr lebt in unruhigen Zeiten. Versucht Nachhause zu fahren. Du weisst noch nicht, dass es euer letztes Weihnachten ist.;2021-12-22T18:35:39.000Z;5 likes;-
24;katharina.helling;"Am 24.12.1942 fährt Sophie Scholl nach Ulm, nachdem sie am 23.12.1942 vom Besuch von Otl aus Bad Hall zurückkam. Probleme beim Zugfahrkartenkauf sind nicht bekannt. Für Fernzüge waren in der Zeit „Zulassungskarten“ notwendig. Nicht aber für „Bummelbahnen“. Insgesamt war das Zugangebot aber auch reduziert worden („Die Räder müssen rollen für den Sieg“).
Bei ihrem Besuch bei Otl hat Sophie ihn evtl über die Aktivitäten im Widerstand informiert. Otl stritt dies zu Lebzeiten ab, mittlerweile zugängliche Dokumente lassen aber auf anderes schließen.";2021-12-22T18:23:39.000Z;37 likes;-
25;crasiemaisie.thephotobug;Du and Hans solltest zu Weihnachten nachos Hause gehen Sophie;2021-12-22T18:23:21.000Z;3 likes;-
26;ajwilson79;Ich drücke die Daumen, dass es morgen mit dem Karten Kauf klappt;2021-12-22T18:12:17.000Z;17 likes;-
27;christinemayr21;Glaub ganz fest daran das es morgen klappt! Ihr werdet Karten bekommen und Weihnachten zu Hause feiern!!;2021-12-22T18:12:02.000Z;4 likes;-
28;lauraflorentine;Anhalter und los!;2021-12-22T18:11:25.000Z;17 likes;-
29;juma79232;In exakt 2 Monaten (22.02.43) wird Sophie Scholl tot sein. Geköpft durch den NS-Staat.;2021-12-22T18:11:09.000Z;11 likes;-
30;mehmed.koenig;"Liebe Sophie,
ich kann es absolut nachvollziehen, wie es Dir geht. Du freust Dich so sehr etwas „Normalität“, in diese „unnormale Zeit“ zu geben. Ich weiß noch wie meine Mama damals, zwischen Bombenhagel, Versteck und Flucht, mir und meiner Schwester, einen halbwegs normalen Alltag zu ermöglichen. Dennoch kann ich mich nicht erinnern, dass sie je das Risiko aufnahm, Bajram (islamisches Fest) zu feiern und damit zu zeigen, dass wir Muslime sind. Was ich damit sagen will: so sehr Du Dir wünschst, zu Weihnachten bei Eurer Familie zu sein, ist es vielleicht in der Zeit in der Du bist, wichtiger sicher zu handeln. Per Anhalter würde ich also an Eurer Stelle nicht fahren und auch so, kein unnötiges Risiko eingehen. Passt auf Euch auf, liebe Sophie. Versprochen?";2021-12-22T18:09:33.000Z;51 likes;-
31;traumtaenzerin79;Liebe Sophie und Lieber Franz, ich drück euch die Daumen das Ihr morgen Fahrkarten bekommt. Es gibt doch auch Weihnachtswunder 🌲🎅🤞;2021-12-22T18:03:52.000Z;2 likes;-
