Link: ;https://www.instagram.com/p/CTKKypMjrkG/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;anke.runge.7;❤️;2021-08-30T14:06:16.000Z;0;-
2;bogner.anita;❤️😢;2021-08-30T08:35:46.000Z;0;-
3;lejojensen;Das Projekt ist in vielerlei Hinsicht sehr wertvoll..nur wissen wir alle was am ende passiert und das schmerzt mich jetzt schon zu wissen bei jedem post den ich sehe;2021-08-30T06:29:36.000Z;7 likes;-
4;wieelenamitj;Nur aus Interesse: warum macht ihr eine zusätzliche Bildbeschreibung?☺️;2021-08-30T05:44:17.000Z;1 like;-
4-1;waldgeistkitty;Wahrscheinlich, damit auch sehbehinderte Menschen die Geschichte nachvollziehen können.;2021-08-30T10:06:01.000Z;3 likes;4
4-2;wieelenamitj;@waldgeistkitty danke für deine Antwort! Stimmt.. ich glaube es gibt Programme oder Apps für sehbehinderte Menschen die die Texte dann vorlesen🤔;2021-08-30T13:40:24.000Z;2 likes;4
5;sira_lovely;Wie lange hat er denn bekommen? 😢;2021-08-30T03:40:13.000Z;0;-
6;leeleonhardt;Wer war nochmal ernst?;2021-08-29T21:56:27.000Z;0;-
6-1;antoniatoniblue;Ein Freund der Familie;2021-08-30T08:36:41.000Z;0;6
7;unserecharly;Ich find es toll, dass ihr jetzt auch Bildbeschreibungen hinzufügt :);2021-08-29T21:48:05.000Z;1 like;-
8;lena_wenonah;Wie waren die Haftbedingungen damals? Musste er Misshandlung befürchten?;2021-08-29T21:30:49.000Z;1 like;-
9;paulvoneifeldorf;Zu wissen, wie sehr das Leid ihrer Familie ihr zu Herzen ging und zu wissen, was Sophie später angetan wurde, tut wirklich weh. Es macht diese Persönlichkeit aber noch beeindruckender. Anstatt sich zurückzuhalten, um ihrer Familie jeden weiteren Schmerz zu ersparen, kämpfte sie weiter gegen das System, welches all das überhaupt erst verursacht hat.;2021-08-29T20:22:50.000Z;3 likes;-
10;barani_mona;Sehr schön👌🏿;2021-08-29T18:27:50.000Z;0;-
11;sandjorg;😢 Man kann sich das heute kaum noch vorstellen. Was Ihr durchgemacht habt.;2021-08-29T18:12:21.000Z;2 likes;-
12;biwi15;👏;2021-08-29T17:11:37.000Z;0;-
13;paul.nemitz;Welches Datum haben wir grade ?;2021-08-29T16:41:54.000Z;1 like;-
13-1;xoanschixo;29.08.1942;2021-08-29T21:03:21.000Z;2 likes;13
14;csennfeld;Finde das Projekt einfach super. Man blendet völlig aus, dass es Schauspieler sind. Mit jedem Tag der vergeht, wird es mir flauer im Magen, da man ja weiß wie alles endet.;2021-08-29T16:21:09.000Z;32 likes;-
15;raul_mccallister007;❤️;2021-08-29T15:55:28.000Z;0;-
16;windmuehleim;Schrecklich und unendlich traurig😢;2021-08-29T15:50:46.000Z;1 like;-
17;dinkelkorn_moool;😥😥😥;2021-08-29T15:31:11.000Z;0;-
18;i_am_foxface;Ernst Reden?;2021-08-29T15:16:43.000Z;1 like;-
18-1;andersanni;@i_am_foxface ja;2021-08-31T11:22:58.000Z;0;18
19;kleine.ananas;Liebe @ichbinsophiescholl , wer war Ernst? Vielen Dank für Euer tolles Projekt!;2021-08-29T15:07:42.000Z;3 likes;-
19-1;antoniatoniblue;Ein Freund der Familie;2021-08-30T08:37:03.000Z;0;19
20;kyra_kathrin;Wer war Ernst?;2021-08-29T14:53:31.000Z;5 likes;-
20-1;be_angeled_79;@kyra_kathrin Im aktuellen IGTV „meine Woche“ schreibt Sophie nur „unser Freund Ernst“, aber ich wüsste auch gerne wer das war, ob wir ihn schon mal gesehen haben…;2021-08-29T18:28:40.000Z;3 likes;20
20-2;ikarus_poldus;@be_angeled_79 Das ist Ernst Reden, ein Freund von Hans Scholl aus der Zeit der bündischen Jugend. Er war auch mit den anderen Geschwistern befreundet.;2021-08-29T18:40:20.000Z;9 likes;20
20-3;kyra_kathrin;@ikarus_poldus danke für die Info;2021-08-29T18:41:23.000Z;1 like;20
21;helmutkeimel;❤️;2021-08-29T14:33:48.000Z;1 like;-
22;hehli03;O;2021-08-29T14:18:55.000Z;1 like;-
23;mircopb;Ja, unmittelbar vor ihrer Hinrichtung.;2021-08-29T14:12:13.000Z;2 likes;-
24;tatyana.s73;Haben sich Sophie und ihr Vater noch gesehen?;2021-08-29T14:09:40.000Z;64 likes;-
24-1;ichbinsophiescholl;@tatyana.s73 #TeamSoffer Ende Oktober wird Robert vorzeitig aus der Haft entlassen und die beiden können sich sehen.;2021-08-29T14:15:39.000Z;188 likes;24
24-2;riso5400;@graeppfrutt ?;2021-08-29T16:21:11.000Z;3 likes;24
24-3;sui_los_gatos;@ichbinsophiescholl könnt Ihr das Projekt nicht weiterlaufen lassen. Es würde mich auch interessieren, wie es mit Sophies Familie weiter ging;2021-08-29T18:57:19.000Z;10 likes;24
25;thisisnaadja;Wann hat Sophie ihren Vater das letzte Mal gesehen? Es zerreißt einem so das Herz ... auch wenn man weiß dass Sophies Leben damals das „normale“ Leben war. Ich kann mir nicht vorstellen wie es gewesen sein mag so zu leben ... 😢;2021-08-29T14:07:48.000Z;16 likes;-
25-1;jessiefuchs1806;@thisisnaadja am Tag ihres Todes;2021-08-29T14:31:51.000Z;6 likes;25
26;anjamuller565;Ich habe nicht gewusst was ihr als Familie alles mitmachen musstet. Ihr seid gute Menschen und versucht unter widrigen Umständen das Richtige zu tun. Respekt!!! Von eurem Beispiel können alle lernen auch in der Zukunft. ❤️❤️❤️👏👏👏;2021-08-29T14:03:59.000Z;21 likes;-
27;da.pervin;Mich nimmt das so mit, ich arbeite in der Altenpflege und du glaubst nicht wie viele noch immer Hitler verehren 😶;2021-08-29T13:55:07.000Z;9 likes;-
27-1;katja4162;@da.pervin Oh, das hätte ich nicht erwartet. Wie schrecklich. Danke für diese Information.;2021-08-29T14:14:08.000Z;7 likes;27
27-2;blumen.reich;@da.pervin Meine Mutter hat immer gesagt, wer diese schlimme Zeit erlebt hat und immer noch dafür ist, der muss verrückt sein.;2021-08-29T14:52:05.000Z;8 likes;27
27-3;anni_achill;@da.pervin ja, das erlebe ich auch noch häufig 😣;2021-08-29T19:40:55.000Z;1 like;27
27-4;andersanni;@blumen.reich oder dem ging es im Krieg zu gut.;2021-08-31T11:22:47.000Z;1 like;27
28;carinazinkeisen;So traurig;2021-08-29T13:48:52.000Z;3 likes;-
29;somaye_khalafi80;the sons in war and the man in jail😞such a sad story😢;2021-08-29T13:47:41.000Z;4 likes;-
29-1;heike.brgmnn;@somaye_khalafi80 ...it isn't still s story, it's the sad history. It is true.;2021-08-29T15:59:42.000Z;2 likes;29
29-2;somaye_khalafi80;@heike.brgmnn you are right👏👏;2021-08-29T16:15:22.000Z;2 likes;29
30;setchmo5;Cringe;2021-08-29T13:47:29.000Z;1 like;-
31;helmut_konz;Speechless Communication!;2021-08-29T13:46:59.000Z;2 likes;-
32;pauline.2807_;Tut mir leid. Ich habe eine Frage wer ist ernst? Ein guter Freund der Familie oder?;2021-08-29T13:42:56.000Z;7 likes;-
32-1;_xeniamarie;@pauline_farina_ ja ich glaube schon☺️;2021-08-29T22:24:12.000Z;2 likes;32
32-2;pauline.2807_;@mllxvitz ok, danke;2021-08-30T11:24:48.000Z;0;32
33;katiwunder;😢;2021-08-29T13:38:42.000Z;1 like;-
34;tibordin20;Sprachlos!😢;2021-08-29T13:31:29.000Z;2 likes;-
35;matthias.oertel.79;Wie furchtbar, nur Angst zu haben.;2021-08-29T13:28:10.000Z;2 likes;-
36;dammann.bedachungen;Traurig 😢 unfassbar und gleichzeitig unglaublich dankbar, dass wir heute friedlicher in diesem Land leben dürfen.;2021-08-29T13:12:20.000Z;18 likes;-
37;uw17;Es ist verrückt wie ihr es schafft mit diesem Medium/mit dieser Art und Weise der Darstellung sich in die Personen/in die Zeit hineinzuversetzen und das Gefühl zu entfachen, dabei zu sein & selbst aufzustehen & gegen das Unrecht dieser Zeit anzukämpfen. Großen Respekt an alle die mitwirken - dies soll Vorbild für so viele weitere Projekte zu verschiedensten Themen/geschichtlichen Ereignissen sein, um so viele Bildungsschichten wie möglich anzusprechen und aufzuklären. Vielen Dank und weiter so!;2021-08-29T13:10:59.000Z;181 likes;-
37-1;anke_1811;Sie sprechen mir aus der Seele !;2021-08-29T15:53:24.000Z;2 likes;37
37-2;genisishall;Man taucht förmlich mit ein in die bedrohliche Atmosphäre dieser Zeit.;2021-08-30T08:16:55.000Z;1 like;37
38;ohhh.schau.mal;In Gedanken gerade ganz fest bei dir, liebe Sophie 🙏🏻.;2021-08-29T13:09:56.000Z;47 likes;-
38-1;ichbinsophiescholl;@ohhh.schau.mal Danke für deine lieben Worte! Auch in Gedanken kann man nah an den Menschen sein, die einem etwas bedeuten. Bei Vater versuchen wir trotzdem noch darüber hinaus für ihn da sein zu können.;2021-08-29T13:13:53.000Z;36 likes;38
39;ohhh.schau.mal;❤️😢❤️;2021-08-29T13:08:51.000Z;1 like;-
