Link: ;https://www.instagram.com/p/CQ9BmkbMm9a/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;team_moehrchen;Ja. Ich versuche es regelmäßig zu führen um mich an meine Kindheit immer erinnern zu können. Mit meinem ersten Tagebuch habe ich 2016 angefangen und wenn ich das jetzt lese, fühle ich meine frühere Lebensweiße. Deswegen habe ich jetzt auch nach 2019 wo ich aufgehört hatte, wieder ende 2020 ein Tagebuch geholt was ich jetzt wie gesagt regelmäßig (mindestens wenn was passiert) benutzen möchte. Sonst wenn ich mal keine Zeit habe und nicht mit meiner Krakelschrift das Buch zu ruinieren nehme ich meinen Eintrag mit Datum und Uhrzeit auf, und übertrage es dann später. 🥰📖;2021-08-06T21:14:19.000Z;1 like;-
2;aboutakoi;Bisher nicht, aber ich spiele eigentlich schon seit meiner Jugend mit dem Gedanken mal Tagebuch zu führen. Ich glaube, ich fange bald mal damit an. Danke für die Inspiration, @ichbinsophiescholl!;2021-07-07T10:40:32.000Z;1 like;-
3;herman.koch.blog;Habe gestern erst angefangen eine Art Instagram Blog/Tagebuch zu führen. Es ist auf jeden Fall toll seine Gedanken Gefühle und Challenges runter zu schreiben und sich freier zu fühlen. Nur als kommunikativer Mensch würde ich gerne meine Gedanken mit gleichgesinnten teilen. Ob man das hier bei Instagram kann werde ich wohl in den nächsten Wochen sehen. Fand dich durch Lisaandlena und sah bei dir in der Bio: Philosophie, also denke, dass das hier auch ein für mich passender Channel dafür sein könnte.❤️;2021-07-07T08:23:28.000Z;1 like;-
4;ikramova316;🙌;2021-07-07T07:31:52.000Z;1 like;-
5;michelsassoon;@melaniekroll As the great Carl Sagan used to say “It is far better to grasp the universe as it really is than to persist in delusion, however satisfying and reassuring.” - So don’t waste your precious time in this vast universe searching for “magical” answers, life gives you answers in living. Enjoy the day, enjoy being a part of the cosmos that is conscious and that can now ask “who am I”. That simple act is amazing. Relish it!;2021-07-06T23:02:17.000Z;0;-
6;mitcalleunterwegs;Vielleicht kannst du auch Gottes Nähe spüren. In dem ganzen Schmerz. Nur so wirst du ihn aushalten können, den Schmerz. Meine Gebete begleiten dich durch Raum und Zeit.;2021-07-06T22:11:35.000Z;2 likes;-
7;karla.hasi;Ich schreibe auch Tagebuch..Das ist wie eine Therapie, weil man während des Schreibens oft merkst, welche Probleme die Gefühle auslösen. Hilft unglaublich😍;2021-07-06T19:49:02.000Z;1 like;-
8;violahauser2;Ja, is super, macht bewusst was gut gelaufen ist und hilft mit mir selber ins reine zu kommen und der Welt unvoreingenommen entgegen zu treten....;2021-07-06T18:57:30.000Z;1 like;-
9;atticusjenka;Da du jetzt mein Tagebuch-Buddy bist, @sarah.nimmerland...;2021-07-06T15:42:12.000Z;1 like;-
10;zerujah;Interessant ist auch, welchen Verlauf das Gebet nimmt. Anfangs wirkt sie tatsächlich ziemlich verzweifelt. Sie sagt, dass sie nur bei Gott glücklich ist, weshalb es sie traurig macht, häufig abgelenkt zu sein. Aber am Ende findet sie neue Kraft. Daher stammt das Zitat über Schmerzen. Sie ist zu allem bereit.;2021-07-06T14:33:36.000Z;2 likes;-
