Link: ;https://www.instagram.com/p/CUzNglLjOGa/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;ichbinsophiescholl;"#TeamSoffer Diesem Motiv liegt eine Passage aus einem Brief an Fritz vom 18.11.1942 zugrunde, in dem Sophie Scholl ihren Gefühlszustand als den einer Versinkenden beschreibt, ""deren Arme und Beine von unheimlichen Wesen des Meeres mit ihren Schlingarmen umklammert und nach unten gezogen würden"". Sie sei wie gelähmt vor Angst (Maren Gottschalk, Wie schwer ein Menschenleben wiegt, S. 250. Siehe auch Hans Scholl und Sophie Scholl, Briefe und Aufzeichnungen, S. 279f.).";2021-10-10T09:15:21.000Z;18 likes;-
2;matneupa;"Wie kann ich glücklich sein, wenn ich Brüder unglücklich weiß? Es war mir auch immer unverständlich (wenn ich den Fehler auch nur in meiner Unzulänglichkeit, sonst nirgendwo, suchte), dass der Lazarus im Schoße Abrahams dem durstigen Reichen in der Hölle einen einzigen Tropfen Wassers versagte. ... Für mich ist diese Frage schrecklich und ausweglos, vielleicht kann die Antwort darauf nur geglaubt werden – weil die Hölle ein ebenso großes Geheimnis ist wie der Himmel. Ich merke, dass mein Brief aus lauter „Vielleicht“ besteht. Kannst Du mir helfen, dieses Vielleicht zu beseitigen? Doch auch wenn es bestehen bleiben muss, bedeutet dies für mich oder von mir keinen Zweifel; warum sollte ich an einer Wahrheit zweifeln, bloß weil sie mir noch verborgen ist?

(Sophie Scholl, 9. Oktober 1942)";2021-10-10T06:38:40.000Z;0;-
3;zongzonx;Manchmal ist es einfach das Richtige, aufzugeben. Hätten Sophie und Hans Scholl, Alexander Schmorell und Christoph Probst zu diesem Zeitpunkt ihren Widerstand aufgegeben, wäre ihnen der sinnlose Tod unter dem Fallbeil erspart geblieben... 😢;2021-10-10T01:42:54.000Z;0;-
4;katcookie13;"Oh,Sophie, du Arme! Ich kann ansatzweise verstehen, wie du dich fühlst-obwohl diese Angst vor Entdeckung so schlimm sein muss, dass kann man sich vermutlich gar nicht vorstellen.
Fühl dich mal fest in den Arm genommen- du bist so eine tolle junge Frau und schaffst so vieles! Lass dich nicht entmutigen 🙏🏼";2021-10-09T16:16:31.000Z;3 likes;-
5;tina_lila33;Warum ein Kraken? Der wurde doch als Symbol für die jüdische Weltverschwörung genutzt…;2021-10-09T16:08:09.000Z;4 likes;-
5-1;tina_lila33;@tina_lila33 angeblich natürlich!;2021-10-09T16:08:56.000Z;2 likes;5
5-2;tina_lila33;@tina_lila33 das passt so gar nicht zu der politischen Einstellung und dem Inhalt dieses Projektes;2021-10-09T16:10:55.000Z;3 likes;5
5-3;heikegumz;"@tina_lila33 Vielen Dank Dir für den wichtigen Hinweis!
Mehr zur Symbolik der Krake im Kontext von Antisemitismus und ihrer historischen Verwendung zur antisemitischen Propaganda u.a. im NS-Organ ""Stürmer"" , z. B. hier: https://marinaweisband.de/ueber-strukturellen-antisemitismus/";2021-10-09T17:47:22.000Z;6 likes;5
5-4;katharina.helling;@tina_lila33 ja, danke! War mir nicht bewusst gewesen ! Und auch danke @heikegumz für den spannenden Link!;2021-10-09T18:06:36.000Z;5 likes;5
5-5;katharina.helling;"@heikegumz … der Schlusssatz.. gerade heute konnte man, aus Gründen, so oft ähnliches lesen.. (der Satz ist jeden Tag genauso wichtig, aber durch die Wiederholung springt er mir noch mehr ins Auge, und verdeutlicht nur die Dringlichkeit)
„Also weil ein Teil von uns tatsächlich mit gewisser Hintergrundangst lebt – nehmt euch bitte 5 Minuten, um über solche Sachen nachzudenken. Und zitiert vielleicht nicht den Stürmer.“";2021-10-09T18:38:17.000Z;4 likes;5
5-6;ichbinsophiescholl;"@tina_lila33 #TeamSoffer Diesem Motiv liegt eine Passage aus einem Brief an Fritz vom 18.11.1942 zugrunde, in dem Sophie Scholl ihren Gefühlszustand als den einer Versinkenden beschreibt, ""deren Arme und Beine von unheimlichen Wesen des Meeres mit ihren Schlingarmen umklammert und nach unten gezogen würden"". Sie sei wie gelähmt vor Angst (Maren Gottschalk, Wie schwer ein Menschenleben wiegt, S. 250. Siehe auch Hans Scholl und Sophie Scholl, Briefe und Aufzeichnungen, S. 279f.). Die Wahl des Motivs leitet sich daraus ab und hat selbstverständlich keinen antisemitischen Bezug.";2021-10-10T09:12:32.000Z;2 likes;5
5-7;tina_lila33;@ichbinsophiescholl Danke für die Klarstellung. Ich finde es wichtig, das dies erwähnt wird! Diese Symbolik wird nämlich leider immer noch häufig benutzt, ohne ein Bewusstsein für den antisemitische Hintergrund.;2021-10-10T09:16:51.000Z;2 likes;5
5-8;katharina.helling;"@ichbinsophiescholl liebes Team, die Antwort irritiert mich. Der Bezug wird doch nicht von Euch hergestellt, noch von irgendjmd „entschieden“ ob er besteht. Ich zitiere dazu mal aus einem Artikel des BR der anlässlich der „Globalisten“-Diskussion um HG Maaßen geschrieben wurde: „Kontexte wiederum, das liegt in der Natur der Sache, kann man nicht einfach selbst definieren. Es geht also, auch wenn es in vielen Sprachdiskussionen gelegentlich danach aussehen mag, nicht darum, einzelne Worte zu tabuisieren, sondern Kontexte zu verstehen, in denen sie auf bestimmte Weise gebraucht werden. Dass ""Globalisten"" auch im Titel eines seriösen Suhrkamp-Buches über Neoliberalismus vorkommt, ist folglich kein gutes Argument für die Unschuld des Begriffs in anderen Kontexten.“";2021-10-10T09:34:42.000Z;5 likes;5
5-9;fraunora.h;"@zuagroastebayrischeschwaebin Vielen Dank, dass du, dass ihr darauf Bezug nehmt. Sophie schreibt von einem Wesen. Vielleicht hätte man mit mehr Bewusstsein für die Kontexte der Zeit einfach ein besseres Motiv finden können. @ichbinsophiescholl Dass das Motiv ""selbstverständlich keinen antisemitischen Bezug hat"" ist in der Aussage schlicht falsch, liebes #TeamSoffer. Es hat ganz definitiv einen antisemitischen Bezug. Ich glaube euch aber, dass das weder von euch intendiert war, noch, dass es eich bewusst war. Ich würde es begrüßen, wenn sich redaktionell stärker mit der Symbolik und den Sprachbilder. Der Zeit befasst werden würde, um nicht wiederholt in diese Fallen zu tappen. Dazu auch die Empfehlung ""LTI"" von Victor Klemperer as Quelle zu nutzen.";2021-10-10T16:44:54.000Z;7 likes;5
5-10;heikegumz;"@ichbinsophiescholl Ich bin sicher, dass Ihr keinen antisemitischen Bezug herstellen wolltet. Dennoch können, wie von meinen Vorrednerinnen schon beschrieben, über Symbole Bezüge unbeabsichtigt aufgerufen werden. Plattes anderes Beispiel: Wenn ich mit schwarz-gelber Kleidung zum Fußball gehe, werde ich wahrscheinlich von anderen Stadionbesucher*innen als BVB-Fan eingeordnet – selbst wenn ich die Symbolik nicht kenne und die Kleidung nur trage, weil es meine Lieblingsfarben sind.

Die Kunstgeschichte bietet viele (weniger platte ;-) ) Beispiele, bei denen mit bestimmten Motiven in einer Epochen oder auch über Jahrhunderte hinweg eine bestimmte Bedeutung übermittelt werden sollte (z. B. ""die blaue Blume der Romantik""). Und der NS arbeitete in Reden, in Filmen, auf Plakaten, in der Inszenierung von Festen etc. besonders stark mit der Symbolik bestimmter (Sprach-)Bilder.

Auch weil ihr hier ja u.a. eine (ggf. jüngere) Zielgruppe ansprechen wollt, die sich noch nicht intensiv mit dem NS auseinandergesetzt hat, wäre es m.E. wichtig, diese (Bild-)Sprache nicht ungewollt zu bedienen, da sie z.T. auch heute noch von rechtsextremen Szenen und/oder Verschwörungsideologien verwendet wird. Denn gerade weil ihr den Bezug nicht herstellen WOLLT, ist es ja schade, dass es eben passiert, dass z. B. durch Bilder von Mäusen, Kraken, Eulen antisemitische Bezüge aufgerufen WERDEN, oder durch das Bild von ""menschlichen Affen"" der Bezug zur NS-Ideologie vom ""Slawischen Untermenschen"".";2021-10-11T06:44:32.000Z;6 likes;5
6;gwen_gloeckchen;Liebe Sophie. Das mit dem Vervielfältiger ist doof gelaufen, aber bitte bitte gib nicht auf! Du hast schon so viel getan, kannst Menschen mitreißen & motivieren. Und die weiße Rose verblühen zu sehen, wäre schrecklich. Wenn ich könnte würde ich helfen, aber ich wüsste auch nicht, wo ich so ein Ding her kriege... 🤔⁉️ Alles Liebe, Gwen Glöckchen 🍁🍂;2021-10-09T14:10:48.000Z;3 likes;-
6-1;ichbinsophiescholl;@gwen_gloeckchen Vielen Dank für deine Worte! Ich hoffe sehr, dass es weitergeht und das ich die nötige Kraft aufbringe, eine Lösung zu finden.;2021-10-10T11:15:14.000Z;2 likes;6
6-2;gwen_gloeckchen;@ichbinsophiescholl Bestimmt! Bis dahin wünsche ich dir alles Liebe, denke an dich und schicke dir ganz viel Kraft. ❤️❤️🙌🍀🍁💫;2021-10-10T12:08:05.000Z;0;6
7;heikegumz;"Die reale Sophie Scholl half zu diesem Zeitpunkt in München Prof. Muth bei Aufräumarbeiten in seiner beim Bombenangriff vom 19./20.9. beschädigten Villa. Sie schrieb Briefe an Otl Aicher zu theologischen Fragen und an ihre Freundin Lisa über die Schönheit der Natur in Muths Garten. Vom in der Donau versenkten Vervielfältiger hat sie nie erfahren.

Die meisten ihrer ehemaligen jüdischen Mitbürger*innen aus Ulm befanden sich dagegen – soweit ihnen nicht die Flucht ins Ausland gelungen war – spätestens seit August 42 in NS-Vernichtungslagern oder waren bereits ermordet worden.

Die Patient*innen der ""Heil- und Pflegeanstalt"" Diakonie Stetten, unter denen sich auch psychisch kranke und geistig behinderte Bürger*innen Ulms befanden, waren bereits 1940 in andere Anstalten ""verlegt"" und über 400 von ihnen waren bereits in den Tötungsanstalten Grafeneck und Hadamar ermordet worden.";2021-10-09T11:09:46.000Z;13 likes;-
7-1;heikegumz;@heikegumz Einzelne Biografien der Ulmer Opfer der NS-Verfolgung z. B. hier: https://stolpersteine-fuer-ulm.de/biografien-der-personen-fuer-die-in-ulm-stolperstein-verlegt-worden-sind/;2021-10-09T11:25:52.000Z;9 likes;7
8;beeo_fresh;"Das ganze Sophie-Scholl-Projekt nimmt sehr mit. Kaum zu glauben, daß viele junge Menschen vllt. zum 1.Mal von der Weißen Rose hören.
Ich frage mich nur, ob die Werte,Gesinnung, Obrigkeitshörigkeit, Gerechtigkeitsempfinden,Meinungsbildung heute wirklich anders sind als damals! Ich befürchte, daß die Prinzipien,mit denen damals manipuliert wurde( Versprechungen, Druck, Angst, Bespitzeln und Denunzieren, Mobben)jederzeit wieder greifen, sofern es um Machtdurchsetzen oder Geld geht!
Ich hoffe sehr, daß durch Euer Projekt viele Augen geöffnet werden! Vielen Dank für Euren wertvollen Beitrag!";2021-10-09T10:53:47.000Z;5 likes;-
8-1;green_brown_eyes;@beeo_fresh Das kann immer und überall wieder passieren, wir Menschen sind (besonders in der Masse) sehr anfällig für so etwas.;2021-10-09T12:03:03.000Z;2 likes;8
9;figurenspielerin_julia_raab;So ein krasser Brief, den Sophie Scholl an Fritz Hartnagel 1942 geschrieben hat. Ich bekomme jedes mal Gänsehaut, wenn ich diese Passage in meiner Lesung für Schüler*innen lesen darf. ❤️;2021-10-09T10:12:53.000Z;3 likes;-
9-1;ichbinsophiescholl;@figurenspielerin_julia_raab #TeamSoffer Es freut uns sehr zu lesen, dass du deinen Schüler:innen die Briefe vorliest!;2021-10-09T10:19:28.000Z;3 likes;9
10;katharina.helling;"09.10.1942
▪️ Aus Wien geht ein Zug mit rund 1.320 jüdischen Menschen nach Theresienstadt ab.
▪️ Juden dürfen keine Bücher in Buchhandlungen mehr kaufen. (Walk, S. 389)
▪️ Vertrauliche Information der Parteikanzlei (Bormann) an die Gau- und Kreisleiter der NSDAP.
Betr. Vorbereitende Maßnahmen zur Endlösung der europäischen Judenfrage. Gerüchte über die Lage der Juden im Osten.
""Im Zuge der Arbeiten an der Endlösung der Judenfrage werden neuerdings innerhalb der Bevölkerung in verschiedenen Teilen des Reichsgebiets Erörterungen über 'sehr scharfe Maßnahmen' gegen die Juden besonders in der Ostgebieten angestellt. Die Feststellungen ergaben, daß solche Ausführungen - meist in entstellter und übertriebener Form - von Urlaubern der verschiedenen im Osten eingesetzten Verbände weitergegeben werden, die selbst Gelegenheit hatten, solche Maßnahmen zu beobachten.
Es ist denkbar, daß nicht alle Volksgenossen für die Notwendigkeit solcher Maßnahmen das genügende Verständnis aufzubringen vermögen, besonders nicht die Teile der Bevölkerung, die keine Gelegenheit haben, sich aus eigener Anschauung ein Bild von dem bolschewistischen Greuel zu machen.
Um jeder Gerüchtebildung in diesem Zusammenhang, die oftmals bewußt tendenziösen Charakter trägt, entgegentreten zu können, werden die nachstehenden Ausführungen zur Unterrichtung über den derzeitigen Sachstand wiedergegeben:

Seit rund 2000 Jahren wurde ein bisher vergeblicher Kampf gegen das Judentum geführt. Erst seit 1933 sind wir daran gegangen, nunmehr Mittel und Wege zu suchen, die eine völlige Trennung des Judentums vom deutschen Volkskörper ermöglichen. Die bisher durchgeführten Lösungsarbeiten lassen sich im wesentlichen wie folgt unterteilen:
1. Zurückdrängung der Juden aus den einzelnen Lebensgebieten des deutschen Volkes. (…)
2. Das Bestreben, den Gegner aus dem Reichsgebiet völlig hinauszudrängen. (…)
⤵️";2021-10-09T10:00:56.000Z;9 likes;-
