Link: ;https://www.instagram.com/p/COnXOjgHo4O/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;andrin_stalder;Ich finde das das Experiment extrem gut zeigt wie so etwas in der heutigen Zeit währe mit social Media und co. Was man aber kritisch ansehen könnte ist das ein solcher Account schon längst von der Regierung gesperrt währe.;2021-07-02T06:31:33.000Z;2 likes;-
2;micha_hnvr14;ok;2021-06-28T11:36:43.000Z;0;-
3;micha_hnvr14;ok;2021-06-28T07:09:09.000Z;0;-
4;plasa_gemeinschaft;Nie wieder Faschismus, nie wieder Krieg <3;2021-05-26T16:31:34.000Z;1 like;-
4-1;lea.belendier;@plasa_gemeinschaft 🙏;2021-09-17T07:00:09.000Z;1 like;4
4-2;lea.belendier;@plasa_gemeinschaft 🙏;2021-09-17T07:00:23.000Z;0;4
5;schickliesel;❤️;2021-05-20T22:34:13.000Z;0;-
6;iam.punti;Is she in the hub? 🧡🖤;2021-05-20T08:56:33.000Z;3 likes;-
6-1;aleyna.mszv;@punti_football HAHAHHA;2021-05-20T09:01:02.000Z;1 like;6
7;konservative_basis;Darf man fragen, was für ein Flugzeug das ist? Ich dachte an die North American B-25 Mitchell, aber vordere Propeller verwirrt mich etwas.;2021-05-19T15:28:08.000Z;0;-
7-1;thobi_pxx;@konservative_basis dass ist eine Junkers Ju 57;2021-10-06T08:02:35.000Z;0;7
7-2;konservative_basis;@thobi_pxx, das glaube ich nicht, erstens ist auf deutschen Flugzeugen das Balkenkreuz während auf diesem ein Kreis zu sehen ist, zweitens hat die Ju 52 ein starres Fahrwerk und drittens hat sie nur ein Seitenleitwerk.;2021-10-06T10:55:38.000Z;1 like;7
7-3;thobi_pxx;@konservative_basis Ja hat aber mehr Ähnlichkeit zu einer Ju 52 als zu einer B 25 Mitchel;2021-10-06T12:26:51.000Z;1 like;7
8;rosaberetta1989;🙌❤️;2021-05-17T07:26:20.000Z;1 like;-
9;rosaberetta1989;🙌❤️;2021-05-17T04:45:27.000Z;0;-
10;sissi_kreativ;Millionen von euren Flugblättern wurden über Deutschland hinabgeworfen. Ihr habt das Richtige getan! Es ist so schade, dass ihr das nicht mehr mitbekommen habt. Aber vllt vom Himmel aus👼;2021-05-17T04:07:24.000Z;0;-
11;kristina.tpk;#niewiedernationalsozialismus;2021-05-14T22:57:17.000Z;0;-
12;unflowex.daddy;Verrückt, das diese Worte damals wie heute auch weiterhin passen. Danke für die Erinnerung, wieder mehr ins Handeln zu kommen. ❤️;2021-05-13T14:09:53.000Z;1 like;-
13;claudi_und_harri;Handeln ist richtig und wichtig. Aber du bist kein schlechter oder egoistischer Mensch, wenn du Energie mit schönen Momenten auftankst. ❤️;2021-05-12T21:10:35.000Z;2 likes;-
14;experience.berlin.in.german;Das sind tolle Geburtstagswünsche!😍;2021-05-12T16:50:49.000Z;0;-
15;inaya.milo;du sprichst mir aus der seele 👏❤️;2021-05-12T01:24:14.000Z;0;-
16;slytherinmuslima;Hei @ichbinsophiescholl, ein Datum wäre zur Orientierung vielleicht gut :);2021-05-11T23:17:49.000Z;0;-
17;x_x_natascha_x_x;🙏🏼💐;2021-05-11T20:34:07.000Z;0;-
18;halterner_kinder;Nie wieder !!!!!;2021-05-11T11:56:15.000Z;0;-
19;einfach.jaimy;@_lasse2003_ dachte das sind Bomben deswegen der like 😂😵‍💫;2021-05-11T11:16:06.000Z;0;-
19-1;_lasse2003_;@einfach.jaimy dachte ich auch immer;2021-05-11T11:16:25.000Z;0;19
20;modevelten_;Schauen wir uns doch mal das Chaos in der Welt an! Die vielen Kriege und Vertreibungen! Die Menschheit hat leider nicht viel dazugelernt!.. 😔;2021-05-11T07:12:23.000Z;2 likes;-
21;chiara.sphx;Das Bild spiegelt die Situation super wieder. Einfach die richtigen Worte.;2021-05-10T21:43:16.000Z;0;-
22;weltenbummlerblog;"Die Aktion ist gut aber dieses Bild macht nachdenklich.
Wenn man überlegt, wieviele Menschen durch den Bombenkrieg auf Wohnviertel ums Leben gekommen sind.
Die Alliierten haben eben keine Blumen abgeworfen, sondern Bomben.
Was sie aber auch abgeworfen haben war das letzte Flugblatt der Weißen Rose und zwar als „Mitteilung der Münchner Studenten“.
Ich bin wie gesagt bei diesem Bild sehr zwiegespalten.";2021-05-10T20:09:43.000Z;0;-
23;midnightsunat;Liebe Sophie, du bist eine großartige junge Frau, die genau die richtigen Fragen stellt! Du wirst deinen Weg gehen und wir vergessen dich nie! 🙌❤️;2021-05-10T19:20:47.000Z;0;-
24;bellmvsa;"Du hast es auf den Punkt gebracht! Das Bild ist wirklich passend ;)";2021-05-10T17:38:52.000Z;0;-
25;arne14_18;"Redet von ""kein Krieg"" und aufm Bild ist erstmal nen amerikanisches Bombenflugzeug👏🏻";2021-05-10T17:08:13.000Z;0;-
26;hanni_03333;Sehr cooles und geniales Projekt;2021-05-10T16:45:32.000Z;0;-
27;c._.ayenne;@dtm.bella_ hä;2021-05-10T15:43:14.000Z;0;-
27-1;dtm.bella_;@http.cayenne ??;2021-05-10T17:01:55.000Z;0;27
28;mari_ette2210;Das wünsche ich mir auch ❤️;2021-05-10T14:07:41.000Z;0;-
29;omashaggy;❤️;2021-05-10T13:57:08.000Z;0;-
30;schoolsven;😔❤;2021-05-10T13:09:23.000Z;0;-
31;l.hmth;Damals haben wir noch Essen statt Blumen gebraucht;2021-05-10T11:52:50.000Z;0;-
32;frankherold79;❤️;2021-05-10T11:43:34.000Z;0;-
33;philipe.delmiro;@ramona.kassandra About fights and flowers;2021-05-10T09:53:51.000Z;1 like;-
34;benw1302.privat;@sprenger2107 @joshi_th @lennart_schnlt liebe Grüße an euch und viel Spaß;2021-05-10T06:51:17.000Z;0;-
34-1;sprenger2107;@ben.w1322006.privat Dankeschön, dir auch👏;2021-05-10T06:52:05.000Z;1 like;34
