Link: ;https://www.instagram.com/p/CQni4dmqGB_/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;katja.rufa;Sehr schönes Zitat ❤️;2021-06-28T06:07:38.000Z;0;-
2;katja.rufa;Sehr schönes Zitat ❤️;2021-06-28T06:05:03.000Z;0;-
3;katja.rufa;Sehr schönes Zitat, welches sich auf sehr vielen Dingen und Momenten passt.;2021-06-28T06:04:39.000Z;0;-
4;shuana.de;🔥🔥🔥🔥;2021-06-27T20:33:19.000Z;0;-
5;philosoph95;Musik aber macht das Herz weich, sie ordnet seine Verworrenheit und schafft so eine Voraussetzung für das Wirken des Geistes in der Seele, der vorher an ihren hart und verschlossenen Pforten vergeblich geklopft hat. Ja, ganz still und ohne Gewalt macht die Musik die Türen der Seele auf. Nun sind sie offen! Nun sind sie bereit aufzunehmen. Dieses ist die letzte Wirkung, die Musik auf mich ausübt, die sie mir notwendig macht in diesem Leben. Und so wenig wasche um des Wassers willen, dass ich dazu benötige, so wenig höre ich Musik um der Musik willen.;2021-06-27T18:17:25.000Z;1 like;-
6;sepi.days;❤️;2021-06-27T16:45:39.000Z;3 likes;-
7;stefann34;Wie kann man nur so schön sein und so stark lieben als wäre in der Welt nur das Gute zu Hause und jeder Stern möge dir den Weg der Hoffnung durch Dunkelheit hindurch ins Licht leuchten. 🌹Wer mit dem Herzen sieht hat Flügel der Liebe, die diese Erde mit sanfter Güte überziehen und zu einem besseren Morgen machen!;2021-06-27T16:09:51.000Z;5 likes;-
8;polstertier;Wäre es möglich, dass ihr mal eine Playlist postet von der Musik, die ihr so verwendet? Gerne die von euch genutzten Versionen.;2021-06-27T14:06:12.000Z;3 likes;-
9;raguel0268;❤️;2021-06-27T13:05:11.000Z;1 like;-
10;schoolsven;❤️😍;2021-06-27T12:52:36.000Z;1 like;-
11;_closest_2_hell_;Wow...! So deep. Interpretationsmöglichkeiten noch und nöcher.;2021-06-27T12:28:29.000Z;1 like;-
12;marinabbb121;Okay, Danke hab’s jetzt 🤗;2021-06-27T12:14:09.000Z;1 like;-
13;netratz;🔥❤️;2021-06-27T12:02:04.000Z;1 like;-
14;dustin_pietz;Sophie ist doch gegen Antisemitismus, warum feiert sie dann die Musik eines rabiaten Judenhassers ?;2021-06-27T11:41:01.000Z;4 likes;-
15;dasjessy;Voll schön. 😍;2021-06-27T11:36:56.000Z;1 like;-
16;susanne_k_aeferchen;🙌🙌;2021-06-27T11:10:50.000Z;1 like;-
17;_giftzwergh;"Könntet ihr euch vorstellen die Geschichte außerhalb von Instagram zu ""verfilmen"" damit man es immer wieder nachschauen kann? Ich konnte zum Beispiel leider nicht alle von euren Storys sehen🙈";2021-06-27T11:07:53.000Z;84 likes;-
18;martina.stempel;@johann_sdl;2021-06-27T10:32:34.000Z;1 like;-
19;sonntagsmalerin;Die Musik stammt von Chopin und ist in der Originalversion ein wunderschönes Klavierstück das wirklich gut zum Post gepasst hätte. Ich verstehe nicht warum hier eine Synthesizer Version gewählt wurde..schade... aber das Zitat ist wunderbar.❤️;2021-06-27T10:17:35.000Z;6 likes;-
20;schocla69;Was ein wunderbarer Beitrag ❤️hach mein Herz 😍;2021-06-27T10:02:52.000Z;2 likes;-
21;waltraud_59;❤❤❤;2021-06-27T09:38:52.000Z;2 likes;-
22;miss35_si;Was geht dir durch den Kopf?;2021-06-27T09:36:20.000Z;1 like;-
23;prinzessin_uffm_bersch;Und manchmal gibt uns dieser eine Ton, der nicht weiß, wohin er gehört, den Anstoß über Dinge nachzudenken, an die wir vorher nicht einen Gedanken verschwendeten. So kann in etwas unvollkommenen, eine große Schönheit und Tiefe liegen und dieser eine Ton, unsere Seele unfassbar tief berühren, wie nichts anderes zuvor...;2021-06-27T09:27:09.000Z;23 likes;-
24;multiplejjjs;@ichbinsophiescholl Könnte der geäußerte Gedanke nicht auch faschistoid interpretiert werden? Die Vorstellung von der Gesellschaft als einem Körper, einem Orchester? Indem eine klare Hierarchie besteht und welches aufhört seinen „Sinn“ zu erfüllen wenn der Dirigent seine Autorität verliert? Wenn der Einzelne meint die Harmonie stören zu dürfen? Wäre es nicht gerade wünschenswert, dann das atonale, nicht harmonische Konzert der Individuen herbeizusehnen? Die Harmonie schon zu verurteilen, als totalitär?;2021-06-27T09:26:18.000Z;3 likes;-
25;___michael___16;Naja. Solange nur ein Ton aus der Reihe tanzt ist es nicht schlimm. Wenn jedoch immer mehr Töne falsch sind, stürzt die Harmonie ins Chaos. So würde ich das interpretieren.;2021-06-27T09:20:50.000Z;2 likes;-
26;burchardtanke;💔;2021-06-27T09:20:32.000Z;1 like;-
27;hauptstadtlady50;Danke 🙏 auch für deine nachdenklich Postings 👏liebe Sophie. Wünsche dir einen schönen Sonntag 🙋‍♀️🌞😍.;2021-06-27T09:19:02.000Z;3 likes;-
28;4matuta;❤️;2021-06-27T09:17:32.000Z;2 likes;-
29;the_cellist;😢;2021-06-27T09:15:20.000Z;1 like;-
30;meritdano;Sehr tiefgründig...;2021-06-27T09:11:36.000Z;3 likes;-
31;jule.slllr;Gar nicht 😢;2021-06-27T09:08:08.000Z;2 likes;-
32;maxi__sun;Wenn man die Harmonie nicht kennt, könnte man denken dass der Ton das mit Absicht gemacht hat und das so sein muss :);2021-06-27T09:07:44.000Z;21 likes;-
33;juengervlotho;Wundervoller, trauriger Spruch 👏;2021-06-27T09:06:32.000Z;2 likes;-
34;sarah.fuel;Welcher Komponist ist das? :) Und hat diese Musik eine besondere Verbindung mit der Weißen Rose oder Sophie Scholl?;2021-06-27T09:06:11.000Z;14 likes;-
35;moneoninst;❤️;2021-06-27T09:06:03.000Z;2 likes;-
36;ansthr;Wie heißt das Lied?;2021-06-27T09:06:02.000Z;9 likes;-
37;liiilaleni;Was für ein toller Spruch 😍;2021-06-27T09:04:30.000Z;12 likes;-
