Link: ;https://www.instagram.com/p/CYEwTi-MI4y/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;ansgarwfl;Eher mit der ganzen Familie und wir können uns dann jedesmal über spannende Themen unterhalten;2022-01-12T05:59:39.000Z;0;-
2;lilli_flaig_;Lieber mit der Familie in dieser Zeit. Wünsche euch einen guten Rutsch ins neue Jahr. ❤️🍀🥂;2021-12-31T11:58:11.000Z;0;-
3;franzib.aus.dd.an.der.e;Ich bin meist, wenn möglich, zu den Weihnachtsfeiertagen bei meiner Familie und Silvester verbringe ich mit Freunden.;2021-12-31T09:13:27.000Z;4 likes;-
4;calimero.aus.dem.nirgendwo;@reis_ministerin_official ernsthaft?;2021-12-31T08:45:16.000Z;0;-
5;hi_its.me.steffi;Mit der Familie-war bis jetzt immer so.;2021-12-31T01:19:06.000Z;0;-
6;gaaabijaa;Was für russische Freunde habt ihr denn? Und mich würde allgemein mal interessieren wie denn das Leben von russischen Bürger*innen zu der Zeit in Deutschland war, zu einer Zeit in der Fritz zB. ja in Russland gegen Russland an der Front kämpft ☺️;2021-12-30T23:09:26.000Z;1 like;-
7;markus.schrader;Dieses Jahr wird nicht gefeiert. Ich bin diesmal allein;2021-12-30T22:57:38.000Z;0;-
8;slytherinmuslima;Mal so, mal so :)) letztes Jahr alleine 😅;2021-12-30T20:51:31.000Z;0;-
9;kathyw2405;Gerne mit Freunden, aber manchmal haben auch die Familie oder andere Vorrang, die einem am Herzen liegen- in schwierigen Zeiten ist eben alles immer etwas anders ❤️;2021-12-30T20:38:37.000Z;0;-
10;jenni.fer_sch;Wegen Kleinkind zu Haus, sonst habe ich das Jahr gemütlich mit einen Theater besuch ausklingen lassen, meist mit Freunden;2021-12-30T19:48:25.000Z;0;-
11;michaela_mathy;Silvester bin ich zum ersten Mal alleine. Aber ich kann das auch genießen. Sonst ist Silvester mit Freunden und Spieleabend. Habt ihr Kartenspiele oder Halma, Mensch-ärgere-dich-nicht?;2021-12-30T18:40:02.000Z;0;-
12;strandperle1207;Alles Gute Dir und Deiner Familie liebe mutige Sophie❣️Ich feiere mit meinen lieben Mann ganz alleine, wir freuen uns das turbulente Jahr ganz ruhig und gemütlich ausklingen zu lassen und gespannt und freudige in das neue Jahr zu blicken.Hab eine schöne Zeit mit Deinen Eltern.;2021-12-30T13:03:08.000Z;0;-
13;irene.garbe3;Freunden;2021-12-30T11:03:35.000Z;0;-
14;irene.garbe3;Freundem;2021-12-30T11:03:32.000Z;0;-
15;hierkommtconny;Hab gerade dasselbe Dilemma liebe @ichbinsophiescholl kann dich gut verstehen.;2021-12-30T10:21:31.000Z;0;-
16;ninenusch;Mit Freunden und Familie❤️;2021-12-30T08:08:37.000Z;1 like;-
17;kellykatze235;Ich bin Kellnerin. Ich muss arbeiten.;2021-12-30T07:29:11.000Z;0;-
18;raul_mccallister007;❤️;2021-12-30T07:21:00.000Z;0;-
19;annuschka1020;Diese Pyramide haben wir auch 😊;2021-12-30T06:39:54.000Z;0;-
20;reginadorwarth;Silvester feiern wir mit Freunden und an Neujahr mit der Familie (die Weihnachtspyramide im Hintergrund ist hübsch).;2021-12-30T04:30:05.000Z;0;-
21;breymartina;Wir feiern innerhalb der Familie.;2021-12-30T00:24:55.000Z;0;-
22;isy.easy;Mit Freunden;2021-12-29T23:34:52.000Z;0;-
23;reading_nelone;Meine Familie verbringt Silvester immer mit Freunden der Familie bzw. Freunden meiner Eltern. Ich würde auch gerne mal mit Freunden Silvester Feiern, aber es hat immer niemand Zeit:/;2021-12-29T23:20:03.000Z;0;-
24;white_sn0w;in diesem Jahr tatsächlich beides, erst mit der Familie und dann mit Freunden;2021-12-29T23:10:59.000Z;0;-
25;bietzerburger;Meine Freunde gehören zu meine Familie.;2021-12-29T23:06:58.000Z;2 likes;-
26;kati_schwalbe;Weihnachten gehört der Familie, Silvester feiern wir immer mit Freunden.;2021-12-29T22:28:32.000Z;0;-
27;tinaweissert;Weihnachten gehört der Familie, Silvester den Freunden ❤️.;2021-12-29T22:24:29.000Z;1 like;-
28;lisa_maria_luna;Sind die russischen Freunde von alex fiktiv oder gab es die wirklich? War so etwas nicht schwierig? 🤨 liebe Grüße 🤗;2021-12-29T22:22:59.000Z;1 like;-
29;nennabx;Ich verbinde immer beides sehr gerne, es kommt meine Mama und mein Bruder und unsere Freunde, da diese auch unsere Familie sind. ❤️;2021-12-29T21:59:05.000Z;0;-
30;4everpam;Mit der ganzen Familie ♥️ so endet das alte Jahr wunderbar und das neue fängt perfekt an;2021-12-29T21:55:35.000Z;0;-
31;annaw85;Als Saarländer frag ich mich natürlich, was Willi in Saarbrücken macht?;2021-12-29T21:49:55.000Z;0;-
32;a_derian_creature;Ich werd bei Freunden sein;2021-12-29T21:32:19.000Z;0;-
33;ein_echter_bochumer_junge;Meine Freunde sind Familie! ❤️;2021-12-29T21:02:10.000Z;0;-
34;elakuehn72;Tatsächlich feiern wir mit Freunden ... die Familie trifft sich am 01. Januar ... das Jahr startet bei uns immer mit einem Geburtstag 🥂;2021-12-29T20:57:39.000Z;0;-
35;lan.paul;Weihnachten mit Familie, Silvester mit Freunden;2021-12-29T20:25:10.000Z;0;-
36;sarah.petersson;Exakt so sah unsere Pyramide aus als ich klein war;2021-12-29T20:20:13.000Z;2 likes;-
37;baerlein3;Wenn ich nicht arbeiten müsste, hätte ich mit der Familie gefeiert. Nun hoffe ich, dass ich einfach ins neue Jahr reinschlafe 😉;2021-12-29T20:09:18.000Z;0;-
38;kokele_007;Weihnachten verbringe ich mit meiner Familie, Jahreswechsel mit Freunden.;2021-12-29T20:08:44.000Z;0;-
39;finn546_;Bei Oma ..;2021-12-29T20:02:35.000Z;0;-
40;singing.conny.runs;Wir verbringen den Jahreswechsel mit Familie ❤️;2021-12-29T19:48:04.000Z;0;-
41;cimsch;Ich Feier mit meiner Familie. Wir essen lecker zusammen und dann wird gespielt und es gibt ein bisschen Tischfeuerwerk. Nix großes.😊 ruhig und gemütlich;2021-12-29T19:44:44.000Z;0;-
42;postilleaksteam;Ich hab nicht ganz so viele Freunde, deswegen hab ich bis jetzt jedes Jahr mit meiner Familie gefeiert. War aber auch schön. ❤️;2021-12-29T18:58:43.000Z;1 like;-
43;minousmagiques;Mit meinen Katzen.;2021-12-29T18:48:20.000Z;4 likes;-
44;joytamciz_;Auf jeden Fall lieber mit der Familie ❤️❤️❤️;2021-12-29T18:45:22.000Z;1 like;-
