Link: ;https://www.instagram.com/p/CTkXKqkMnig/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;wineandpasta;Geschwister sind immer ein Segen ♥️ wie ist eine Sophies Beziehung zu Elisabeth die später ihren Fritz heiratet? Ist da etwas bekannt?;2021-09-10T14:30:25.000Z;0;-
2;sibo1609;@stefanielang42 ❤️❤️;2021-09-09T19:32:46.000Z;0;-
3;arisk.prvt;@ichbinsophiescholl Wird eig zu Ende des Projektes der Film als ganzes gezeigt? Und bleibt der Kanal dann noch bestehen?;2021-09-09T15:58:04.000Z;8 likes;-
3-1;ichbinsophiescholl;@celloaris #TeamSoffer Du findest die Zusammenfassungen in den Storyhighlights auf dem Profil. Dort kannst du auch vergangene Wochen nachschauen, falls du welche verpasst hast. Liebe Grüße!;2021-09-09T16:42:09.000Z;7 likes;3
4;notjoryx;Oder sie Hassen dich und wollen keinen Kontakt mehr. Schönreden hilft da auch nicht;2021-09-09T15:02:02.000Z;0;-
5;jojo_valli;@curlywurly246;2021-09-09T13:54:10.000Z;1 like;-
5-1;curlywurly246;@jojo_valli immer❤️;2021-09-09T14:06:08.000Z;0;5
6;mayasiiri;@glitzerfee13 @dreamingtheresa 💚;2021-09-09T13:24:50.000Z;0;-
7;ines_s_2;❤️;2021-09-09T12:16:18.000Z;0;-
8;matundra66;Liebe Sophie. Was macht eigentlich deine Schwester Elisabeth?;2021-09-09T11:01:19.000Z;0;-
9;xnnikx_klemxnn;Immer❤️;2021-09-09T09:54:35.000Z;1 like;-
10;evawohl;Ja, meine Schwestern sind ein Geschenk und ein Fixpunkt in meinem Leben, ich habe vier davon ❤️;2021-09-09T08:52:37.000Z;3 likes;-
10-1;ichbinsophiescholl;@evawohl Vier Schwestern! Wie schön! Sind auch Zwillingspaare dabei?;2021-09-09T12:19:34.000Z;0;10
10-2;evawohl;@ichbinsophiescholl nein, wir haben keine Zwillinge dabei, genieß die Zeit mit Inge ❤️;2021-09-09T19:47:23.000Z;0;10
11;inst6590125;@roni_atalan47_;2021-09-09T08:26:35.000Z;0;-
12;elmore1786;I was so down until i was introduced to @hayes_cointrader and my life took a good turn, i recommended you all to @hayes_cointrader;2021-09-09T07:44:29.000Z;0;-
13;annekathrin.reif;Warum kommt Elisabeth eigentlich gar nicht vor? Man könnte denken, Sophie hätte nur eine Schwester...;2021-09-09T06:52:09.000Z;0;-
13-1;heikegumz;@annekathrin.reif Elisabeth machte eine Zusatzausbildung zur Kinderkrankenschwester in Tübingen. Eigentlich war sie es, die Sophie Scholl Ende September/ Anfang Oktober nach München begleitete und dabei half, in dem von einer Bombe beschädigten Haus von Prof. Muth mit aufzuräumen. (Quelle: Anmerkungsband zur Hans-Scholl-Biografie von Barbara Ellermeier, S. 167);2021-09-10T06:36:08.000Z;5 likes;13
13-2;annekathrin.reif;@heikegumz Dankeschön!;2021-09-10T06:44:43.000Z;1 like;13
14;mone.melone22;Leider nicht. Meine Geschwister sind für mich gestorben! Und mir geht es damit besser, denn je! 🙌;2021-09-09T06:51:34.000Z;0;-
15;kateandrewz;Ja 😊 @annick.dent;2021-09-08T23:32:18.000Z;1 like;-
15-1;annick.dent;@kateandrewz immer 🙂;2021-09-09T00:39:18.000Z;2 likes;15
16;letta1804;naja. ..eher nicht 😢;2021-09-08T23:29:15.000Z;0;-
17;saira.iram.rajput;Schwesterliebe für immer 💙💙👸🏻👸🏻;2021-09-08T22:02:38.000Z;1 like;-
17-1;ichbinsophiescholl;@saira.iram.rajput Für immer und ewig! Hast du eine jüngere oder eine ältere Schwester?;2021-09-09T12:14:50.000Z;1 like;17
17-2;saira.iram.rajput;@ichbinsophiescholl Eine jüngere. Die ist mein Herz und Seele. Danke für deine Antwort liebe Sophie.;2021-09-09T12:17:50.000Z;0;17
18;gxna_winchester_2002;Ich freue mich sehr für dich, dass du so eine tolle Schwester hast, die zu dir hält und dich unterstützt! Ich finde, dass die Bindung zwischen zwei Schwestern einfach so groß ist, dass man sich einfach immer Verlassen kann, wenn es drauf ankommt ❤️Ist bei mir und meiner Schwester auch so. Nicht immer die dicksten, aber ich werde sie immer lieben und für sie da sein ❤️;2021-09-08T19:59:28.000Z;3 likes;-
19;charlis.art;Du hast eine tolle Schwester! Ich kenne meine leider nicht :/. Zu deinem letzten Satz: leider ist dem nicht so. Ich kenne aus der eigenen Familie, dass sich Geschwister auch von der gesamten Familie los sagen und sich nichtmal mehr für ihre eigenen Eltern interessieren etc.;2021-09-08T19:55:42.000Z;4 likes;-
20;mln.wlms;kann ich von meinem Bruder leider nicht behaupten 😢 dabei wüsste ich auch gerne wie Geschwisterliebe sich anfühlt 🥺💔;2021-09-08T19:53:49.000Z;0;-
21;tascha280775;Ich kann mich auch immer auf meine Schwester verlassen. Wir haben vor 2 Tagen unseren Vater verloren und wir sind so froh, dass wir uns haben und die schwere Zeit nicht alleine durchstehen müssen.;2021-09-08T19:11:50.000Z;8 likes;-
21-1;schnittwolke;@tascha280775 mein Beileid und viel Kraft für die kommende Zeit 🙏;2021-09-08T20:21:47.000Z;4 likes;21
21-2;tascha280775;@schnittwolke Danke schön 😘💔;2021-09-08T20:24:16.000Z;1 like;21
21-3;steffimiti;@tascha280775 Mein Beileid, alles Gute für euch 🙌;2021-09-08T20:37:15.000Z;3 likes;21
21-4;tascha280775;@steffimiti Danke schön 😢💔;2021-09-08T20:40:37.000Z;2 likes;21
21-5;ulrikemunner;@tascha280775 😢❤️;2021-09-09T11:09:44.000Z;1 like;21
22;joel_h7703;Das ist wichtig! Ganz egal was war man kann sich auf seine Schwester verlassen;2021-09-08T19:05:52.000Z;1 like;-
23;julevas_fotos;Unbedingt ❤️;2021-09-08T19:03:05.000Z;1 like;-
24;primavera7549;Warum musste eigentlich nur Sophie zur Fabrikarbeit? Warum ihre Schwestern nicht bzw.was haben die beiden in der Zeit gemacht? Weiß man etwas darüber oder hab nur ich was verpasst? 🤔😉 @ichbinsophiescholl;2021-09-08T18:53:13.000Z;29 likes;-
