Link: ;https://www.instagram.com/p/CaXXk5LsFy3/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;dr_vasif_m;Ich liebe diese Seite;2022-02-27T12:40:29.000Z;0;-
2;simone_treburg;🤍🤍🤍;2022-02-26T19:49:05.000Z;0;-
3;neukoellntravel;🖤;2022-02-26T10:28:07.000Z;0;-
4;danielkuhmann;❤️ Die Geschichte ist gerade so wichtig wie nie.;2022-02-26T08:58:19.000Z;0;-
5;belipfeifer;Die Liebe siegt. 👏 über den Tod hinaus;2022-02-26T04:18:15.000Z;0;-
6;emgre23;"""Nach dem Tod ihrer Schwester Inge wird Elisabeth Zeitzeugin"" - sie war doch immer Zeitzeugin?!";2022-02-25T23:39:01.000Z;2 likes;-
7;gott2704;Lemberg... da wird mir ein wenig schwer ums Herz. Erst gestern wieder sprach Frau Baerbock von Lemberg. Sehr schlimm wie ich finden, ganz ähnlich den Wegweisern die mich nach: Tetschen (Dečin) schicken. Was ist dieses Lemberg? Ist es im 2. WK Lvov? Oder nach 1990 Lwiv? Oder reden wir von Österreich-Ungarn wo es bis 1918(!!!) Lemberg hieß? Sehr traurig!;2022-02-25T22:55:16.000Z;0;-
8;mountainhiking20;Leider ist der Krieg in unserer Zeit gerade allgegenwärtig. Schade das Staatschefs aus der Vergangenheit nicht viel gelernt haben. 😔;2022-02-25T21:34:56.000Z;3 likes;-
9;marion.pettersson.1;❤️;2022-02-25T21:30:21.000Z;0;-
10;kimmmix;Es ist schwer erklärbar, dass Putin Menschenleben schützen will, wenn er genau gegenteilig handelt. Man schützt Menschenleben nicht mit Waffengewalt. Wenn etwas anderes erzählt wird, wird vermutlich Propaganda betrieben. Man muss es nur gut verkaufen können und die Leute glauben so einiges, was dem logischen Menschenverstand widerspricht. Niemand ist ein guter Christ, der Menschen tötet. Dafür kommt man in die Hölle. Putin als allererstes.;2022-02-25T19:59:09.000Z;1 like;-
11;montyvomkellersee;So traurig 😞;2022-02-25T18:57:55.000Z;0;-
12;juicer666;❤️;2022-02-25T15:14:22.000Z;0;-
13;anke.brue;❤️;2022-02-25T13:06:20.000Z;0;-
14;molle2211;@dennisgrab wir müssen mal Ahnenforschung machen 😂😮;2022-02-25T09:40:41.000Z;0;-
15;sabine.sachse;❤️;2022-02-25T09:13:12.000Z;0;-
16;grafbernhard;Wenn ich hier vom Lemberger Lazarett lese, dann läuft es mir eiskalt den Rücken runter...traurig und erschüttert, dass wir wieder so weit sind 😢🇺🇦;2022-02-25T08:13:53.000Z;1 like;-
17;ted01920;Eine bewegende Geschichte ! Es lässt einen nicht los ! Und dazu die aktuelle Situation in der wir uns befinden.🕊;2022-02-25T07:14:27.000Z;1 like;-
18;rosariaschlae;Wird es irgendwie die Möglichkeit geben, alle Storys nochmal anzuschauen?;2022-02-25T07:12:50.000Z;1 like;-
19;nyaguldberg;🤍;2022-02-25T06:39:45.000Z;0;-
20;paulusbeate;🙌;2022-02-25T06:13:58.000Z;0;-
21;ansgarwfl;Wie man so etwas schaffen kann wenn man viel schlimmes gesehen hat wie gerade die Ukraine den Einmarsch Russlands aber noch so etwas starkes schaffen kann hut ab 👏👏😮;2022-02-25T05:53:10.000Z;0;-
22;christine.binggeli;❤️;2022-02-24T23:01:34.000Z;0;-
23;aloe.vera_;Einen großen Dank für dieses wirklich fantastisch umgesetzte Projekt ❤️ tolle Idee, tolle Umsetzung, tolle Schauspieler ❤️ danke ❤️👏 absolut bewegend ❤️;2022-02-24T22:57:10.000Z;5 likes;-
24;_sturmstina_;🤍🕊;2022-02-24T22:52:00.000Z;0;-
25;bettine1960;"Gerade las ich das Buch ""Liebe in Zeiten des Hasses"" von Florian Illies; er schildert da viele prominente Paare in der schrecklichen Zeit zwischen Machtergreifung und Kriegsbeginn, also zwischen 1933 und 1939. Auf der allerletzten Seite begegnete ich ihnen plötzlich, ganz unerwartet:";2022-02-24T22:43:37.000Z;2 likes;-
26;connisch10;Krass, dass Sophies Schwester noch bis 2020 gelebt hat. Das bedeutet ja schon, dass ihre Nichten/Neffen bzw deren Kinder noch leben.;2022-02-24T22:38:40.000Z;0;-
27;zellerhelga46;😂;2022-02-24T22:04:38.000Z;0;-
28;frankwolfraum_u_btproject;❤️;2022-02-24T21:21:08.000Z;0;-
29;zwaanheijmans;❤️👏;2022-02-24T21:18:21.000Z;0;-
30;teekind;Ich hab Gänsehaut.;2022-02-24T21:01:07.000Z;2 likes;-
31;acton._bell;Thank you for your truth. we will never forget x;2022-02-24T20:52:41.000Z;1 like;-
32;si.si_007;Das ist alles so bewegend😢 danke für die tolle Arbeit ❤️;2022-02-24T20:51:48.000Z;3 likes;-
33;ganzkleine_86;"Also kam Sophies Schwester Elisabeth mit ""Sophies"" Fritz zusammen? Hm...";2022-02-24T20:25:59.000Z;8 likes;-
34;leo_rmp;Es ist zwar zweitrangig, aber ihr habt Fritz wirklich gut besetzt. Die Ähnlichkeit ist verblüffend!👍;2022-02-24T19:57:55.000Z;3 likes;-
35;kiplokibrod;Hat es einen Grund, dass es noch keinen Post zu Alexander Schmorell gab?;2022-02-24T19:30:16.000Z;4 likes;-
36;misses_biggs;😢;2022-02-24T19:25:09.000Z;1 like;-
37;susianne_;😢;2022-02-24T19:12:08.000Z;1 like;-
38;viva_la_vanini;Ich finde es erschreckend wie wenig Zeit zwischen Verhaftung und Hinrichtung vergangen sind 😢 Ob sie damit gerechnet haben? Und vor allem so schnell? War das bei 'Staatsfeinden' normal oder war das ein Sonderfall. Mir tut die Familie leid... man verschickt Gnadengesuche ohne zu wissen dass die eigenen Kinder schon längst tot sind.. Ohne Abschied...;2022-02-24T19:06:52.000Z;5 likes;-
39;boraaydn;😢❤️❤️;2022-02-24T19:03:37.000Z;0;-
40;tabue0711;Was machen die vier Söhne heute ? Wissen sie von diesem Projekt?;2022-02-24T18:48:23.000Z;15 likes;-
41;urgs1978;❤️ vielen herzlichen Dank für so viel Info über alle. Das wird so nie erzählt im Unterricht. Danke.;2022-02-24T18:47:13.000Z;0;-
42;ha.quinn;Respekt für Elisabeth die Schwester ist tot und sie macht sich an ihrem Verlobten dran und lebt ihre Leben. Das konnte ich nicht 😮;2022-02-24T18:43:11.000Z;27 likes;-
43;carolin_carina_;Sein Sohn, Thomas Hartnagel, sieht ihm so ähnlich!! 😮;2022-02-24T18:20:05.000Z;4 likes;-
44;fenster.nach.israel;Lemberg liegt heute in der Ukraine 🇺🇦;2022-02-24T18:13:53.000Z;0;-
45;gutkeks;❤️;2022-02-24T18:13:14.000Z;0;-
46;anja_oblosb;Wenn ich bedenke, auf welch grausame Weise Fritz seine Verlobte verloren hat, finde ich es gut, dass er sich so schnell trösten konnte. Zumal ihn mit Elisabeth ja von vornherein etwas Besonderes verband, nämlich die Erinnerung an Sophie und die Trauer. 💔;2022-02-24T18:08:00.000Z;6 likes;-
47;manuela.mayr;😍😢;2022-02-24T18:06:21.000Z;0;-
48;k_in_der_aussicht;Lemberg- Nach der Information, dass Fritz da ins Lazarett kam, dachte ich nicht im entferntesten daran, dass die Stadt so aktuell mit neuem Krieg in Verbindung kommt. Gott stehe uns Menschen bei 🙏;2022-02-24T18:00:57.000Z;2 likes;-
49;fraensaeni_;❤️;2022-02-24T17:56:19.000Z;0;-
50;floribohm;Wer is Elisabeth?;2022-02-24T17:53:18.000Z;2 likes;-
51;txniy;@yvon.n.e @miiischyy „bekommen 4 Söhne“ und einer davon einfach unser Kunstlehrer in der 6.;2022-02-24T17:48:20.000Z;3 likes;-
52;anitawasmer;Wo genau liegt der Hof bei Ewattingen?;2022-02-24T17:28:30.000Z;2 likes;-
53;wartihermann;Als was war Fritz bei der Luftwaffe?;2022-02-24T17:20:06.000Z;0;-
54;anfangsgedanke;Gänsehaut - Beitrag für Beitrag! 🧡;2022-02-24T17:04:51.000Z;7 likes;-
55;laura.davidoff;Man hat die vergangenen Monate immer wieder mal vergessen dass die alles Wirklichkeit und Realität war. Zu sehen wie die Angehörigen der Geschwister weitergemacht und gelebt haben ist schön und traurig zugleich zu lesen🖤;2022-02-24T16:58:38.000Z;10 likes;-
56;fromp_withlove;Er wurde von allem am ähnlichsten vom Aussehen her gecarstet.;2022-02-24T16:56:33.000Z;1 like;-
57;hxn.naa;Sehr interessant, was mit Fritz passiert ist!;2022-02-24T16:53:45.000Z;2 likes;-
58;atelier_augenstern;Wie das hier alles noch viel unerträglicher wird angesichts der aktuellen Nachrichten. Aber es ist gleichzeitig schön zu sehen, dass er trotz der schrecklichen Erlebnisse ein erfülltes Leben haben konnte, wie es scheint.;2022-02-24T16:49:56.000Z;4 likes;-
59;claudi_nuen;Wow, danke für den Beitrag ❤️;2022-02-24T16:49:22.000Z;0;-
60;_anne_hess_;❤️;2022-02-24T16:47:00.000Z;0;-
61;my.kind.of.pics;Elisabeth ist 100 Jahre alt geworden?!?! Das ist so eine lange Zeit, diese dunklen Erinnerungen ertragen zu müssen 😢;2022-02-24T16:43:10.000Z;6 likes;-
62;romyk_superstar;❤️;2022-02-24T16:41:22.000Z;0;-
63;katrinpfeifer1979;Ich weine bittere Tränen: während wir uns an die Schicksale dieser Held:innen erinnern, sterben in Europa gerade Menschen, weil an Autokrat seine Macht demonstrieren möchte… #niemalswieder?!;2022-02-24T16:38:25.000Z;78 likes;-
64;michelle_sonnenschein;Mega interessant, dass auch die Geschichten der überlebenden Protagonisten erzählt werden und sie sich weiter für ihre Überzeugung einsetzen. Toll ist auch, dass die Hinterbliebenen die Erinnerungen wach halten und unterstützen. Mein Lehrer war der Sohn von den beiden und hat sich für eine Schule entschieden, deren Namensträgerin in Hamburg für die weiße Rose tätig war. Dadurch haben wir uns in der Schule auch viel mit dem Thema beschäftigt und Zeitzeugen zu Besuch gehabt;2022-02-24T16:37:23.000Z;41 likes;-
65;toni.labomba;Wer ist Elisabeth;2022-02-24T16:32:12.000Z;2 likes;-
66;jenniferfeargus;Traurig;2022-02-24T16:19:57.000Z;2 likes;-
67;troostplaetzchen;❤️🌈;2022-02-24T16:13:20.000Z;0;-
68;gunnarerbe1;"Dieser ""Wechsel"" von Sophie zu Elisabeth. Hm. Vllt ist das nur in der besonderen Situation der Umstände nachvollziehbar 👀";2022-02-24T16:09:09.000Z;71 likes;-
69;jenniekilian;Elisabeth wurde 100 Jahre alt... Mir kam da direkt der Gedanke, dass sie ein Leben für Sophie mit gelebt hat ❤️;2022-02-24T16:06:53.000Z;769 likes;-
70;rot5555555;🕯;2022-02-24T16:04:46.000Z;1 like;-
71;rumsfallera;Frau Hartnagel war nach meiner Oma und meiner Mama die wohl bewegendste Zeitzeugin, die ich erlebt habe. Vor ein paar Tagen war Ktieg so fern...;2022-02-24T16:03:24.000Z;14 likes;-
72;jessicaludorf;Ist Elisabeth auf diesem Kanal (die von diesem Projekt) irgendwo zu sehen? Habe sie nicht mehr im Kopf 😬;2022-02-24T15:57:50.000Z;2 likes;-
73;katireima_267;sollte es nicht ein insta live mit der sophie darstellerin geben?;2022-02-24T15:56:42.000Z;5 likes;-
74;jawiesodasdenn;Ich weiß, die Frage ist privat, aber warum haben inge und otl erst so spät geheiratet???;2022-02-24T15:56:36.000Z;2 likes;-
