Link: ;https://www.instagram.com/p/CWxmpy3sIFw/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;der_rowde;@immerwiedergern;2021-11-30T21:30:20.000Z;0;-
2;masson4733;"Vielleicht musste er so ""positiv"" formulieren, sonst hätte man ihm womöglich noch Wehrkraftzersetzung oder so etwas vorgeworfen. Das OKH hat sicher mitgelesen, kann ich mir vorstellen.";2021-11-29T09:45:00.000Z;0;-
3;mel85hllng;Ist das ein original-Zeitungsbericht von damals?;2021-11-29T04:56:59.000Z;4 likes;-
3-1;ichbinsophiescholl;"@mel85hllng #TeamSoffer Richtig, es handelt sich um den ""Völkischen Beobachter"", ein Propagandablatt des nationalsozialistischen Regimes.";2021-11-29T07:21:32.000Z;5 likes;3
4;janiz1994;"@ichbinsophiescholl,
Grundsätzlich finde ich, Geschichte auf eine moderne Art und Weise zu erzählen ist eine gute Idee, vor allem, wenn man in Betracht zieht, dass es immer weniger Interesse an Büchern gibt :)
Jedoch habe ich eine Sache zu kritisieren: Es gibt Personen denen vielleicht nicht sofort klar ist, dass nicht alles was hochgeladen wird genauso passiert ist bzw. soeben in diesem Moment geschieht. Auf dem Profil gibt es Beiträge die zu kritisieren wären, da sie nicht relevante und nicht mit Sicherheit wahre Bilder von Sophie Scholl und weiteren Beteiligten rüberbringen.
Um dies zu verbessern könnte man öfters Quellen angeben, den Followern klarmachen, dass es eine Mischung aus Fiktion und Wahrheit ist und irrelevante Information lieber auslassen. ^^
Man muss aber sagen es ist eine kreative Angehens Weise der Jugend von heute die Geschichte von gestern Nahezubringen 😊";2021-11-28T09:41:18.000Z;3 likes;-
5;netterholger;Immerhin ein Lebenszeichen als gar nichts Sophie;2021-11-28T01:06:34.000Z;2 likes;-
5-1;ichbinsophiescholl;@hr.meinig Es zerstreut meine Sorgen ein wenig, und doch wird mein Herz nicht leichter...;2021-11-28T10:58:46.000Z;2 likes;5
6;hannelorebehrends;Wie schön, dass die Soldaten soviel Kartoffeln bekommen, leider haben sie die Kartoffeln der russischen Bevölkerung weggenommen, sie müssen jetzt fürchterlich hungern! Wie siehst du das, Sophie?;2021-11-27T16:33:40.000Z;4 likes;-
6-1;ichbinsophiescholl;@hannelorebehrends Aus diesem Krieg geht niemand als Gewinner heraus... Er muss unbedingt aufhören!;2021-11-28T10:51:32.000Z;4 likes;6
6-2;changed.by.popular.demand;"@ichbinsophiescholl @hannelorebehrends
„Glaubt nicht der nationalsozialistischen Propaganda, die Euch den Bolschewistenschreck in die Glieder gejagt hat! Glaubt nicht, daß Deutschlands Heil mit dem Sieg des Nationalsozialismus auf Gedeih und Verderben verbunden sei! Ein Verbrechertum kann keinen deutschen Sieg erringen. Trennt Euch rechtzeitig von allem, was mit dem Nationalsozialismus zusammenhängt! Nachher wird ein schreckliches, aber gerechtes Gericht kommen über die, so sich feig und unentschlossen verborgen hielten.“

V. Flugblatt der Weißen Rose.

Bisschen viel Mitleid für die deutschen Soldaten hast du da, @ichbinsophiescholl.";2021-11-28T23:27:27.000Z;6 likes;6
6-3;changed.by.popular.demand;"@ichbinsophiescholl „Als Vernichtungskrieg bezeichnet man die Kriegsstrategie, einen anderen Staat nicht nur anzugreifen und zu erobern, sondern auch seine Bevölkerung zu ermorden oder zu vertreiben. Auf Grundlage der rassenbiologisch begründeten nationalsozialistischen Ideologie wollte die NS-Führung die slawischen Völker „vernichten“, um in Osteuropa neuen „Lebensraum“ für „arische Siedler“ zu schaffen. Der Angriff auf Polen und besonders der zwei Jahre später begonnene deutsch-sowjetische Krieg (zwischen 1941 und 1945) hatten ein kaum vorstellbares Ausmaß an Brutalität und eine sehr hohe Zahl von Kriegstoten zur Folge.“

https://segu-geschichte.de/vernichtungskrieg/";2021-11-28T23:30:11.000Z;4 likes;6
6-4;changed.by.popular.demand;"@ichbinsophiescholl „Die Stäbe in Berlin hatten damit gerechnet, dass die über drei Millionen Mann starke Armee über reguläre Nachschubwege nicht verpflegt werden könnte. Deshalb sollten sie sich aus dem Land ernähren. Unter dem kalten Kalkül, dass Nahrung in der Sowjetunion nur in begrenztem Umfang zur Verfügung stand, hieß es in einer Staatssekretärbesprechung im Mai 1941, dass ""[…] zweifellos zig Millionen Menschen verhungern, wenn von uns das für uns Notwendige aus dem Lande herausgeholt wird"".“

https://m.bpb.de/politik/hintergrund-aktuell/229431/ueberfall-auf-die-sowjetunion";2021-11-28T23:32:00.000Z;3 likes;6
