Link: ;https://www.instagram.com/p/CaSRa0DMu8x/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;franzi_kathi2000;😢😢😢 So traurig und unfassbar.😢 Danke Sophie🙏🖤Für alles... Wir werden dich/euch nie vergessen. Ruhe in Frieden🕯🕊🙏;2022-03-05T21:13:16.000Z;0;-
2;ralfmarkushoffmann;Vielen lieben Dank an euch für dieses tolle Projekt hier. Richtig cool. Ich habe jeden Post von Anfang bis zum Schluss verfolgt und bin begeistert. Es war spannend und ergreifend über so einen langen Zeitraum wie in einer „Zeitreise“ quasi „live und mitten drin“ die Geschehnisse aus einer geradezu persönlichen Perspektive miterleben zu können. Schritt für Schritt, detailverliebt, ebenso aufklärend wie emotional, super umgesetzt von allen Protagonisten, insbesondere Sophie Scholl/Luna Wedler. Weiße Rose forever! Und es macht Lust auf mehr… Vielleicht gibt’s ja nochmal ein ähnliches Projekt zu anderen Persönlichkeiten…?;2022-03-01T13:33:56.000Z;0;-
3;473.clara;@ichbinsophiescholl findet man auch etwas in den Dokumenten zur Hinrichtung auch den Namen von dem der Sophie und die anderen hingerichtet hat? Hat sich diese Person auch Mal über Sophie, Hans und Christoph geäußert?;2022-02-28T20:25:22.000Z;0;-
4;rubyandgigi;@travelletty @letty.runs @runningpodcast Dieser Account, schau mal wie sehr diese jungen Leute versucht haben, gegen Hitler und die Nazis zu kämpfen.;2022-02-26T23:06:05.000Z;0;-
5;margit75557;🖤;2022-02-26T10:38:28.000Z;0;-
6;maeryki;Liebe Sophie, ich bin so tief berührt von deinem Mut, deiner Hoffnung, deiner Entschlossenheit und deinem Kampf für das Leben, die Liebe und Menschlichkeit. Mögest du niemals vergessen sein. Ich werde dich in meinem Herzen tragen und Kraft schöpfen aus dem Vorbild, das du uns allen bist. ♥️🕊 Danke @ichbinsophiescholl für diese wertvolle Arbeit, die Geschichte tief emotional erfahrbar macht. Ich will vertrauen, dass Sophie für mich eine Ressource geworden ist, die mich dabei unterstützt, für das einzustehen, was mir von Herzen wichtig ist. Besonders dann, wenn ich selbst grad nicht so viel Kraft habe. 🙏🏾;2022-02-26T05:27:46.000Z;0;-
7;zwieselbrau;Ich wünschte, ich wäre auch so mutig👏;2022-02-26T05:08:05.000Z;0;-
8;zezeruma78;Super projekt 👏👏es ist echt alles so traurig..so jung alle und klügere Köpfe schade..;2022-02-26T01:10:06.000Z;0;-
9;aljoschacrema;Ich vermiss dich jetzt schon 😢;2022-02-25T23:46:25.000Z;0;-
10;poppyinred;❤️;2022-02-25T19:20:36.000Z;0;-
11;ana.lichtwer;❤️;2022-02-25T07:21:04.000Z;0;-
12;sonnjasi;😢🙏🙏💖;2022-02-25T06:08:23.000Z;0;-
13;sarah_2100;M;2022-02-25T06:05:17.000Z;0;-
14;enusve;😢❤️;2022-02-25T04:46:53.000Z;0;-
15;lilllekin;Danke für dieses Projekt 🙏 es hat den Anschein, dass die Aktualität dieser Dinge nicht vergeht!;2022-02-24T19:18:26.000Z;0;-
16;claudia_reischl_muehlboeck;@ichbinsophiescholl wie wurden die Geschwister hingerichtet?;2022-02-24T16:02:03.000Z;0;-
17;schmuddel_n;❤️;2022-02-24T15:46:39.000Z;0;-
18;emalupp;Dank an den SWR und BR und das gesamte Team für dieses ambitionierte Projekt in dieser modernen Form. Damit habt ihr auch gerade die jüngere Generation erreicht. Diese Vorkommnisse dürfen niemals in Vergessenheit geraten und ihr habt mit diesem Format viel dazu beigetragen die Erinnerung an diese wunderbaren und mutigen Menschen wieder zu beleben. So vielen Menschen ist das inzwischen völlig egal und sie beschäftigen sich nicht mehr mit diesem Teil unserer Geschichte. Aber mit Blick auf das Monster im Osten, das gerade mutwillig einen Krieg vom Zaun bricht, sieht man wie wichtig es bleibt, ein Bewusstsein dafür zu behalten.;2022-02-24T14:44:59.000Z;0;-
19;connerl65;😢😢❤️;2022-02-24T14:04:36.000Z;0;-
20;eweha63;😢;2022-02-24T12:25:51.000Z;0;-
21;hj04_lev;Danke für dieses wegweisende Projekt. Die aktuell punktuell zu vernehmende Kritik ist unangemessen.;2022-02-24T11:29:24.000Z;0;-
