Link: ;https://www.instagram.com/p/CTVE1QSDrjB/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;booksofvalyria;Ich finde es wunderschön 😍;2021-09-26T20:12:04.000Z;1 like;-
2;herz.kopf_gefluester;"Wie ""echt"" ist Inge nachgestellt? Irgendwie ist sie (nicht die Darstellerin, sondern die Figur der Schwester) mir so unsympathisch 😂";2021-09-05T09:33:44.000Z;1 like;-
3;silkewagner82;Was für ein sehr schönes Kleid 😍😍😍;2021-09-05T08:48:22.000Z;1 like;-
4;nalan63;❤️;2021-09-05T04:41:41.000Z;0;-
5;tvseriesfestival;😍;2021-09-04T17:03:47.000Z;0;-
6;eishmybru;Woher stammt die Melodie?;2021-09-04T14:45:24.000Z;0;-
7;marcus.maier.39;Sehr schick;2021-09-04T06:30:20.000Z;1 like;-
8;millerhamburg1;So begeistert schaut sie aber nicht aus.;2021-09-04T04:12:36.000Z;0;-
9;jacinta_osses;Bella;2021-09-04T02:08:12.000Z;0;-
10;cazenovialakehouse;We remember you, Sophie!;2021-09-04T00:26:37.000Z;0;-
11;vervain1;Du siehst bezaubernd aus liebe Sophie 👌💕;2021-09-03T21:48:59.000Z;0;-
12;marysweetcherry;Das Kleid ist richtig schön 😍;2021-09-03T19:14:28.000Z;0;-
13;marysweetcherry;@nura.iib shufi ana kaman badhi fistana 😍;2021-09-03T19:14:08.000Z;1 like;-
13-1;nura.iib;@marysweetcherry huliuuu😍😍😍;2021-09-03T20:03:24.000Z;1 like;13
14;gesine.kleine_horst;Wow, selbstgenäht! Toll geworden;2021-09-03T18:22:53.000Z;0;-
15;nataliafell;Liebe Sophie das Kleid sieht super schön aus ❤️. Würde ich es bei dir gerne abkaufen;2021-09-03T18:10:58.000Z;1 like;-
16;anjamuller565;Sehr schön!!!;2021-09-03T16:49:19.000Z;0;-
17;straffinger;#ichbinsophiescholl schick schick...toll anzuschauen..sehr inspirierend 👗🥿👒;2021-09-03T16:30:44.000Z;0;-
18;crazygirl666__;"Wirklich schön und positiv mit den schönen bunten Mustern. Das kann ich mir vorstellen das manche/r da die Nase rümpft weil es kein graues einerlei ist sondern folkloristisch.
Aber provozieren geht immer 😃👀";2021-09-03T15:59:39.000Z;0;-
19;karl.friesland;Ein weißes Kleid im Kriege, mit den Mustern des Feindes? Nunja, ich denke, dass das nicht klug gewählt ist. Verstehen kann ich es durchaus aber eine gute Wahl ist es trotzdem nicht.;2021-09-03T14:28:32.000Z;1 like;-
20;ute2104;Fritz wird sich freuen, dass dir der Stoff so gut gefallen hat! 👗;2021-09-03T13:00:12.000Z;0;-
21;constanzesaam;Dass die Familie Scholl gerne Pakete von Fritz und Hans bekam ist schon ok, denn wäre kein Krieg, könnte man ja auch in die Länder reisen und dort ganz normal einkaufen. Ich gehe davon aus, die beiden haben dort die Sachen rechtmäßig gekauft und sie stammt nicht aus Plünderungen!;2021-09-03T12:49:07.000Z;0;-
21-1;michaela_mathy;"@constanzesaam träum weiter. Ukrainer waren für die Nazis ""Untermenschen"", also hätte Fritz das nach deutscher Auslegung ""legitime Recht"" ohne Bezahlung zu ""erwerben"".";2021-09-03T14:41:58.000Z;0;21
21-2;kathafuer;@constanzesaam Genau darum geht es doch! Es war eben Krieg und keine „normale“ Zeit, wo man frei herumreisen und Souvenirs einkaufen konnte!;2021-09-03T14:45:07.000Z;4 likes;21
21-3;heikegumz;"@constanzesaam Das Dt. Reich beutete auch die besetzten Länder im Westen (Frankreich, NL, Skandinavien etc) u.a. auch durch staatl. subventionierte Massen-Einkäufe der Soldaten aus. Der Ostfeldzug zielte aber darüber hinaus (""rassenideologisch"" begründet) von Beginn an nicht nur auf vollständige Plünderung, sondern auch Vernichtung der Bevölkerung und ihrer Lebensgrundlagen ab.";2021-09-03T15:54:30.000Z;3 likes;21
21-4;heikegumz;"@constanzesaam Zwei Zitate dazu aus Briefen des realen Fritz Hartnagel an Sophie Scholl:
3.7.42 ""Auch heute sind wieder viele am verhungern, vor allem in den Städten. Die Straßen hier sind voll von wandernden Familien, die ihre letzten Bekleidungsstücke, die sie noch besitzen, gegen Mehl eintauschen"" (Scholl/Hartnagel (2008). Damit wir uns nicht verlieren. Briefwechsel 1937- 1943, S. 374).
18.2.42 ""Die Not der Bevölkerung in dieser unfruchtbaren Gegend ist furchtbar. Fast der ganze Viehbestand ist schon abgeschlachtet, die wenigen Gemüsegärten sind ausgeplündert, zur Ernährung der [deutschen] Soldaten."" (ebd. S. 393)";2021-09-03T15:58:42.000Z;4 likes;21
22;ines_s_2;👍👍👍;2021-09-03T11:02:08.000Z;0;-
23;js_6092;👍;2021-09-03T10:47:22.000Z;0;-
24;waitiesandy;Chic...ich würde so gerne nähen können.;2021-09-03T10:24:01.000Z;0;-
24-1;lindwurmallee;@waitiesandy Volkshochschulen bieten regelmäßig kurse an.;2022-02-23T23:12:14.000Z;0;24
25;sadisticthriller;Das Kleid ist wirklich wunderbar geworden! Es steht dir fantastisch❤️;2021-09-03T10:12:40.000Z;0;-
26;emsworld_____;Es ist wunderschön 😍;2021-09-03T10:05:55.000Z;0;-
27;christine.binggeli;👏;2021-09-03T09:54:39.000Z;0;-
28;koala_spirit;Oh wow, das ist aber toll geworden ❤️;2021-09-03T09:20:48.000Z;0;-
29;kerstin.dresden;Toll gemacht 👏🏻;2021-09-03T08:34:45.000Z;0;-
30;lenamoow;Warum ist Inge sauer?;2021-09-03T07:51:43.000Z;0;-
31;bettine1960;Ich glaube nicht, dass die Darstellung von Inge Scholl dieser gerecht wird. Soweit ich es bisher wusste, haben sich die Schwestern - wie überhaupt alle 5 Schollgeschwister - ausnehmend gut verstanden. Warum soll Inge so streng und gouvernantenhaft gewesen sein? Und dass sie immer nur bügelnd, putzend oder kochend gezeigt wird, das wird ihr schon gar nicht gerecht! Sie arbeitete im Steuerbüro des Vaters und hatte bestimmt, als der im Gefängnis war, für Hausarbeit gar keine Zeit... Auch nach dem Krieg war sie nie eine typische Hausfrau, sondern gründete eine Volkshochschule und sorgte dafür, dass Sophie Scholl so bekannt wurde, wie sie es heute ist. Sie muss eine interessante Frau gewesen sein.;2021-09-03T07:30:45.000Z;32 likes;-
31-1;michaela_mathy;@bettine1960 ich warte auf die Antwort des #TeamSoffer;2021-09-03T14:32:30.000Z;7 likes;31
31-2;maja_furiaroja;@bettine1960 Danke für diesen Kommentar. Sehe ich genauso! ❤️;2021-09-03T19:23:55.000Z;2 likes;31
32;glaubichnich;Das wird hier immer flacher…🙈;2021-09-03T07:29:26.000Z;2 likes;-
33;ynonym;"Absurd! DAS. IST. SO. NIEMALS. PASSIERT. !!! Warum erfindet ihr immer mehr dazu? Sie erhielt kein Paket aus Russland. Und niemals hätte Sophie es gewagt so auf die Straße oder gar in die Fabrik zu gehen! Das hätte ihr wohl sonst schon viel eher Haft eingebracht oder gar das Leben gekostet. Ist euch die Wahrheit nicht ""aufregend"" genug? Oder warum dieses ständige dazu erfinden? Verstehe ich echt nicht. Es verzerrt die Geschichte und verwirrt extrem.";2021-09-03T07:28:04.000Z;43 likes;-
33-1;koro_neko_san;@ynonym selbst wenn es so wäre, wäre die Geschichte dahinter auch interessant ist ja nicht so, dass die Nazis und die Russische Bevölkerung Krieg geführt haben mit vielen Zivilopfern, weil das Ziel die komplette Vernichtung war … das Hans usw dort mit den Russen Lieder gesungen haben, dass ich nicht lache … bestimmt haben die das gemacht…🙃;2021-09-04T19:30:18.000Z;0;33
33-2;fraunora.h;@koro_neko_san Das haben sie tatsächlich gemacht. Dafür gibt es auch Belege. Alex Schmorell, mit dem Hans unterwegs war, hatte russische Wurzeln. Das Kleid allerdings ist eine absurde Erfindung und zeigt leider, das hier wieder mal Kontexte der Zeit ignoriert wurden.;2021-09-05T18:12:41.000Z;3 likes;33
33-3;reading_nelone;@ynonym Ich mein, dass ist insgesamt eine sehr schone Idee mit dem Instagram-Kanal von Sophie Scholl, von daher würde ich mich jetzt nicht wegen einem Kleid so aufregen, das is ein bisschen übertrieben, meinst du nicht? Man kann das bestimmt auch netter vormulieren, auch wenn du bestimmt recht hast, aber dann bekommt man von #ichbinsophiescholl vielleicht auch eine Antword:);2021-10-09T08:22:54.000Z;0;33
