Link: ;https://www.instagram.com/p/CaUNGGOMsJe/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;madleina.privat;Ich wusste gar nicht dass er aus der Schweiz kommt und auch noch aus Chur.Ich gehe in Chur zur Schule und wir haben den Film zur weissen Rose angeschaut.Unsere Lehrerin hat uns allerlei erzählt aber sie weiss wahrscheinlich auch nicht dass der Professor aus ihrem Städtchen kommt.Es wird nirgends erwähnt hier bei uns. Finde ich ein wenig erschreckend;2022-02-25T05:55:38.000Z;1 like;-
2;barisca_mvb;😢;2022-02-25T04:06:22.000Z;0;-
3;juleskleinefreuden;❤️;2022-02-24T13:11:02.000Z;0;-
4;tombrauni;Bei den aktuellen Umständen muss man sich leider fragen, was wir aus der Geschichte gelernt haben 😢;2022-02-24T10:49:24.000Z;1 like;-
5;kath.sim;Warum konnten die Schriften vom Prof.Huber aus der Haftzeit erhalten bleiben? Warum haben die Nazis sie nicht einfach vernichtet?;2022-02-24T08:08:29.000Z;0;-
6;annkatrin196;Hinterlassene Spuren: Eine TV-Dokumentation neulich zeigte Hubers Verdienst um die „Entstehung dessen, was man heute als Volksmusik kennt. Es wird deutlich, in welchem Umfang die drei Gesangslehrer Kiem, Huber und Fanderl die vermeintlich uralte bayerische Volksmusiktradition selbst erfunden haben...Sie archivierten die alten Volkslieder nicht als unantastbare Hinterlassenschaft vergangener Zeiten. Vielmehr hielten sie sie lebendig, texteten und komponierten das, was als altehrwürdig galt, einfach um.“ (BR);2022-02-24T08:04:03.000Z;3 likes;-
7;blabuschsteneberg;Ich finde dieses Projekt so berührend! Vielen Dank. Am Morgen des Einmarsches Russlands in der Ukraine muss uns allen bewusst sein, dass keine Diktatur jeh etwas Gutes bringen wird und wir dringend aus unserer Geschichte lernen müssen.;2022-02-24T06:35:47.000Z;9 likes;-
8;stefanesser8315;Möge er in Frieden ruhen und sein Wirken nicht verblassen. 👏😢🙏😔;2022-02-24T02:31:33.000Z;3 likes;-
9;firehorsetaurus;🕯🙏🏻🕯;2022-02-23T21:25:43.000Z;0;-
10;rot5555555;🕯;2022-02-23T21:25:32.000Z;0;-
11;_wuttge_;@churtourismus;2022-02-23T20:16:20.000Z;0;-
12;michellejessie01;Wurde der Professor-Huber-Platz in München nach ihm benannt?🤭;2022-02-23T19:01:13.000Z;2 likes;-
13;leale_st;Weiß man etwas über die genauen Verhörmethoden? Wurden sie gefoltert?;2022-02-23T18:45:40.000Z;0;-
14;jules_blaulichtherz;Meine Großtante und meine Omi erzählten mir eines Abends, dass meine Urgroßeltern ebenfalls im Widerstand waren. Mein Großtante lag im Kinderwagen unter den Flugblättern, meine Omi war zu diesem Zeitpunkt noch nicht geboren. Leider sind es nicht viel Informationen die erfahren konnte. Mein Großtante erzählte es mir in Kontext zur Flüchtlingshilfe. Ich hatte ehrenamtlich in einer Unterkunft geholfen. Meine Großtante war sehr speziell, so war ich sehr überrascht, dass sie sagte, dass sie sehr stolz auf mich ist. Sie erzählte mir von der Flucht und den Flugblättern. Ich bin sehr stolz auf meine Familiengeschichte 🤍;2022-02-23T18:12:43.000Z;28 likes;-
15;yestyna;Wieso wurde er hingerichtet? Bzw wieso wurde er überhaupt verhaftet?;2022-02-23T18:07:05.000Z;6 likes;-
16;nyaguldberg;🤍;2022-02-23T16:21:53.000Z;0;-
17;susianne_;😢;2022-02-23T16:13:41.000Z;0;-
18;mchen_12345;Sehr bewegend🙌 alles.Klasse gemacht .Danke;2022-02-23T16:00:54.000Z;0;-
19;troostplaetzchen;🖤;2022-02-23T15:56:21.000Z;0;-
20;evasussemaus;Das ist/war so traurig und man nichts tun dagegen;2022-02-23T15:47:33.000Z;0;-
21;ophidia81;Hat es eigentlich irgendeine Reaktion auf die Hinrichtungen gegeben? Sophie dachte ja auch, ihr Tod würde andere aufrütteln, aber haben die Kommilitonen überhaupt davon erfahren?;2022-02-23T15:41:00.000Z;1 like;-
22;martina.koesling;🖤;2022-02-23T15:03:24.000Z;0;-
23;lll_n_i_n_a_lll;🖤;2022-02-23T14:32:54.000Z;0;-
24;christian.egger.sbg;Gab es eigentlich ein Begräbnis für Verurteilte bzw. Wann wurde das heutige Grab am Friedhof Perlacher Forst eingerichtet? Danke für dieses tolle Projekt!;2022-02-23T13:26:19.000Z;5 likes;-
25;_l.ssy_xx;Warum wurde bei Prof Kurt Huber so lange mit der Vollstreckung des Urteils gewartet und bei Sophie Scholl und den anderen nicht?🖤;2022-02-23T13:19:12.000Z;74 likes;-
26;_anne_hess_;❤️;2022-02-23T13:08:57.000Z;0;-
27;juliannelegerer;❤️;2022-02-23T13:05:59.000Z;0;-
28;_sturmstina_;🤍🕊;2022-02-23T13:02:38.000Z;1 like;-
29;jennysternle;Wurde er ebenso hingerichtet, wie die Scholls oder hatte er eine andere Todesstrafe?;2022-02-23T13:00:53.000Z;0;-
30;mmenke94;Vielen, vielen Dank für dieses tolle Projekt. Ich bin selbst angehender Geschichtslehrer und habe beim Zusehen immer wieder überlegt, dass so ein Projekt sicher einen sehr lebensweltbezogenen Zugang zum Thema für junge Menschen bieten kann. Obwohl so eine Narration, wie ihr sie geschaffen habt, einige Gefahren in der absoluten Wahrnehmung bieten, hatte ich das Gefühl, dass ihr vieles trotzdem bedeutungsoffen gelassen habt und eine sorgfältige Recherche betrieben habt, Hut ab! 😊 Gleichzeitig konnte ich mich der Narration auch nicht verschließen und habe auch ein Jahr täglich mitgefühlt, eine tolle Erfahrung. Ihr wart mein Instagram Kanal Nummer eins! Ich würde mich wirklich freuen, in Zukunft mehr solche Projekte von euch zu sehen zu anderen Themen. Widerstand in der DDR z.B. oder mal etwas ganz anderes wie ein antik römisches Spiel vor dem Ausbruch des Vesuvs oder ähnliches. 🤔 Nun bleibt mir nur noch zu sagen: Tausend Dank für die Arbeit und dieses tolle Projekt!!!! 😁;2022-02-23T12:52:26.000Z;13 likes;-
31;fab_vk;Wie genau sind sie auf seine Spur gekommen? Haben die anderen ihn verraten?;2022-02-23T12:45:06.000Z;1 like;-
32;sarahs.farben;Wow das Gedicht berührt mich sehr. 😢;2022-02-23T12:40:14.000Z;2 likes;-
33;bas_lnd;❤️;2022-02-23T12:34:07.000Z;1 like;-
34;jenniferfeargus;😢;2022-02-23T12:29:02.000Z;1 like;-
35;styrrr;"Ein wahrlich tolles Projekt… und gleichwohl unglaublich bewegend die Geschwister Scholl und die weiße Rose noch einmal zu bis zu diesem tragischen Ende zu verfolgen!
Und trotz allem treibt es mir bis heute immer wieder die Tränen in die Augen, wenn man sich bewusst macht welch abartige Verbrechen an Menschen begangen wurden ist…😢";2022-02-23T12:24:44.000Z;0;-
