Link: ;https://www.instagram.com/p/CUSE4T3jiJx/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;devina.dra;Ja das wäre es Sophie… aber das wird noch sehr lange dauern.;2021-10-19T20:41:32.000Z;1 like;-
2;niklxs.440;schlecht;2021-10-06T08:55:30.000Z;0;-
3;ichbinsophiescholl;#TeamSoffer Wir freuen uns stets, wenn unter unseren Beiträgen ein Austausch stattfindet und diskutiert wird. Hierbei bitten wir jedoch darum, fair, konstruktiv und sachlich Meinungen auszutauschen und sich dabei nicht auf eine persönliche oder herablassende Ebene zu begeben. Weiterhin gilt: Die heutige Situation mit der Hitler-Diktatur zu vergleichen ist unangebracht. Solche Aussagen widersprechen nicht nur jeglichen Fakten, sondern sind auch respektlos den damaligen Opfern gegenüber. Bei Verstößen gegen unsere Netiquette behalten wir uns vor, themenferne Diskussionen und Kommentare zu entfernen. Das beinhaltet insbesondere auch Falschinformationen.;2021-09-30T08:37:50.000Z;17 likes;-
4;frank_deadman;Habe diesen Beitrag gestern gesehen ... Bin um 17:30 Uhr noch ins Wahllokal. Musste mega an Sophie Scholl denken auf dem Rückweg.... Hatte irgendwie so ein warmes Gefühl im Bauch dass ich gerade das richtige getan habe :-);2021-09-28T02:12:45.000Z;1 like;-
5;netterholger;Ja, das wäre schön Sophie, das kommt auch in einigen Jahren, aber das wirst du leider nicht mehr erleben. Ach übrigens,.......ab und zu rauche ich auch mal.;2021-09-27T08:57:19.000Z;0;-
6;hemoth_bowden;Ah warum ist die Zigarette unten organge😟 das gab es damals noch nicht 😬;2021-09-27T06:09:35.000Z;1 like;-
6-1;photography_by_ben21;@hemoth_bowden 🤦‍♂️;2021-09-27T12:13:34.000Z;0;6
7;ansgarwfl;Zum Glück ist das heute bei uns der Fall aber nicht auf der ganzen Welt;2021-09-27T04:49:43.000Z;0;-
8;sira_lovely;"Schlauer Schachzug das heute zu posten ;)";2021-09-27T02:49:09.000Z;0;-
9;wolfwarncke;Dazu muss man wissen, dass vor 50, 70 oder 80 Jahren noch erheblich mehr Menschen geraucht haben … Rauchen galt - anders als heute - sehr vielen, älteren wie jungen - als ein Ausdruck von Gemütlichkeit und Freiheit! 🍀WW;2021-09-26T22:10:38.000Z;0;-
10;gwen_gloeckchen;Es wird eine Zeit geben, in der Menschenrechte GROSS geschrieben werden und man seine eigenen Meinung laut aussprechen darf. Man darf wählen und die Zukunft seines Landes mitgestalten. Eines Tages, Sophie... Und eines Tages wird auch jedes Kind eure Namen kennen... 🥲 Hab euch sehr lieb!;2021-09-26T20:51:20.000Z;0;-
11;fellmerclaudia;❤️;2021-09-26T20:00:31.000Z;0;-
12;joopdejong280753;I am impressed...;2021-09-26T18:45:56.000Z;0;-
13;melanieguertler;Wie wichtig, was du schreibst... zu jeder Zeit 🙏;2021-09-26T18:44:03.000Z;1 like;-
