Link: ;https://www.instagram.com/p/CQJEXJmqqTg/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;ma.kuppe;Omg eine zigarette! Vorbildfunktion verfehlt! Histroischer Kontext ist egal. Unsere kinder (#sarcasm);2021-06-27T01:08:25.000Z;10 likes;-
2;birkerholger;Ein Handkurbelgerät sieht anders aus.😁;2021-06-19T21:41:14.000Z;1 like;-
3;anneheit;@anna_rmr @caemilla535;2021-06-18T09:40:12.000Z;0;-
4;roshanak.razazi;😍😍😍 interesting;2021-06-17T18:22:58.000Z;0;-
5;stier1967;😊😊😊😊👏👏👏👏;2021-06-17T00:26:11.000Z;0;-
6;katharinaschmieder;@aussiedlerarchiv 😃;2021-06-16T21:35:30.000Z;0;-
7;_aa_ro_n_;Interessant..;2021-06-16T20:10:05.000Z;0;-
8;katharina.helling;Den Text zur aktuellen Story hat aber eher jmd geschrieben, der nicht Mediziner ist bzw selten was mit Blut zu tun hat, oder? 😬;2021-06-16T18:50:25.000Z;1 like;-
9;narzissus32;Liebe Sophie, eine Frage: Gibt es in irgendeinem Museum oder Archiv noch Originale eurer Flugblätter?;2021-06-16T17:31:28.000Z;2 likes;-
10;hauptstadtlady50;Wie interessant 👏 liebe Sophie. Wie gut, dass es später Kopierer gibt. Wünsche dir einen wunderbaren und gesunden Mittwoch Nachmittag 🙋🌞😍.;2021-06-16T13:06:04.000Z;1 like;-
10-1;evasonnenschein;@hauptstadtlady50 ❤️;2021-06-16T22:05:10.000Z;1 like;10
11;gabielpunkt;Unfassbar - wenn man sich vorstellt, wie schnell man heute Tausende Seiten einfach ausdrucken kann! Ich fürchte aber, wenn heutzutage jeder täglich ein Flugblatt, das zur Änderung von Missständen aufruft, im Briefkasten finden würde, bliebe der gewünschte Effekt trotzdem aus. Es ist sehr schwer, die Massen für eine gute Sache in Bewegung zu setzen. Umso mehr Respekt für all die, die es trotzdem versuchen - auch gegen Widerstände. Und erst recht haben die Mitglieder der weißen Rose meine Hochachtung, weil sie sich engagiert haben, obwohl sie genau wussten, dass sie sich damit in Lebensgefahr begeben. Chapeau!!;2021-06-16T13:04:26.000Z;5 likes;-
12;thelilfee;oha wie kompliziert hahah;2021-06-16T12:58:00.000Z;0;-
13;kuesten_hilli;Wie wunderbar, dass Du uns auf dieser (allumfassenden) Zeitreise mitnimmst!❤️;2021-06-16T11:33:37.000Z;2 likes;-
14;laura_phyllis;Jetzt wo ich süchtig nach Sophie Scholls Insta bin, hab ich Lust auf ein Anne Frank Insta 🤔 das wär auch nice 🤔;2021-06-16T11:16:05.000Z;2 likes;-
