Link: ;https://www.instagram.com/p/COvMLLpn5pI/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;pfeilerpascal;Menschen SIND biologisch gesehen Tiere!;2021-08-03T14:22:23.000Z;2 likes;-
2;the_bull_05;I'm a horse;2021-05-28T12:57:33.000Z;1 like;-
3;plasa_gemeinschaft;"Der ""echte"" deutsche Arier - halt so ne typisch blasse Pferdefresse :D";2021-05-26T16:38:17.000Z;1 like;-
4;mone.melone22;Ist Langschädlichkeit nicht gleichzusetzen mit Engstirnigkeit??;2021-05-22T18:48:34.000Z;3 likes;-
5;christianlewarth;"Hier ist ein aktueller Artikel zum Themenkreis ""Langschädel"": https://www.derstandard.at/story/2000126643029/wer-ein-groesseres-gehirn-hat-gaehnt-laenger";2021-05-17T07:16:53.000Z;0;-
6;krokodilgemuese;Ökofaschismus ist übrigens menschenverachtende Propaganda. Also der neueste Post hier. Denkt irgendjemand über diese Beiträge hier nach oder ist das mehr so Flow of consciousnesses auf Drogen? (Frage ist ernstgemeint.);2021-05-16T08:32:23.000Z;1 like;-
7;familie_hess;Da muss / sollte jeder Mutter die Hutschnur platzen 🤬;2021-05-15T13:34:49.000Z;0;-
8;caro.elea_;Wenn der Account keine Reflexion der actuelen Situation ist;2021-05-14T15:14:26.000Z;1 like;-
9;sina.canela;"Gemeint ist wohl ""langschädlig"". Aber dafür ganz schön ""langzeitschädlich"" diese Annahmen von deinem Professor!";2021-05-14T12:26:07.000Z;1 like;-
10;laurabs16;"Laura im TV : ""Ich steh auf den nordischen Typ"" 😂😅 Ohjeeee @daisyskreation @opalchimera";2021-05-14T11:35:10.000Z;1 like;-
11;slimshadyvickie;@82hiro ist ein ganz cooler account;2021-05-14T08:08:17.000Z;0;-
12;tobi_3364;@ichbinsophiescholl Was ist mit Langschädlichkeit gemeint?;2021-05-14T06:26:22.000Z;0;-
13;tobi_3364;@ichbinsophiescholl Was ist mit Langschädlichkeit gemeint?;2021-05-14T06:26:05.000Z;0;-
14;giraffenohr;ja genau . Finde das auch nur noch komisch und irre. So einen Unfug kann ich nur noch ignorieren. Leider fallen immer noch zu viele auf diese Überhebliche Weltanschauung herein. Hoffentlich fallen zukünftige Generationen nicht noch einmal auf solch eine absolutistische schwarz / weiß bzw. gut/ böse Ideologie rein. Eine intakte Sozialgemeinschaft lebt von Grauzonen Toleranz und Wertschätzung für einander. Ich fürchte diese absolutistische Denkweise kann sich im nächsten Jahrhundert auf einer anderen , subtileren Ebene wiederholen🧐;2021-05-13T14:23:12.000Z;0;-
15;ellengarotti;Ja, lange schädlich! Das ist er.;2021-05-13T11:58:22.000Z;0;-
16;marionevaschulte;❤️;2021-05-13T10:55:53.000Z;0;-
17;emmaswanmorrison_marshell1;❤️verständlich ich finde es auch lächerlich;2021-05-13T09:26:28.000Z;0;-
18;m__artmann;Ich wusste gar nicht, dass Kant so maßgeblich am der Verbreitung rassistischer Wahrnehmung beteiligt ist. Dank dir Sophie und @alicehasters bin ich nun um diese Erkenntnis reicher.;2021-05-13T07:20:00.000Z;0;-
18-1;m__artmann;@mars_mediae SORRY falsch getagt: @alice_hakuro;2021-05-13T07:21:17.000Z;0;18
19;grueneheppenheim;Herzlichen Dank für das Verlinken unseres Accounts. Wir werden gerne folgen! #ichbinsophiescholl;2021-05-13T07:03:32.000Z;1 like;-
20;safari_mystique;So wie Hermi, Josi & Adi haha oder Hansi Maaßen mit seine kleine Brille und kleine Gehirn🤓;2021-05-13T04:54:51.000Z;1 like;-
21;ollo.hess;"Langschädlich, oder lang schädlich?
Dieses 1000 jährige Reich wird noch lange schädlich nachwirken.";2021-05-12T19:28:44.000Z;1 like;-
22;susideitenbach;Unfassbar, diese Gedanken😮Man fragt sich wirklich, wie man auf so etwas kommt😳;2021-05-12T19:25:27.000Z;0;-
23;hadrian1998;@waldgaenger98 nicht mehr lange und die alte ist Geschichte. Dann ist der Spaß hier endlich vorbei haha😂;2021-05-12T18:48:10.000Z;1 like;-
23-1;rehub98;@hadrian1998 Dann hat sichs ausgeschollt 😂;2021-05-13T09:37:24.000Z;1 like;23
24;johnny.rainbow.ete;Eben! Als ob lange Schädel irgendetwas aussagen würden... Ist Luigi etwa irgendwie besser als Mario? Nein, die können beide gleich gut Klempnern und Kart fahren!;2021-05-12T18:09:15.000Z;0;-
25;brezl1967;Geht mir genauso wie lauraaaa799. Ich freue mich auf jeden post. Das diverse Leute sich mit euch aufs eine Ebene stellen, weil sie gegen eine Impfung sind und sich mit Euch vergleichen ist ein affront an euch und euren Mut damals.;2021-05-12T15:55:32.000Z;1 like;-
26;sophetschal;Ich hab die Seite hier lustiger Weise genau an dem Tag entdeckt, an dem mir mein Sophie Scholl Referat zugeteilt wurde! Ein tolles Projekt, ich bin begeistert und werde es bestimmt erwähnen, damit meine KlassenkameradInnen euch auch verfolgen können!;2021-05-12T15:15:24.000Z;0;-
26-1;ichbinsophiescholl;@sophetschal #teamsoffer Wir wünschen dir viel Erfolg bei deinem Referat!;2021-05-12T18:50:01.000Z;2 likes;26
27;trillian42;"Ganz schön pfiffig, wie geschickt Ihr aus der ""Langschädeligkeit"" in dieser verqueren Rassenlehre ein ""langschädlich"" (deutbar als ""auf lange Sicht schädlich[e Theorie]"") gemacht habt. Habe sehr geschmunzelt. Und danke überhaupt für die tolle Idee mit dem Blog!";2021-05-12T13:03:26.000Z;1 like;-
28;senorpavon;@d.u.c.k.t.a.l.e.s 👍;2021-05-12T12:53:28.000Z;0;-
29;plathonia;Ich habe heute beim Frühstück K1 und K2 (9 und 7 Jahre alt) deine Story gezeigt und ihnen von dir, von Widerstand und von fehlender Meinungsfreiheit während des 2. Weltkriegs erzählt. Danke für dieses tolle Projekt! Es gibt uns tolle Möglichkeiten, den Kindern die Vergangenheit zu erklären und Verknüpfungen in die Gegenwart zu ermöglichen.;2021-05-12T12:51:30.000Z;47 likes;-
29-1;ichbinsophiescholl;@plathonia #teamsoffer Wie schön! Es ist so wichtig, über die Vergangenheit zu sprechen. Wir freuen uns sehr, dass wir ein Teil dieses Gesprächs sein durften und sind uns sicher, dass deine Kinder dir sehr dankbar sind. ♥️;2021-05-12T16:43:19.000Z;70 likes;29
30;drjfrohne;langschädlich war er ja, der Herrenmensch... langschädlig eher nicht;2021-05-12T12:45:52.000Z;0;-
31;diefreilichs;Ich weiß nicht ob ich bei den ganzen Kommentaren hier lachen oder weinen soll. Die Geschichte wiederholt sich 1 zu 1 und wieder schlafen alle.;2021-05-12T12:39:18.000Z;0;-
32;vanessa.barja;So sollte Instagram öfter genutzt werden 👏 @iittssmmee1509;2021-05-12T12:36:59.000Z;1 like;-
33;its.my.mind_;"Warte... setzten sie nicht damit diesen „nordischen Herrenmenschen“ mit Hunden gleich?
Nichts gegen Hunde, tolle Tiere, aber ich glaube das man jemanden weniger so bezeichnet hätte haben sollen 🤔";2021-05-12T12:32:15.000Z;0;-
34;saki.swissarms;Ist doch nur Werbung für einen Film wahrscheinlich 😉. Gut gemacht aber eben...;2021-05-12T12:28:25.000Z;0;-
35;ajla5.1;wow was eine tolle idee!🙌;2021-05-12T10:27:35.000Z;0;-
36;tessa.sh1;Toller Kontent👏;2021-05-12T10:26:58.000Z;0;-
37;elotterino;Können wir dich irgendwie unterstützen?;2021-05-12T10:21:50.000Z;1 like;-
38;o_reichi;Ich finde das Projekt sehr cool, allerdings frage ich mich.. Es soll die Geschichte von Sophie Scholl zeigen, als gäbe es damals schon Instagram. Aber irgendwie finde ich es seltsam das sie solche Ansichten auf Instagram teilt. In einem totalitärem Regime würde doch auch social Media überwacht werden.;2021-05-12T09:43:40.000Z;1 like;-
39;smalltalk201;Langschädeligkeit- das Wort habe ich noch nie gehört 🤷‍♀️ Deinen Würgereiz bezüglich absolutem Schwachsinn kann ich sehr gut nachvollziehen. Geht mir oft so, wenn ich in den (a)sozialen Medien unterwegs bin...;2021-05-12T08:53:00.000Z;0;-
40;ulikretzschmar;❤️großes Lob. Ich bin sehr gerührt.;2021-05-12T08:11:55.000Z;0;-
41;maxitaxitaximaxi;Einfach genial! Beste Idee seit Social Media 👏;2021-05-12T07:29:34.000Z;0;-
42;jasminmye;"Ich kann Deine Enttäuschung über Deine ersten Bio Vorlesungen total verstehen. Mir wäre es auch so gegangen!

Viele Grüße eines Bio-„Ersti“s im Jahr 2000 - auch an der LMU";2021-05-12T07:20:55.000Z;1 like;-
43;silke9218;👏👏👏;2021-05-12T07:15:21.000Z;1 like;-
44;smartsue3;Es ist so klasse, dass du aus deinem Studienleben so realistisch erzählst. Du hast meinen großen Respekt!;2021-05-12T07:12:05.000Z;1 like;-
45;adri.s.autorin;Mir sagt das nur: das Pferd ist arischer als alle anderen! Oder;2021-05-12T06:54:56.000Z;1 like;-
46;100_gram_insta;👏❤️;2021-05-12T06:39:54.000Z;0;-
47;norabernd_cucina_d_amore;Verrückt, was jungen Leuten als „Wissen“ vermittelt wurde... das sollten sich Querdenker und „Fake News“-Rufer mal überlegen, bevor sie mich als Demokraten mit ihrem Gejammer belästigen.;2021-05-12T06:16:53.000Z;0;-
48;uschi_hs;"Ein ganz tolles Projekt, spannend es mitverfolgen zu können... danke! Leider gibt es auch in unserer Zeit viele menschenverachtende/ diskriminierende Strömungen die einfach so mitschwimmen und immer stärker werden, an die man sich aber scheinbar schon fast gewöhnt und irgendwie abgestumpft ohne das es zu einem größeren Aufschrei kommt... es bräuchte auch in unserer Zeit mehr ""Sophie Scholl""";2021-05-12T06:04:26.000Z;0;-
49;anditaglieber;Treffendes Wortspiel. Die Langschädligen sind hier wahrlich die Langschädlichen...;2021-05-12T05:34:55.000Z;0;-
50;anditaglieber;Treffendes Wortspiel. Die Langschädligen sind hier wahrlich die Langschädlichen...;2021-05-12T05:34:32.000Z;0;-
51;annepauen;Das Schlimme ist, dass es immer noch viele Menschen gibt, die denken es gäbe unterschiedliche Rassen unter den Menschen;2021-05-12T05:14:51.000Z;0;-
52;liselfritz;Irgendwie habe ich das Gefühl, dass das genau der ähnlich Schrott ist wie in Harry Potter mit den Muggelstämigeb;2021-05-12T05:10:02.000Z;0;-
53;cloudy670;"Diese Seite ist toll und das Wortspiel die Worte des Professors über „langschädelige Menschen“ als „Langschädlichkeit“ zu bezeichnen ist einfach genial. 👏
Unglaublich, was sich damals Menschen angemaßt haben, die eigentlich zur Bildung beitragen sollten.
Und so gut, dass es diese Seite gibt, um auch junge Menschen auf diese Zeit aufmerksam zu machen. Ich bin jeden Tag gespannt auf die neuen Beiträge!";2021-05-12T04:39:18.000Z;0;-
54;issi_dora_;Zwischen alldem unnötigen Influencer-Quatsch die Geschichte von @ichbinsophiescholl mitzuerleben.. Gänsehaut pur und absolut ergreifend! Eine unglaublich tolle Aktion! Chapeau und DANKE dafür! 👍;2021-05-11T23:11:00.000Z;199 likes;-
54-1;ichbinsophiescholl;@issi_dora_ #teamsoffer Wie schön, dass du dabei bist! Wir freuen uns sehr über das große Interesse an Sophies Geschichte.;2021-05-12T07:07:39.000Z;28 likes;54
55;pelannina;Liebe Sophie, wurde dir schon mal vorgeworfen, nicht arisch genug auszuschauen..? 🤔;2021-05-11T22:51:58.000Z;0;-
56;pijoeth;Langschädelikeit? langschädelig?;2021-05-11T22:11:13.000Z;1 like;-
57;mezzogini;Tolles Projekt! Es wirkt richtig real. ❤️ Dann noch auf einer Plattform wie Instagram, die von vielen jungen Leuten genutzt wird😊 da folgt man doch freiwillig!;2021-05-11T21:37:07.000Z;0;-
58;finanightmare;Ich habe lieber einen runden Kopf, damit das Denken gelegentlich die Richtung ändern kann... 🙃❤;2021-05-11T21:21:07.000Z;2 likes;-
59;wolfgangronny;❤️;2021-05-11T21:14:26.000Z;0;-
60;wolfgangronny;❤️;2021-05-11T21:13:55.000Z;0;-
61;uwe.neuber;Ach die arische Rasse so wie es sich Herr H. vorstellt gibt es doch gar nicht. Denn dir wirkliche arische Rasse kommt aus dem Iran ... und das war wohl nicht Herr H. Sein Wille;2021-05-11T21:07:36.000Z;0;-
62;hegelmichh;lang schädlich - die Erde kann ein Lied davon singen...;2021-05-11T20:59:32.000Z;0;-
63;paienne1982;Liebe Sophie, leider glauben das Menschen 2021 heute noch...;2021-05-11T20:41:27.000Z;0;-
64;cosmicbluesc;Ach ja, der deutsche Herrenmensch - blond, wie Hitler, groß wie Goebbels und schlank wie Göring. Und eine Sehschärfe wie Himmler😂😂.;2021-05-11T20:34:30.000Z;0;-
65;alessandrina2912;"Ein grandioses Meisterwerk auf Instagram 👏.

Ihr sprecht ein so wichtiges Thema auf so kreative Art und Weise an.

Ich ziehe den Hut vor Euch!";2021-05-11T20:22:32.000Z;0;-
66;alessandrina2912;"Ein grandioses Meisterwerk auf Instagram 👏.

Ihr sprecht ein so wichtiges Thema auf so kreative Art und Weise an.

Ich ziehe den Hut vor Euch!";2021-05-11T20:22:31.000Z;0;-
67;neflite_art;Vielleicht bin ich zu müde grad, aber ich verstehe dieses Bild gar nicht :D;2021-05-11T20:21:54.000Z;0;-
68;bloeckchen___;Dieses Projekt ist grandios und herzzerreißend zugleich 😰 einfach nur WAHNSINN... meinen größten Respekt und ein riesiges DANKE an @ichbinsophiescholl 🥺;2021-05-11T20:19:09.000Z;0;-
69;rudyandthekoenigs;Wäre interessant zu wissen, was ist original oder nachempfunden?;2021-05-11T20:06:42.000Z;0;-
70;wip_wort;Liebe Sophie, meine Oma ist im gleichen Jahr geboren wie du. Irgendwie berührt mich das. Sie wäre also dieses Jahr hundert geworden. Und wenn du eine Enkelin gehabt hättest, wäre sie vielleicht so alt wie ich. … Wie so wohl wäre? … Auch ein harter Geist mit weichem Herz? ❤️ Eine wunderbare Kombination, so viel steht fest.;2021-05-11T19:54:26.000Z;1 like;-
71;stephijaja;Ich muss sagen einfach wow .Diese Seite zieht mich so in den Bann . Ich warte nur darauf auf Beiträge oder Storys. Einfach Wahnsinn und grausam ,wenn es damals schon soviel Elektronik gegeben hätte;2021-05-11T19:54:00.000Z;0;-
72;markus.sturm.524;"Das Problem ist, dass immer noch viel zu viele ""Weiße"" (bin selbst einer) von sich denken, sie gehörten dieser ""Herrenrasse"" an... Und nicht nur in Deutschland, sondern in immer mehr Ländern stehen diese Verbrecher sogar offen dazu, nationalistisch eingestellt zu sein... Nach dem Motto: ""Das wird man ja noch sagen dürfen""... Die einzige Möglichkeit eine erneute Nazifizierung zu stoppen ist das Auflösen der Klassengesellschaften... Jeder Mensch ist gleich viel Wert, also hat auch jeder das Gleiche Recht auf ""Besitz"" und zwar ohne dafür jemandem etwas ""schuldig"" sein zu müssen...";2021-05-11T19:45:50.000Z;0;-
73;maxschmietendorf;Geiles Projekt. Noch cooler fände ich es wenn auf Kommentare nicht vom „Team dahinter“ geantwortet wird sondern der Account auch dort sein Schema weiter durchzieht. Quasi so als würde ich von Sophie eine Antwort erhalten. Immersion 2.0;2021-05-11T19:41:14.000Z;1 like;-
74;schmiedi_i;Ein unglaublich spannendes Projekt und wundervoll umgesetzt! Ein herzliches Dankeschön und weiter so!;2021-05-11T19:39:50.000Z;0;-
75;jesbenzac8;Langschädlichkeit = Dachschädlichkeit 😂😂😂Ich hätte mich auch drüber lustig gemacht, schade,dass sich so viele unterbuttern lassen und kein lauter Aufschrei kommt. Das kann doch nicht wahr sein und ist so traurig;2021-05-11T19:38:50.000Z;0;-
76;peterkohlmeier;❤️❤️❤️;2021-05-11T19:26:23.000Z;0;-
77;mannistderdick;die Betonung soll wohl auf schädlich liegen ...;2021-05-11T19:18:04.000Z;0;-
78;olaayyaa;Dann wäre die Herrenrasse also...Pferde?? Kann das nicht nachvollziehen dass man solchen Mist glauben kann..damals nicht und heute nicht..;2021-05-11T19:12:11.000Z;0;-
79;jane_fitness_world_85;Ich bin fassungslos 😢 Mensch ist Mensch….mir fehlen die Worte 🤭;2021-05-11T19:09:47.000Z;0;-
80;fabian.23.08;Ich möchte nur nochmal anmerken, dass die meisten der Leute, die sowas in die Welt setzen, selbst nicht diese Merkmale aufweisen. Sind sie dann dem eigenen Volk nicht unterlegen laut ihrer Theorie? 🤔;2021-05-11T18:56:45.000Z;0;-
81;reesoreesolini;"Biologisch betrachtet gibt es keine Menschenrassen. Das ist eine Erfindung der ""Rechten Rasse"". Die unterscheidet sich tatsächlich dadurch, dass ihr jegliche soziale Affinität fehlt und in der Entwicklung rechts zum Animalischen abgebogen ist, wo sich das stärkere Tier durchsetzt. Das hat dann aber wenig mit der menschlichen Rasse zu tun.";2021-05-11T18:49:05.000Z;0;-
82;kaesemaedchen;Windhunde haben ja auch einen besondere langen Schädel...🙈 von denen ist ja bekannt, dass das Hirn sehr klein ist...;2021-05-11T18:47:52.000Z;0;-
83;literatourcarousel;Einfach hervorragend! Ein so außergewöhnliches Projekt! 👌 Unglaublich gut! Es imponiert sehr! 👏;2021-05-11T18:47:30.000Z;0;-
84;stefanieharms;Der beste content den instagram zur Zeit zu bieten hat Danke an das Team von @ichbinsophiescholl ,meisterhaft ❤️;2021-05-11T18:30:21.000Z;0;-
85;wunschliedberlin;Diese Professoren lehrten als wissenschaftlich denkende Menschen und mit pädagogischem Anspruch diese Dinge wohl wider besseren Wissens. Denn sie werden ja in ihrer eigenen Ausbildung und ihrem Studium nur Jahre zuvor andere wissenschaftliche Erkenntnisse und andere Werte vermittelt bekommen haben. Wurden dann auch die Lehrunterlagen und Bücher umgeschrieben? Es ist so erschreckend und furchtbar...;2021-05-11T18:23:02.000Z;0;-
86;nalanadine;Danke für diese tolle Seite!!;2021-05-11T18:20:02.000Z;0;-
87;christinagrubereifert;echt unglaublich. Jeder Mensch mit Menschenverstand kann nur den kopf darüber schütteln, ich verstehe ihre Gedanken sooo sehr;2021-05-11T18:19:47.000Z;0;-
88;can_d79;Schädlich ist das.;2021-05-11T18:16:58.000Z;0;-
89;kateyvlk;Endlich hat sich die Rundfunkgebühr gelohnt 😂;2021-05-11T18:16:17.000Z;1 like;-
90;san.dra175;Konntest du mit ihm sprechen?;2021-05-11T18:13:52.000Z;0;-
91;san.dra175;Wo ist Hans denn immer?;2021-05-11T18:13:36.000Z;2 likes;-
91-1;ichbinsophiescholl;@san.dra175 Das frage ich mich auch...;2021-05-11T18:37:05.000Z;15 likes;91
92;san.dra175;Pass auf dich auf;2021-05-11T18:13:19.000Z;0;-
93;binariehm;Naja... das Lachen bleibt im Hals stecken.... aber wenn wir etwas daraus lernen können dann gibt es noch Hoffnung;2021-05-11T18:10:10.000Z;0;-
94;qeldelar;"Furchtbar, wie die Lehre im ""3. Reich"" aussah.";2021-05-11T18:08:12.000Z;0;-
95;rumsfallera;Schade, dass die Naturwissenschaften auch schon interpretiert werden. Wohin das wohl noch führen mag.;2021-05-11T18:05:03.000Z;0;-
96;simon62sibylle;Tolles Projekt, das jeden Tag neugierig macht auf dieses Kapitel der Geschichte. Sophie Scholl war sehr mutig und es ist immer noch wichtig, was sie zu sagen hat. Vielen Dank für die Umsetzung!;2021-05-11T18:04:50.000Z;0;-
97;__canis_majoris__;Find es auch ganz toll gemacht. Man ist sofort in der Zeit wenn man die Reels anschaut. Man kann sich viel mehr damit identifizieren und auseinandersetzen.;2021-05-11T18:04:27.000Z;0;-
98;shkurte.ti;Früher waren es Nachbarn Ärzte Zeitungen Lehrer und andere die falsche und dumme Infos weiter geben haben und heute sind es immer noch die selben mit der größten macht und zwar die online Medien die Dinge falsch darstellen und Religionen/Kulturen etc versuchen aufeinander zu hetzen soo schade😢;2021-05-11T18:03:20.000Z;0;-
99;lottamoppel;❤️❤️;2021-05-11T18:02:21.000Z;0;-
100;barbara_m_vongimmeldingen;Leider fehlt der gesunde Menschenverstand vielen.....😢😢😢;2021-05-11T18:01:20.000Z;0;-
101;bo_h_nafides;Diese spezielle Sorte Mensch ist tatsächlich lang(e) schädlich.;2021-05-11T17:57:04.000Z;0;-
102;woolwind_de;👍;2021-05-11T17:56:05.000Z;0;-
103;newdocsingermany;Ich möchte den Menschen hinter diesem spannenden Projekt von Herzen danken- von der Idee bis zur Umsetzung ist das wirklich phänomenal. Tolle Arbeit. Spannend. Fesselnd. Bewegend. Nachdenklich stimmend. Fröhlich machend. Traurig machend. Lehrreich. Mahnend. Inspirierend. Geschichte so, dass man sie nicht näher und eindrücklicher vermitteln könnte. Ein Riesenkompliment an alle, die hier beteiligt sind. Vielen Dank und weiter so!;2021-05-11T17:54:09.000Z;172 likes;-
103-1;ichbinsophiescholl;@newdocsingermany #teamsoffer Großen Dank für dein tolles Feedback! Es freut uns sehr, dass wir zum Nachdenken anregen und so viele Emotionen auf einmal vermitteln. Eben hautnah. 🌹;2021-05-11T18:39:13.000Z;89 likes;103
104;discoverthesecret;"Nun, irgendwie hatte der Professor doch Recht! Der nordische Herrenmensch war mit dieser Ideologie ziemlich lang schädlich! (""langschädlig"" muss ein Tippfehler im Skript gewesen sein!) Auf dass wir es nie vergessen und zukünftig zu verhindern wissen!";2021-05-11T17:53:12.000Z;0;-
105;die_deckenraupe;"Dachte auf den ersten Blick dieses Bild wäre ein Witz...
Bis ich gesehen habe auf welchem Profil es steht.
Unglaublich dass Menschen so einen Unsinn verbreiten und andere davon überzeugt sind!!
Das kann doch keiner ernst nehmen! 🙄😣😭";2021-05-11T17:53:09.000Z;0;-
106;jolinaswelt;"Der Großonkel meiner Schwiegermutter (Dr. Gauch) hat als Arzt mit an dieser ""Theorie"" gearbeitet und sie umgesetzt. Er hat sich durchgemogelt und hat sogar noch privat praktiziert bis in die 70er - ich hoffe er rotiert im Grab, der Hölle oder sonst wo, denn wir haben nicht nur alle dunkle Haare, sondern auch ein Kind mit Down-Syndrom. Irgendwie waren die Gene seiner Herrenrasse in blond einfach nicht dominant genug um sich durchzusetzen.";2021-05-11T17:52:06.000Z;8 likes;-
107;silviamitgutsch;@ichbinsophiescholl Was sagen deine Kommilitonen zu diesen furchtbaren Behauptungen, wie die genannten Beispiele? Kannst du in deiner Uni überhaupt jemandem vertrauen?;2021-05-11T17:51:10.000Z;0;-
108;anjamuller565;Wenn ich mir das so ansehe dann hat der Professor ein supranasales Problem..einen erheblichen Dachschaden genauer gesagt....ich werde meinem grossen Sohn jeden Tag Deine Posts zeigen liebe Sophie. Das hier ist ein klasse Geschichtsunterricht. 👏👏👏 Vielen Dank dafür.;2021-05-11T17:49:56.000Z;0;-
109;gabyd166;Darf ich über das Bild (trotzdem) lachen, Sophie? 😆 Wie können Menschen nur sowas denken.... obwohl, die denken nicht, die funktionieren, die sind manipuliert.;2021-05-11T17:49:39.000Z;0;-
