Link: ;https://www.instagram.com/p/CRBj-vMMbu6/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;mohsni_97;😍😍😍;2021-08-30T11:10:44.000Z;0;-
2;holstjana;Ich liebe das Bild „Elsbeth im Garten“.;2021-07-15T17:18:36.000Z;0;-
3;ml1889;Ca. zwei Jahrzehnte zuvor wollte ein Österreicher ebenfalls Maler werden. Den Ausgang der Geschichte kennen wir alle...;2021-07-09T09:30:32.000Z;0;-
4;kuwi.tippt;"Ludwig Roselius ist eine spannende Person, die schwer einzuordnen ist. Der Gründer der Firma Kaffee Hag stand dem Nationalsozialismus ideologisch gesehen positiv gegenüber und hatte nordisch-germanisches bzw. völkisch-nationales Gedankengut . Neben seiner Förderung von KünstlerInnen wie Paula Modersohn-Becker kaufte er u.a. auch Kunstwerke von Wilhelm Petersen, der als „Kriegsmaler der SS“ ernannt wurde und Untersturmführer der Waffen-SS war. Roselius selber war ebenfalls förderndes Mitglied der Schutzstaffel der NSDAP und stand in Kontakt mit den großen NS. Er stirbt 1943.
Roselius erscheint mir schwierig – Kulturförderer auf der einen Seite, völkisch – nationalsozialistisch denkend mit Kontakt zu den großen NS auf der anderen Seite. Mit ihm muss man sich wohl genau auseinandersetzen, um ihn einordnen zu können.";2021-07-09T07:27:11.000Z;1 like;-
5;marlies.naehstube;Bei uns in Bremen und in Worpswede sind ihre wunderschönen Werke zu bewundern....es gibt auch einen sehr schönen Spielfilm über diese tolle Frau❤️;2021-07-08T20:33:43.000Z;1 like;-
6;ichbinjuedin_ichbindeutsche;Danke 🙏 für die Erinnerung an diese starke, mutige und inspirierende Frau liebe Sophie.;2021-07-08T20:16:57.000Z;0;-
7;fschoof;❤️;2021-07-08T17:26:52.000Z;0;-
8;frau_werwolf_;Du bist viel mutiger🙌;2021-07-08T15:48:56.000Z;0;-
9;wolfwarncke;Beeindruckend, ihr hätte die Sonderausstellung PAULA gefallen - viele Jahrzehnte später in Bremen!! Ob die Sophie damals auch Worpswede besucht hat?! Das ist der langjährige Wohnort Paulas! 🍀WW;2021-07-08T13:26:49.000Z;0;-
9-1;katharina.helling;"@wolfwarncke Sophie hat bei diesem Besuch 1939 sogar in einer Jugendherberge in Worpswerde übernachtet. Von da hat sie am 09.08.1939 einen Brief an ihre Schwester Inge geschrieben, aus dem die Begeisterung für Paula Moderasohn-Becker und außerdem Kontakt zu Martha Vogeler hervorgeht:
„[...]wir waren schon öfters in der Weberei bei Frau Vogeler, sie ist eine sehr freundliche Frau, und wir dürfen kommen, wann wir wollen. Es ist interessant bei ihr, es gibt viel zu sehen an Möbeln und Bildern und Stoffen. Dann hat sie ganze Schubladen voll Vogeler-Skizzen. Sie imponieren mir aber längst nicht wie voriges Jahr. Dagegen hat mich Paula Modersohn hell begeistert, ich ver­ehre sie richtiggehend. Sie hat für eine Frau ungeheuer selbständig gearbeitet , sich in ihren Bildern nach niemand gerichtet. Du mußt alles sehen. Nach ihren Bildern glitten alle anderen in der Ausstellung nur so an mir vorbei. […]
Quelle: Hans und Sophie Scholl - Briefe umd Aufzeichnungen, Herausg. Inge Jens";2021-07-08T14:28:12.000Z;2 likes;9
