Link: ;https://www.instagram.com/p/CZl9yA7Mhmc/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;jessicaludorf;@heikegumz Diesen Beitrag meine ich... Der Vater ahnte was. Ist die Frage, ob die Mutter was ahnte?;2022-02-18T15:42:20.000Z;0;-
2;ansgarwfl;Mein Vater macht sich auch immer große Sorgen wenn ich etwas wichtiges mache oder zu jemanden fremden gehe aber Zusammenhalt kannst du jetzt gut gebrauchen dein Vater kann dir ja Tipps geben;2022-02-08T21:34:29.000Z;0;-
3;irene.garbe3;Ja;2022-02-06T22:09:16.000Z;0;-
4;griesgramtv;(Welches Jahr haben wir gerade?);2022-02-06T21:04:46.000Z;0;-
5;elnra;Wir sind alle viel mehr miteinander verbunden, als zugelassen wird. Manchmal bei Menschen die uns nahe stehen, können wir es erleben.;2022-02-06T16:18:35.000Z;0;-
6;naumann493;Auch mütterlichen… und auch kindlichen… ich glaube, wenn man in einer Familie sensible füreinander ist, ist der Instinkt selbstredend. Oft braucht es keine Worte und es gibt Verstehen! Und eine Umarmung sagt mehr als tausend Worte;2022-02-06T13:21:26.000Z;0;-
7;wijsmullertruus;Ja sicher ♥️♥️♥️;2022-02-06T12:56:43.000Z;0;-
8;oeleveno;😂;2022-02-06T10:07:33.000Z;1 like;-
9;rot5555555;Hallo Sophie, wenn ich dir durch Raum und Zeit Nachrichten senden könnte, würde ich dir raten, jeden Moment zu genießen. Ich freue mich, dass du deine Familie besuchst, grade jetzt. Wenn du mich fragst, würde ich nicht sagen, dass es etwas wie Mutterinstinkte oder Vaterinstinkte gibt. Sicherheit nutzt dein Vater alle ihm zur Verfügung stehenden Quellen, um über die Vorgänge informiert zu bleiben, die an eurer Universität geschehen. Dass in eurem direkten Umfeld ermittelt wird, ist schon genug, um sich Sorgen zu machen. Insgesamt ist eure Situation ja auch kein Ponyhof, auch wenn ihr nicht im Widerstand wärt. Auch würde ich nicht vermuten, dass dein Vater von euren Aktivitäten weiß. Bestimmt hätte er sonst versucht, dir Tipps zu geben. Das machen Eltern immer, egal ob erfolgreich, sinnvoll oder erwünscht. Ach so: Finger weg von Panzerschokolade.;2022-02-06T08:13:43.000Z;0;-
10;arktischeraffe;Was sollte er denn schon ahnen? Sind die Sorgen von Vatter Scholl dokumentiert oder nachweisbar? Oder handelt es sich bei dem Post zur Besuchszeit um den historischen Fakt? Verwirrung!;2022-02-06T01:45:18.000Z;0;-
11;viiolencia;Ich hab schon richtig bammel vor den 18. Februar und wie es dann weiter geht mit den Beiträgen und Storys 😢;2022-02-06T00:41:51.000Z;2 likes;-
12;astrid_schulte;Ahnt er das nahende Unheil? 😱;2022-02-06T00:11:33.000Z;1 like;-
13;helgadancke;Oh ja, den gibt es. Meine Eltern haben das sogar beim Telefonieren gemerkt. Ich konnte ihnen nie etwas vormachen. Das ist bei deinen Eltern mit Sicherheit genau so.;2022-02-05T21:21:28.000Z;0;-
14;sume555;Alter Vater? Wie alt ist er denn?;2022-02-05T20:30:43.000Z;4 likes;-
15;windmuehleim;😍Auf alle Fälle gibt es das😉😉😘😘❣️;2022-02-05T19:37:53.000Z;0;-
