Link: ;https://www.instagram.com/p/CRbqcHTs2nB/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;netratz;🔥❤️;2021-07-18T18:29:09.000Z;0;-
2;14mm4rt1n;Ist der Briefumschlag echt und aus der damaligen Zeit oder wurde er für die Instagram-Serie hergestellt?;2021-07-18T13:41:24.000Z;0;-
3;o_sa_b_el;Zum Glück wurde er aus allem herausgehalten. 🙏;2021-07-18T10:23:36.000Z;0;-
4;emma.neugebauer;“Ist er in Gedanken bei uns sein?” Da ist irgendwo ein Wort zu viel, oder?;2021-07-18T09:49:46.000Z;1 like;-
5;the_cellist;Ich habe richtig Respekt vor der Sache die ihr macht. Es ist das richtige!!! Weiter so! Menschen wie euch muss es mehr geben!;2021-07-17T23:57:54.000Z;1 like;-
6;k_nicky17;Eine Beziehung zu führen über diese Distanz sowohl moralisch wie auch örtlich ist wirklich schwer. Ich wünsche dir von Herzen das Fritz im Herzen der Mensch ist der deine Entscheidungen mit tragen würde wenn er es könnte. Du hast alle Liebe und Unterstützung dieser Welt verdient. Es ist wahrlich erstaunlich wieviel Hoffnung und Kraft du in die heutige Welt trägst die mit deiner nicht mehr viel gemein hat. Vielen Dank dafür.;2021-07-17T22:53:34.000Z;0;-
7;gabrieleignatzy;❤️;2021-07-17T19:31:28.000Z;1 like;-
8;79_lissy;Ich freu mich immer wenn eine neue Story in instergram aufleuchtet oder ich ein neuen Post sehe 🙌🏼❤️ ich finde das so interessant;2021-07-17T18:11:09.000Z;2 likes;-
9;ulrikemunner;Fritz wird nicht immer an dich denken können. Der Gedanke an Dich,hält ihn am Leben. Wie es wird,wenn du ihn wiedersieht?Mh,das wird die Situation dann entschieden.;2021-07-17T17:37:58.000Z;1 like;-
10;silkeingenbleek;Er hat dir doch den Vervielfältigungsapparat besorgt❤️...;2021-07-17T17:31:08.000Z;1 like;-
11;sockentantesandra;Liebe Sophie, egal, wie sehr du ihn liebst und alles mit ihm teilen magst, bitte, BITTE gehe nicht das Risiko ein und schtlreibe ihm, was du, dein Bruder und der Rest tut! Wenn du es ihm sagst, dann NUR persönlich! Du weißt nicht, wer alles mitliest! Bitte, sei vorsichtig mit dem, was du schreibst.;2021-07-17T17:30:13.000Z;4 likes;-
12;maxi__sun;"Ist er in Gedanken bei uns? (ohne ""sein"" am Ende ;))";2021-07-17T17:25:13.000Z;1 like;-
13;red_winona;"Unterschätz mal den Fritz nicht.... momentan ist er zwar ""auf der anderen Seite"" aber man kann sich doch wandeln. Ich glaub, er hätte einiges beizutragen. Aber taste dich trotzdem vorsichtig ran.";2021-07-17T16:16:19.000Z;62 likes;-
13-1;ichbinsophiescholl;@red_winona Ich versuche daran zu denken!;2021-07-17T16:19:48.000Z;24 likes;13
14;hauptstadtlady50;Eine Beziehung kann vieles aushalten und daran wachsen liebe Sophie 🙋‍♀️ 🌛🍸.;2021-07-17T16:00:32.000Z;3 likes;-
15;lorenz18v;mach doch einfach endlich schluss;2021-07-17T15:50:54.000Z;2 likes;-
16;such_a_precious_jewel;"Wenn du dich entscheidest ihm das zu "" verheimlichen"" dann tust du das aus Liebe zu ihm , um Fritz zu schützen . Wer weiss wer den Brief zuerst in die Hände bekommt 🙈";2021-07-17T15:49:56.000Z;8 likes;-
17;tam1805;Alleine bei der Briefmarke läuft es mir eiskalt den Rücken runter, was dieses Monster anrichtet;2021-07-17T15:48:37.000Z;2 likes;-
17-1;ruedi.retyres;Ich lese gerade die Feldpostbriefe, die sich meine Eltern 1943-45 geschrieben haben, damals Mitte 20 Jahre alt. Mein Vater von der Ostfront u meine Mutter als Wehrmachtshelferin von Brüssel und Krakau. Liebe, Angst und Hoffnung auf ein Wiedersehen sind darin die immer wiederkehrenden Themen. Allerdings: Eine solche Marke hat keiner der Feldpostbriefe, nur einen Absender mit der Feldpostnummer. Und die Feldpostnummer des Empfängers bzw. die Adresse (bei Angehörigen in der Heimat);2021-07-17T22:32:48.000Z;2 likes;17
18;ichbinjuedin_ichbindeutsche;Liebe Sophie, es ist für euch alle sicherer wenn Fritz nichts vom Wiederstand erfährt, auch für Fritz. Eine tiefe und aufrichtige Liebe hält vieles aus und wächst daran.;2021-07-17T15:43:15.000Z;4 likes;-
19;martina_mordt;Solange ihr durch den schei* Krieg getrennt seit ist es sicher einfach Geheimnisse zu bewahren. Die Frage ist wie wird es sein solltet ihr euch wieder sehen. Dann wird’s schwerer 🤷‍♀️;2021-07-17T15:31:23.000Z;7 likes;-
20;robertvanheijst;Wird dein Brief auch noch geprüft?;2021-07-17T15:12:24.000Z;4 likes;-
20-1;green_brown_eyes;@robertvanheijst Ob er die Zensur durch läuft? Möglich, ich würde aufpassen;2021-07-17T15:26:49.000Z;4 likes;20
20-2;robertvanheijst;@green_brown_eyes genau, das meinte ich;2021-07-17T15:29:16.000Z;4 likes;20
21;miss35_si;Ich fürchte nicht. Aber der Widerstand ist nicht, was euch auseinander bringt. Es ist der verdammte Krieg.;2021-07-17T15:08:50.000Z;27 likes;-
22;mehmed.koenig;"Liebe Sophie,
eine Bekannte von mir, hatte mal in der Anfangszeit in Deutschland (direkt nach der Flucht aus Bosnien-Herzegowina), eine Fernbeziehung zu ihrem Partner in Bosnien-Herzegowina geführt. Anfangs wusste sie zwar nicht, ob er noch am Leben war, da er in einem der Konzentrationslager gefangen gehalten wurde und trotzdem war sie in Gedanken bei ihm. Irgendwann erhielt sie die Möglichkeit (als ihm die Flucht gelang), ihm Briefe über das „Rote Kreuz“ zu schicken. Sie hielten so über zwei Jahre Kontakt zueinander und (so sagte sie es mir immer) so arbeiteten sie an dem „Band der Liebe“ immer weiter und immer weiter. Eines Tages gelang es ihm, nach Deutschland zu kommen und sie wieder zu treffen. Sie heirateten drei Jahre danach und haben nun zwei großartige Töchter.
Tiefe Liebe kann nichts erschüttern. Glaube daran! ❤️";2021-07-17T14:58:32.000Z;197 likes;-
22-1;kimberlanski;@mehmed.koenig ich warte bei jedem Post dieser Seite sehnsüchtig auf deinen Kommentar. Ich finde so toll und lehrreich, was du mit uns teilst. Danke dafür ❤️;2021-07-17T15:36:16.000Z;39 likes;22
22-2;ichbinjuedin_ichbindeutsche;@mehmed.koenig danke für deine bereicherden Kommentare.;2021-07-17T15:43:47.000Z;11 likes;22
22-3;sira_lovely;@mehmed.koenig ich hab das Gefühl Fritz und Sophies liebe ist nicht so tief 🙈;2021-07-17T15:57:01.000Z;15 likes;22
22-4;mehmed.koenig;@kimberlanski ❤️;2021-07-17T23:25:32.000Z;1 like;22
23;ltcdrginger;"Ich finde dieses Projekt wirklich fantastisch und rundum gelungen. Es ist sicherlich eine Herausforderung, dieses Thema und das Material an die „neue Welt“ anzupassen, aber das ist euch echt gelungen. Spannend, authentisch und lehrreich. Man lernt nie aus!
#chapeau 👏";2021-07-17T14:52:45.000Z;150 likes;-
23-1;a_buecherwurm;@ltcdrginger Ja. 😍 Ganz großen Applaus an @ichbinsophiescholl 👏;2021-07-17T15:31:02.000Z;8 likes;23
23-2;ichbinsophiescholl;@ltcdrginger #TeamSoffer Vielen lieben Dank, das freut uns sehr!;2021-07-17T18:04:41.000Z;35 likes;23
24;lxt.ti_;Das ist die Frage. Manches muss man in einer Beziehung nicht alles miteinander teilen, andererseits ist es blöd viele Geheimnisse zu haben;2021-07-17T14:51:24.000Z;20 likes;-
