Link: ;https://www.instagram.com/p/CQf3vjKHh_m/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;josephine_pasco;@ichbinsophiescholl : Wussten die Eltern Scholl von den Aktionen (Flugblätter) ihrer Kinder?;2021-07-19T09:35:23.000Z;0;-
2;fvp_;Eine schöne Illustration von Renée. Wer hat sie gezeichnet? @ichbinsophiescholl;2021-07-12T19:04:07.000Z;0;-
3;bonntouren;Ich blicke kurz in die Zukunft. Der @bundespraesident.steinmeier wird sie ehren, in dem eine Photographie (geschossen von August Sander) in seinem Bonner Dienstsitz im Kaminzimmer hängen wird. Jeder Gast im diesem Haus wird ihre Biografie erfahren. #geschichteerleben;2021-06-27T07:33:17.000Z;0;-
4;elifmiss;Wenn Familie einen herunterreißt, statt hochzuwerfen, ist das eine weise Entscheidung.;2021-06-26T07:15:08.000Z;0;-
5;ingalafortagne;Danke für das Aufmerksammachen von Renee Sintenis, habe noch nie von ihr gehört. Ich werde Augen und Ohren aufmachen, ob ich von ihr Kunstwerke sehen kann😮;2021-06-25T15:55:41.000Z;0;-
6;stanxhowse;😍;2021-06-25T13:54:05.000Z;0;-
7;sarah.fuel;Ich habe eine Frage: Gab oder gibt es Reaktionen auf diese Produktion von Zeitgenossen oder Angehörige? (Die Kinder von Elisabeth Hartnagel und Fritz Hartnagel).;2021-06-25T08:50:07.000Z;1 like;-
8;netratz;🔥❤️;2021-06-24T21:53:07.000Z;1 like;-
9;gustavsson_franka;„Familie hat man, Freunde sucht man sich aus.“ Ich halte blutsverwandte Familie nicht zwangsläufig für die engsten Vertrauten. Eine Familie ist doch reine Definitionssache! ♦️♠️♥️♣️;2021-06-24T21:44:45.000Z;4 likes;-
10;_yoga_tanz;Renée is such a beautiful strong woman ❤️❤️❤️;2021-06-24T21:15:43.000Z;0;-
11;alt_rima;Früher hatte das Wort Familie noch viel mehr Bedeutung ❤️ zum Glück ist’s auch bei uns noch so;2021-06-24T19:47:02.000Z;0;-
