Link: ;https://www.instagram.com/p/CYJXmgclssR/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;ansgarwfl;Ich backe manchmal mit meinem Bruder Muffins und streiten uns um die Aufgaben die zu erledigen sind 😂;2022-01-12T06:02:51.000Z;1 like;-
2;x_black.heart03_x;😂😂😂😂 Geschwisterliebe kenn sowas;2022-01-06T12:44:31.000Z;1 like;-
3;little_fox_sam;Geschwisterliebe vom feinsten und viel Freude, lachen und fröhliche Gesichter 😂;2022-01-04T17:29:01.000Z;1 like;-
4;nurdukannst;Junge dieser ton am anfang;2022-01-02T07:54:03.000Z;0;-
5;ralf_mk;Was für ein username;2022-01-01T21:14:57.000Z;0;-
6;riso5400;Ich freue mich immer auf die Szenen in denen Sophie lacht, tanzt, Blödsinn macht. Neben dem ernsten wichtigen Hintergrund zeigt es, dass es einfach ein lebensfrohes sehr junges Mädchen war. Umso mehr schmerzt es.;2022-01-01T14:20:14.000Z;2 likes;-
7;changed.by.popular.demand;"Wenn man sich so durchliest, was hier so los ist, wenn es nur um einen toten Fisch geht, fragt man sich, wie hier wohl reagiert würde, wenn Sophie erzählen würde, was gerade so in den Konzentrationslagern und im „Ostfeldzug“ los ist. Da wurden in Babyn Jahr am 29. und 30. September 1941 innerhalb von 48 Stunden Einsatzgruppen der Sicherheitspolizei und des SD
mehr als 33.000 jüdische Männer, Frauen und Kinder ermordet.";2022-01-01T13:57:13.000Z;12 likes;-
8;lisa_rte;Nach der aktuellen Story bin ich echt am überlegen ob ich diesem Account noch weiter folge, was echt schade ist, weil ich finde, ihr macht wirklich grandiose Arbeit! Ich verstehe, dass das zur damaligen Realität dazugehört hat und dass das heute auch noch Realität ist. Das ist für mich aber nur ein Scheinargument, denn es ist überhaupt nicht notwendig um die Authentizität dieser Zeit und dieser Geschichte einzufangen. Da gibt es genügend anderes Material. Ich finde es einfach unnötig sowas dann auch noch so nah zu filmen, das entzieht sich irgendwie meinem Verständnis. Schade @ichbinsophiescholl;2022-01-01T08:38:48.000Z;4 likes;-
9;johnyaltmann;Ihr seit verrückt 😅😜;2022-01-01T01:46:03.000Z;2 likes;-
10;julia_juli_schumiiii;Einfach zu geil 😂 Gruselig wie du deine Hände reibst. Liebe es 😂🔥;2021-12-31T19:15:44.000Z;2 likes;-
11;uschigerhard;Geschwister ärgern muss sein😂;2021-12-31T17:11:58.000Z;2 likes;-
12;coldewerk;An der Sache mit dem Fisch finde ich nur eine Sache seltsam. @ichbinsophiescholl warum habt ihr den Fisch nicht in der Küche ausgenommen sondern im Wohnzimmer?;2021-12-31T17:00:42.000Z;2 likes;-
13;andreaskraneis;Nach dem Karpfenausnehmen mit den Händen auf jemanden zugehen? Eine ausnehmend gute Idee 😉 Ausnahmen bestätigen die Regel. 😁;2021-12-31T16:58:25.000Z;1 like;-
14;marie_blue_19;"Ich habe 2 Geschwister, einen Bruder und eine Schwester, und mit denen mache ich auch oft Blödsinn. Wir ärgern uns auch oft, das ist glaub ich wahre Geschwisterliebe und meiner Meinung nach gehört, das auch bei Geschwistern dazu.
Oder?😂🥰";2021-12-31T15:41:25.000Z;1 like;-
15;sevesieben;Ich bin mal wieder schockiert von Social Media. Triggerwarnung? Nein. Die müssen dosiert eingesetzt werden und sollen Betroffene vor Flashbacks etc. schützen. Sie sind nicht dazu gedacht, etwas überempfindliche Leute in Flausch zu packen. Und überhaupt: Den Wunsch nach einer Triggerwarnung wegen eines Fisches unter einem Account zu posten, der in der Nazi-Zeit spielt und das Leben einer Frau darstellt, die exekutiert wurde?;2021-12-31T15:38:41.000Z;56 likes;-
16;marie_blue_19;Wie schön, dass ihr noch lachen könnt. Wenn man bedient, was bei euch gerade los ist 🥰😂;2021-12-31T15:35:37.000Z;0;-
17;eileen_a_tieno;"Diese Diskussion um Triggerwarnungen hier. Triggerwarnungen sind dazu da (gewesen), dass man traumatisierte Menschen vor Inhalten warnt, die eine Re-Traumatisierung auslösen können. Triggerwarnungen sind nicht dazu da davor zu warnen, dass man am Rande sieht wie Fische ausgenommen werden. Damit ein Problem zu haben zeugt von Luxusproblemen. Die Menschen hatten zu Sophies Zeiten ganz andere Probleme. Ihr wollt authentische Bilder sehen? Das gehört dazu. Die Lebensmittelversorgung war schlecht, man hat sich Sorgen um die Angehörigen an der Front gemacht, man wusste nicht ob der eigene Bruder/Mann/Verlobte/Vater/Cousin/Onkel noch lebte. Manche waren ""ausgebombt"" und hatten kein zu Hause mehr. Der jüdischen Bevölkerung und allen, die der Nationalsozialismus als Feinde angesehen hat, ging es noch wesentlich schlechter - die wurden deportiert und ermordet. Das waren traumatisierende Erlebnisse.";2021-12-31T15:01:09.000Z;26 likes;-
18;giuliuzza__;Wie lange haben die Dreharbeiten gedauert? :);2021-12-31T14:50:24.000Z;2 likes;-
