Link: ;https://www.instagram.com/p/CRlx457sy3V/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;lifestylelooser;In welchem Jahr befinden wir uns gerade?;2021-07-23T12:44:51.000Z;2 likes;-
2;winter_girl62;Wann (In welchem Post) bekam denn Hans seinen Marschbefehl?;2021-07-22T21:05:08.000Z;0;-
3;bielefeld400;Konntet ihr die Briefe versenden?;2021-07-22T16:41:04.000Z;1 like;-
4;flos_yugioh_goat_format_corner;😢;2021-07-22T13:52:16.000Z;0;-
5;ines_s_2;❤️;2021-07-22T10:08:48.000Z;0;-
6;kylekartanmg;Jeder sollte diesem wichtigen Kanal folgen! ❤️🙌;2021-07-22T09:39:04.000Z;2 likes;-
7;henrikheuer;❤️;2021-07-22T06:55:48.000Z;1 like;-
8;daniel_vs_addi;Wenn ich mein Kopf frei bekommen möchte, dann gehe ich meistens in den Wald. Die Ruhe genießen, dass genießen was im Leben zählt… FREIHEIT;2021-07-22T06:41:27.000Z;4 likes;-
9;buecherjunge_dd;Ob Hans Scholl zum Lesen kommt? Als Angehöriger einer Studentenkompanie musste er doch mit einer Einberufung rechnen. Das er nicht will, auch auf Grund seiner politischen Ansichten, ist klar. Aber Medizinstudent wird er ja die Arbeit in Lazaretten und Verbandsplätzen nicht vollkommen abgelehnt haben?;2021-07-22T04:49:17.000Z;0;-
10;nadinekleinen84;Das ist eine gute Frage;2021-07-21T22:03:22.000Z;1 like;-
11;specialfelg;"Hallo liebes Team! 🤗
In dem gewohnten Hashtag hat sich ein Fehler eingeschlichen. Damit der Beitrag ebenso wie die anderen im „Hashtag-Archiv“ landet, müsste ein H gestrichen werden ;) (also bei IchbinSophieScholl)";2021-07-21T20:18:24.000Z;1 like;-
12;larissa_lfe;Vielleicht hilft es ja, dich immer wieder daran zu erinnern , dass ihr im Geist, im Ziel, im Blut, im Herzen so viel enger verbunden seid, als physische Distanz euch jemals trennen könnte.;2021-07-21T16:58:31.000Z;4 likes;-
13;ulrikemunner;Ich liebe auch Bücher.Der Stellenwert der Bücher,so ganz ohne die heutigen Medien, war damals bestimmt größer.;2021-07-21T16:38:26.000Z;2 likes;-
14;vongbleicherther;Wie ist das mit diesen Autoren...mit Sicherheit hat das deutsche Regime doch etwas gegen solche Werke? Wie sieht man z.B. Dostojewski in der Gesellschaft? Kann man über solche sozialistischen Schriftsteller überhaupt reden oder schicken die Nazis da schon ihre Schergen?;2021-07-21T15:52:15.000Z;6 likes;-
15;netratz;🔥❤️;2021-07-21T15:45:56.000Z;2 likes;-
16;juwelchen78;❤️;2021-07-21T15:44:19.000Z;3 likes;-
