Link: ;https://www.instagram.com/p/CZeWStusQoE/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;anna.maria.ka;Mein Opa hat damals hin und wieder solche Lebensmittelkarten gefälscht, damit seine Familie etwas mehr zu Essen hatte. Er war Vermessungsingenieur und damals wurde ja noch alles per Hand gezeichnet und geschrieben und sah dennoch aus wie gedruckt. Dadurch hatte er das Wissen, Material und die Fähigkeit, um händisch perfekte Kopien solcher Karten anzufertigen.;2022-02-05T05:51:00.000Z;3 likes;-
2;jogroe;Bring die Kartoffelschalen zu jemanden mit Hühnern (gekocht tolles Futter) u bekomm dafür ein 🥚;2022-02-04T05:22:22.000Z;1 like;-
3;ungatoconpasaporte;Tortilla de patatas auf jeden fall;2022-02-03T23:01:19.000Z;0;-
4;marion.pettersson.1;❤️;2022-02-03T08:14:44.000Z;0;-
5;feboulaich;Wie wäre es mit einer spanischen Tortilla?;2022-02-03T06:56:24.000Z;0;-
6;christophergreverode;Gratin! ☺️;2022-02-03T06:46:26.000Z;1 like;-
7;captain.freddie;Kartoffelbrei mit Sahne❤️ Omelette mit Zwiebeln ❤️;2022-02-03T06:02:34.000Z;0;-
8;m.mailhorn;Lecker Bauernfrühstück 😋;2022-02-03T01:42:17.000Z;0;-
9;mayasiiri;Dibbelabbes 🤗;2022-02-02T21:14:58.000Z;0;-
10;luise.belle;Kartoffel gratin 😍;2022-02-02T20:21:09.000Z;3 likes;-
11;kaesrin;Was wir wohl in 20 Tagen sehen werden … 🥺🕊;2022-02-02T20:17:45.000Z;6 likes;-
12;carolinluise_;Hey Sophie! Ich wollte mich nur bei dir bedanken, dass du uns in den letzten Monaten so viel an deinem Leben hast teilhaben lassen. Bei jedem neuen Post und jeder neuen Story von dir fiebere ich sehr mit. Ich wünsche mir, dass du weißt, dass du für viele hier eine große Inspiration bist ♡ Danke für alles!;2022-02-02T20:04:10.000Z;1 like;-
13;vvilldance187;FCK se Nazi Empire ! Stay Strong !;2022-02-02T19:49:47.000Z;0;-
