Link: ;https://www.instagram.com/p/CSO94PYsjFv/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;bpunktate;Darüber wurde so gut wie nie gesprochen... Mein Uropa war zu der Zeit auch oft im Gefängnis und später starb er in Buchenwald. Und es ist mir eine Ehre seine Urenkelin zu sein.;2021-08-08T04:43:17.000Z;1 like;-
2;rotherangelika;Meine Eltern sind mein ein und alles! Meine Mutter hat mir am 20.07.21 gezeigt, dass sie noch die Sondermarken von Sophie Scholl von 1964 hat.;2021-08-07T17:16:15.000Z;1 like;-
3;hi_its.me.steffi;Ganz so große waren's glaub nicht.😅;2021-08-07T16:27:43.000Z;0;-
4;ecocats1990;Ist „Inge“ die Schauspielerin aus „Tiger Girl“, oder wie das eine deutsche Coming-of-Age-Drama heißt? Auf jeden Fall ist sie sehr bekannt. :);2021-08-07T14:19:37.000Z;2 likes;-
4-1;ichbinsophiescholl;"@ecocats1990 #TeamSoffer Inge Scholl wird von Maria Dragus gespielt. Richtig, sie war auch Teil des Casts von ""Tiger Girl"".";2021-08-07T14:34:43.000Z;5 likes;4
4-2;ecocats1990;@ichbinsophiescholl Maria Dragus, danke. Der Name lag mir auf der Zunge.;2021-08-07T14:35:25.000Z;1 like;4
5;thisisulle;Ich war auch eher unbequem in jungen Jahren und hatte ebenso einen großartigen Vater , der zu 💯 hinter mir Stand. Leider ist er für mich viel zu früh gestorben, als ich 22 war. Hätte ihm gerne noch gezeigt dass ich auf guten Wegen entlang gehe!;2021-08-07T13:19:41.000Z;1 like;-
6;baricce;Meine Mutti ...DDR89 in Leipzig .Sie hat mich nicht allein gehen lassen dafür liebe ich sie so♥️. Sie war clever wir haben in der Innenstadt eine tolle Tapete gekauft . Falls sie uns schnappen könnten wir reinen Herzens sagen ,, wir haben Tapete gekauft ,, Ich wollte unbedingt dabei sein und ,, wir sind das Volk ,, schreien -ganz laut . Das verbindet uns, nicht nur unser Blut . Sophie meine Mutti sagt immer ...einmal mein Kind immer mein Kind ♥️;2021-08-07T08:18:45.000Z;1 like;-
7;adri.s.autorin;Was war den für Sophie das einschneidende Erlebnis, wo sie gemerkt hat, dass Hitler doch kein Menschenfreund war, dass er sogar gefährlich werden könnte für so viele? Und war das gleichzeitig mit ihrem Bruder oder später?;2021-08-07T07:52:23.000Z;0;-
7-1;katharina.helling;"@adri.s.autorin Sophies Abkehr vom Nationalsozialismus begann in einer ersten Phase während des RAD, der ‚wie eine Zwangsjacke als Katalysator gewirkt‘ hat (Maren Gottschalk). Diese Zeit war wie eine erste Zäsur, abgeschnitten von ihrem vertrauten Umfeld. Die anderen im RAD waren ihr zuwider und zu plump. Sie zog sich immer zurück, las sehr viel und stellte sich und ihr Gewissen komplett auf den Prüfstand. In der Zeit hatte sie zB auch mit Fritz heftige Auseinandersetzungen über Krieg, Volk und Vaterland (in einem Briefwechsel 1940 mit Fritz distanziert sie sich zB deutlich von der völkischen Ideologie, die damals vorherrschend war). Eine zweite Zäsur war dann der Umzug nach München. Auch unter Einfluss des Bruders Hans und seines Umfelds. Großen Einfluss hatte auch ihre Religiosität, die sich ebenfalls in der Münchner Zeit durch den Einfluss von Muth/Haecker zu einem ‚existentialistischen Verständnis von Religiosität‘ herauskristallisiert hat (ein Zitat von Willi Graf bringt das mit ‚Jeder einzelne trägt die ganze Verantwortung‘ prägnant auf den Punkt).
Es gibt aber auch Indizien, dass Sophie bereits vor ihrer Beteiligung an der Münchner Widerstandsgruppe Überlegungen hatte, wie sie Widerstand leisten kann.
Die Abkehr vom NS Regime war also grds unabhängig von Hans. Wurde in der Münchner Zeit dann ‚nur‘ noch grundsätzlicher und zielgerichteter.
(habe ich so in einem Interview mit Maren Gottschalk, Günter Hockerts u Christine Friedrich zu Sophie Scholls 100. Geburtstag beim IfZ, über YouTube, verstanden)";2021-08-07T12:19:37.000Z;3 likes;7
8;maikrusoft_;Mein Vater wurde 1930 geboren, er wurde quasi mit Hitler per Radio, Zeitung, Schule und Wochenschau groß! Er wurde der „perfekte“ Hitlerjunge, während seine Eltern ihren SPD Ausweis versteckt hielten! Als er diese in einem Versteck fand, wollte er meine Großeltern anzeigen! Er hat meiner Oma viele Sorgen bereitet, er hat sich dafür auch geschämt! Die Verteidigung der Allerbrücken und die anschließende Arbeit in Bergen Belsen unter Englischer Besatzung hat ihn aufgeweckt, er hat sich danach sei Leben lang, auch als Lehrer, dafür eingesetzt, dass u.A. eine Gehirnwäsche und Nationalsozialismus NIE wieder sein darf! Meine Oma war nur voller Sorge! Aber Liebe verzeiht irgendwann…;2021-08-07T06:50:24.000Z;1 like;-
9;maikrusoft_;Mein Vater wurde 1930 geboren, er wurde quasi mit Hitler per Radio, Zeitung, Schule und Wochenschau groß! Er wurde der „perfekte“ Hitlerjunge, während seine Eltern ihren SPD Ausweis versteckt hielten! Als er diese in einem Versteck fand, wollte er meine Großeltern anzeigen! Er hat meiner Oma viele Sorgen bereitet, er hat sich dafür auch geschämt! Die Verteidigung der Allerbrücken und die anschließende Arbeit in Bergen Belsen unter Englischer Besatzung hat ihn aufgeweckt, er hat sich danach sei Leben lang, auch als Lehrer, dafür eingesetzt, dass u.A. eine Gehirnwäsche und Nationalsozialismus NIE wieder sein darf! Meine Oma war nur voller Sorge! Aber Liebe verzeiht irgendwann…;2021-08-07T06:49:48.000Z;0;-
10;daniel_vs_addi;Von all dem zukünftigen möchte ich lieber nicht reden. Das tut einem in der Seele weh;2021-08-07T00:45:22.000Z;0;-
11;daniel_vs_addi;Ein harter Geist, ein weiches Herz. Euer Vater ist spitze. Ich möchte nicht in seiner Haut stecken;2021-08-07T00:43:24.000Z;0;-
12;zonkmaster;"Definitiv genauso! Ich war zur deutschen Wendezeit 18, mein Vater war die ganzen Jahre vorher gegen die DDR, ich war komplett indoktriniert und für den damals herrschenden Staat, aus meiner heutigen Sicht ein Wahnsinn. Und trotz dieser negativen Erfahrungen hab ich die Hoffnung auf etwas besseres als das heutige ""höher, schneller, weiter"" verbundenen mit der Zerstörung der Natur und möglicherweise unser gesamten Erde nicht aufgegeben";2021-08-06T22:55:51.000Z;0;-
13;tigerlily2.3;Ja habe ich......aber ich bin davon überzeugt, wenn sie mehr Stellung bezogen u Konsequenzen aufgezeigt hätten wäre ich! selber eher auf den richtigen Weg gekommen. Dieses Schweigen der Eltern oder dieser schweigenden Generation beschert beiden Seiten weniger offen ausgetragenen Konflikte, also mehr Scheinharmonie......aber verlängert das Elend u die gesunde Entwicklung bzw in der Nazizeit den Widerstand.;2021-08-06T22:01:29.000Z;0;-
14;sjoerdhart;😢;2021-08-06T21:39:19.000Z;0;-
15;annie_henning_bayern;Meine Urgroßeltern waren in Wien Sozialdemokraten, lehnten Hitler ab und versorgten heimlich befreundete Juden. Bis die Nazis die Juden abholten. Meine Urgroßeltern wurden Gott sei Dank nicht erwischt, obwohl sie in der Nähe der jüdischen Wohnung waren und den Abtransport dieser Juden sahen. Einer ihrer Söhne war bei der SA und zwang sie ein Hitlerbild aufzuhängen;2021-08-06T21:36:31.000Z;1 like;-
16;janaknabefotografie;Das ist so schön zu lesen. Familie gibt Kraft Sophie❤️;2021-08-06T21:33:43.000Z;1 like;-
17;annie_henning_bayern;"Eltern sorgen sich immer. Liegt wohl in der Natur. Ich nenn mich selber ""Sorgenkind"". Meine Eltern sehen mich nicht als Sorgenkind. Doch ich hatte es im Leben nicht leicht. Nabelschnur um den Hals, Entwicklungsverzögerungen usw. Jetzt geht es mir recht gut. Aber dennoch habe ich weiterhin Probleme";2021-08-06T21:30:35.000Z;1 like;-
18;eveppunk;"Wow. Das berührt mich sehr ""Unmenschlich viel Geduld"". Was für eine Inspiration.🔥";2021-08-06T21:16:10.000Z;1 like;-
19;empoweris_chris129;Oh ja, aber bestimmt nichts Existenzielles;2021-08-06T20:16:36.000Z;0;-
20;xeneck;"@ichbinsophiescholl hätte die ""echte"" Sophie Scholl nicht Angst, sowas öffentlich zu posten? Ich frag mich das schon die ganze Zeit - euer Projekt ist toll, aber würde sich Sophie damit nicht in unglaubliche Gefahr begeben? Auch mit dem Berichten über die Flyer usw.?";2021-08-06T20:06:41.000Z;0;-
21;miss.marly;Wie hat euer Vater seine Einstellung zur Partei vor euch versteckt? Oder wusstet ihr über seine Meinung Bescheid? Schließlich hättet ihr ja im jugendlichen Leichtsinn an falscher Stelle etwas „verplappern“ können.;2021-08-06T19:38:23.000Z;1 like;-
22;anjamuller565;Deine ganze Familie ist klasse!! Ich bewundere euch alle sehr. Dein Vater hat Dich und Deine Geschwister beim Erwachsenwerden begleitet und Euch eure Erfahrungen machen lassen. Das ist schwer, ich bin selbst Mama und kann es nachvollziehen. ❤️;2021-08-06T18:41:48.000Z;2 likes;-
23;franziska__rosa_;Hat dein Vater mal überlegt mit euch ins Ausland zu gehen bzw. zu flüchten?;2021-08-06T18:38:22.000Z;2 likes;-
24;ava.santimea;euer Vater liebt euch, ganz egal was ihr tut...;2021-08-06T18:00:35.000Z;2 likes;-
25;sewfrida;Meine Oma (Jahrgang 1911) hat mir auch erzählt, wie stolz ihre jüngere Schwester auf die BDM Abzeichen war.;2021-08-06T17:57:22.000Z;2 likes;-
26;mita_diy;Mama meinte sie wünscht sich das meine Tochter halb so schlimm wird, wie ich war😂;2021-08-06T17:57:15.000Z;2 likes;-
27;ulrikemunner;Nee,meine Mutter war glühende Mädelführerin. Mein Vater sagte sehr spät zu mir: Ich finde gut,dass du dich gegen Nazis engagiert.Was waren wir verblendet.;2021-08-06T17:52:25.000Z;2 likes;-
28;kayflemming;Der Führer führt dich;2021-08-06T17:39:56.000Z;0;-
28-1;heikegumz;@kayflemming Was meinst du damit?;2021-08-07T10:04:34.000Z;0;28
29;sume555;Wie war Eure Mutter? Hatte sie eine politische Meinung? Wie ging sie mit der Position ihres Mannes um, sagte sie was oder schwieg sie?;2021-08-06T16:33:58.000Z;2 likes;-
30;heikegumz;"Zusatz-Info: Robert Scholl hatte nicht nur ""mit seinen Kindern unmenschlich viel Geduld"", sondern war z. B. auch lebenslang mit dem führenden Nazi und überzeugten Antisemiten Dr. Ferdinand Dietrich befreundet. Dieser war u.a. verantwortlich für Verfolgung und Folterung politisch Andersdenkender, organisierte Zerstörung jüdischen Eigentums, Deportation von Juden, Zwangssterilisation von Behinderten etc.

Robert Scholl hat im Wissen darum mit seinen positiven Stellungnahmen für ihn in Prozessen 1946 und 1950 mit dazu beigetragen, dass Dietrich rehabilitiert wurde und das Verfahren gegen ihn eingestellt.";2021-08-06T16:29:10.000Z;5 likes;-
30-1;heikegumz;@heikegumz Quelle: Zoske (2021). Sophie Scholl. Es reut mich nichts. S. 38f;2021-08-06T16:30:32.000Z;5 likes;30
31;itsflowerful;Was hat bei Sophie, Inge und Hans zum Umdenken geführt?;2021-08-06T16:28:41.000Z;1 like;-
31-1;annie_henning_bayern;@itsflowerful er und seine HJ Gruppe hatten eine eigene Fahne kreirt, mit einem Drachen drauf. Bei einer Veranstaltung liefen sie mit dieser Fahne auf. Ein HJ Führer? befahl ihnen, die Fahne weg zu geben. Hans ohrfeigte ihn und wurde rausgeworfen;2021-08-06T21:40:15.000Z;1 like;31
31-2;annie_henning_bayern;@itsflowerful Sophie verstand nicht, warum ihre blond und blauäugig jüdische Klassenkameradin nicht zum BDM durfte;2021-08-06T21:41:36.000Z;1 like;31
31-3;katharina.helling;@annie_henning_bayern von der Geschichte mit Hans und der Ohrfeige habe ich auch gelesen, allerdings ist wohl nicht ganz klar, ob diese nicht lediglich Legende ist. Zumindest sind keine „Beweise“ für diese Geschichte bekannt.;2021-08-07T10:50:24.000Z;1 like;31
31-4;katharina.helling;"@annie_henning_bayern und auch die Geschichte um die Klassenkameradin von Sophie Scholl (scheint wohl eher der Legendenbildung zuzuschreiben zu sein - https://taz.de/100-Geburtstag-Sophie-Scholl/!5763605/ - in dem Artikel findet sich auch einiges zu ihrem Wandel hin zum Widerstand).
Bei Sophie war ein wichtiger Zeitpunkt für dem Wandel wohl während des RAD, wo sie sich von den anderen mehr und mehr zurückzog und mit denen sie nichts anfangen konnte. Sie las sehr viel und stellte quasi alles auf den Kopf und hatte zB mit Fritz heftige Auseinandersetzungen über Krieg, Volk und Vaterland. Eine ganz wichtige Rolle spielte wohl ihre Religiösität, die sich in der Münchner Zeit zu einem „existentialistischen Verständnis von Religiosität“ herauskristallisierte („jeder einzelne trägt die ganze Verantwortung). Muth und Haecker, der in diesem Bereich einer der bedeutendsten dt Intellektuellen war, waren da sowohl für Hans als auch für Sophie in der Münchner Zeit wichtige Mentoren/Ideengeber (hab ich so aus einem Interview ua mit Maren Gottschalk beim IfZ verstanden, über YouTube).";2021-08-07T11:16:21.000Z;2 likes;31
31-5;heikegumz;"@annie_henning_bayern Das sind leider beides Geschichten, die vor allem von Inge Scholl erzählt wurden, inzwischen aber widerlegt sind: Hans wurde nicht rausgeworfen, sondern aufgrund der ""falschen"" Fahne nur degradiert. Er war bis zum 19. Geburtstag Mitglied der HJ und auf dem Weg zur Offizierslaufbahn, als er wegen seines Engagements in der bündischen Jugend und wegen § 175 angeklagt wurde. Das hat einen sicher vorher schon begonnenen Prozess des Umdenkens weiter angetrieben.";2021-08-07T11:26:53.000Z;1 like;31
31-6;heikegumz;"@zuagroastebayrischeschwaebin @annie_henning_bayern Ja genau - Sophie Scholl war zunächst nicht nur Mitläuferin, sondern eine fanatisch überzeugte BDM-Anführerin. Sie war 2 Jahre länger Mitglied als üblich und das auch nicht nur formal, sondern aktiv engagiert noch bis Mitte 1941. Und die Story mit der jüdischen Mitschülerin ist eine unwahrscheinliche Legende: Zum einen war diese Mitschülerin nicht blond & blauäugig und wollte auch gar nicht in den BDM. Zudem hat gerade Sophie Antisemitismus niemals als Problem benannt – ihre Haltung hierzu ist unklar.
(Quelle: Zoske, R. (2021). Sophie Scholl: Es reut mich nichts. S. 51f)";2021-08-07T11:36:17.000Z;2 likes;31
32;glinzerkram;Ja. 😮;2021-08-06T16:06:47.000Z;0;-
33;_yoga_tanz;Ja doch, teilweise schon. Gewisse schulische Eskapaden haben meinen Eltern gewisse Sorgen bereitet. Naja, heute bin ich Lehrer ... 😉😁. Ich bin sehr stolz auf sie, weil man mit ihnen, beide mittlerweile in den 80ern, über alle Themen auch durchaus kontrovers diskutieren kann. Das ist in Corona-Zeiten alles andere als selbstverständlich. Allzuschnell wird man als kritischer Geist in die rechte Ecke gestellt. Toll, dass Herr Scholl so viel Geduld aufgebracht hat. Das hat die Entwicklung seiner Kinder in die richtige Richtung sicherlich stark beeinflusst.;2021-08-06T15:55:12.000Z;2 likes;-
34;gwen_gloeckchen;Ja, habe ich... 😖 Ich war zwar kein wilder Watz, aber einfach war ich trotzdem nicht. Und meine Mama hatte auch viiiiiiiiiiiiel Geduld mit mir... Liebe Grüße an alle tollen Scholls!!;2021-08-06T15:54:53.000Z;3 likes;-
35;dirk_mnsng;"Euer Vater hat an den guten Geist in euch geglaubt und gewusst, dass er eines Tages ""aus dem Innersten heraus"" erblühen und der Menschheit Großartiges hinterlassen wird";2021-08-06T15:38:27.000Z;3 likes;-
36;_josiiiet;"Was hält dann Vater Scholl vom neuen Freund von Inge Scholl oder vom Freund von Sophie Scholl? Akzeptiert er die Beziehungen oder hat er versucht, seinen Töchtern in die Beziehungen reinzureden?

PS: Ich bin ein großer Fan dieses Projekts und hoffe, dass viele Leute etwas klarer dadurch sehen können 🙌🏻💯";2021-08-06T15:26:34.000Z;3 likes;-
37;hauptstadtlady50;Ein sooooo zauberhaftes Bild von Inge und eurem Vater.;2021-08-06T15:23:08.000Z;3 likes;-
38;doris_von_;Wie schlimm muss das sein …. Ich stelle mir das als Mutter vor 😞;2021-08-06T15:21:26.000Z;2 likes;-
