Link: ;https://www.instagram.com/p/CVDv_igDnPI/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;the_green_marlene;Wie heißt die Musik?;2022-01-23T09:11:38.000Z;0;-
1-1;zeus.the.brat;"@annalena.always steht weiter unten in den komentaren: ""turn up the swing""";2022-02-21T18:31:10.000Z;1 like;1
2;boki_p92;Auf der Heide...;2021-10-22T13:57:47.000Z;1 like;-
2-1;txran_112;@booe.pe blüht ein kleines Blüüüümelein;2021-12-18T11:32:22.000Z;1 like;2
2-2;txran_112;@fendtrian EEEEERIKA!! 🇩🇪🇩🇪;2022-02-04T07:37:00.000Z;0;2
3;hdghvxxfx;Wie heißt das Lied ?🥰 ich hab ein Ohrwurm davon !😃🤗;2021-10-21T23:32:07.000Z;1 like;-
4;tishert_tak_khas;Super🔥🔥🔥👏;2021-10-21T19:57:11.000Z;0;-
5;roma_maria_mukherjee;Ich finde befremdlich, wie hier mit der historischen Person Sophie Scholl umgegangen wird. Ihre Entwicklung, ihr Engagement, ihre Familie - das wird einem doch nicht mit einem solchen Projekt nur annähernd gerecht. Auch nicht, dass sie zunächst ja durchaus gerne an Veranstaltungen des BDM teilnahm. Das müsste alles kritischer beleuchtet werden mE.;2021-10-20T09:51:15.000Z;15 likes;-
5-1;kosta_k_2001;@roma_maria_mukherjee Ja finde ich auch.;2022-01-31T04:59:03.000Z;3 likes;5
6;andy.henriksson;Hi, hörst du auch Hiphop?;2021-10-18T13:18:31.000Z;0;-
7;_pfote_aufs_herz_;So eine bildschöne junge Frau 🙌;2021-10-18T10:03:43.000Z;1 like;-
8;fitteeva;@ichbinsophiescholl ich frage mich ob Sophie in echt auch so ausgelassen war oder ob sie eher ein ruhiger zurückhaltender Typ war. Ist darüber was bekannt?;2021-10-18T09:36:59.000Z;0;-
9;axcion_music;so habe ich mich nach meinem ersten wodka-e auch gefühlt;2021-10-18T08:40:25.000Z;1 like;-
10;vallikonich;Uuuaaahhh !!! :-));2021-10-17T20:27:13.000Z;0;-
11;chriwetizi;🔥🔥🔥🔥🔥🔥🔥🔥❤️❤️❤️❤️❤️❤️;2021-10-17T19:30:24.000Z;0;-
12;aleoma2000;Was Sophie sagen würde wenn Sie Heute in dieser Zeit leben würde, würde Sie das auch so mitmachen?;2021-10-17T18:27:38.000Z;0;-
13;elvis_leee;Schönes Projekt, wie lange geht das eigentlich?;2021-10-17T17:35:44.000Z;0;-
13-1;ichbinsophiescholl;#TeamSoffer Lieber @elvis_leee, dieser Kanal verfolgt die letzten Monate Sophies Lebens und wird sie demnach noch bis zu ihrem Tod im Februar 1943, also bis Februar 2022, begleiten.;2021-10-19T11:09:41.000Z;1 like;13
14;ocin1400;Cringe;2021-10-17T17:29:07.000Z;3 likes;-
15;gerlach3000;Wie heißt der Track?;2021-10-17T17:00:29.000Z;0;-
15-1;ichbinsophiescholl;@gerlach3000 #TeamSoffer Der Song heißt „Turn up the Swing“ von Colin Sheen, Jamie Talbot und Simon Gardner.;2021-10-19T17:47:33.000Z;2 likes;15
16;jumpin52;Ich freue mich, dass du glücklich bist Sophie😍;2021-10-17T15:27:23.000Z;1 like;-
17;tomboy82uaa;Pass auf Liebe Sophie, nicht so laut machen. Die Reichskulturkammer sagt „Swing tanzen Verboten“….hoffe die Nachbarn bekommen nichts mit.;2021-10-17T12:49:57.000Z;0;-
17-1;ichbinsophiescholl;@tomboy82uaa Ja, ich muss sehr achtsam sein. Doch verzichten möcht ich nicht! Zu dieser großartigen Musik darf nur im Stillen getanzt werden.;2021-10-19T11:27:45.000Z;0;17
18;luciefeeder;Mit Bildbeschreibung 😍;2021-10-17T08:28:57.000Z;0;-
19;photography_by_ben21;🙌🙌🙌🙌😍;2021-10-17T07:43:01.000Z;0;-
20;brusseecharlie;👏👏👏;2021-10-17T07:07:49.000Z;0;-
21;chicken5346;Können wir es normalisieren, dass man so in der Öffentlichkeit tanzt😍;2021-10-17T05:11:00.000Z;0;-
22;riso5400;"Ich frage mich die ganze Zeit von welchem post ihr redet.ich finde nirgends etwas zu ausrufen ""mein gott....."" gibt es noch eine separate Story";2021-10-17T02:18:32.000Z;0;-
22-1;katharina.helling;@riso5400 es gab in der Story am Freitag das neulich angekündigte Q&A. Die ist aber abgelaufen, weil länger als 24h her. In der Wochenzusammenfassung, die heute kommt, dürfte es dann für Dich nachvollziehbar sein, worüber diskutiert wurde.;2021-10-17T10:03:17.000Z;0;22
22-2;riso5400;@zuagroastebayrischeschwaebin danke;2021-10-17T11:26:25.000Z;1 like;22
23;madinabakytzhan;Man spürt die Emotion und kann sich wirklich vorstellen als ob man Sophie kennen lernen würde! Vielen Dank für das tolle Projekt! 😍;2021-10-16T23:52:05.000Z;0;-
24;doreenirohalen;grandios 👏😍;2021-10-16T21:46:54.000Z;2 likes;-
25;janinesteenbuck;Die Musik animiert einfach zum Tanzen 😍;2021-10-16T17:11:59.000Z;1 like;-
26;masterstudionordest;🙌❤️;2021-10-16T17:10:59.000Z;0;-
27;imhotep_nefertari;😍😍😍;2021-10-16T17:04:59.000Z;0;-
