Link: ;https://www.instagram.com/p/CV-ATuRoT1w/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;tim.frc;Meiner Meinung ist das man sollt nie lügen. Aber Sophie hat gelügt zu seine Schwester für ihre Protection. Weil es ist sehr riskant in eine Wiederstand seinen. Die nazis kann dich ermorden. Für mich ich dachte das Sophie hat die gute Wahl gemacht, und es ist besser für Inge dass sie weiss nicht über die Weisse Rose.;2022-01-12T08:49:03.000Z;0;-
2;ambre.chalumeau;Hallo Sophie! Meiner Meinung nach ist das, was du tust, nicht richtig gegenüber deiner Schwester. Warum tust du das deiner Familie an? Du kannst sie nicht anlügen, sie ist deine Schwester! de laïs et ambre;2022-01-12T08:48:43.000Z;0;-
3;armand.03_;"Meiner Meinung nach ist Sophies Verhalten gegenüber ihrer Schwester gut.
Ich denke, dass Sophie ihre Schwester Schutzen will.
Das ist sehr gefährlich für Inge ! Ich verstehe, dass Sophie nicht will, dass Inge mitmacht!!! Für mich ist das der Kampf von der Weiße Rose aber nicht für Inge.";2022-01-12T08:47:23.000Z;0;-
4;willads1269;Halloo Sophie😎, ich denke dass du die verheilt zu Inge sagen muss. Was du machst is sehr gefährlich und deshalb sollst du zu deinen Schwester über die weiße Rosse alles erklären! Viel Glück🙃🥨;2022-01-12T08:47:18.000Z;0;-
5;_maaaanon_13;Auf der einen Seite finde ich, dass das nicht net von Sophie ist. Das ist ihre grosse schwester une dans ist wichtig in der Familie kein zu Geheimnis haben.;2022-01-12T08:47:05.000Z;0;-
6;__noramaye__;Ich denke, dass in einer guten Familie das Vertrauen wichtig jst. Du sollst immer die Wahreit sagen aber dieses mal vielleicht nicht. Nicht sagen, dass sie in en Widerstand ist. Das kann die Famille beschützen.;2022-01-12T08:46:01.000Z;0;-
7;_seoo_0_;Ich denke,dass Inge beunruhigt ist über das Verhalten von seine Schwester Sophie.;2022-01-12T08:45:54.000Z;0;-
8;lelelucky1525;"Ich denke, dass du die wahrheit sagen solltest. Weil sie ihre Schwester ist und es ist wichtig die wahrheit zu sagen.
Sonst hast du ein konflikt mit Sie. Sie kann dich verraten. Also, sprich übet alles.";2022-01-12T08:45:51.000Z;0;-
9;nthets0731;"Aus meiner Perspektive, finde ich das gute.
Sie lugt Inge an, weil sie sie nicht in Gefahr bringen will. 🇩🇪💪🏼";2022-01-12T08:44:58.000Z;0;-
10;li.rams12058;Hallo Sophie, Ich denke, du Inge vertrauen sollte. Meiner Meinung sollte du Inge die Wahrheit sagen.;2022-01-12T08:44:41.000Z;0;-
11;a.lsd.c;Sie solltet ihre Schwester gesagt. Es hat das Vertrauen gebrochen zwichen die zwei Schwestern.;2022-01-12T08:43:44.000Z;0;-
12;semi.gamer;Hallo Sophie, ich denke dass dein Verhalten gegen über deiner Schwester nicht korrekt ist, sie ist deine Schwester und du sprichst mit ihrem Freund. Du solltest ihr die Wahrheit sagen, ihr alles erklären. Es ist wichtig dass sie versteht warum du herumreist.;2022-01-12T08:27:48.000Z;0;-
13;wene_beinhart;Hab grade gedacht, bei MIR klingelts! Hört sich genauso an. 😂 Und das schon 1941. 😂😂;2021-11-07T18:48:14.000Z;0;-
14;dieanachronistin;"CN Gewalt/Mord/Suizid

7. November 1938: ""Herschel Grynszpan betritt die deutsche Botschaft in Paris. In seiner Tasche ein Revolver. Vor kurzem hatte ihn ein Brief seiner Schwester erreicht: Die ganze Familie deportiert von Deutschland nach Polen.

Grynszpan fragt die Vorzimmerdame nach dem Botschaftssekretär und wird von ihr ohne weitere Nachfragen zu Ernst vom Rath vorgelassen. Grynszpan zögert nicht. Historischen Berichten zufolge schreit der 17-Jährige: ""Sie sind ein schmutziger Deutscher und jetzt übergebe ich Ihnen im Namen von 12000 verfolgten Juden die Quittung"".

Dann feuert er fünf Schüsse auf Rath, ein Projektil durchschlägt seine Milz. Zwei Tage später ist der Diplomat tot. Die französischen Behörden verhaften Herschel Grynszpan, er wird wegen Mordes angeklagt. In Berlin aber instrumentalisiert man die Tat sofort.

Die Nazis stellen Grynszpan als Teil einer jüdischen Weltverschwörung dar. Auf Geheiß von Propagandaminister Joseph Goebbels wurde überall im Reich Gewalt gegen jüdische Deutsche entfesselt.

Hunderte werden in der ""Reichspogromnacht"" vom 9. auf den 10. November ermordet oder in den Suizid getrieben, unzählige Menschen misshandelt, bedroht und traumatisiert. Tausende Synagogen, jüdische Einrichtungen, Friedhöfe und Geschäfte werden angezündet, geschändet und verwüstet. 30 000 Juden werden in Konzentrationslager verschleppt.""

Quelle: https://www.sueddeutsche.de/politik/ns-geschichte-das-raetsel-um-herschel-grynszpan-1.3301760";2021-11-07T14:32:35.000Z;6 likes;-
15;bettine1960;Ich glaube die Überraschung zu kennen: Hans kam am 6.11. aus Russland zurück...;2021-11-07T12:59:30.000Z;5 likes;-
16;anjamuller565;❤️????;2021-11-07T12:58:42.000Z;0;-
17;caro_bloggt;👏👏👏👏👏;2021-11-07T12:22:41.000Z;1 like;-
18;lxeileen;👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻;2021-11-07T09:23:59.000Z;2 likes;-
