Link: ;https://www.instagram.com/p/CZ-GuPbMo96/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;flowing1978;Ich find dieses Instagram Profil peinlich und würdelos. Es zieht Sophie Scholl in den Dreck.;2022-02-21T11:03:34.000Z;0;-
2;jessis_blog;Ich will ja nichts vorweg nehmen... Aber der Urlaub findet nicht statt;2022-02-17T10:39:09.000Z;0;-
3;yamatoookami;Liebe Sophie, auch in schweren Zeiten kann man sich etwas Ruhe und eine Auszeit gönnen. Es ist also überhaupt nicht egoistisch, auf sich zu achten. ❤;2022-02-17T06:49:17.000Z;1 like;-
4;sweetjuliepb;Am 22.02. wurde sie hingerichtet. Bald ist der 22. Wird die Geschichte zeitgleich mit heutigem Datum erzählt? Zumindest war es bei Weihnachten und Neujahr so. Wenn ja, dann wäre sie ja morgen bereits verhaftet;2022-02-17T05:53:47.000Z;7 likes;-
5;mate_to_go;Pass auf dich auf Sophie🙏🏼;2022-02-16T22:40:34.000Z;0;-
6;emsworld_____;Nein, es ist nicht egoistisch, sich erholen zu wollen. Ihr müsst auch auf eure eigenen Limits achten!❤️;2022-02-16T20:13:24.000Z;1 like;-
7;we_k_bmh_do_re;Mir wird sehr schwer ums Herz 😢;2022-02-16T12:09:26.000Z;0;-
8;derstorchbringts;Wie lange habt ihr insgesamt für dieses Projekt gedreht? Ich finde so einen Kanal so spannend und wünschte, es gäbe mehr von diesen ❤️;2022-02-16T09:54:31.000Z;8 likes;-
9;sebastian_aus_bielefeld;Keinesfalls! Alles stehen und liegen lassen... 😬;2022-02-15T18:12:38.000Z;1 like;-
10;giusy79_;Genießt die gemeinsame Zeit ☀ 🎿;2022-02-15T18:02:09.000Z;0;-
11;johannschwarz15;Es kommt immer auf die Situation an, wie diese Sache gesehen wird. So viele Dinge schweben im Kopf, sodass manche Dinge beinahe aus der Sicht gelassen werden.;2022-02-15T17:51:17.000Z;0;-
12;isa_izzyy;Wären sie doch nur früher in den Urlaub gefahren...;2022-02-15T17:40:13.000Z;11 likes;-
13;xanna146;Liebes #teamsoffer wir wissen ja wie es bald „ausgeht“, stehen in den Tagebüchern tatsächlich Pläne für die nächste Zeit, wie das Ski fahren oder ist das rein fiktiv?;2022-02-15T17:39:19.000Z;15 likes;-
14;annie_henning_bayern;Nein, ist es nicht. Habt ihr verdient;2022-02-15T17:26:14.000Z;0;-
15;italiadree;Mich würde interessieren, wie es den Schauspielern damit geht? Sie haben jetzt ein Jahr Sophie, Hans und die anderen verkörpert. Ist sicherlich auch nicht leicht;2022-02-15T16:21:06.000Z;29 likes;-
16;bishop.001;Nein, Egoismus ist etwas ganz anderes;2022-02-15T16:07:53.000Z;0;-
17;schroederachim;Hieß die Hütte „Bürsteg“;2022-02-15T15:19:43.000Z;0;-
18;streckerin;Geht Skifahren und genießt jede Sekunde - JETZT!!! Wer weiß, was die nächsten Tage bringen...;2022-02-15T13:37:03.000Z;3 likes;-
19;mariatnns;In welchem Jahr befinden wir uns jetzt genau?;2022-02-15T13:17:18.000Z;0;-
20;baikaforever;Fahrt in den Urlaub und tankt Eure Kräfte auf.;2022-02-15T12:25:11.000Z;0;-
