Link: ;https://www.instagram.com/p/CV0qlRXM0mb/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;king_of_death181;❤️;2021-11-29T11:00:39.000Z;0;-
2;alter_acc_drillingsmami.plus1;"Held : jemand, der sich mit Unerschrockenheit und Mut einer schweren Aufgabe stellt, eine ungewöhnliche Tat vollbringt, die ihm Bewunderung einträgt

Zum Beispiel Knochenmark spenden und ein Leben retten 🙏🏼";2021-11-05T11:24:18.000Z;0;-
3;miwagner212;Ich kann seine Entscheidung die Familie nicht in Gefahr zu bringen nachvollziehen. Ich hätte wahrscheinlich genauso reagiert;2021-11-04T07:06:42.000Z;9 likes;-
3-1;ichbinsophiescholl;@miwagner212 Ich kann es ebenfalls nachvollziehen, schließlich weihe ich, weihen wir da Inge nicht ein und dennoch: Er war immer der Radikale in seinem Handeln! Vielleicht bin ich deswegen so enttäuscht, dass er nun nicht so handelt.;2021-11-04T09:09:39.000Z;4 likes;3
4;abookncoffee;Ist es nicht so, dass otl aicher nicht der Hitlerjugend beigetreten ist und deshalb auch kein Abitur machen durfte... und hat er sich nicht auch selbst eine Verletzung beigebracht um dem Kriegsdienst zu entgehen? Hab ich das falsch im Kopf???;2021-11-04T06:14:00.000Z;5 likes;-
4-1;ichbinsophiescholl;@abookncoffee #TeamSoffer Genau, er verweigerte den Eintritt in die HJ und wurde 1941 deswegen nicht zum Abitur zugelassen.;2021-11-04T08:52:28.000Z;4 likes;4
5;lena.aurnhammer2020;Wann wirst du es inge sagen?wirst du es ihr überhaupt sagen ? Wenn Inge es rausfindet wird sie sicher sauer sein oder?❤️;2021-11-03T21:57:17.000Z;0;-
5-1;ichbinsophiescholl;@lena.aurnhammer2020 Inge wird sicherlich nicht begeistert sein... Doch dieser Streit wäre nebensächlich, wenn die Möglichkeit bestünde, dass ich Otl tatsächlich für die Weiße Rose überzeugen kann...;2021-11-04T09:12:40.000Z;2 likes;5
6;rouge_noir5;😢;2021-11-03T21:31:41.000Z;0;-
7;giusy79_;Weiß man, ob Inge von eurem Treffen erfahren hat?;2021-11-03T20:13:37.000Z;6 likes;-
7-1;ina_klu;Das interessiert mich auch?;2021-11-03T20:23:32.000Z;1 like;7
7-2;ichbinsophiescholl;@giusy79_ #TeamSoffer Inge erfuhr von diesem Treffen. Es ist in ihrem Gebetsheft dokumentiert, dass es ihr immer aufs Neue wehtue, auch wenn sie rational weiß, dass die Treffen zwischen Sophie und Otl nichts zu bedeuten hatten.;2021-11-04T10:47:40.000Z;9 likes;7
8;nichtsophiescholl;"Elisabeth Scholl war überzeugt, dass ihre Geschwister Hans und Sophie auf keinen Fall als Helden hätten gelten wollen.
Warum das ihrer Meinung nach so sei, erläuterte sie wie folgt:
„Helden, dieses Wort war für uns immer negativ besetzt gewesen. Und jeder, der Sophie kannte, wusste, dass sie selbstbewusst, aber bescheiden war. (…) Was mir ganz wichtig ist, dass So­phie und Hans keine Helden waren. Denn wenn sie als Helden be­trachtet werden, dann ist das eine Entschuldigung auch für die an­ deren. Jeder kann dann sagen, zum Helden bin ich nicht geboren. Aber meiner Meinung nach wäre es im Dritten Reich möglich ge­wesen, nicht nur im stillen Kämmerlein gegen Hitler zu sein, sondern es auch auf die eine oder andere Weise zu zeigen.“

Quelle des Zitats: „Die Weiße Rose - Zeitzeugen erinnern sich“ von Elisabeth Basler.";2021-11-03T20:12:01.000Z;37 likes;-
8-1;kathafuer;@nichtsophiescholl Danke für dieses Zitat!;2021-11-03T20:40:56.000Z;6 likes;8
8-2;frauenvondamals;"@nichtsophiescholl Dann scheint diese Darstellung mir ja, gelinde gesagt, nicht sehr ""in character"" zu sein.";2021-11-04T05:45:44.000Z;3 likes;8
9;charlies_chaotische_welt;Ihr seid wahre Helden🙌nur wisst ihr es nicht. Man hat euch leider zu spät als solche anerkannt;2021-11-03T19:55:34.000Z;1 like;-
