Link: ;https://www.instagram.com/p/CTEPwCDsSq7/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;carojojomeyer;Und ich war gestern auf einer Hochzeit mit vollem Buffet und freier Auswahl. 😮;2021-08-29T13:19:29.000Z;0;-
2;tofu.ausm.darknet;Was wird das damals alles zusammen gekostet haben 🤔;2021-08-28T07:52:04.000Z;0;-
3;netratz;🔥❤️;2021-08-28T04:50:20.000Z;0;-
4;ulrikemunner;Gab es damals alles?Kann ich mir nicht vorstellen.;2021-08-27T16:35:12.000Z;0;-
5;riso5400;Ich würde Inge auf jeden Fall nochmal fragen ob sie wirklich Pflaumen meint oder nicht etwa zwetschga. Im schwäbischen reden wir immer von Zwetschga , ich habe lange gar nicht gewusst was Pflaumen sind.;2021-08-27T15:55:48.000Z;0;-
6;dr.yuri2;Sie hat sich sicher gedacht, schreib das Doppelte auf, um die Hälfte zu bekommen.;2021-08-27T15:04:43.000Z;0;-
7;lola_konfus_;WIR wollen doch das ALLE Lebewesen frei sind. Niemand ist frei bis Alle frei sind ❤️;2021-08-27T14:33:52.000Z;0;-
8;ichbinjuedin_ichbindeutsche;"Inge träumt warschein von einer ""normalen Mahlzeit"" und verdrängt auf diese Weise ein Stück weit die Schwierigkeiten.";2021-08-27T12:01:42.000Z;49 likes;-
8-1;ichbinsophiescholl;@ichbinjuedin_ichbindeutsche Ja, das kann ich mir auch gut vorstellen...;2021-08-27T12:57:18.000Z;19 likes;8
9;schmidtanke69;Und heutzutage wird gemeckert, wenn mal 1 Sorte Wurst gerade nicht da ist.;2021-08-27T11:03:41.000Z;2 likes;-
10;bibibremen;Tolles Projekt von euch. Macht einen echt nachdenklich. Wie oft ich mich unnütz ärgere, dass irgendwas mal ausverkauft ist...Man ist ganz schön verwöhnt;2021-08-27T10:43:31.000Z;60 likes;-
10-1;ichbinsophiescholl;@bibibremen #TeamSoffer Danke für dein liebes Lob!;2021-08-27T10:51:46.000Z;13 likes;10
11;sommeregen666;Dass 1942 noch niemand die lateinische Schreibschrift in Deutschland schrieb, weisst du aber...? Ausser ein paar Grundschülern natürlich.;2021-08-27T10:40:55.000Z;1 like;-
11-1;maja_furiaroja;@sommeregen666 Stattdessen Sütterlin? 🤔;2021-08-27T14:42:19.000Z;1 like;11
11-2;sommeregen666;@maja_furiaroja wurde erst 1941 von den Nazis in den Schule durch die lateinische Schreibschrift ersetzt;2021-08-27T19:10:43.000Z;0;11
12;felicitas.hecker;Was sind so eure Standard- Mahlzeiten? Was konntet ihr bekommen? Ich / meine Vorfahren kommen aus dem Sauerland. Da ist die Versorgung geregelt durch die Landwirtschaft.;2021-08-27T10:33:04.000Z;0;-
13;o.dani.g.o;@ichbinsophiescholl ich habe dein Posting heute früh gelesen und musste schmunzeln. Ich hatte jedoch jetzt erst Zeit dir zu schreiben. Inge ist ein Goldschatz in Person! Sie weiß bestimmt selbst, dass es das Meiste gar nicht gibt und das Saisonale nur mit viel Glück in kleiner Menge. Hast Du bedacht, dass das kein Einkaufszettel ist sondern eine Liebeserklärung an Dich? Vielleicht will sie dir damit sagen, dass Du die Hoffnung nicht aufgeben sollst, dass Du Dich erinnern musst an die tollen Dinge auf dem Zettel, an deren Haptik, Optik, Geschmack und Geruch. An schöne Erinnerungen in Verbindung mit den Lebensmitteln. Du sollst Dich erinnern, damit du nicht vergisst. Das ist eine Liebeserklärung für Dich, für die Zukunft und gegen das Vergessen. Es soll Dir Mut machen. Vielleicht trocknet dieser Zettel auch so manche Träne. Es wäre Dir zu wünschen. 🙏🏼;2021-08-27T10:25:23.000Z;9 likes;-
13-1;ichbinsophiescholl;@_daniel_glas_ So habe ich es noch gar nicht gesehen, danke für die lieben Worte. Und ja, Inge ist wirklich ein toller Mensch. 🖤;2021-08-27T10:30:51.000Z;2 likes;13
13-2;kyp_one;@_daniel_glas_ I ❤️ reframing 😍;2021-08-27T10:58:45.000Z;1 like;13
14;katharina.helling;Wenn man bedenkt, dass im Haushalt gerade nur 3 Personen zu versorgen waren und Sophie Scholl zum Mittagessen glaube ich nicht mach Hause kam, ist das ganz schön üppig und dass Inge, die ja auch sonst viel im Haushalt erledigte, da die Mutter ja gesundheitlich angeschlagen war und auch Lebensmittelpakete für Sophie nach München schickte (mit Schreiben von 15.06.1942 kündigte sie ihr zB ein ExpressPaket an), kann ich mir fast nicht vorstellen, dass die Bestellung reell ist und Inge dazu vergisst die notwendigen Marken beizulegen.;2021-08-27T09:24:47.000Z;8 likes;-
14-1;kathafuer;@zuagroastebayrischeschwaebin Gerade Posts wie dieser bewirken, dass sich die beschriebene Zeit nicht wie „Kriegszeit“ anfühlt. Fleisch, Fisch, Gemüse ohne Mengenangabe … Ich weiß nicht, ob es nur mit so geht, aber der Eindruck, der bei mir „ankommt“ ist viel weniger „Krieg“ als diverse Bücher, die ich zu dem Thema gelesen habe.;2021-08-28T22:11:39.000Z;1 like;14
15;heikegumz;"Inge Scholl unterstützte als älteste Tochter zu diesem Zeitpunkt bereits seit vielen Jahren ihre Mutter und hat jahrelang viel Verantwortung auch in der Haushaltsführung (und im Steuerbüro des Vaters) übernommen. Es ist also quasi ausgeschlossen, dass sie derartig wirklichkeitsfremd war, einen solchen Einkaufszettel zu schreiben.

Diese verfälschte Darstellung der Person mag im historischen Gesamtzusammenhang eine Randnotiz sein. Ich denke aber auch daran, dass ja noch Kinder und Enkelkinder von Inge Aicher-Scholl leben. Und denen gegenüber find ich es nicht so fair, ihre Mutter/Großmutter hier auf diese, negative Weise verfremdet darzustellen.";2021-08-27T09:21:00.000Z;21 likes;-
15-1;o.dani.g.o;@heikegumz Ich schrieb vorhin meine Gedanken hierzu. Vielleicht finden Sie mein Posting und sind mit meinen Eindrücken hierzu eher einverstanden. Ich finde es hingegen auch nicht gut, dass den Machern dieses Kanals ein solcher Vorsatz unterstellt wird. Alles im Leben hat mindestens zwei Seiten. So auch dieser Beitrag. Warum ich Ihren Beitrag kommentiert habe? Ich persönliche finde positive Impulse wichtig in der aktuellen Zeit. Alles Gute für Sie.;2021-08-27T10:51:22.000Z;2 likes;15
