Link: ;https://www.instagram.com/p/CYbSIO_MsEj/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;viktoriaschuck;"Könntet ihr erklären, was Willi Grafs ""bündische Untriebe"" waren? War er Teil einer Pfadfindergruppe, es wäre aber nur die HJ erlaubt gewesen? Und welche Ziele hatten Gruppen, deren Mitglieder dann wegen bündischer Umtriebe verhaftet wurden? Das fände ich spannend! @ichbinsophiescholl";2022-01-08T23:57:56.000Z;0;-
2;ultrarecognizer;#trudesimonsohn 😢in tiefster trauer 🖤🖤🖤rest in peace Trude! #theresienstadt #holocaustsurvivor;2022-01-08T10:12:37.000Z;1 like;-
3;tatjanaohmes;Weißt Du was…bleib einfach so, wie Du bist! Alles Andere wird sich schon noch ergeben! 😘😘😘;2022-01-07T20:46:44.000Z;1 like;-
4;manjasiber;Das ist lieb. Ich glaube, wenn du Willi freundlicher begegnest, dich für vorheriges Murrigsein vielleicht entschuldigst, ist viel gewonnen.;2022-01-07T20:28:36.000Z;0;-
5;mayasiiri;Eine Flasche Maggi und ein Ring Lyoner 😉💚;2022-01-07T19:04:05.000Z;0;-
6;a.nnemari.e;Was passiert eig mit dem Kanal nach dem 22.2?;2022-01-07T18:31:23.000Z;0;-
7;changed.by.popular.demand;"Anneliese Knoop-Graf, die Schwester von Willi Graf, über Sophie Scholl: „Wenn sie dann etwas sagte mit ihrer leisen Stimme und in ihrer gründlichen Art, hatte man den Eindruck, sie habe es erst dann aussprechen können, als sie sich mit ihrer ganzen Person dazu stellte. In dieser Hinsicht war sie übrigens meinem Bruder eher verwandt als ihrem.“
https://www.gdw-berlin.de/fileadmin/bilder/publikationen/Beitraege-NeueFolge/Beitraege_zum_Widerstand_Nr._3-2021.pdf";2022-01-07T18:04:08.000Z;15 likes;-
8;christianpintz;Hey Sophie, wenn ein Blume mal nach Dir benannt werden sollte, was für eine Blume wäre es und welche Farbe hätte sie?;2022-01-07T16:57:38.000Z;1 like;-
9;valeriabajanabilbao;Liebe @ichbinsophiescholl die bessere Frage wäre: Was könnte Willi machen um dir das Gefühl zu geben einen gleichberechtigten Mitglied der Weiße Rose zu sein? Du bist schließlich länger als ihn bei den Widerstand gewesen, bringst also mehr Erfahrung in eure Arbeit ein. Es ist nicht deine Aufgabe mehr zu machen um ihn dort willkommen zu heißen, vor allem nicht wenn er dir immer wieder spüren lässt, dass deine Meinung nicht wichtig ist. Er kann jemand wichtiges für dein Bruder und ihn gut tun, und trotzdem gleichzeitig im Unrecht sein (was sein Verhalten gegenüber dir angeht).;2022-01-07T14:13:02.000Z;1 like;-
10;multitude.of.drops;Liebes Team hinter Sophie, mich würde Mal interessieren ob es einen bestimmten Grund gibt, weshalb ihr auf manchen Fotos das SWR Logo macht und auf manchen nicht 🤔 Meine Vermutung war, dass es auf den Fotos ist, die Nazipropaganda zeigen, um sie deutlich als Teil eines solchen Projekts zu kennzeichnen. Aber auf dem Plakat zum Verdunkeln ist zb kein Logo drauf... Bin einfach neugierig.😊;2022-01-07T12:58:19.000Z;4 likes;-
11;changed.by.popular.demand;"„Was aber tut das deutsche Volk? Es sieht nicht und es hört nicht. Blindlings folgt es seinen Verführern ins Verderben. Sieg um jeden Preis! haben sie auf ihre Fahne geschrieben. Ich kämpfe bis zum letzten Mann, sagt Hitler - indes ist der Krieg bereits verloren.

Deutsche! Wollt Ihr und Eure Kinder dasselbe Schicksal erleiden, das den Juden widerfahren ist? Wollt Ihr mit dem gleichen Maße gemessen werden wie Eure Verführer? Sollen wir auf ewig das von aller Welt gehaßte und ausgestoßene Volk sein? Nein! Darum trennt Euch von dem nationalsozialistischen Untermenschentum! Beweist durch die Tat, daß Ihr anders denkt! Ein neuer Befreiungskrieg bricht an. Der bessere Teil des Volkes kämpft auf unserer Seite. Zerreißt den Mantel der Gleichgültigkeit, den Ihr um Euer Herz gelegt! Entscheidet Euch, ehe es zu spät ist!“

Flugblatt V Weiße Rose
#wirsindeuerbösesgewissen";2022-01-07T12:16:14.000Z;19 likes;-
12;heikegumz;"Tagebuchauszug Willi Graf, 14.1.43
""Seltsam müde bin ich an manchen Stunden. Dann gelingt es mir nicht einmal, einen Gedanken zu fassen und zu überlegen. Es ist wieder diese Unruhe in mir, wie sie mich manchmal überkommt, ohne daß ich aber die letzte Ursache dafür wüßte. Viel Zeit geht damit vorbei, daß ich mich mit dem Plan beschäftige. Ob das der richtige Weg ist? Manchmal glaube ich sicher, manchmal zweifle ich daran. Aber trotzdem nehme ich es auf mich, wenn es auch noch so beschwerlich ist.""";2022-01-07T11:44:42.000Z;20 likes;-
13;jeanbecci;@timur_bartels erzähl mal, wie könnte @ichbinsophiescholl Willi zeigen, dass sie mit ihm zusammenarbeiten will? Und wie ist es eigentlich so etwas Historisches zu spielen und zu wissen, dass der den du spielst zum Tode verurteilt und hingerichtet wurde? Hat schon irgendwie ein bisschen Parallel zu deiner Rolle aus Club der roten Bänder, Alex hatte es ja auch wirklich gegeben #sadstorys 😢😢;2022-01-07T11:44:06.000Z;1 like;-
14;katharina.helling;".
🗓 07.01.1943

◾️ Bezirk Bialystok/Auschwitz

Aus dem Ghetto in Augustów werden etwa 2.000 Menschen nach Auschwitz eingeliefert. Nach der ""Selektion"" werden 215 Frauen und 296 Männer als Häftlinge registriert; die anderen Menschen aus diesem Zug, etwa 1.490, werden in den Gaskammern ermordet. (Czech, S. 379)
〰️
Quelle:
http://www.holocaust-chronologie.de/chronologie/1943/januar.html";2022-01-07T11:42:35.000Z;7 likes;-
15;katrinpruchniewski;"Einfach freundlich sein, beim nächsten Treffen.
Manchmal hat es garnicht damit zu tun, daß man ausgeschlossen werden soll.
Ich denke Willi braucht länger, um Jemanden zu vertrauen.";2022-01-07T11:33:58.000Z;4 likes;-
16;5a3eth;Hör ihm zu…;2022-01-07T11:32:36.000Z;0;-
17;giusy79_;Ich finde es schön das sich Hans bei dir entschuldigt hat. Und auch wichtig das du seine Entschuldung annimmst ❤️;2022-01-07T11:31:22.000Z;15 likes;-
18;katinkahe;Ich kann mir nichtmal ansatzweise vorstellen wie furchtbar seine Erfahrungen gewesen sind. Und es ist daher so wichtig Bezugspersonen zu haben. Aber dennoch ist es nicht ok, seine Wut an anderen auszulassen. Auch Willi hat sich falsch verhalten.;2022-01-07T11:27:50.000Z;5 likes;-
19;menevabene;Hallo Sophie, bezüglich deiner Frage am Schluss: Vielleicht kannst du Willi ja zunächst sagen, wie sehr du sein Engagement in der weißen Rose schätzt und wie froh du für alle Leute innerhalb der Gruppe bist, weil euch die selbe Motivation antreibt?;2022-01-07T11:18:33.000Z;11 likes;-
20;christophergreverode;Ich denke, Ihr alle seid zu einem Höchstmaß angespannt. Seid nachsichtig miteinander, auch wenn mal einer kränkendes Verhalten zeigt. Am Ende geht es doch um die Sache, die Euch eint!! ❤️;2022-01-07T10:58:55.000Z;48 likes;-
21;ichbinsophiescholl;#TeamSoffer Bevor Willi Graf mit Hans Scholl und Alexander Schmorell im Sommer 1942 als Sanitätssoldat in die Sowjetunion kam, war er bereits nach einem Gefängnisaufenthalt (wegen bündischer Umtriebe) zum Wehrdienst eingezogen worden: an die West- wie Ostfront. Von der Brutalität des Krieges war er bereits erschüttert, bevor er Scholl und Schmorell kennenlernte. Anneliese Knoop-Graf, Willis jüngere Schwester, schreibt in einer Vorbemerkung zu seinen herausgegebenen “Briefen und Aufzeichnungen”, dass ihr Bruder Willi seit seinem ersten Einsatz an der Ostfront verstärkt unter Einsamkeit und Entfremdung gelitten habe. Aus seinen Tagebuchaufzeichnungen aus der Sowjetunion 1942 wird deutlich, wie wichtig ihm Hans und Alex wurden.;2022-01-07T10:58:16.000Z;253 likes;-
