Link: ;https://www.instagram.com/p/CTJ-cEdoPL7/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;tam1805;Männer wie Friedrich wird es leider immer geben...sonst nichts zu sagen, aber dann, bei vermeintlichen Opfern einen auf Diktator machen...die Würstchen...;2021-08-30T12:28:49.000Z;1 like;-
2;smalltalk201;😢;2021-08-29T17:41:46.000Z;0;-
3;ichbinjuedin_ichbindeutsche;Die Ausstattung ist hervorragend, danke dafür. Männer wie Friedrich hatten in dieser Zeit plötzlich Macht und haben sie auch ausgenutzt.;2021-08-29T15:14:45.000Z;3 likes;-
4;annemarieneusch;"Viele der Männer damals haben ihre Chance genutzt sich einmal groß und stark fühlen zu können, obwohl sie arme Würstchen waren, denn immerhin war es ja ""im Sinne des landes"" so zu handeln. Wer weiß, wer sie vorher unterbuttert hat, dass sie sich so ihr Ego polieren mussten.";2021-08-29T13:31:07.000Z;16 likes;-
5;netratz;🔥❤️;2021-08-29T12:15:02.000Z;0;-
6;guess.who.i.am.s;Was ist mit dem Auge von Friedrich los?;2021-08-29T11:44:41.000Z;4 likes;-
6-1;ichbinjuedin_ichbindeutsche;@guess.who.i.am.s hallo, die Figur Friedrich ist fiktiv. Wäre er vollkommen gesund wäre er an der Front, mit dem Auge (was genau er hat oder haben soll kann ich nicht sagen) aber wird er an der Heimatfront eingesetzt und genießt sicherlich seine unerwartete Macht.;2021-08-29T15:17:21.000Z;6 likes;6
7;jzudemay;Ich liebe diesen Account und wieviel Arbeit und Liebe ihr da rein steckt ❤️;2021-08-29T11:27:15.000Z;22 likes;-
7-1;lailinskii;@jzudemay werde so traurig sein wenn das hier irgendwann ein ende findet…;2021-08-29T20:22:32.000Z;3 likes;7
8;giusy79_;Höre nie auf liebe Sophie, an das Gute der Menschheit zu glauben, selbst wenn dein Glauben so schwach und manchmal so absurd scheint. Derjenige, der ständig glaubt, findet immer im inneren seines Seins die Kraft der Liebe und der Hoffnung. 🙌❤️;2021-08-29T11:12:14.000Z;7 likes;-
9;annie_henning_bayern;Mach mal dein anderes Augen auf und du weißt warum sie so schauen;2021-08-29T11:09:29.000Z;2 likes;-
9-1;heikegumz;@annie_henning_bayern Ich vermute, dass du es nicht so meinst und die Aussage nur unbedacht war. Aber so, wie sie formuliert ist, wirkt es abwertend gegenüber Menschen mit Behinderung.;2021-08-29T18:50:01.000Z;5 likes;9
9-2;annie_henning_bayern;@heikegumz nein, ich meinte nur ihn und sonst keinen;2021-08-30T13:08:35.000Z;0;9
