Link: ;https://www.instagram.com/p/CX8LQC9MHJ-/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;littlefoot_29;😢;2022-01-03T12:22:34.000Z;0;-
2;88balken88kreuz88;❤️;2022-01-01T00:01:17.000Z;0;-
3;britt.aw;Ja, Weihnachten ist Christi Geburt. Ich finde es sehr gut, dass ihr die Haltung und die Tätigkeiten der Geschwister Scholl gerade auch im Bezug auf ihren Glauben darstellt!;2021-12-29T20:41:06.000Z;0;-
4;andersanni;Geschenke bringt der Weihnachtsmann nicht das Christkind. Zumindest im Norden.;2021-12-28T08:35:45.000Z;0;-
5;simon29051997;Natürlich feier ich die Geburt von Jesus Christus;2021-12-27T22:26:00.000Z;0;-
6;irene.garbe3;Christlich;2021-12-27T18:42:21.000Z;1 like;-
7;hi_its.me.steffi;Ja, da wir auch katholisch sind.;2021-12-27T16:27:36.000Z;2 likes;-
8;sarasminpoel;Interessant dass es diese Bemühungen gab. Allerdings ist das Weihnachtsfest ja per se voller unchristlicher Traditionen und im Grunde das altrömische Sonnenwendfest. Da haben die Nazis nur erfolglos versucht, was den Römern gelungen war.;2021-12-27T10:41:32.000Z;1 like;-
9;vineyard.snail;Tatsächlich bin ich mit beidem aufgewachsen. Das diese Bräuche „keltisch“ waren oder NS spezifisch wusste damals kein Mensch. Schon VOR dem NS gab es diese Bräuche. Bauernhäuser aus dem 16. Jh. hatten meist auch noch einen Drudenfuß um böse Geister abzuhalten. Usw. Frau Precht war ein fester Bestandteil und die Geschichten drum herum einfach faszinieren. Wir feierten aber dennoch immer das christliche Weihnachtsfest. Auch das Räuchern und Gebräuche um die Rauhnächte herum wurden mit in der Kirche geweihtem Weihrauch zelebriert. Christentum und Brauchtum waren auch ohne die NS Spinner eng miteinander verwoben. Zumindest bei uns hier im Voralpenland. Hakenkreuz und Co. gab es bei uns nicht.;2021-12-27T08:47:48.000Z;0;-
10;rainbows_and_i;Immer wieder gruselig das zu sehen... 😔;2021-12-27T08:18:58.000Z;0;-
11;tessa.dreher;Oh Mann - an das hab ich bis jetzt gar nicht gedacht😢. Es musste wohl alles verändert werden. ..... Bei uns kommt das Christkind und die Kinder freuen sich wenn im Baum ein Glöckchen zum klingen bringt. Zwei Atheisten und eine Chinesin gehören zu uns, und ändern wollen wir nix;2021-12-27T06:12:22.000Z;0;-
12;fenster.nach.israel;❤️ Ach, wenn du wüsstest, wie das heute ist: in der Schule darf man - zumindest bei uns - keine Weihnachtsgeschichten mehr erzählen. Politisch korrekt soll man frohe Feiertage wünschen. Fest der Liebe anstatt Geburt Jesu feiern und die Weihnachtsgeschichte wurde durch Santa Claus und Elfen ersetzt... 🎄;2021-12-27T02:09:30.000Z;0;-
13;rco_pnnr;Hat Frau Holle was mim nationalsozialismus zu tun ? 😦;2021-12-26T23:41:26.000Z;0;-
