Link: ;https://www.instagram.com/p/CaUTx0csioE/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;barbelholst;"Diese Menschen sind nicht umsonst gestorben;denn sie werden uns als Helden immer in Erinnerung bleiben!Bärbel Holst.";2022-03-08T17:54:54.000Z;1 like;-
2;wednesday0710;...leider ist es nicht vorbei. Bis heute werden Regimegegner in nichtdemokratischen Staaten einfach inhaftiert, friedlich Demonstrierende verschwinden spurlos nach d Festnahme...auch mitten in Europa.;2022-02-26T08:09:22.000Z;0;-
3;maru_ijiwaru;❤️;2022-02-26T06:45:47.000Z;0;-
4;julia.codina;Hi from Argentina, I understand a little bit of German, so I was able to understand the IG. I am really impressed and I love the way you show this/your story 👏👏👏👏;2022-02-25T15:50:41.000Z;0;-
5;jassy1888;"Ein Auszug von der Saarbrücker Homepage: ""Das Saarbrücker Schloss ist die nächste Station der Tour. Der Weg dorthin führt über die alte Fußgängerbrücke über die Saar. Übrigens liegt irgendwo auf dem Grund des Flusses noch eine Druckmaschine von Willi Graf. Er hatte sie zerlegt zu seinen Freunden in Saarbrücken transportiert. Mit der Maschine wurden Flugblätter hergestellt. Als Willi Graf verhaftet wurde, haben die Freunde das Gerät in die Saar geworfen, um Spuren zu beseitigen.""";2022-02-25T00:08:49.000Z;0;-
6;joe.grey92;"vielen dank für diesen großartigen account!
ich hab mich in den letzten tagen aber gefragt, was mit alex passiert ist? er wurde auch im juli 1943 hingerichtet. wieso wird er hier nicht mehr erwähnt?";2022-02-24T20:18:47.000Z;0;-
7;giselaute;❤️❤️🔥❤️❤️;2022-02-24T19:10:14.000Z;0;-
8;leo_niee97;Wieso wurde Traute nicht verhaftet?;2022-02-24T16:25:28.000Z;0;-
9;emalupp;1982 natürlich;2022-02-24T14:55:07.000Z;0;-
10;emalupp;Lena Stolze spielt mit den anderen Protagonisten sehr beeindruckend die Sophie.;2022-02-24T14:54:26.000Z;0;-
11;emalupp;Michael Verhoeven hat 2982 einen großartigen und preisgekrönten Film über die weiße Rose gemacht.;2022-02-24T14:52:24.000Z;0;-
12;non_cerise;😢;2022-02-24T13:45:16.000Z;0;-
13;torssten_;Meine liebe Crew: Herr Graf war aus meiner Sicht nicht religiös sondern ein Mann der an Gott glaubte. Religiös können auch Menschen sein, die sich an Regeln halten und alles was nicht vorgeschrieben ist, auch gerne missbräuchlich verwenden. Ich glaube, dass die Mitglieder der weißen Rose Gott angenommen haben und darin eine stärke hatten, die man nicht allein, auf Regeln beschränkt, aufbauen kann. Zwischen religiös und gläubig muss man ganz klar unterscheiden. Herr Graf wird es auch gewusst haben. Es geht um Beziehung, nicht um Einhaltung von Regeln. 👍👍👍👍;2022-02-24T13:20:36.000Z;0;-
14;barbarakampfert;❤️❤️;2022-02-24T13:11:08.000Z;0;-
15;barbaramariamc;Koinzidenz;2022-02-24T12:53:52.000Z;0;-
16;uschi16544;unvergessen;2022-02-24T12:46:14.000Z;0;-
17;ichmagtimur;😍😍😍😍😍😍;2022-02-24T11:39:03.000Z;0;-
18;ines_s_2;❤️;2022-02-24T11:04:24.000Z;0;-
19;unserewildewelt;Erschütternd 🖤;2022-02-24T10:20:21.000Z;0;-
20;christine.binggeli;🙌so eindrücklich, diesen Mut, diese Haltung und Fürsorge für seine Family...so edle Charaktere....Danke für eure Arbeit;2022-02-24T10:09:09.000Z;2 likes;-
21;georg01x;Sophie stirbt und die Russen greifen uns an 💔;2022-02-24T08:15:35.000Z;0;-
22;jawiesodasdenn;@kerstin_80 die Antworten auch nicht mehr. Das ist schade und enttäuschend.;2022-02-24T07:48:43.000Z;0;-
23;middle_regina_belitz;😢;2022-02-24T07:02:25.000Z;0;-
24;claudia.z81;Wie man angesichts dessen was einen erwartet noch solch ein Gottvertrauen haben kann...;2022-02-24T06:59:48.000Z;0;-
25;marisastuggi;Wo kann man denn die live Videos nachträglich anschauen? Das erste hab ich verpasst und heute hab ich keine Zeit….;2022-02-24T05:16:37.000Z;0;-
26;sebfischer2;😢🕯;2022-02-24T05:13:33.000Z;0;-
27;phia_za;😢;2022-02-24T05:01:14.000Z;0;-
28;ankehundrieser;So traurig;2022-02-23T22:47:05.000Z;0;-
29;avonwaa;😢;2022-02-23T22:13:15.000Z;0;-
30;jawiesodasdenn;kerstin_80_ die hatten doch jemand als Antwort geschrieben, die Speichern das????;2022-02-23T22:08:57.000Z;0;-
31;kerlefornia;Wird es noch einen Beitrag über Alexander Schmorell geben?;2022-02-23T21:42:25.000Z;0;-
32;angela.iqbal.21;😢...so mutige junge Menschen;2022-02-23T21:41:05.000Z;0;-
33;firehorsetaurus;🕯 🙏🏻;2022-02-23T21:24:59.000Z;0;-
34;zwaanheijmans;😢👏❤️;2022-02-23T21:23:30.000Z;0;-
35;ruth_loves_singing;❤️❤️😢;2022-02-23T21:22:37.000Z;0;-
36;matzescm;R.I.P Willi. Auch Du bist für mich ein Held und ein Vorbild!;2022-02-23T21:11:35.000Z;0;-
37;they_kill_kennyy;🔥🔥🔥;2022-02-23T20:57:54.000Z;0;-
38;franzi_e_ac;Wo finde ich das live von 19 Uhr ? :);2022-02-23T20:52:55.000Z;1 like;-
39;therezateddy;Könnt ihr villeicht noch ein Live mit der Schauspielerin und den Machern hochladen? Hätte das heute so gerne geschaut und hab es aber leider nicht geschafft. 😢 Hatte gehofft es wird vll gespeichert. LG Thereza;2022-02-23T20:35:43.000Z;6 likes;-
40;sjtoe;❤️❤️❤️;2022-02-23T20:34:34.000Z;0;-
41;tine_zuelch;❤️;2022-02-23T20:13:28.000Z;0;-
42;ingofardun;Dank dieses Accounts wird wieder in Erinnerung gebracht, dass so etwas nie wieder passieren darf, dass junge Leute wegen ihrer Ansichten sterben mÜssen. Wehret den Anfängen!!!! Niemals vergessen!!!;2022-02-23T19:53:39.000Z;1 like;-
43;harley.loves.cheese;Seine Worte sind wie Poesie ✨;2022-02-23T19:53:32.000Z;0;-
44;klaus_siee;😢;2022-02-23T19:50:27.000Z;0;-
45;83biene;Kann ich das live von heute Nachschauen?;2022-02-23T19:45:27.000Z;3 likes;-
46;_inazet;Kommt auch was vom Alexander?;2022-02-23T19:39:08.000Z;0;-
47;maggimaren;Wie wurde denn das Todesurteil aller Mitglieder vollstreckt?;2022-02-23T19:37:48.000Z;1 like;-
48;carolin_carina_;Wo ist denn das 'Live' von heute zu sehen?? ❤️❤️;2022-02-23T19:36:19.000Z;4 likes;-
49;das_chaosqueenlein;In Marienau bin ich zur Schule gegangen. Dort habe ich zum ersten Mal erlebt was es bedeutet ohne Mobbing zur Schule zu gehen. Zu sehen, dass jeder akzeptiert wird und das die Knoops immer wichtig waren.;2022-02-23T19:17:31.000Z;1 like;-
50;rana_e.21;Wird der Livetalk noch irgendwo einsehbar sein, wenn man ihn verpasst hat?;2022-02-23T19:11:43.000Z;3 likes;-
51;itsramonavanessa;Ich habe hier auf der Sophie Scholl Seite iwo gelesen, dass Traute Lafrenz und Willi Graf am 23.2.43 zu C. Probst Familie gereist sind um ein Begnadigungsschreiben zu holen. Ich finde es nicht mehr. Stimmt das?;2022-02-23T19:06:59.000Z;0;-
52;konenulrike;Herzzerreißend 😪;2022-02-23T19:03:06.000Z;0;-
53;nadinekleinen84;😭😭😭😭😭😭😭;2022-02-23T19:01:25.000Z;1 like;-
54;tyna_s91;Was für Herzergreifende Worte 😢;2022-02-23T19:01:01.000Z;0;-
55;katrinhaaks;🦋🖤🦋;2022-02-23T18:52:02.000Z;0;-
56;wassermannkoenig;Mit euch allen gibt es wahre, deutsche Helden, nach denen Straßen, Plätze, Schulen benannt werden sollten! Ihr seid einer der (wenigen) Gründe, auf dieses Land stolz zu sein! Viel mehr sogar als Stauffenberg, Hofacker, etc. Keinen Fussbreit dem Faschismus!;2022-02-23T18:50:27.000Z;2 likes;-
57;mayasiiri;"""Weitertragen, was er begonnen hat."" Das war das Motto unserer Schule, der Willi-Graf-Schule in Saarbrücken. Ich hatte die Ehre Frau Knoop-Graf noch persönlich bei einer ihrer Veranstaltungen an unserer Schule kennenzulernen, dafür bin ich sehr dankbar. Willi Graf besuchte in Saarbrücken das Ludwigsgymnasium. Er wurde auf dem Friedhof St. Johann beerdigt, welches wir mit unserer Klasse auch besucht haben 🙏💚";2022-02-23T18:41:15.000Z;0;-
58;harborcundy;Mein Deutsch ist nicht perfect aber das war sehr emotional und schwer. zu lesen.;2022-02-23T18:26:32.000Z;0;-
59;jawiesodasdenn;Wo genau ist der Live Stream? War schon auf der Seite, die im Link angegeben ist, aber da gibt es keinen Verweis. Warum versteckt ihr den so?;2022-02-23T18:18:10.000Z;2 likes;-
60;_anna_gtz_;Was für eine Glaubensstärke von Willi Graf und dass er im und durch den Glauben Trost und Hoffnung finden und auch weitergeben konnte.;2022-02-23T18:04:55.000Z;1 like;-
61;majaschroe;ohne Worte 😶;2022-02-23T18:04:34.000Z;0;-
62;schroederachim;Ach Scheiße. !!!!;2022-02-23T17:58:20.000Z;0;-
63;melli_261188;😭😭😭 So traurig alles. Niemals dürfen diese Helden vergessen werden 💞🙌🏻😭;2022-02-23T17:50:33.000Z;0;-
64;hartlkoenig;Danke für diese neue Art Geschichte zu erleben. Es ist bestürzend und die Emotionen gehen tief.;2022-02-23T17:35:08.000Z;0;-
65;eveppunk;Wow❤️;2022-02-23T17:14:20.000Z;0;-
66;flocke.is.riding.the.vespa;👏👏👏👏;2022-02-23T17:04:56.000Z;0;-
67;barisca_mvb;😢;2022-02-23T16:57:56.000Z;0;-
68;yvonnejaenich;🕯️;2022-02-23T16:54:02.000Z;0;-
69;birgiterlenbach;Wie kam die Gestapo eigentlich auf die anderen Mitglieder?;2022-02-23T16:52:37.000Z;1 like;-
70;tischlerei.christian.liesecke;🙏🏼;2022-02-23T16:46:18.000Z;0;-
71;cat.gang;Die Zitate zeigen allesamt noch einmal, was für unglaublich inspirierende, intelligente und vor allem starke Menschen diejenigen hinter der weißen Rose und rund um den Widerstand waren🙏🏼;2022-02-23T16:44:38.000Z;3 likes;-
72;horgolareka;🖤;2022-02-23T16:42:10.000Z;1 like;-
73;turna.one;Held.;2022-02-23T16:29:46.000Z;0;-
74;fussballmammi;So mutige junge Menschen. Ihr Andenken muss immer aufrecht erhalten werden.;2022-02-23T16:24:15.000Z;1 like;-
75;traveller_fraenzel;Mich macht der Abschluss dieses Projekts so traurig, auch wenn man auf den Konflikt in der Ukraine schaut. Es ist gerade alles so greifbar, es ist komisch, die Gefühle fahren Achterbahn. Doch die Geschichte der Weißen Rose gibt Kraft auch für die Zukunft immer für die Freiheit einzustehen. Danke;2022-02-23T16:23:04.000Z;2 likes;-
76;ivonne_bose;Gibt es eigentlich einen Film darüber ? Bücher habe ich einige gelesen über Sophie und ihren Weg. Alles sehr sehr traurig. Dieser Account ist wunderbar um an diese Zeit zu erinnern. Auch wenn das alles sehr schlimm war;2022-02-23T16:19:24.000Z;2 likes;-
77;susianne_;😢;2022-02-23T16:12:29.000Z;0;-
78;esony.4ever;What an example of honor and conviction. They will always be remembered;2022-02-23T16:01:45.000Z;1 like;-
