Link: ;https://www.instagram.com/p/CRT2q8XMMke/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;benutzername_mode_bln;Ich muss kurz durchatmen, bevor ich mir Big Brother weiter angucke !;2021-07-25T09:56:32.000Z;0;-
2;__whitebird_;Oh liebe Sophie...Ich fühle so mit dir! Vor kurzem hat mir meine Oma erzählt, dass es ihr ganz ähnlich erging. Ihr Lieblingsbruder wurde auch einberufen und musste als Soldat an die Front. Sie war so furchtbar traurig und in Sorge um ihn. All sein Erspartes hatte er ihr anvertraut bevor er ging. Zum Glück kam er unversehrt zurück, aber ein älterer Bruder ist irgendwo in Polen gefallen. Ich hoffe so, dass ihr für Hans eine Lösung findet!!;2021-07-16T16:01:18.000Z;0;-
3;minna_im_garten;Wie dramatisch. Ich kann mir nicht im Ansatz vorstellen, wie sich das für Hans anfühlen muss und für dich...;2021-07-15T19:57:58.000Z;0;-
4;simadogwalking;Es ist so greifbar! Furchtbar!;2021-07-15T18:28:24.000Z;0;-
5;ines_s_2;😔 ❤️‍🔥;2021-07-15T11:11:04.000Z;0;-
6;peter_qwtz;Jo jungs was geht was geht was geht ????;2021-07-15T10:13:34.000Z;0;-
7;tobisimn;Seit einigen Wochen/Monaten folge ich nun schon diesem Kanal. Vor circa einem Monat habe haben wir nun auch angefangen die wöchentlichen Zusammenfassungen im Religionsunterricht zu schauen. Gerade wurde mir eine Auswahl an Aufgaben vorgetragen und ich habe mich für diese entschieden, eine Rezension zu diesem Projekt zu verfassen. Das wollte ich sowieso mal machen. Ich muss ehrlich sagen, dass ich begeistert von diesem Projekt bin. Schon bevor wir in der Schule mit dem Thema angefangen haben habe ich mit vergnügen die Storys angeschaut. Bis jetzt bin ich noch von der Idee begeistert, ein leider längst erloschenes Leben wieder in der Neuzeit aufblühen zu lassen…Genial!! Der einzige Wunsch, den ich habe ist etwas Dementsprechendes auch bei anderen Persönlichkeiten/Wissenschaftlern der Vergangenheit umzusetzen.;2021-07-15T08:50:04.000Z;4 likes;-
8;giuliewalderdorff;Hi! Ich bin total begeistert von dem Projekt und würde es sehr gerne meiner Oma zeigen. Ich glaube aber, mit Instagram würde sie sich etwas schwer tun… kann man die Inhalte (besonders die Stories/Videos) auch irgendwo online schauen? ❤️;2021-07-15T07:01:55.000Z;11 likes;-
8-1;ichbinsophiescholl;#TeamSoffer @giuliewalderdorff Ganz lieben Dank für das tolle Feedback, und wir freuen uns sehr, dass du die Inhalte auch mit deiner Oma teilen möchtest. ♥️ Wir veröffentlichen jede Woche ein IGTV, welches zusammenhängend alle Stories der gesamten Woche zeigt, vielleicht könntest du deiner Oma diese Zusammenfassungen zeigen? Sie sind ebenfalls in der ARD-Mediathek zu finden! Liebe Grüße!;2021-07-15T07:50:35.000Z;43 likes;8
9;angelikakschmitt;….so viele wurden aus ihrem Leben herausgerissen. Für was?;2021-07-15T04:46:57.000Z;1 like;-
10;brusseecharlie;🔥🔥🔥;2021-07-14T21:14:13.000Z;0;-
11;lass_machen161;@ichbinsophiescholl ich finde diese Projekt großartig! Hier werden sämtliche Generationen angesprochen... Und eins kann man Sophie und Hans niemals absprechen, nämlich dass die weisse Rose weiter lebt 🔥🔥;2021-07-14T20:50:48.000Z;54 likes;-
11-1;ichbinsophiescholl;@lass_machen161 #teamsoffer Wir danken dir für dein positives Feedback!;2021-07-14T20:58:01.000Z;14 likes;11
12;christinebernardwrites;Ich fiebere so mit;2021-07-14T20:41:07.000Z;0;-
13;jasminzpix;"Ich kenne einen mittlerweile 101-jährigen, der damals ans Eismeer musste, auch als Sanitäter. Eigentlich hat er ""nur"" eine Lehre als Drogist... Er meinte, als Sani hätte man einen Vorteil: wenn man, wie er, im OP eingeteilt ist hat man's immerhin warm";2021-07-14T20:05:54.000Z;0;-
14;schoolsven;Oh je, an die Ostfront... 😔❤;2021-07-14T19:48:30.000Z;1 like;-
15;laurithawayne;Es tut mir so leid die Illusion jetzt zu brechen, aber ich sitze jeden Tag da, sehe mir die Stories und Beiträge an und fiebere und bete obwohl ich weiß, wie es ausgeht. Dieses ganze Projekt bringt einem unsere Vergangenheit so nahe und man müsste das viel öfter so machen. Was passiert ist, soll nie vergessen werden. Die Menschen müssen daran erinnert werden, dass solch ein Grauen nicht wieder passieren darf und das wir gegen das Grauen der heutige Zeit gemeinsam kämpfen müssen. Ich habe Tränen in den Augen wegen dieses Posts und kann nur erahnen, wie es Sophie und allen anderen gegangen sein muss. Danke an das ganze Team von euch!;2021-07-14T19:31:49.000Z;10 likes;-
15-1;bir_git_58;@laurithawayne Dein Kommentar spricht aus, was ich denke. Leider, so vermute ich, werden diejenigen, die dies lesen sollten, sich dafür wohl nicht interessieren. 😢;2021-07-21T19:53:15.000Z;0;15
16;kutschkeee;Es ist so verrückt wie man bei der Geschichte hier mit fühlt. Es ist echt wie eine Zeitreise. Danke für dieses tolle Projekt. 👏;2021-07-14T19:14:57.000Z;7 likes;-
17;mia.luisa;@michael_mirto;2021-07-14T18:55:33.000Z;2 likes;-
18;angi_bauer;"""Verladen"", als wären die Menschen damals nur Gegenstände gewesen...";2021-07-14T18:23:28.000Z;11 likes;-
19;ulrikemunner;Beruhige dich.Hans ist stärker als du denkst.;2021-07-14T18:23:27.000Z;32 likes;-
19-1;ichbinsophiescholl;@ulrikemunner Das denke ich auch. Er ist mein Bruder und wird diese Zeit schaffen!;2021-07-14T19:10:41.000Z;24 likes;19
20;emsworld_____;Das ist furchtbar 😱💔💔🥺;2021-07-14T18:11:47.000Z;2 likes;-
21;susanne_k_aeferchen;👍;2021-07-14T17:04:05.000Z;2 likes;-
22;xx_.karolin._xx;Wie lange lebt sie auf den Instagram Account noch ?;2021-07-14T16:52:36.000Z;2 likes;-
22-1;sabrinchen227;Bis zu ihrem Tod im Februar 1943. Es werden hier ihre letzten Lebensmonate in Echtzeit nachgespielt;2021-07-14T17:20:05.000Z;5 likes;22
23;villapepper;@ikas_journey @alrin0304 kennt ihr eigentlich das Profil? Ist richtig toll und spannend aufgearbeitet.;2021-07-14T16:47:53.000Z;3 likes;-
