Link: ;https://www.instagram.com/p/CT7jIRvMelK/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;mr.damion13;Ich habe mich sogar gefragt ... woher hast du dieses Russisch-Wörterbuch?;2021-10-11T09:30:56.000Z;0;-
2;nico_singer_official;Schöne Augen ❤️;2021-09-19T20:29:44.000Z;0;-
3;gesammm;@kimchristinmoller;2021-09-19T15:40:53.000Z;0;-
4;julan_bataa;Deine Arbeit wird nicht vergebens sein!;2021-09-19T10:01:22.000Z;2 likes;-
5;aloe.vera_;❤️❤️❤️❤️❤️;2021-09-18T21:46:35.000Z;0;-
6;michaela_mathy;#TeamSoffer wäre schön, wenn ihr euch an Fakten haltet. Und wenn es Vermutungen sind, wie mit den Codes, einfach anmerken. Oder in Klammern ergänzen. Oder erklären, welche Rolle zb. der Professor hatte. Ansonsten sehr gut gemacht und eine super Schauspielerin;2021-09-18T13:04:03.000Z;5 likes;-
7;ines_s_2;👍👍👍;2021-09-18T11:04:11.000Z;0;-
8;natur.kreativ.bewegt;👏👏👏👏👏;2021-09-18T09:06:47.000Z;0;-
9;mamacitaaa32;Tolle Schauspielerin ❤️;2021-09-18T05:14:23.000Z;16 likes;-
9-1;ichbinsophiescholl;@mamacitaaa32 #TeamSoffer Sophie wird gespielt von @lunawedler;2021-09-18T08:34:27.000Z;17 likes;9
10;familienforscherin;Ich war diese Woche in Forchtenberg und habe mir das Städtchen angeschaut in der #sophiescholl geboren wurde. Vielen Dank für dieses Format, bei dem man nochmal ganz anders eintauchen kann. 🙌;2021-09-18T05:13:39.000Z;0;-
11;familienforscherin;Ich war diese Woche in Forchtenberg und habe mir das Städtchen angeschaut in der #sophiescholl geboren wurde. Vielen Dank für dieses Format, bei dem man nochmal ganz anders eintauchen kann. 🙌;2021-09-18T05:03:15.000Z;3 likes;-
12;giusy79_;Sophie du bist so eine mutige und starke Frau, gib niemals auf! 🙌❤️;2021-09-17T22:51:15.000Z;3 likes;-
13;netratz;🔥❤️;2021-09-17T21:18:47.000Z;0;-
14;lupuscolonia;👏👏👏👏;2021-09-17T21:05:35.000Z;0;-
15;bbaer_irisbertelt;Sei vorsichtig;2021-09-17T19:50:17.000Z;0;-
16;so.viel.buntes;"Je länger ich dem Account hier folge, desto mehr werde ich in den Bann der Geschichte, der wahren Geschichte gezogen. Ich habe mir gestern den Brief von Sophies Eltern durchgelesen, welcher nach Urteilsverkündung verfasst wurde. Die Schrecklichkeit und Abscheulichkeit dieses Verbrechens, nämlich Menschen zu bestrafen, die das Richtige dachten und das Richtige taten macht einen auch heute noch traurig und nachdenklich. Ich wünschte sie alle würden wissen, wie es weiterging, wie wir sie heute würdigen und dass sie berühmt sind für ihre Handlungen.
Sophies Mut, auch bei den Verhören zu sagen „nein ich habe bewusst so gehandelt“, das ist einfach nur bewundernswert und diese ganzen Widerstandskämpfer verdienen ein ewiges Denkmal in unseren Straßen und in unseren Köpfen !";2021-09-17T19:33:43.000Z;217 likes;-
16-1;milou_et_nous;@so.viel.buntes 👏👏👏👏;2021-09-17T20:13:19.000Z;1 like;16
16-2;humbertwarburg;@so.viel.buntes 🙌❤️;2021-09-17T22:53:43.000Z;1 like;16
16-3;sklarka158;@so.viel.buntes;2021-09-18T05:07:06.000Z;0;16
16-4;juliashumandesignadventure;@so.viel.buntes wo findet man denn diesen Brief?;2021-09-18T11:36:00.000Z;1 like;16
16-5;so.viel.buntes;@jjuleo https://m.bpb.de/geschichte/nationalsozialismus/weisse-rose/61068/gnadengesuch;2021-09-18T12:17:36.000Z;10 likes;16
17;ulrikemunner;Oh oh,sei nicht übermotiviert. 😮;2021-09-17T19:16:03.000Z;0;-
18;pet2737;Sei vorsichtig ❤️;2021-09-17T18:30:24.000Z;3 likes;-
19;marohn25;Was steht auf dem Buch geschrieben?;2021-09-17T18:11:17.000Z;0;-
19-1;linasmum;@marohn25 Langenscheid Universalwörterbuch Russisch/Deutsch;2021-09-17T18:15:51.000Z;0;19
19-2;marohn25;@linasmum jetzt muss ich fragen, warum sie ru/ deu hat😮;2021-09-17T19:05:55.000Z;0;19
19-3;kijumix3;@marohn25 Sie arbeitet in einer Fabrik, in der russische Arbeiterinnen tätig sind die kaum bzw. Gar kein Deutsch können soweit ich mitbekommen habe.;2021-09-17T20:06:09.000Z;2 likes;19
19-4;augustaschacht;@kijumix3 genau. In der Kriegsindustrie waren Millionen Zwangsarbeiterinnen aus der Sowjetunion eingesetzt. Dass Sophie und andere sich mit ihnen auf Russisch unterhalten haben, ist aber unwahrscheinlich. Es war verboten, mit den sogenannten Ostarbeiterinnen mehr als nötig zu tun zu haben. Sie galten den Nationsozialisten als minderwertig. Wer gegen diese Auflage verstieß, konnte bestraft werden.;2021-09-17T21:27:03.000Z;2 likes;19
19-5;marohn25;@augustaschacht danke,hier erfährt man mehr aus der Geschichte,wie aus dem Unterricht.;2021-09-17T21:30:19.000Z;2 likes;19
19-6;marohn25;@kijumix3 danke!!👏;2021-09-17T21:30:29.000Z;0;19
19-7;linasmum;@marohn25 das Buch hat sie meines Wissens aus der Villa Muth in München gerettet;2021-09-18T07:10:35.000Z;2 likes;19
20;wunder_herz;Pass auf dich auf, Sophie ❤️ du prägst die Zukunft. Du prägst Geschichte ❤️;2021-09-17T18:00:28.000Z;6 likes;-
21;geschaeftsmama;Danke für Dein unermüdliches Tun! 👏👏👏;2021-09-17T17:54:02.000Z;3 likes;-
22;gwen_gloeckchen;Bravo!!! 👏👏👏 Ich denke an euch!;2021-09-17T17:51:04.000Z;3 likes;-
23;jeanlucpiriou9122;Luna die Beste🙌;2021-09-17T17:43:04.000Z;1 like;-
