Link: ;https://www.instagram.com/p/CSYzHSoMbBD/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;suziswift62;Unbedingt 👏, sieht toll aus 🤗👍👍;2021-08-12T17:06:49.000Z;0;-
2;hi_its.me.steffi;Natürlich!;2021-08-11T21:33:14.000Z;1 like;-
3;koka1811982;Tu es...;2021-08-11T19:10:03.000Z;1 like;-
4;fannyeschner;Du würdest in 2021 richtig cool rüber kommen 🥰;2021-08-11T18:53:32.000Z;1 like;-
5;koala_spirit;Es wäre so cool, wenn du zeigen würdest, wie ihr eure Haare styled. ❤️;2021-08-11T17:37:08.000Z;1 like;-
6;bavarianhamburger;Na klar, nur Mut. Ihr werdet Generationen von Frauen den Weg ebnen!;2021-08-11T16:36:54.000Z;1 like;-
7;jonas4khd;Ja 🔥;2021-08-11T14:48:04.000Z;1 like;-
8;my.kind.of.pics;Selbstverständlich! Raus mit Dir und der tollen Hose. Vermutlich wirst Du dich sehr wohlfühlen damit. Ich liebe Hosen! 😊;2021-08-11T11:06:02.000Z;24 likes;-
8-1;ichbinsophiescholl;@my.kind.of.pics Es ist so praktikabel, sich in ihnen zu bewegen – ein tolles Gefühl!;2021-08-11T11:13:48.000Z;8 likes;8
9;hansbohmig;❤️;2021-08-11T10:04:37.000Z;0;-
10;kirstenstrack1969;Inge ist echt sehr ....besonders;2021-08-11T09:54:53.000Z;0;-
11;polarakrobat;Auf jeden Fall anziehen! Du bestimmst was du anziehen magst und kein anderer;2021-08-11T08:04:10.000Z;1 like;-
11-1;ichbinsophiescholl;@polarakrobat Das sehe ich eigentlich auch so!;2021-08-11T08:23:10.000Z;1 like;11
12;fruehling68;Die Inge scheint sehr anstrengend zu sein, so als Schwester 😮;2021-08-11T00:22:27.000Z;1 like;-
12-1;ichbinsophiescholl;@fruehling68 Ich hab sie aber sehr lieb. Geschwister haben wohl immer eine besondere Beziehung. Heute ist Inges Geburtstag! 🖤;2021-08-11T07:58:12.000Z;2 likes;12
13;bienenmajer;Würde ich auch rocken den drip;2021-08-10T23:08:16.000Z;0;-
14;miss.rotfuchs;"Trag das, was du willst, und worin du dich wohl fühlst! Das hat dir niemand vorzuschreiben. Selbst 2021 ist man noch nicht darüber hinweg, anderen vorzuschreiben, was sie anziehen sollen. Das reicht von ""Das ist zu unweiblich/-männlich"" bis hin zu Rechtfertigungen für Vergewaltigungen, weil das Opfer ""zu aufreizend"" gekleidet war. ""Die wollte das doch. Dann soll sie sich nicht so freizügig anziehen""... ich hoffe, dass wir irgendwann davon wegkommen.";2021-08-10T22:14:08.000Z;1 like;-
15;angelikaa21;Warum nicht!! sei mutig!!;2021-08-10T21:16:52.000Z;0;-
15-1;ichbinsophiescholl;@angelikaa21 Sehe ich auch so!;2021-08-11T07:59:18.000Z;0;15
16;annie_henning_bayern;Schaust gut aus;2021-08-10T21:02:40.000Z;0;-
16-1;ichbinsophiescholl;@annie_henning_bayern Lieben Dank! 🖤;2021-08-11T07:59:01.000Z;0;16
17;annas_meandi_und_meer;Unbedingt 🤗;2021-08-10T20:56:32.000Z;0;-
17-1;ichbinsophiescholl;@annas_meandi_und_meer Ich bin ganz deiner Meinung!;2021-08-11T07:59:58.000Z;0;17
18;andreakoenigsmann;Klasse!!;2021-08-10T20:31:46.000Z;0;-
19;an.lin.chen;Unbedingt total schick die Hose steht dir richtig gut 😍alle sollen das tragen worin sie sich wohl fühlen!;2021-08-10T20:25:40.000Z;0;-
19-1;ichbinsophiescholl;@an.lin.chen Lieben Dank, genau so sehe ich es nämlich auch. 🖤;2021-08-11T08:00:56.000Z;0;19
20;sirenenmietz;Do it! 🔥;2021-08-10T20:06:25.000Z;0;-
21;brad.spielerin;Total schick! Würde mich auch gerne trauen, Hosen zu tragen!;2021-08-10T19:05:06.000Z;13 likes;-
21-1;ichbinsophiescholl;@spiel.dochmal #TeamSoffer Nach dem ganzen Zuspruch hier hab ich den Mut gefasst! Vielleicht lässt du dich davon ja auch anstecken. 🌺;2021-08-10T19:32:42.000Z;14 likes;21
22;mariemarleen4;Natürlich kannst du mit einer Hose in die Stadt gehen, jeder darf selbst entscheiden was man anziehen will. Ein Junge kann auch einen Rock oder ein Kleid anziehen;2021-08-10T19:01:43.000Z;0;-
23;madamelou_entdecktdiewelt;Unbedingt!!!!👏;2021-08-10T18:41:31.000Z;1 like;-
24;robtengel;Go girl! Steht dir mega, die Hose! 😊;2021-08-10T18:04:47.000Z;0;-
25;gracie_bag06;Auf jeden Fall! Trau dich was! Das leben ist zu schade, um sich gedanken darüber machen zu müssen was andere über einen denken könnten! Und außerdem finde ich, dass es wunderhübsch ausschaut! 😊;2021-08-10T17:57:37.000Z;1 like;-
25-1;ichbinsophiescholl;@paulinka_006 #TeamSoffer Da geb ich dir vollkommen recht! Ich werde sie auf jeden Fall mal anziehen. 🌺;2021-08-10T18:29:27.000Z;1 like;25
25-2;gracie_bag06;@ichbinsophiescholl das ist eine super Idee! Viel Freude beim Tagen dieser schönen Hose!! 🤗;2021-08-10T18:32:16.000Z;0;25
26;christinakralvoigt;Ja, unbedingt! Das hat Stil und macht einen stark als Frau.;2021-08-10T17:54:44.000Z;0;-
27;dammann.bedachungen;Auf jeden Fall;2021-08-10T17:48:37.000Z;1 like;-
28;monas_kleine_welt;Auf jeden Fall! 👏;2021-08-10T17:45:15.000Z;0;-
29;eleoxore;Trau dich!;2021-08-10T17:28:34.000Z;1 like;-
30;lisa_herzblatt;Ja! 💪🏼💙;2021-08-10T17:21:53.000Z;0;-
31;vonstaig;🙌;2021-08-10T16:54:50.000Z;0;-
32;anjamuller565;Die Hose ist toll!!! Viel Spaß in der Stadt;2021-08-10T16:52:12.000Z;1 like;-
32-1;ichbinsophiescholl;@anjamuller565 #TeamSoffer Danke dir, ich mag sie auch sehr! Ich glaube ich traue mich, sie in der Öffentlichkeit zu tragen.;2021-08-10T18:28:44.000Z;2 likes;32
