Link: ;https://www.instagram.com/p/CYG58tyMp4_/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;christine.lebt.meer;Fritz Hartnagel hat sich nach seiner Rückkehr aus dem Krieg und Sophie Scholls Tod sein ganzes Leben für die Friedensbewegung und dessen Legalisierung eingesetzt. Ich glaube er war ein faszinierender Mann! Ich hätte mich gerne mit ihm unterhalten. Soweit ich in Erinnerung habe hat er dennoch eine der Scholl Schwestern geheiratet und Kinder bekommen.;2021-12-31T05:22:01.000Z;2 likes;-
2;changed.by.popular.demand;"Ulm, den 30. Dezember [1942]
Mein lieber Fritz!
Heute lag ein ungestempelter Brief von Dir im Briefkasten! So etwa, wie Du geschrieben hast, habe ich mir's gedacht, und doch berührt es mich viel unmittelbarer, wenn Du es mir berichtest. O welche schmerzliche Ungeduld erfüllt mich, wenn ich daran denke, daß dieser Brief, wenn er überhaupt ankommt, Wochen unterwegs sein wird, wo ich doch am liebsten geschwind bei Dir wäre. Auch Dein Brief ist ja schon 3 Wochen alt, (ich bedaure sehr, daß derjenige, der ihn eingeworfen hat, nicht persönlich ihn übergeben hat, vielleicht hätte er mir manches erzählen können.) und was alles ist in diesen 3 Wochen schon geschehen, welche Nachrichten haben wir von den Truppen ostwärts des Dons, unter denen Du Dich befindest. Doch wenn Du diese Zeit nur überstehst, das wie ist dann nicht so wichtig, oder besser, darum habe ich keine so große Sorge, denn ich weiß ja, daß Dich der Gedanke an den, der Dich führt, ruhig machen kann.
Könnte ich Dir Kraft zuschicken, daß Du Deine täglichen großen Sorgen leichter bewältigen kannst. Es ist eine sehr schwere Aufgabe, die Dir gestellt ist, denn es geht um Menschenleben.
Vielen vielen Dank für Deinen Gruß, ich habe mich so gefreut, daß Du das Vögelein gesehen hast. Wenn Du nur den Blick für diese Dinge nicht verlierst!
Ich will Dir recht oft schreiben, vielleicht findet doch einmal etwas zu Dir!
Von allen Grüße! Doch keiner so innig wie der meine. Deine Sophie.
Aus: Hartnagel/Scholl: Damit wir uns nicht verlieren, S. 440";2021-12-30T20:18:20.000Z;3 likes;-
3;christianpintz;Wo würdest Du ein Denkmal von Dir gerne stehen sehen?;2021-12-30T19:27:29.000Z;0;-
4;germanboy180;Ich habe jetzt endlich Mal die Zeit gefunden und angefangen dieses Projekt zu schauen und bin von dem was ich gesehen hab echt begeistert. Die Idee die dahinter steckt find ich großartig. Ein richtig schönes Projekt👏👍;2021-12-30T19:12:44.000Z;3 likes;-
5;christine.binggeli;❤️;2021-12-30T18:20:13.000Z;0;-
6;nwbetsy;Es macht mich sehr betroffen, dass dieser so warmherzige, ehrliche Brief mit seinen liebevollen Zeilen den fernen Fritz nie erreicht hat. So eine grauenhafte Zeit und eine starke und stets tapfere junge Frau mittendrin. DANKE allen Beteiligten für diesen Account.;2021-12-30T15:00:34.000Z;9 likes;-
7;malibuvanille;Es ist so unerträglich zu wissen das der Weg deines Lebens bald zu Ende geht !😢 und noch viel unerträglicher ist es zu wissen das es in der heutigen Zeit Menschen gibt die sich herausnehmen sich mit dir bzw. Mit euch der Weißenrose zu vergleichen und der Meinung sind sie kämpfen gegen die selben Apparate…💔;2021-12-30T14:42:22.000Z;29 likes;-
8;coco_14juli;❤️;2021-12-30T14:20:19.000Z;1 like;-
9;katharina.helling;"Sophie Scholl an Fritz Hartnagel:
„Ulm, 30. 12. 1942
Wieder so ein ruhiger Abend zu Hause. Ich habe mir aus dem Radio eine schöne alte Musik hergeholt, eine Musik, die die Sinne beruhigt, die mit ordnender Hand durch das verwirrte Herzgeht. Diese Schönheit kann niemals schlecht sein, sie atmet ja das Leben eines reinen Geistes und eines klaren, manchmal mathematisch klaren Geistes. Alle die moderne Musik ist nicht mehr ganz rein, man braucht Bilder, um sie aufzunehmen. Sie hat das Gebiet der
eigentlichen Musik schon verlassen. Trotzdem bin ich weit davon entfernt, sie nicht anzuerkennen, warum nicht. Ich liebe auch die Bilder aus Ton eines Saint Saëns etwa. Doch reicht sie mir nie an einen Mozart oder gar Bach heran.
Das Foto ist vor einem Jahr etwa gemacht. Ich hab's aus einem Album von Hans herausgerissen, weil es eine unmögliche Stellung darstellte, und Dir den Kopf noch übriggelassen. Jetzt zwar sehe
ich nicht so aus, die Haare reichen mir bis auf die Schulter bald, bis Lisl sich wieder einmal ihrer erbarmt.
Hoffentlich können wir bald wieder wie letztes Jahr zusammen durch die Stadt schlendern. Es braucht ja nicht Freiburg zu sein.
Ich mußte heute abend so daran denken, weil ich wie damals mit meinen Kunstsohlen auf dem frischen Schnee so furchtbar rutschte.
Herzliche Grüße!
Deine Sophie“";2021-12-30T13:50:51.000Z;10 likes;-
10;katharina.helling;".
🗓 Ende Dezember 1942

◾️ Im Gebiet des früheren Österreich gibt es nur noch 8.102 Juden im Sinne der Nürnberger Gesetze, zumeist in „Mischehen“ lebende Menschen. Vor dem Anschluß an das Deutsche Reich 1938 hatten in Österreich 185.000 jüdische Menschen gelebt.
〰️
Quelle:
http://www.holocaust-chronologie.de/chronologie/1942/dezember.html";2021-12-30T13:45:53.000Z;9 likes;-
11;jojomastermojo;Next Level Acting 👏😍🔥;2021-12-30T13:40:26.000Z;0;-
12;sumpfdotterbluemchen;Ich schreibe auch gern Briefe oder Postkarten, um mit meinen Liebsten in Kontakt zu bleiben. Was du schreibst ist nicht schnulzig, sondern ein zauberhafte Liebesbekundung.;2021-12-30T13:29:28.000Z;14 likes;-
13;p._just;Januar/Februar wird es hart werden, eurem Account zu folgen...;2021-12-30T13:11:16.000Z;44 likes;-
14;giusy79_;Was für schöne Worte! ❤️ Mir tut es so leid, das ihr niemals zusammen kommen werdet. 😏;2021-12-30T13:11:03.000Z;6 likes;-
15;heikegumz;"30.12.42, Tagebuch von Willi Graf
Am Vormittag fahren Hein, Willi und ich zu Rudi. Wir sitzen zusammen und tasten uns ab. Unterm fallenden Schnee gehen wir nach Merchingen zur Kirche des Dominikus Böhm. Rudi kann recht gut mitmarschieren., ich bin sehr erstaunt. An diesem Nachmittag werden recht vernünftige Sätze gesagt, wir verstehen uns. Was soll ich über Willi sagen? Ich kann mir kein richtiges Bild machen. Fast scheint es, als ob er eine private Welt um sich aufgebaut habe und nun daraus hervorschauen und ein wenig an unserem Leben Anteil nähme. Am Abend fahren wir heim, dort sind die Leute noch auf, und ich erzähle noch ein wenig.";2021-12-30T13:09:42.000Z;19 likes;-
16;mehmed.koenig;Es zerbricht mir jedes Mal das Herz, wenn ich Deine Gedanken um Fritz lese, liebe Sophie. Ich hoffe so sehr, dass ihr Euch bald wiedersehen werdet. Ich wünsche es Euch von ganzem Herzen. ❤️;2021-12-30T13:04:28.000Z;19 likes;-
17;ichbinsophiescholl;"#TeamSoffer Der Brief, den Sophie Scholl mit einem Foto am 30.12.1942 an Fritz Hartnagel in Stalingrad schickte, kam als unzustellbar zurück.⁠
Scholl/Hartnagel: Damit wir uns nicht verlieren, S.442.⁠";2021-12-30T13:01:17.000Z;134 likes;-
