Link: ;https://www.instagram.com/p/CR4Ob3vK6Nt/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;ansgarwfl;Ich bin jedesmal sehr froh wenn ich im warmen sitze aber ich vergesse nicht meinen Uropa, der im zweiten Weltkrieg an der Ostfront sich im kalten mit den Kumpanen um ein Stück Brot streiten musste.;2021-08-01T20:11:39.000Z;3 likes;-
2;anneli.carpediem;Ich verstehe dich. Aber du brauchst nicht auf ein Zeichen zu warten, dass Gott dich liebt. Er tut es. Vertraue darauf. Er ist immer da.💫;2021-07-31T16:32:13.000Z;2 likes;-
3;esther_naegele;😢😢😢😢😢😢👏👏👏;2021-07-31T11:08:35.000Z;0;-
4;selinatr.49;Jesus Christus ist der Weg zu Gott! :);2021-07-31T10:54:52.000Z;0;-
5;lexpl8;"@rlanweh ""Wir kämpfen ja nicht gegen Menschen aus Fleisch und Blut sondern gegen dämonische Mächte und Gewalten, gegen die Weltherrscher der Finsternis, gegen die bösartigen Geistwesen der unsichtbaren Welt."" (Epheser 6:12) Gott hat den Menschen Adolf Schicklgruber gekannt und geliebt, so sehr wie Er uns alle kennt und bedingungslos liebt. Was jeder von uns daraus macht, ist eine eigene bewusste Entscheidung...";2021-07-31T02:34:53.000Z;0;-
6;walterliehmann;Soweit ich weiß, war Robert Scholl kein gläubiger Mensch und ging auch nicht in die Kirche! Er hatte eher eine humanistische und pazifistische Einstellung. Die religiöse Erziehung oblag allein der Mutter Lina Scholl , der Vater tolerierte dies allerdings!;2021-07-30T19:43:25.000Z;0;-
7;rlanweh;Gottes Liebe ist so unermesslich groß, dass wir Menschen es nicht verstehen können. Wir rechnen eine gute Tat gegen Liebe auf. Aber Gott liebt jeden. Ohne Wenn und Aber. Für uns Menschen unbegreiflich. —— ob er tatsächlich auch Hitler liebt?;2021-07-30T19:15:53.000Z;0;-
8;schneikl1955;❤️;2021-07-30T09:15:55.000Z;1 like;-
9;konradlempel;Schöner kann man nicht zu Gott sprechen.;2021-07-30T04:04:59.000Z;1 like;-
10;konradlempel;Ich glaube schöner kann man nicht zu Gott sprechen.;2021-07-30T04:02:27.000Z;0;-
11;elisasonnenschein777;Gott möge dir und deiner Familie ganz tiefen Frieden ins Herz schenken, den ihr gerade in dieser herausfordernden Zeit spüren könnt. 🙏;2021-07-29T22:12:16.000Z;9 likes;-
11-1;ichbinsophiescholl;@elisasonnenschein777 Dankeschön! Das ist wirklich schön von dir zu hören;2021-07-30T09:12:34.000Z;5 likes;11
12;_gabri.dombro_;"Kann das voll nachvollziehen! Ist manchmal gar nicht so leicht, das zu sehen. Gott will dich aber so gerne beschenken mit seiner Liebe. Ich erlebe das immer wieder, dass er sich mir zeigt, wenn ich ihn darum bitte. Er hat soo soo viel Liebe für uns, das kann man sich gar nicht vorstellen. Egal was wir tun, er liebt uns bedingungslos! Das zeigt sich allein daran, dass er für uns ans Kreuz gegangen ist, um uns zu befreien. In der Bibel lesen hilft übrigens auch, sich seine Liebe bewusst zu machen ;)";2021-07-29T18:54:07.000Z;1 like;-
13;karina_boldys;Amen! Wir können immer noch für alle beten, denen es nicht gut geht!;2021-07-29T13:35:52.000Z;1 like;-
14;frauenvondamals;"Es ist verständlich, dass man zuallererst an die eigenen Liebsten und Verwandten denkt. Auch meine Großmutter hat wohl zuallererst an ihren Mann, meinen Opa, gedacht, der als Soldat im Krieg war. Gleichwohl finde ich, dass sich hier erneut zeigt, dass diese subjektive Perspektive einfach viel zu enge Grenzen hat, um mehr als Wohlfühl-History zu leisten, mit der nichtjüdische Deutsche das Angebot bekommen, den Blick auf den eigenen Bauchnabel zu richten, statt sich dem zu stellen, was Menschen angetan wurden, die keine bürgerlichen nichtjüdischen Deutschen waren. Es spelt hier keine Rolle, dass am 29.7.1942 Jüdinnen und Juden deportiert und ermordet wurden, Kommunist:innen und andere Regimegegner:innen verfolgt und auch ermordet wurden, Soldaten und Zivilist:innen anderer Länder von Deutschen ermordet wurden. Natürlich ""weiß"" man das alles, aber sichtbar gemacht wird nur die perspektive nichtjüdischer Deutscher.
Der Preis für dieses emotionale Identifikationsangebot ist, dass die von nichtjüdischen Deutschen Verfolgten des Naziregimes namenlos und gesichtslos gemacht werden, an die man mit wohligem Schauer mal denken kann, aber wirklich zählen tun sie nicht (was man übrigens auch daran sieht, dass auf Kritik, dass die Opfer ausgeblendet werden, gern Kommentare kommen à la: ""Aber das weiß man doch, um die geht es hier aber nicht.""
Also zur Ergänzung: Am 29.7.1942 wurden 50 Jüdinnen und Juden nach Theresienstadt deportiert. Ihre Namen sind bekannt: https://www.statistik-des-holocaust.de/list_ger_bay_420603.html";2021-07-29T11:40:33.000Z;9 likes;-
14-1;frauenvondamals;@frauenvondamals Und das zur Ergänzung: Es gab auch einige nichtjüdische Deutsche, auch im Bürgertum, die an ihre verfolgten Mitmenschen dachten und sie wahrscheinlich auch in ihre Gebete einschlossen. Eine davon - Elisabeth von Thadden - feierte am 29.7.1942 ihren 52. Geburtstag.;2021-07-29T11:44:11.000Z;5 likes;14
