Link: ;https://www.instagram.com/p/CRl4a76s-7N/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;pekuxumi;Schau mal @helmutsdotter !😍;2021-07-22T06:21:34.000Z;1 like;-
2;pekuxumi;Schau mal @helmutsdotter !😍;2021-07-22T06:12:43.000Z;1 like;-
3;dietlinddell;❣️;2021-07-22T04:45:52.000Z;0;-
4;nadinekleinen84;Wäre ja interessant;2021-07-21T22:08:02.000Z;0;-
5;sallchenrohmann;@d.schen;2021-07-21T20:01:14.000Z;1 like;-
6;_yoga_tanz;Seine Worte fallen langsam wie Tropfen ...;2021-07-21T19:29:49.000Z;0;-
7;joerg.boom;An deiner Seite voller Anerkennung, tiefer Hochachtung und Mut machend. Danke;2021-07-21T18:52:16.000Z;3 likes;-
8;bildsam;Haecker zu lesen lohnt bis heute. Ich liebe seine Tag- und Nachtbücher.;2021-07-21T18:45:59.000Z;3 likes;-
9;danielakaschke;"Du wirst ihm noch öfter begegnen und er wird sogar heimliche Lesungen für euch halten. Gedanken aus genau diesem Buch werden sich in eurem vierten Flugblatt wiederfinden. Mit dieser Verbindung zwischen Haecker und der Weißen Rose hat sich Hinrich Siefken eingehend beschäftigt. Z.b in dem Buch ""Die Stärkeren im Geiste"" von Detlef Bald. Ich selber habe darüber geforscht, wie Haecker in den ideengeschichtlichen Kontext des Kukturkatholizismus eingeordnet werden kann. Da war vor allem die Verbindung zu Carl Muth und dem Hochland sehr wichtig.";2021-07-21T18:20:09.000Z;9 likes;-
10;_frolleinschnabelstedt_;Pass auf dich auf! Und auf deine Schätze! Ich hab Angst um dich!;2021-07-21T16:57:33.000Z;4 likes;-
11;katrinpruchniewski;Bücher sind neue Welten, zum Mitnehmen.;2021-07-21T16:55:19.000Z;17 likes;-
12;damiano.e29;Wie liest man das zweite Wort?;2021-07-21T16:23:43.000Z;2 likes;-
13;netratz;🔥❤️;2021-07-21T15:46:22.000Z;2 likes;-
14;hauptstadtlady50;Ich hoffe du erhältst die Chance Theodor Haecker kennen zu lernen liebe Sophie. Seine Bücher solltest du aber gut verstecken wenn du München verlassen musst 🙋‍♀️🌞😍.;2021-07-21T14:26:23.000Z;45 likes;-
15;ichbinjuedin_ichbindeutsche;Danke für die Erinnerung an diese beeindruckde Persönlichkeit liebe Sophie.;2021-07-21T14:10:44.000Z;13 likes;-
16;gabyd166;Ich wünsche dir sehr, dass dein Wunsch sich erfüllt und du Theodor Haecker erleben kannst ❤️ Ich werde mich auf alle Fälle seinen Büchern widmen 👍🏻;2021-07-21T14:10:37.000Z;9 likes;-
17;ichbinsophiescholl;"#TeamSoffer Theodor Haecker war ein bedeutender Vertreter des katholischen Existentialismus und ein enger Vertrauter von Carl Muth. Der Schriftsteller und Satiriker zog mit seinen polemischen Angriffen bereits zu Beginn des ersten Weltkrieges die Aufmerksamkeit der Zensurbehörden auf sich. Kurz nach Hitlers Machtübernahme 1933 erschien Haeckers Werk „Was ist der Mensch“, in welchem er über den Sinn der Geschichte, Politik, Gerechtigkeit und Frieden schreibt, und sich damit klar gegen das nationalsozialistische Regime und den herrschenden Antisemitismus positionierte. Im Zuge der Bücherverbrennung 1933 wurde Haeckers Haus durchsucht, er wurde vorläufig festgenommen und erhielt 1936 ein Rede- sowie 1938 ein Publikationsverbot, was ihn jedoch nicht davon abhielt, weiterhin Leseabende im Kreis der Weißen Rose zu veranstalten. Nachdem 1944 sein Haus zerbombt wurde, verbrachte er einige Wochen mit der Familie Scholl und verstarb am 9. April 1945.⁠
Weiteres über Theodor Haecker und seine Verbindung zu der Weißen Rose lässt sich beispielsweise in Jakob Knabs „Ich schweige nicht: Hans Scholl und die Weiße Rose“ (S. 113 ff.) nachlesen.⁠";2021-07-21T14:06:37.000Z;83 likes;-
18;raul_mccallister007;❤️;2021-07-21T14:06:20.000Z;2 likes;-
