Link: ;https://www.instagram.com/p/CZo3DHagHvk/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;ansgarwfl;Sophie hätte sich damals auch verkleiden können wie Haare umstylen oder viel Schminke im Gesicht...und gleichzeitig die Sachen machen können dann hätte sie eine höhere Überlebenschance gehabt oder?;2022-02-08T21:32:35.000Z;0;-
2;willemdevlugt._;❤️❤️;2022-02-07T11:28:09.000Z;3 likes;-
3;jojo_v.07;❤️;2022-02-06T17:17:50.000Z;0;-
4;heikegumz;"Beipackzettel zur hier gezeigten ""chemischen Unterstützung"" (Pervitin, d.h. Methylamphetamin)

Eine häufige Einnahme führt zu Gewöhnung und schleichendem Wirkungsverlust, der oft eine Dosissteigerung zur Erzielung der ursprünglichen Wirkung nach sich zieht. Das Potenzial zur Entwicklung einer Abhängigkeit ist sehr hoch.
Nebenwirkungen
Schlafstörungen, Erhöhte Körpertemperatur (Hyperthermie), Paranoide Wahnvorstellungen auf Grund des Schlafmangels; Entwicklung einer Schizophrenie, Taubheitsgefühl, Verlust von Schmerzempfindungen im Körper, Kribbeln unter der Haut, verminderte Kritikfähigkeit, übersteigerte Egozentrik, Aggressivität; vermutete irreversible Schädigung der Neurotransmitter/Rezeptoren ⬇";2022-02-06T14:58:37.000Z;6 likes;-
5;issihey;Liebe Sophie. Ich verfolge dich hier seit Beginn im letzten Jahr. So langsam werde ich ganz kribbelig, wie vermutlich viele andere auch. Ich würde gerne eine Zeitreise 80 Jahre zurück machen und euch alle aufhalten. Was hättet ihr noch alles bewegen können nach 1945...;2022-02-06T14:36:28.000Z;9 likes;-
6;butterkringel;Ist das Sophies letzter Besuch in Ulm? Hötte sie es geahnt, wäre sie vielleicht länger geblieben?;2022-02-06T14:24:50.000Z;10 likes;-
7;changed.by.popular.demand;"6. Februar 1943, Konzentrationslager Auschwitz
Die Lagerführung ordnet einen allgemeinen Appell im Frauenlager in Birkenau an, der um 3.30 Uhr beginnt. Alle weiblichen Häftlinge werden auf das vor dem Frauenlager liegende Feld getrieben, wo sie auf dem offenen, schneebedeckten Gelände, unzulänglich bekleidet und ohne Nahrung zu erhalten, bis 17 Uhr nachmittags festgehalten werden. Den Rückweg müssen sie im Laufschritt zurücklegen. Am Lagertor stehen SS-Aufseherinnen und SS-Männer, die die zurückkehrenden weiblichen Häftlinge mit Knüppeln antreiben. Diejenigen, die nicht laufen können, da sie zu alt, zu schwach oder krank sind, werden selektiert und zum Block 25 als Warteblock geführt, wo diese Frauen auf den Transport in die Gaskammern warten. (...) Während des Appells sind etwa 1000 Frauen ums Leben gekommen.
Quelle: Danuta Czech: Kalendarium der Ereignisse im Konzentrationslager Auschwitz-Birkenau 1939-1945, S. 406";2022-02-06T14:17:50.000Z;5 likes;-
8;heikegumz;"Hauptverbreitungsgebiete des 5. Flugblattes waren neben München v.a. Augsburg, Stuttgart, Frankfurt am Main, Wien, Salzburg und Linz.
Am 25.01.1943 war Sophie Scholl nach Ulm gefahren, um Hans Hirzel ca. 2.000 Flugblätter zu geben, die dieser mit seinem Freund Franz Müller jedoch für Stuttgart versandfertig machte.
Es gibt keine Hinweise darauf, dass die Flugblätter irgendwo ""öffentlich"" zum Gesprächsthema wurden. Dies ist noch einmal unwahrscheinlicher für Ulm, weil sie dorthin ja nicht versendet worden waren.";2022-02-06T14:14:41.000Z;5 likes;-
9;katharina.helling;"Am Wochenende des 06./07. Februar ist Christoph Probst bei seiner Familie am Tegernsee. Da er keinen Urlaub hatte musste er den größten Teil der Strecke mit dem Fahrrad fahren, um dem Wehrmachtsstreifendienst zu entgehen, (vgl. Brief Probst an Eugen Probst am 16.02.). Es ist deswg eher unwahrscheinlich, dass er auch nochmals nach München ist, um seine Freunde zu sehen.
(via Moll, Alexander Schmorell, Christoph Probst. Gesammelte Briefe)";2022-02-06T14:05:50.000Z;4 likes;-
10;katharina.helling;".
06.02.1943

◼️ Bezirk Bialystok/Auschwitz

Aus dem Ghetto in Bialystok werden 2.000 jüdische Menschen nach Auschwitz eingeliefert. Nach der ""Selektion"" werden 85 Männer und 47 Frauen als Häftlinge registriert; die anderen 1.868 Menschen werden in den Gaskammern ermordet.

Bei einem ""Selektions""-Appell im Frauenlager Birkenau werden etwa 1.000 Gefangene erschlagen oder in die Gaskammern geschickt. (Czech, S. 405-406)

◼️ Griechenland

Auf Anordnung des deutschen Militärbefehlshabers müssen alle in Saloniki ansässigen jüdischen Menschen, mit Ausnahme der ausländischen Staatsangehörigen, ab sofort den Stern tragen. Außerdem sollen sie in einen ""besonderen Stadtteil"" umziehen.

〰️
Quelle:
http://www.holocaust-chronologie.de/chronologie/1943/februar.html";2022-02-06T14:03:06.000Z;7 likes;-
