Link: ;https://www.instagram.com/p/CXnrlAlDa07/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;debbie_unger;@einfaltmelanie;2022-02-09T10:26:54.000Z;0;-
2;matthew_stabbed_soappy;Unglaublich gut gemacht das alles. Kann es mir manchmal gar nicht richtig anschauen, weil der Kloß im Hals einfach zu heftig ist…;2021-12-21T07:07:25.000Z;0;-
3;swrdoku;👏👏👏;2021-12-20T17:39:45.000Z;0;-
4;smartsue3;Ihr seid alle großartig!!!;2021-12-20T09:45:33.000Z;0;-
5;finca.casimira;Ja, ich habe im Widerstand auch tolle Freunde fürs Leben gefunden.;2021-12-19T02:06:08.000Z;0;-
6;hettichjulian;Und alle Schwurbler so: Da seh ich mich;2021-12-19T00:56:30.000Z;0;-
7;aus_tinte;Wie heißt die Musik im Hintergrund? 😍;2021-12-18T22:04:51.000Z;1 like;-
8;nathipraty;@kristina_sevo des wären wir in den 40er jahren;2021-12-18T18:51:24.000Z;2 likes;-
9;pixelromancedotcom;Ouch finde es total gut, dass dieses Projekt eben nicht den Vibe des Videos oben wiedergibt, also komprimiert wie ein Film. Weiter ausgedehnt fühlt sich alles realistisch an und man kann sich besser einfühlen.;2021-12-18T16:36:50.000Z;1 like;-
10;tachometra;I dunno what was happening but I now want a movie.;2021-12-18T16:31:41.000Z;1 like;-
11;schneeseekleerehzehfee;Es muss schrecklich gewesen sein in der Zeit gelebt zu haben. Immer die Angst zu haben wem man was sagt , keiner Seele vertrauen zu können . Ich denke daran sind viele Menschen zerbrochen. Um so mehr muss man euren Mut bewundern das ihr Hitler die Stirn bietet;2021-12-18T16:23:38.000Z;1 like;-
12;enjoy.the.little.moments;💛💛;2021-12-18T15:19:03.000Z;0;-
13;berealisticdemandtheimpossible;❤️;2021-12-18T14:59:34.000Z;1 like;-
14;janosantanna;Zieht ihr Erwägung euch zu Selbstverteidigungszwecken zu Bewaffnen oder ist euch das Beschaffungrisiko zu hoch?;2021-12-18T14:25:37.000Z;1 like;-
15;andraecaffarelli;Jede Eurer Taten kann noch jemanden überzeugen und ein Menschenleben retten 🌹;2021-12-18T13:48:47.000Z;1 like;-
