Link: ;https://www.instagram.com/p/COxwoSwHdHR/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;kelja_tanzt;Ja das gibt es. Es gibt auch seelenverwandte Menschen.;2021-09-24T18:25:43.000Z;1 like;-
2;becky_wald;Jeder braucht eine Traute in seinem Leben 👯‍♀️ ich freue mich, das du mit Traute so eine tolle Freundin an deiner Seite hast. #freundefürsleben #teamsoffer;2021-09-24T16:21:45.000Z;6 likes;-
2-1;ichbinsophiescholl;@becky_wald Oh ja! Was für ein großes Glück ich mit ihr habe!;2021-09-24T17:50:02.000Z;5 likes;2
3;eurotripx;Traute 😍;2021-07-31T20:15:46.000Z;0;-
4;fvp_;Wisst ihr, ob die heutige Traute von diesem schönen Projekt weiß? :) Sie fände es sicher schön, dass man sich so an sie erinnert. @ichbinsophiescholl;2021-07-22T19:24:17.000Z;6 likes;-
5;gromov.domino;);2021-06-25T17:02:49.000Z;0;-
6;jojo.cxss;Ich denke schon das es Freundschaft auf den ersten Blick gibt denn manchmal sieht oder trifft man eine Person zum ersten Mal und man merkt sofort das es passt und alles wirkt so vertraut ❤️;2021-06-24T16:08:05.000Z;2 likes;-
7;gosia_kollek;Ja, die gibt es! @mariamilch 😘;2021-06-10T19:22:29.000Z;1 like;-
7-1;mariamilch;@gosia_kollek 🥰;2021-06-11T15:07:57.000Z;1 like;7
8;eurotripx;Traute ❤️;2021-06-04T15:03:37.000Z;1 like;-
9;marceel____;Und die „echte“ Traute Lafrenz lebt tatsächlich noch, unglaublich! 👏;2021-05-31T21:03:29.000Z;9 likes;-
10;ninagre;@ichbinsophiescholl Mal ganz direkt gefragt: Wie ist das denn mit der Periode in den 40er-Jahren? Gibt es schon Tampons? Und wenn nein, was gibt es stattdessen und wo kauft man das? Supermärkte gibt es ja auch noch nicht, oder? Muss man für Hygieneartikel in die Apotheke gehen?;2021-05-31T18:35:54.000Z;2 likes;-
11;ploppi_2309;Ist das Traute Lafrenz?;2021-05-29T18:32:49.000Z;7 likes;-
11-1;ichbinsophiescholl;@ploppi_2309 Ja, das ist sie! 🌷;2021-05-29T18:35:28.000Z;8 likes;11
12;helmidiflaoui;U're eyes are telling a 1000000 story, without saying a word ❤️❤️❤️❤️'''''''''''''';2021-05-25T23:52:12.000Z;0;-
13;chef_gus_agudelo;🙏🙏🙏;2021-05-25T06:20:13.000Z;0;-
14;ste_lu69;Verrückt, dass Traute noch lebt. Wie sie sich wohl an Dich erinnert?;2021-05-24T20:43:46.000Z;2 likes;-
15;taleabb;"""Sie verstehen sich gut, aber sie sind keine engen Freundinnen und vertrauen sich auch keine persönlichen Geheimnisse an."" Maren Gottschalk in ""Wie schwer ein Menschenleben wiegt"", Seite 10 im eBook, über die Freundschaft zwischen Sophie Scholl und Traute Lafrenz.";2021-05-23T18:04:35.000Z;2 likes;-
16;never.ask.twice;@frenzygra ja gibt es;2021-05-23T18:04:26.000Z;0;-
17;aslauggravem;Ja es gibt! <3;2021-05-21T07:15:02.000Z;0;-
18;zoeykatelin;Hat Traute auch Instagram?;2021-05-19T14:33:23.000Z;1 like;-
