Link: ;https://www.instagram.com/p/CQnmqFMn0Bq/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;die_finja_;Meine Lehrer*innen (v. A. in den MINT-Fächern) wurden, seit ich in der ersten Klasse war, nicht müde zu betonen, dass ich viel besser sein könnte, würde ich nicht immer nur das Nötigste tun… Allerdings hatten sie auch alle Verständnis, denn Wissenschaftler*innen sind tendenziell nun mal eher schreibfaul😁;2021-07-31T11:48:02.000Z;0;-
2;sui_los_gatos;Was ist aus Frau Fries geworden?;2021-07-30T18:12:15.000Z;0;-
3;ikramova316;🙌;2021-06-28T15:37:05.000Z;0;-
4;sanpanu;@erikaistkeineblume;2021-06-27T21:40:51.000Z;0;-
5;3punkt42;Mein Biolehrer war auch ein ganz besonderer Mentor für mich. Vielleicht liegts am Fach 😁👍;2021-06-27T21:07:05.000Z;0;-
6;julia_schlebusch;Was genau war der Rechtsarbeiterdienst denn für eine Organisation?:);2021-06-27T20:10:13.000Z;1 like;-
7;sjoerdhart;❤️;2021-06-27T19:29:17.000Z;0;-
8;simone_treburg;👏👏👏;2021-06-27T16:57:24.000Z;1 like;-
9;ovazerowodka;Mhhh Pommes;2021-06-27T13:04:14.000Z;2 likes;-
10;netratz;🔥❤️;2021-06-27T12:00:23.000Z;1 like;-
11;binjaminzwi;Tolle Zeichnung ❤️;2021-06-27T11:23:24.000Z;2 likes;-
12;sandra_alexja;Was bedeutet RAD;2021-06-27T11:19:21.000Z;47 likes;-
13;susanne_k_aeferchen;🤗🤗;2021-06-27T11:17:08.000Z;2 likes;-
14;tictac139;❤️;2021-06-27T11:15:28.000Z;2 likes;-
15;lena.mame;Ohja, die hatte und habe ich. Nicht wahr, @artepnojed ! Danke immer wieder! Hoffentlich sehen wir uns bald wieder.;2021-06-27T11:00:58.000Z;3 likes;-
16;gwen_gloeckchen;Ich hatte auch so eine tolle Lehrerin. Leider ist sie früh verstorben... Alles Liebe für dich und deine Freunde! ❤️;2021-06-27T10:53:47.000Z;1 like;-
17;flerling;Kennst du Frau Ebel @same.picofspongebobeveryday ?;2021-06-27T10:22:46.000Z;2 likes;-
18;laralintemeier;Bei mir meine Englischlehrerin sie war zwar streng hat aber dennoch an mich geglaubt- leider waren die anderen Lehrer an der Überzahl und somit ist es nicht gut aus gegangen aber meine Englischlehrerin konnte das nicht verstehen und war wohl buff - leider zählte da die Mehrheit;2021-06-27T10:08:25.000Z;2 likes;-
19;die_derudis;Oh ja, solche Lehrer sind Gold wert! Es gab in meiner Schulzeit Momente, da hat kein Lehrer mehr an mich geglaubt. Nur mein Lateinlehrer - Gott hab ihn selig - stand immer hinter mir und hat mich nicht aufgegeben. So hab ich mich dann wieder berappelt und bin ihm bis heute dankbar dafür, dass er mir das Gefühl gegeben hat, es wert zu sein und dass man manchmal nur ein bisschen Hilfe und einen kleinen Schubser in die richtige Richtung benötigt, um Dinge zu schaffen ❤️;2021-06-27T10:03:19.000Z;43 likes;-
20;syntexta;leider viel zu selten.;2021-06-27T09:59:40.000Z;1 like;-
21;mond_kind;Bei mir waren es meine Sport Lehrerin und die Deutschlehrerin 😂 sie meinten ich hätte es echt drauf wenn ich mich bloß ein wenig mehr anstrenge weil ich ja nicht dumm sei. Eigentlich wirklich sehr aufbauend aber leider bin ich tzd nicht in die Schule gegangen 🙈;2021-06-27T09:59:15.000Z;2 likes;-
22;wondertonk52;Wir brauchen mehr „Leuchttürme“. Zu jeder Zeit! Einfach jemand der an dich glaubt, dir eine Perspektive aufzeigt und überzeugt ist, dass auch du einen Platz in dieser Welt hast.;2021-06-27T09:56:03.000Z;7 likes;-
23;frauenvondamals;Mich würde einmal interessieren, wie stark sich die Bilder an den Originalen orientieren. Z.B werden bei diesen Zeichnungen ja oft die Münder sehr stark betont. Ist das in Sophie Scholls Zeichnungen auch so? Oder ist das der Stil der Künstlerin, die diese Zeichnungen angefertigt hat? Danke!;2021-06-27T09:54:08.000Z;23 likes;-
