Link: ;https://www.instagram.com/p/CUrwtMZMOwt/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;marenkissing;Im Gegensatz zu heute - damals wohl zwingend notwendig. ❤️;2021-10-08T16:45:42.000Z;0;-
2;marielesofi;Ich bin Veganerin, aber Sophie: Schlachte diesen Hasen. Er hatte ein gutes Leben. Auch ihr verdient ein gutes Leben. Es gibt kaum Fleisch und kaum richtig nahrhaftes gerade, ihr müsst so gesund und gestärkt wie möglich sein für das, was kommt.;2021-10-08T14:45:38.000Z;3 likes;-
3;speeboo;Um sicher zu gehen, dass der Hase nicht leidet, sollte es jemand machen, der es schon gemacht hat. Man muss das nicht selbst können.;2021-10-08T14:29:10.000Z;0;-
4;hobbymodel_mr;Ich bin Veganerin, weil ich es nicht richtig finde, Tiere wie Produkte zu behandeln und ihnen das Leben zu nehmen.;2021-10-08T09:50:48.000Z;1 like;-
5;1.0000.000001;Wer das Tier nicht selbst töten kann soll es auch nicht essen. So oder so ist man am Tod des Tieres verantwortlich, das Töten zu verweigern ist meiner Meinung nach etwas heuchlerisch und realitätsfern;2021-10-08T08:58:16.000Z;0;-
6;lasse.privvat;Imagine Man folgt ihr🇩🇪🇩🇪🇩🇪;2021-10-08T06:42:56.000Z;1 like;-
7;mariskareichstein;Definitiv nicht, Respekt gegenüber allen Lebewesen. Ich könnte mich nicht aktiv über das Leben eines anderen Lebewesen stellen. Und da ich es zum Glück nicht erlebt habe im Krieg zu sein kann ich mich nicht hineinversetzen, aber ich weiß dass ich sicher nie ein Tier schlachten würde.;2021-10-07T21:46:28.000Z;0;-
8;em_vaupunkt;Wieso hat euch der Nachbar einen Hasen gegeben? Habt ihr etwas getauscht? Einfach eine freundliche Geste (Vater ist noch im Gefängnis).;2021-10-07T21:18:35.000Z;0;-
8-1;ichbinsophiescholl;@em_vaupunkt #TeamSoffer Bei der Schlachtung des Kaninchens handelt es sich um Fiktion. Es kommt immer wieder vor, dass kleinere Details im Rahmen des Storytellings fiktionalisiert werden, um ein umfassenderes Verständnis der Alltagssituation im Krieg darstellen zu können. Nahrung war knapp in der Zeit des Krieges. Alles wurde rationiert und es gab Lebensmittelmarken. Diese Umstände haben das Leben und die Entscheidungen von Sophie daher stark beeinflusst.;2021-10-08T09:09:31.000Z;3 likes;8
8-2;yaqamar;@ichbinsophiescholl irgendwie unpassend sowas dazu zu dichten. Oder wisst ihr, wie Sophie da eingestellt war?;2022-02-26T18:57:22.000Z;0;8
9;em_vaupunkt;Auf jeden Fall schlachten. Ihr seid im dritten Kriegsjahr. Wann hattet ihr das letzte Mal gebratenes Fleisch auf dem Tisch?;2021-10-07T21:13:38.000Z;1 like;-
9-1;ichbinsophiescholl;@em_vaupunkt Es ist wirklich schon lange her, dass ich das letzte Mal Fleisch gegessen habe. Wir haben doch eigentlich so ein Glück, nun mit diesem Hasen gesegnet zu sein und dennoch finde ich die Vorstellung furchtbar, dieses unschuldige Wesen töten zu müssen.;2021-10-08T09:35:10.000Z;2 likes;9
10;ansgarwfl;Tiere die man tot sind bei denen fällt es einem schwer zu wählen genauso wie bei Haustieren ich habe Hühner und nächstes Jahr soll eins geschlachtet werden 😢;2021-10-07T20:16:27.000Z;0;-
11;its.me_sonja;Ich glaube, in solchen Situationen denkt man ganz anders. Ich hätte es wahrscheinlich auch geschlachtet. Und das sagt eine Veganerin. Man darf einfach nicht vergessen, wie privilegiert wir heute sind und dass Fleisch einfach viele wichtige Nährstoffe hat, die man sich damals nicht anders holen konnte.;2021-10-07T18:11:34.000Z;2 likes;-
