Link: ;https://www.instagram.com/p/CRY5fAGqVZn/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;larissa.peiffer;Habt ihr den Post gelöscht, in dem Sophie über Hans und Irma spricht?;2021-07-22T19:26:31.000Z;0;-
2;fraavumz;❤️;2021-07-19T16:49:04.000Z;0;-
3;arisk.prvt;Beethoven ist sehr gut und an @fan.fembeauty Viel besser als das, was du da vorschlägst;2021-07-19T09:09:50.000Z;0;-
4;beatrice_englaender;❤️;2021-07-18T10:02:58.000Z;0;-
5;dasjessy;❤️❤️;2021-07-17T17:18:21.000Z;0;-
6;such_a_precious_jewel;Musik ist Magie ❤️;2021-07-17T15:55:00.000Z;0;-
7;ulrikemunner;Dein Herz ,wird durch die Musik beruhigt.;2021-07-17T13:45:20.000Z;0;-
8;vinobianco7;Zeitlos schön...❤️;2021-07-17T09:33:54.000Z;0;-
9;louuisaa.wtzlf;❤️❤️❤️;2021-07-17T07:51:32.000Z;0;-
10;lxt.ti_;Wenn ich ruhe und Zeit zum Nachdenken brauch, mach ich mir auch immer Beethoven an. Entweder die 5te oder die 9te✨;2021-07-17T07:48:43.000Z;0;-
11;ulrikemunner;Dein Herz ,wird durch die Musik beruhigt.;2021-07-17T05:52:34.000Z;0;-
12;andreakoenigsmann;Danke für das, was ihr mit diesem Account macht, ihr bringt den Menschen Hans und Sophie so viel näher.;2021-07-16T22:29:19.000Z;4 likes;-
13;heike_lingli;Hallo, Sophie, ich bin berührt von Deiner Kraft und Deinem Lebensmut.Ich wünschte, ich hätte das auch an entscheidenden Stellen meines Lebens gehabt😍❤️;2021-07-16T20:35:53.000Z;0;-
14;berndheruth;"""Music was my first love and it will be my last"" ❤️";2021-07-16T19:53:38.000Z;1 like;-
15;juergenplath;Alle Menschen werden Brüder wo dein sanfter Flügel weilt. Wenn sich nur mehr daran halten würden.;2021-07-16T18:14:52.000Z;1 like;-
16;gwen_gloeckchen;Freude, schöner Götterfunken, Tochter aus Elysion...🌌🥰🎶🎵🎶;2021-07-16T17:51:58.000Z;1 like;-
17;isa_izzyy;Ach Beethoven ❤️;2021-07-16T17:48:12.000Z;0;-
18;hauptstadtlady50;Klassische Musik beruhigt mich auch sehr oft. Danke 🙏 liebe Sophie 🙋‍♀️ 🌛🍸.;2021-07-16T17:36:35.000Z;1 like;-
19;netratz;🔥❤️;2021-07-16T17:19:42.000Z;0;-
20;alfred_regenwasser;Ode an die Freude ❤️❤️;2021-07-16T17:08:57.000Z;2 likes;-
