Link: ;https://www.instagram.com/p/CRPQkDRsXY5/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;kajazm;Ich wusste gar nicht das sophie trinkt?;2021-07-19T12:46:24.000Z;0;-
2;auli_263;Krass. Ich hab in deinen Storys gesehen, wie du Traute kennen gelernt hast. Kommt mir wie gestern vor, die Zeit fliegt zu sehr :,(;2021-07-14T07:56:12.000Z;0;-
3;hauptstadtlady50;Ihr werdet euch auch während der Zeit der Trennung verbunden bleiben liebe Sophie. Wünsche dir Kraft, Ausdauer und Gelassenheit 🙋‍♀️🌞😍.;2021-07-13T12:51:05.000Z;1 like;-
4;ichbinjuedin_ichbindeutsche;Ich hoffe du überstehst die Zeit in der Schraubenfabrik liebe Sophie.;2021-07-13T12:20:57.000Z;1 like;-
5;ines_s_2;❤️;2021-07-13T11:40:45.000Z;1 like;-
6;wunschblume__;Danke für dieses klasse Projekt! 👏;2021-07-13T08:23:58.000Z;1 like;-
7;nici_m_g;@auditorium.laura @lunawedler Spielt auch in der Netflix Serie biohackers mit. Unglaublich tolle Serie und die Darsteller sind der Hammer!;2021-07-13T07:14:21.000Z;2 likes;-
8;frau.busfahrerin;Es tut mir echt leid für euch und bete, dass ihr euch alle gesund und munter wieder in die Arme schließen könnt.;2021-07-13T07:01:43.000Z;4 likes;-
8-1;ichbinsophiescholl;@frau.busfahrerin Ich bete auch dafür, dass wir alle wieder unversehrt in München ankommen. Und zwar mit noch mehr Tatendrang!;2021-07-13T07:54:09.000Z;25 likes;8
9;madame_ket;Ich lese parallel die wunderbare Biographie von Maren Gottschalk über dich, liebe @ichbinsophiescholl ! Ein gelungenes Projekt! 😍👏👏;2021-07-13T06:19:20.000Z;2 likes;-
10;herrhundebraten;10 Wochen Semester: Heutzutage sind es 14 Wochen.... Zeiten ändern sich;2021-07-13T02:11:55.000Z;1 like;-
11;anke.cest.moi;Ich finde dieses Projekt so toll!! Die meisten wissen, wie die Geschichte endet. Was ich jedoch mega spannend fände, wäre ein alternatives Ende!!! (Der Hausmeister erwischt euch nicht etc. und ihr arbeitet weiter im Untergrund.);2021-07-12T22:29:22.000Z;4 likes;-
11-1;slow.motion.daylight;@anke.cest.moi ich hoffe, der HM hat sein Karma bekommen. 🙄 lebendige Geschichte. So nah, dass es schmerzen wird. Geschichtsunterricht in der Schule war nie besser.;2021-07-13T10:47:34.000Z;1 like;11
12;fuchsschaf;Liebe Sophie, Seelenverwandschaft übersteht auch unstete Zeiten. Und auch wenn es eine Weile ganz unerträglich still bleibt, wird man am Ende wieder mit offenen Armen empfangen ❤️ @anjawaldtier;2021-07-12T21:29:11.000Z;3 likes;-
13;bizarrekatha;"Das ist wahre Freundschaft, bleibt alle wie ihr seid und bleibt alle gesund ❤️
Und seht euch gesund wieder ❤️";2021-07-12T20:36:30.000Z;4 likes;-
14;3punkt42;Wahre Freundschaft wird das nicht zerrütten!;2021-07-12T20:15:31.000Z;6 likes;-
15;sarahparnreiter;"Weiß man, warum Sophie für heutige Verhältnisse ""unterm Semester"" zu studieren begonnen hat? Waren die Semester damals anders? Heute fängt man ja meist im September/Oktober an zu studieren";2021-07-12T19:50:13.000Z;3 likes;-
15-1;frank_von_s;@sarahparnreiter Sommersemester beginnt heute im April.;2021-07-12T19:55:13.000Z;5 likes;15
15-2;gull.weig;@sarahparnreiter Die Schuljahre begannen bis in die 60iger Jahre im April. Dann wurde umgestellt auf August/September.;2021-07-12T20:21:12.000Z;2 likes;15
16;adi.stgbr;@ichbinsophiescholl Vielleicht könntest du ja in der Fabrik die Produktion sabotieren!;2021-07-12T19:49:51.000Z;5 likes;-
16-1;sabine_schmieder79;@adi.stoegbauer Dir ist schon bewusst, dass es alles schon passiert ist und man daran nichts mehr ändern kann?;2021-07-12T20:01:21.000Z;2 likes;16
16-2;adi.stgbr;"@sabine_schmieder79 Dir ist schon bewusst, dass sich die Redaktion dieser Seite um Authentizität bemüht und immer auf derartige ""Vorschläge"" so authentisch wie möglich antwortet, wie es eben zu Sophie Scholl womöglich passen würde? So bekommt man ein Bild davon, wie sie als Person war, also ist es völlig legitim, ""ihr"" diese Frage zu stellen, um herauszufinden, ob Sophie Scholl derartiges wie eine Sabotage im Sinn hatte oder in Aufzeichnungen vermerkt hat.";2021-07-12T20:14:11.000Z;9 likes;16
17;lyrikerin_dieseelenmuse;Wie könnte deine wunderbare Seele vergessen werden, liebe Sophie?;2021-07-12T19:44:51.000Z;2 likes;-
18;jenny.about;Wenn es wahre Freundschaft ist, wird nach der Zeit alles sein wie vorher, liebe Sophie❤️;2021-07-12T19:39:18.000Z;8 likes;-
19;meliskleinewunder;@ichbinsophiescholl was passiert wenn du „nein“ sagst und nicht gehst?;2021-07-12T19:38:09.000Z;1 like;-
19-1;sabine_schmieder79;"@meliskleinewunder damals konnte man nicht einfach ""nein"" sagen. Das war nicht so demokratisch wie heute. Ich schätze, das wäre Fahnenflucht gewesen oder ähnliches.";2021-07-12T20:03:19.000Z;4 likes;19
19-2;ichbinsophiescholl;@meliskleinewunder Das ist leider kaum möglich. Ich habe bereits versucht, mich vom Dienst zu befreien oder ihn zumindest aufzuschieben. Doch selbst das ist bereits sehr gefährlich und könnte mich nicht nur mein Studium, sondern so viel mehr kosten...;2021-07-13T07:59:16.000Z;11 likes;19
20;david_hugo;Beauty Shot 🔥;2021-07-12T19:33:58.000Z;5 likes;-
21;carolinluise_;Ich wünsche dir ganz viel Kraft ❤️;2021-07-12T19:31:09.000Z;3 likes;-
22;mehmed.koenig;"Liebe Sophie,
worüber Du Dir immer Gedanken machst. Du erinnerst mich immer auch an mich selbst, aber letztendlich kann ich Dir eines sagen: die Verbindung zwischen Menschen, wirkt manchmal augenblicklich, doch insgeheim (und so wirkt es bei Deinen ganzen Postings), kann diese Verbindung mit der Zeit immer weiter intensiviert werden - ich finde, auch dann, wenn man nicht mehr die Zeit miteinander verbringt. Menschen, die eine emotionale Verbindung zueinander spüren, wachsen irgendwie emotional, aber auch spirituell aneinander. Verstehst Du was ich meine?
Meine Geschwister und auch ich, haben während unserer Anfangszeiten als Geflüchtete in Ingolstadt, Menschen kennen und lieben gelernt (die mitunter das gleiche Schicksal wie wir durchlebt haben). Und soll ich Dir was sagen? Wir haben heute noch Kontakt zueinander!
Mach Dir mal nicht so einen Kopf, liebe Sophie. ☺️
Ich bin in Gedanken bei Dir! ❤️";2021-07-12T19:21:27.000Z;69 likes;-
22-1;schuheundmeer;@mehmed.koenig Ich lese deine Beiträge so gerne und finde es toll, dass du auch deine schlimmen Erfahrungen teilst 😔 Danke! Du regst mich sehr zum Nachdenken an.;2021-07-12T22:21:31.000Z;10 likes;22
23;gingerlicious_m;Wahre Freundschaften überstehen auch längere Zeiten! Wirst schon sehen, wenn du zurückkommst ist es bestimmt als wärst du nie weg gewesen! Ich hoffe alle bleiben gesund!;2021-07-12T19:18:33.000Z;51 likes;-
23-1;ichbinsophiescholl;@gingerlicious_m Das hoffe ich auch. Ich werde jeden Tag an sie denken müssen;2021-07-12T19:24:18.000Z;20 likes;23
23-2;gingerlicious_m;@ichbinsophiescholl keine Sorge, ich hab auch sehr gute Freundin @ahammer_marina_ die weit weg lebt, aber jedes Mal wenn wir uns wiedersehen ist es als wären wir niemals getrennt gewesen😍;2021-07-12T19:47:57.000Z;8 likes;23
23-3;ahammer_marina_;@gingerlicious_m Ohhh das war das Schönste, was ich seit langem gehört habe 🥺 Nicht mal 1500 Kilometer können das ändern!!;2021-07-12T21:20:33.000Z;4 likes;23
24;mamaisstnurgrasundsteine;gingen eigentlich die anderen auch in den Ferien irgendwohin, wurden eingezogen für den kriegstdienst?;2021-07-12T19:16:19.000Z;6 likes;-
24-1;ichbinsophiescholl;#TeamSoffer Liebe @mamaisstnurgrasundsteine Ja, es war üblich, dass beinahe alle Studierenden in den Semesterferien für eine Art des Kriegsdienstes eingezogen wurden. Was mit den anderen Mitgliedern der Weißen Rose passiert ist, wird hier selbstverständlich im Laufe der nächsten Tage thematisiert. Liebe Grüße!;2021-07-13T08:05:24.000Z;8 likes;24
24-2;mamaisstnurgrasundsteine;@ichbinsophiescholl super. Danke für die Antwort;2021-07-13T12:36:22.000Z;1 like;24
25;hoy_woy_isa;So schöne Menschen in einer so hässlichen Zeit.;2021-07-12T19:14:47.000Z;3 likes;-
