Link: ;https://www.instagram.com/p/CVfjMXrsRdV/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;tina.brucki;Ich habe vor kurzem das Poesie Album von meiner Oma geerbt, dass sie 2 Jahre lang auf der Flucht aus Schlesien mitgenommen hat, es ist sehr gut erhalten! Und ich behüte es!!! ❤️❤️❤️❤️;2021-12-08T15:36:39.000Z;0;-
2;freshnfreelikebetty;Ich hab vor kurzem unseren Keller ausgemistet, als mir plötzlich eine Karte entgegen kam. Die hat mein Mann vor fast 5 Jahren geschrieben. Da waren wir frisch zusammen. Er hat sich bedankt, dass ich ihn aus einem tiefen Loch geholt habe und ich immer auf ihn zählen kann. DIE Eine Frau.;2021-11-04T12:43:32.000Z;0;-
3;katrinfrische;❤️;2021-10-29T17:10:22.000Z;0;-
4;kulturwerkberlin;😢😍;2021-10-28T10:06:30.000Z;0;-
5;brigitte_skrothum;@laguessophie;2021-10-27T22:06:19.000Z;0;-
6;spengler_tftraining;😍😍;2021-10-27T14:29:38.000Z;0;-
7;lavin_99999;Wenn Fritz Freiwilliger Soldat ist, dann Befürworter er den Krieg und die Ideologie, oder ?;2021-10-27T10:38:37.000Z;1 like;-
8;ines_s_2;❤️;2021-10-27T08:54:59.000Z;0;-
9;na.kirsch;@soffi.b_ ☝🏻☺;2021-10-27T07:18:24.000Z;0;-
10;teachers4future9;Oh ja. Manchmal, wenn einer auftaucht und ich Schubladen stöbere. Dein Fritz scheint mir ein ganz besonderer Mensch zu sein. So wie du, Sophie. Da haben sich wohl zwei vertraute Seelen gefunden ❤️;2021-10-27T06:55:24.000Z;1 like;-
11;jenn_yh;Das hat Fritz schön geschrieben! 💕;2021-10-27T05:40:51.000Z;1 like;-
12;wheellifesamirchen01;Hab leider keine mehr... Auch leider nicht mehr die aus meiner frühen Jugend 🙈🥰;2021-10-26T22:09:56.000Z;1 like;-
13;tessa.dreher;Fritz schreibt wunderschön.... bewahre die Briefe gut auf, nimm seine Zeile als Trost und Mutbtinger wenn es notwendig ist. Wer weiß, was euch die Zukunft noch alles bringt.;2021-10-26T21:52:11.000Z;1 like;-
14;nadinekleinen84;Wie schön!❤️❤️❤️;2021-10-26T21:27:49.000Z;2 likes;-
15;claudiakeupen;so schöne ermutigende worte ❤️❤️;2021-10-26T21:01:10.000Z;1 like;-
16;katrinpruchniewski;"Das ist sehr lieb von Fritz.
Ich denke manchmal an liebe Worte, die mir gesagt wurden.❤️";2021-10-26T18:08:27.000Z;3 likes;-
17;busenfreundin;❤️;2021-10-26T17:06:37.000Z;0;-
18;yvi1hitwonder;@soph1.e4;2021-10-26T16:41:06.000Z;1 like;-
19;ostseeschnecke88;@lillybrtls06 ❤️ Sophie;2021-10-26T16:34:30.000Z;1 like;-
20;ulrikemunner;Ach Sophie, Fritz schreibt schöne,wahre Worte.❤️;2021-10-26T16:21:00.000Z;3 likes;-
21;simply_jossi;Das ist ganz wunderbar und trifft genau ins Schwarze, oder? 😍;2021-10-26T16:20:46.000Z;2 likes;-
22;sophielfaeltig;Den Satz fühle ich sehr 😍;2021-10-26T16:14:44.000Z;2 likes;-
23;italiadree;Ein sehr schöner Satz, den ich mir merken werde ❤️;2021-10-26T15:52:41.000Z;1 like;-
24;sxphxx.bx;Haben sich Sophie und Fritz eigentlich noch einmal wiedergesehen? 😢;2021-10-26T15:30:43.000Z;7 likes;-
25;yungvio;kuss geht raus an fritz, weil er so ein ehrenmann ist;2021-10-26T15:28:06.000Z;3 likes;-
26;alexesawatzkiplasticienne;❤️;2021-10-26T15:14:43.000Z;0;-
27;ajnatalah;ja die lese ich sehr, sehr gerne <3 die sind inzwischen fast 25 Jahre alt ❤️ die Liebe, die ewig bleibt ❤️;2021-10-26T15:14:04.000Z;0;-
28;evie_lu;Er ist ein gut Freund;2021-10-26T14:57:15.000Z;0;-
29;smalltalk201;Sooo schön...da geht das Herz auf ❤️;2021-10-26T14:29:33.000Z;1 like;-
30;heikegumz;"Aktuell erzählt Fritz Hartnagel in seinen Briefen an Sophie auch von seinen ideologischen Auseinandersetzungen mit anderen Offizieren, hier (18.10.42) z. B. über einen Streit über sozialdarwinistische Positionen, mit denen die Vernichtung anderer Völker durch Nazi-Deutschland gerechtfertigt wurden: ""auch gestern habe ich mit meinen Kompanieoffizieren bis 2 Uhr gestritten. […] Der Gegenstand unserer Unterhaltung war vor allem die Behauptung meiner Gegensprecher (ich bin da leider immer allein mit meiner Meinung) daß die Natur gut sei, da sie ja von Gott geschaffen sei. Ein Gesetz der Natur sei aber der Kampf aus Selbsterhaltungstrieb, nur aus dem Tod entstünde Leben, das ewige Stirb und Werde. So sei auch der Kampf Volk gegen Volk, die Unterdrückung oder Vernichtung des Schwächeren ein Gesetz der Natur und deshalb gut.""";2021-10-26T14:02:51.000Z;10 likes;-
31;katinkahe;So toll ich euer Projekt finde, es bricht mir wirklich jedes Mal das Herz es zu lesen mit dem Wissen wie es ausgeht. Ich möchte sie durch mein Handy anschreien und sie warnen und weiß doch, dass es nichts bringt.;2021-10-26T13:45:00.000Z;26 likes;-
32;gabi.patch;Ich sollte mal wieder die Liebesbriefe herausholen....❤️;2021-10-26T13:39:48.000Z;5 likes;-
33;nice_nicer_neises;Oh, ist das schön 🥰;2021-10-26T13:36:16.000Z;3 likes;-
34;sira_lovely;Wann geht die Uni eigentlich wieder los? Gefühlt gehen die Semesterferien schon ewig;2021-10-26T13:28:33.000Z;4 likes;-
35;giusy79_;Die Briefe von Fritz geben dir bestimmt viel Kraft 🙏 ❤️;2021-10-26T13:23:19.000Z;11 likes;-
36;wxnterkind;Wie schön!❤️💭;2021-10-26T13:15:54.000Z;1 like;-
37;matschkatze;Ich bin zwar noch weitestgehend ohne digitale Medien aufgewachsen und habe auch ein paar Liebesbriefe bekommen, diese sind aber leider alle der großen Flutkatastrophe zum Opfer gefallen 😢;2021-10-26T13:12:20.000Z;7 likes;-
38;prinzessin_uffm_bersch;❤️;2021-10-26T13:12:00.000Z;2 likes;-
39;mora_neytiri;@hippydusche sonst bist du keine sophie 😉😍;2021-10-26T13:11:55.000Z;1 like;-
40;ichbinsophiescholl;#TeamSoffer Das Zitat stammt aus einem Brief von Fritz an Sophie vom 20.08.1941 (Sophie Scholl, Fritz Hartnagel: Damit wir uns nicht verlieren, S. 324f. Erschienen bei @_s_fischer). Darin drückt er sein Bedauern darüber aus, dass Sophies Reichsarbeitsdienst verlängert wurde. Er wünscht sich für Sophie die Freiheit, selbst darüber entscheiden zu können, was sie machen möchte.;2021-10-26T13:09:41.000Z;136 likes;-
