Link: ;https://www.instagram.com/p/CWav-O8MZ2C/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;wiltrudu.ber;0;2021-11-20T15:13:50.000Z;0;-
2;irene.garbe3;Jaa😂;2021-11-19T12:38:25.000Z;0;-
3;alexesawatzkiplasticienne;Ja, ich drück sie Euch ganz ganz fest!;2021-11-19T07:35:28.000Z;0;-
4;lena.aurnhammer2020;Ja ♡♡;2021-11-18T20:38:29.000Z;0;-
5;markus.c.stein;✊🏻✊🏻✊🏻;2021-11-18T15:58:35.000Z;0;-
6;schoolsven;❤️🍀❤️;2021-11-18T15:16:06.000Z;0;-
7;knoll_vs;Weiß man denn, warum die Wohnung frei wurde und ob sie eventuell vorher von jüdischen Mitbürgern, die deportiert wurden, bewohnt worden war?;2021-11-18T15:07:56.000Z;0;-
7-1;ichbinsophiescholl;@knoll_vs #TeamSoffer Unter welchen genauen Umständen Hans und Sophie Scholl ihre Wohnung erhielten, ist ungewiss.;2021-11-18T15:43:51.000Z;3 likes;7
8;sumpfdotterbluemchen;Ich drück euch beiden die Daumen! Ich hab neulich eine Wohnung gefunden, dann schafft ihr das auch. 🤞🏻;2021-11-18T14:51:09.000Z;2 likes;-
8-1;ichbinsophiescholl;@sumpfdotterbluemchen Mit dieser Zuversicht sind wir auch zu der Besichtigung gegangen und es hat scheinbar geholfen! Nun haben wir endlich eine Wohnung und das muss gefeiert werden!;2021-11-18T15:36:49.000Z;3 likes;8
9;milkywayontour20;🤞🤞🤞🤞🤞;2021-11-18T14:24:41.000Z;0;-
10;katrinpruchniewski;Hoffentlich bekommt ihr die Wohnung. Im Atelier wohnen ist nicht so gut.;2021-11-18T14:14:50.000Z;8 likes;-
10-1;ichbinsophiescholl;@katrinpruchniewski Das hoffe ich auch! Auf Dauer können wir in der Tat nicht im Atelier bleiben. Ich habe gleich die Besichtigung und hoffe sehr, dass es klappt!;2021-11-18T14:45:10.000Z;4 likes;10
11;mehralsstempelundpapier;Wie hat man damals sein Studium finanziert? Gab da Hilfen vom Staat oder mussten das die Eltern bezahlen?;2021-11-18T13:56:41.000Z;2 likes;-
11-1;ichbinsophiescholl;@mehralsstempelundpapier #TeamSoffer Durch den hohen Bedarf der Wehrmacht an Ärzten wurde ein großer Teil der männlichen Medizinstudenten wie Hans Scholl und Alexander Schmorell zu einem „nebendienstlichen Studium“ abgeordnet und wie Offiziersanwärter besoldet. Über die Verteilung von Stipendien und finanzielle Anreize wurde insofern auch die Fächerwahl zu steuern versucht. Neben den Kriterien der Begabung und Bedürftigkeit spielte auch das politische Wohlverhalten eine wichtige Rolle für die Verteilung von Darlehn und Stipendien. Nichtsdestotrotz war ein Studium zu der damaligen Zeit ein eher seltenes Privileg.;2021-11-18T15:52:43.000Z;26 likes;11
12;rayka1809;@ichbinsophiescholl ich weiß nicht, ob „Damendrücken“ hilft, aber vielleicht ja Daumendrücken 👍🏻😉;2021-11-18T13:38:39.000Z;5 likes;-
12-1;ichbinsophiescholl;@rayka1809 #TeamSoffer Da hat sich wohl ein Tippfehler eingeschlichen, die Daumen sollen natürlich gedrückt werden!;2021-11-18T13:47:45.000Z;0;12
12-2;ichbinsophiescholl;@rayka1809 #TeamSoffer Da hat sich wohl ein Tippfehler eingeschlichen, die Daumen sollen natürlich gedrückt werden!;2021-11-18T13:47:45.000Z;3 likes;12
12-3;ichbinsophiescholl;@rayka1809 #TeamSoffer Da hat sich wohl ein kleiner Fehler eingeschlichen. Danke für das aufmerksame Lesen und drauf hinweisen. Nun wollen wir Sophie mal weiter die Daumen drücken!;2021-11-18T13:50:07.000Z;3 likes;12
12-4;rayka1809;@ichbinsophiescholl in schweren Zeiten freut sich vielleicht die ein oder andere Dame sogar darüber 😅;2021-11-18T13:52:06.000Z;2 likes;12
12-5;ajkwack;Aber bitte vorher Nachfragen ob man die Dame drücken darf! :D;2021-11-18T13:59:25.000Z;1 like;12
13;tommigrbl;Damen drücken?;2021-11-18T13:38:37.000Z;4 likes;-
13-1;ichbinsophiescholl;@tommigrbl #TeamSoffer Da hat sich wohl ein Tippfehler eingeschlichen, danke für den Hinweis!;2021-11-18T13:46:56.000Z;5 likes;13
