Link: ;https://www.instagram.com/p/CSluIqysJ17/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;mxrlene_rdl;"Bin ich die einzige die an Dance Academy denkt 😅
Trotz dieses ernsten Themas";2021-08-17T09:25:37.000Z;0;-
2;beatrice_englaender;Absolut surreal!!!;2021-08-16T10:08:42.000Z;0;-
3;christine.keskin.5;😍❤️;2021-08-16T09:55:21.000Z;0;-
4;renatesfotos;"Schwinge dich auf zu neuen Visionen, erde dich mit deiner Erfahrung und teile sie mit Sorgfalt- dieser Sinnspruch Von Phyllis Lei Furumoto ist mir gerade eingefallen und dazu: wenn man jung ist, ist es schwer sich zu erden; es fehlt ja die Erfahrung! Und wir brauchen die Visionen der Jugend, denn ohne sie wäre unsere Welt verloren! Teile sie mit Sorgfalt: ein gutes Herz kann nicht vorhersehen wie grausam Menschen, die von ihrem Hass und der dazu passenden Ideolgie geleitet werden, handeln können. 😢";2021-08-16T07:08:52.000Z;0;-
5;huerm05;❤️;2021-08-16T04:47:47.000Z;0;-
6;wolfwarncke;So mutig 🙏✍️WW;2021-08-15T21:18:56.000Z;1 like;-
7;bitasju;Solche mutigen Menschen bis zu ihrem furchtbaren Tod bzw. Mord, der an ihnen verübt wurde.;2021-08-15T18:05:36.000Z;1 like;-
8;mandelknubb;Is it possible to add any translation in English? 🙏🏻🙏🏻;2021-08-15T17:20:12.000Z;6 likes;-
8-1;sdr.lea;@mandelknubb all the video material is pre-produced. I guess adding the english translation is not possible. but maybe u know someone who can speak german..;2021-08-16T15:38:33.000Z;0;8
8-2;ichbinsophiescholl;"@mandelknubb #TeamSoffer For our english-speaking followers we post a summary of the week with english subtitles every Monday in the IGTV section. U can also find them in our Highlights under ""IGTV EN"". Best regards!";2021-08-16T15:48:01.000Z;9 likes;8
9;raul_mccallister007;❤️;2021-08-15T16:43:49.000Z;0;-
10;bitasju;Ich schaue gerade den Film, Sophie Scholl die letzten Tage, 18.02.1943, Spannung pur;2021-08-15T16:19:13.000Z;0;-
11;die_sabinatorin;Spannend Hans Hirzel hier kennenzulernen. Nach seiner Haft war er bei den Republikanern und zeigte sich im Rahmen dessen teilweise augenverschließend gegenüber dem was in der eigenen Partei passiert (z.B. Fremdenfeindkichkeit ggü. türkischen Einwanderern), ablehnend zum Ruhstorfer Abgrenzungsbeschluss und schrieb für die Junge Freiheit. Motivationen sind manchmal sehr komplex und innerhalb eines Lebens fließend...;2021-08-15T15:45:33.000Z;2 likes;-
12;netratz;🔥❤️;2021-08-15T13:46:58.000Z;1 like;-
13;luki_louke;Anger issues;2021-08-15T13:03:48.000Z;0;-
14;gulia_dudu;Große und starke Frau 👏;2021-08-15T12:00:15.000Z;1 like;-
15;sume555;Hirzel ist evangelischer Pfarrer, hat aber einen römischen Kragen? 🤔🤔🤔;2021-08-15T11:37:23.000Z;0;-
15-1;philosoph95;Auch evangelisch-lutherische Pfarrer tragen einen Kollar.;2021-08-15T15:41:30.000Z;1 like;15
15-2;sume555;@philosoph95 ah, danke für die Info;2021-08-16T10:30:33.000Z;0;15
