Link: ;https://www.instagram.com/p/CQtcnzhsjDH/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;amue.2001;😢;2021-07-26T20:14:36.000Z;0;-
2;moritz.vgl;Unglaublich wie Hass Kieg und Gewalt ein so schöne Stadt zerstören kann;2021-07-14T08:32:17.000Z;8 likes;-
2-1;ei_kukaan_92;@moritz.vgl wer wind sät wird Sturm ernten. Wer hat denn in Europa mit dem Krieg begonnen mh?;2021-09-24T14:04:17.000Z;1 like;2
3;ujlohmann;🙌;2021-07-02T12:02:35.000Z;0;-
4;ale_the_79;😢;2021-07-01T14:53:51.000Z;0;-
5;katja.steittmann;Auf diese Bilder mit einem Herzchen und gefällt mir zu drücken hat irgendwie einen komischen Beigeschmack….auf der einen Seite fühlt es sich nicht richtig an auf der anderen Seite hat deine Seite hier liebe @ichbinsophiescholl soviel mehr Aufmerksamkeit verdient.;2021-07-01T08:41:57.000Z;0;-
6;armageddonofzen;meine oma musste auch von ihrem dorf in der nähe von köln fliehen. sie war da erst 5 jahre alt und erinnert sich trotzdem noch genau daran weil es so schlimm für sie war.;2021-06-30T20:26:28.000Z;0;-
7;alexp.3005;Nimmt langsam geschichtsrevisionistische Züge an. Einordnung fehlt: Die Deutschen waren Täter, keine Opfer.;2021-06-30T18:58:33.000Z;3 likes;-
8;gwen_gloeckchen;😟😥😭;2021-06-30T18:32:58.000Z;1 like;-
9;angi.tri;😢;2021-06-30T16:18:07.000Z;1 like;-
10;krokodilgemuese;Härte Deutschland mal nicht den zweiten Krieg innerhalb von weniger als 20 Jahren angefangen. Da passiert dann halt sowas.;2021-06-30T15:19:53.000Z;1 like;-
11;laura.gulizia;@stefanie_bohnen;2021-06-30T13:41:13.000Z;1 like;-
11-1;stefanie_bohnen;@laura.gulizia oh wie schrecklich😢;2021-06-30T18:23:23.000Z;1 like;11
12;nina_georgsdottir;Trotz allem zeigt Bild 4 für mich eine gewisse Zuversicht in den Gesichtern, was mich gerade sehr berührt. Einfach schrecklich was damals passiert ist und das wir heute im Grunde noch die selben kämpfe Kämpfen müssen...;2021-06-30T13:29:23.000Z;0;-
13;di_bo__13;Barbarisch;2021-06-30T13:20:56.000Z;1 like;-
14;deep_rock_photography;😮😮😮 😮😮😮;2021-06-30T12:24:32.000Z;1 like;-
15;katrinpleumann;Bitte unterscheidet trotzdem zwischen Vergleichen und Gleichsetzen.;2021-06-30T12:22:05.000Z;0;-
16;booksofvalyria;Bild Nr. 6 macht mich sehr traurig;2021-06-30T12:09:47.000Z;0;-
17;pdm__mimi03;Hallo Sophie ich hab mal eine dumme/blöde Frage was haben frauen früher anstatt binden/Tampons benutzt?oder was hat man gemacht um Wäsche wieder sauber zu machen weil Waschmaschine ging ja z.b auf dem foräto nicht.oder hatte man es so lange angezogen wie es ging;2021-06-30T11:40:09.000Z;0;-
18;stephanie_mertens.ch;Bei diesem Bombenangriff wurde meine Grossmutter (als Kind) ausgebombt und hat ihr Zuhause verloren....;2021-06-30T10:56:52.000Z;0;-
19;lumi.ne.szenz;"Diese Perspektive mit einzubringen finde ich sehr gut und auch wichtig. Es gibt nicht nur „die bösen Deutschen, die den Krieg angefangen haben und nun alles Elend verdient haben“. Ja, Deutschland hat den Krieg angefangen und es wurden durch Deutsche unfassbar schlimme, unvorstellbar grausame Dinge getan…das sollte unbestritten sein und ein Mahnmal in unser aller Köpfe. Doch es gibt auch noch eine andere Seite und Leid und Elend der deutschen Bevölkerung. Auch unsere Großeltern haben furchtbares erlebt. Meine Oma z.b hat - wie so viele - ihr zuhause und einen Großteil ihrer Familie in dieser grausamen und irrsinnigen Zeit verloren. Sie hat unvorstellbares Leid erlebt und auch sie war - obwohl Deutsche - ein unschuldiges Opfer. Sie hat mir Zeit Lebens von dieser Zeit erzählt, erzählt was man als Zivilist im Krieg wusste, ahnte und vermutete und wie man sich einen Reim machen musste auf völlig unterschiedliche Informationen. Sie erzählte von Angst, wie sie alle 8 Onkel und ihren Vater in Stalingrad verlor, obwohl jeder von diesen das Regime verachtete, sie erzählte davon wie sie nach dem Krieg von russischen Soldaten missbraucht wurde und wie sie dennoch den Hass dieser Soldaten verstehen konnte, sie erzählte von Wahllosen Erschiessungen am Straßenrand, von der Bombennacht in Dresden, von unzähligen Luftangriffen, von einer Flucht zu Fuß quer durch Deutschland, von Hunger und Verzweiflung, davon wie Soldaten aus Vergeltung ihr zuhause niederbrannten und wie sie auf der Flucht von ansässigen Bauern verjagt und beschimpft wurde. Und immer sagte sie: „Wer konnte den Soldaten den Hass auf uns verdenken? Wir hatten so viel Leid in ihr Land gebracht, sie hatten Familien und Heimat verloren“
Wir alle sollten verstehen, dass es im Krieg keine Sieger gibt, sollten verstehen, dass Krieg Leid und Grausamkeit auf allen Seiten bedeutet und auch, dass nicht alle Deutschen Nazis waren, die all das Leid verdient hatten. Wir sollten die Gesamtheit betrachten und verstehen, denn dies ist wichtig um solche Entwicklungen zu erkennen. Wenn man nur eine schwarz-weiß Betrachtung macht und nur in gut/Opfer und böse/Täter aufgrund z.B. Nationalität einteilt, dann ist das nicht richtig.";2021-06-30T10:33:27.000Z;7 likes;-
20;ara_de_seer;Ich habe glaub noch welche aus Ulm😢... Von Oma;2021-06-30T10:23:13.000Z;0;-
21;boskunnur;💔;2021-06-30T10:02:29.000Z;0;-
22;petrahellmeck;😢;2021-06-30T09:44:42.000Z;0;-
23;waitiesandy;Krieg ist einfach nur schlimm.;2021-06-30T09:23:56.000Z;0;-
24;michelle.kramer.79;Eigentlich würde ich das Bild liken aber ich kann es nicht. Was damals passiert ist und Bilder davon zu sehen, traurig.;2021-06-30T08:53:08.000Z;0;-
25;kerstinm1980;😢;2021-06-30T08:51:42.000Z;1 like;-
