Link: ;https://www.instagram.com/p/CU4iQZZMbdg/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;nikeflury;Das ist nicht schlimm. Wir wissen, dass das kompliziert für Dich ist. Du kannst Flöte spielen. Wenn ich antriebslos, treffe ich meine Freunde zum abhängen. Du kannst ein bisschen Sport machen oder ein bisschen schlafen. Lass es Dir gutgehen. 😘;2021-12-17T11:47:59.000Z;0;-
2;maxkellerrrr;salut toi;2021-12-17T11:45:57.000Z;0;-
3;nikeflury;Liebe Sophie, du sollst Schokolade und Eis essen. Wenn ich traurig bin, mache ich nichts. Aber du darfst das nicht. Du kannst auch Musik hören, zeichnen, weil du das magst und spazieren gehen. Ich denke, dass du Instant-Nudeln essen musst. Es ist sehr beruhigend. Du sollst einen Tee machen und einen Weihnachtsfilm auf Netflix sehen. Ich hoffe, dass es dir bald besser geht. 🎅 🌟;2021-12-03T07:59:18.000Z;3 likes;-
3-1;sophi.thl;@nikeflury 🦓🦓🦓🦓🦓;2021-12-03T08:02:50.000Z;2 likes;3
3-2;sararaakr;@nikeflury girlllll😜🤪🤪🤪🤪;2021-12-03T08:04:25.000Z;1 like;3
3-3;420raph;@nikeflury 🦷🤹🏊🪂👩‍🏭✨🪐🦄🦧;2021-12-03T08:05:54.000Z;2 likes;3
3-4;sophi.thl;@420raph !!!!!! ATTENTION!!!❤️‍🩹❤️‍🩹❤️‍🩹❤️‍🩹❤️‍🩹❤️‍🩹❤️‍🩹;2021-12-03T08:06:48.000Z;0;3
3-5;sophi.thl;@sararaakr 👩🏼‍🎤;2021-12-03T08:07:09.000Z;0;3
3-6;sararaakr;@420raph 🥶🥶🥶🥶🤪🤪🤪🤪⛓⛓⛓⛓😈😈😈😈😈😈 #alpha;2021-12-03T08:07:26.000Z;1 like;3
3-7;sophi.thl;@sararaakr 😢🔥🔥🔥🔥🔥🔥;2021-12-03T08:07:56.000Z;1 like;3
3-8;sophi.thl;@sararaakr 🐛 #stationdepuration;2021-12-03T08:08:27.000Z;1 like;3
3-9;sararaakr;@sophi.thl 🪀🧊🍶🦪🧗🪙🌛;2021-12-03T08:09:11.000Z;1 like;3
4;x.akax;Hallo Sophie, Ich habe einige Fragen für dich. Katze oder Hund ? Wer ist das Lieblingsautor ? Was ist deine Lieblingsfarbe ? Und ich habe ein paar Tipp für dich! Trink viele wasser und keinen Alkohol oder Zigaretten! Zeichnet deine Gedanken! DU MUSST SIE AUF DEM KOPF BEKOMMEN!! Das ist sehr wichtig!!;2021-11-28T16:02:25.000Z;0;-
5;_maaaanon_13;Hallo Sophie ! Ici denke, dass dein Leben schwer ist. Nimm dir Zeit für dich. Leist ein Buch und triff neue Freunde!;2021-11-24T09:00:58.000Z;0;-
6;lelelucky1525;"Hallo Sophie, ich hoffe,dass es dir gut geht. Ich kenne diese Situation, die du lebst. Der Moment wo alles unververständlich wirdt. Ich rate die raus zu gehen und zu machen, was du liebst. Ausserdem, wass magst du machen ?
Tchüss !";2021-11-24T09:00:15.000Z;0;-
7;willads1269;Wie geht es dir? Welchen Musik hörst du am liebsten und was ist dein Lieblingessen. Du hast ein Gedankenstrudel du kannst Sporttreiben oder ein Buch lesen:);2021-11-24T08:55:51.000Z;0;-
8;nthets0731;Hallo Sophie, Kommst du zu Paléo mit mir? , Was ist deine lieblings Filme? Magst du Pokémon Go und was Musik hörst du?;2021-11-24T08:55:10.000Z;0;-
9;__noramaye__;Hallo Sophie, ich hoffe dass du gut gehst und dass deinen Problemen nicht so schlim sind. Geh inhaus, nimmt Zeit für dich un hör auf dur zu viele Fragen zu stellen.;2021-11-24T08:52:57.000Z;0;-
10;semi.gamer;Hallo Sophie, ich hoffe dass es dir bald wieder gut geht. Du könntest Mal laufen gehen zum dir die Ideen zu ändern. Was machst du während deinem Alltag?;2021-11-24T08:47:52.000Z;0;-
11;mukajimuenyii;"Wieso machst du dir so viel Gedanken ?
Vor was hast du denn Angst ?
Schreib dir mal alle deine Gedanken auf einen Blatt auf.
Such dir Ablenkungen, mach Sachen die dir Spass macht.
Bleib nicht alleine und rede mit den Leuten die dir nah sind und du vertrauen kannst.";2021-11-24T08:46:01.000Z;0;-
12;kade_93;Was ist eigentlich mit Elizabeth Hartnagel (Schwester) ? Von ihr wird kaum was gezeigt, nur von Inge und Hans 🤔;2021-10-13T19:43:43.000Z;3 likes;-
12-1;ichbinsophiescholl;"@kade_93 #TeamSoffer Elisabeth Scholl arbeitete als Kinderkrankenschwester und Familienhilfe auf einem Bauernhof in der Nähe von Ingolstadt. Zum in der NS-Zeit obligatorischen ""Reichsarbeitsdienst"" wurde sie nicht einberufen, weil sie - wie damals für Kinderkrankenschwestern üblich - in kinderreiche Familien vermittelt wurde.";2021-10-14T07:05:38.000Z;6 likes;12
12-2;kade_93;@ichbinsophiescholl warum wird sie von euch nie erwähnt? Hier kommt es so rüber, als hätte Sopghie nur Hans und Inge;2021-10-14T07:18:09.000Z;4 likes;12
13;netterholger;Wie lange ist Fritz noch an der Front Sophie?;2021-10-13T15:52:03.000Z;0;-
13-1;ichbinsophiescholl;@hr.meinig #TeamSoffer Fritz Hartnagel stellte sich am 14. April 1945 den US-Truppen und war bis September 1945 in US-amerikanischer Kriegsgefangenschaft.;2021-10-13T16:16:12.000Z;4 likes;13
13-2;netterholger;@ichbinsophiescholl Ah ok, danke.;2021-10-13T16:23:49.000Z;0;13
14;honey.bee.vicky.1984;Was ist mit den Menschen aus dem Buch von Muth? Hat du alle gefunden?;2021-10-13T11:08:37.000Z;0;-
14-1;ichbinsophiescholl;@honey.bee.vicky.1984 Momentan plane ich meine Reise. Otl habe ich einen Brief geschrieben, denn ihn möchte ich besuchen. Mal sehen, welche Stationen ich noch finde...;2021-10-13T11:17:34.000Z;2 likes;14
14-2;honey.bee.vicky.1984;@ichbinsophiescholl viel Glück, und alles gute;2021-10-13T11:20:46.000Z;0;14
15;ikramova316;🙌;2021-10-12T16:03:08.000Z;0;-
16;mario_aus_hamburg;Wie geht’s Papa?;2021-10-12T11:21:32.000Z;3 likes;-
16-1;ichbinsophiescholl;@mario_aus_hamburg Nun, wir hören nicht viel von ihm. Er darf uns bloß einmal im Monat schreiben, wir ihm alle zwei Wochen. Ich hoffe, dass er im Gefängnis Gleichgesinnte trifft, mit denen er sich im Verborgenen austauschen kann, das würde ihm Mut machen! Wir vermissen ihn sehr und beten jeden Tag, dass er schnell wieder Heim kommt.;2021-10-12T12:25:38.000Z;8 likes;16
17;wet_weekend;Sehr schöne Idee dieser Account und toll gemacht. Von dieser Art sollte es mehr geben im Austausch gegen einige sinnfreie Influenzer. Bravo!!!;2021-10-12T07:36:41.000Z;1 like;-
18;kreativ435;Ich bewundere den Mut!! Ich frage mich oft, wie ich gehandelt hätte.;2021-10-12T07:19:03.000Z;3 likes;-
19;duracelline;Warum ist es vielen immer so wichtig, dass WEIHNACHTEN alle beisammen sind.... wird in einer solchen Kriegssituation ein solcher Feiertag so wichtig, um ein Stück Normalität zu bekommen? Ist Weihnachten Normalität? Wie kann man Weihnachten feiern, wenn man weiß, dass man zurück in den Schützengraben muss ? Ich finde, dass dies überbewertet wird. Vielleicht sehe ich aber einfach auch nur die Kraft nicht, die von diesen Feiertagen ausgehen kann. Ich weiß es nicht.... Du bist unglaublich tapfer und reflektiert, liebe Sophie da ist es nur klar, dass einen Müdigkeit und Verzweiflung einholen. Gib nicht auf und nimm dir die Ruhe die der Schlaf dir gönnt.;2021-10-12T05:33:24.000Z;1 like;-
19-1;ichbinsophiescholl;@duracelline Der Gedanke an ein friedliches und besinnliches Weihnachten und vor allem an die gemeinsame Zeit mit der ganzen Familie, schenkt mir so viel Kraft. Sicherlich geht der Krieg weiter und auch am heiligen Abend kostet er so viele Menschen das Leben, doch tut es ab und an gut, ein wenig Normalität in diesen Zeiten zu erfahren. Es geht nicht darum, all das plötzlich auszublenden. Sondern darum, wenn auch nur ganz kurz, noch den Funken einer Hoffnung zu haben, dass wieder bessere Zeiten kommen mögen.;2021-10-12T07:52:28.000Z;3 likes;19
20;evelyn_brandt_;❤️;2021-10-11T23:26:21.000Z;0;-
21;rilect92;Ich würde dir jetzt gerne raten was ich mach wenn es mir so schrecklich geht. Sonst bin ich immer im Wald spazieren gegangen, hab Freunde besucht, hab mir die kleinen Privilegien unseres Alltags bewusst gemacht und immer versucht aus allen Situationen (auch den Schlechten) doch etwas Positives für mich zu finden. Doch was ich jetzt durchgemacht habe. Macht es mir so unsagbar schwer mich meinen eigenen Tipps treu zu bleiben. Ich fühl mittlerweile genauso, wenn dich deine Gedanken plagen und sie sich nur schwer in ihre Schranken weisen lassen. Die schlimmsten Dinge sind nunmal jene welche wir nicht beeinflussen können, so sehr wir es auch wollten..... Und genau deshalb Versuch ich jetzt umso mehr mich einfach zu motivieren soweit ich es kann, mich zu motivieren einfach weiterzumachen..... Und du bist nicht alleine, die Menschen denen du wichtig bist, sind im Gedanken immer bei dir! Darauf musst du einfach bauen und einfach darauf hoffen, dass ihnen gut geht. Gibt dich nicht auf Sophie!;2021-10-11T22:30:43.000Z;2 likes;-
