Link: ;https://www.instagram.com/p/CQ6Gg_oo61Y/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;antiquariat_bucher_ernst;"@tierschnipsel ganz am Anfang.. Kartoffelkäfer!
Ps. Das ganze Sophie Scholl Projekt ist super 👍🏻";2021-07-15T00:04:54.000Z;0;-
2;tinalisa.bt;Ja die Deutschen wurden bewusst falsch informiert, 1942 schon bis Kriegsende 😮😮;2021-07-05T09:05:25.000Z;1 like;-
3;connydolllifestyle;Euer Projekt ist wirklich wahnsinnig toll gemacht und macht das Gefühl der Zeit erlebbar.. Danke...;2021-07-05T09:01:24.000Z;10 likes;-
4;mamamulle;Ja was ist wenn Krieg ist und keiner geht hin...;2021-07-05T08:19:26.000Z;2 likes;-
4-1;ninaaww_14;@mamamulle Krieg, weil Nazis dumm sind? Da würd ich auch verweigern;2021-07-22T08:41:31.000Z;0;4
5;stephijaja;Bemerkenswert wie ihr das auf die Beine gestellt habt. Jeden Tag verfolge ich es .;2021-07-05T06:53:06.000Z;3 likes;-
6;stephijaja;Bemerkenswert wie ihr das auf die Beine gestellt habt. Jeden Tag verfolge ich es .;2021-07-05T06:47:09.000Z;8 likes;-
7;vireb_1;Bestes Instagram auf der Plattform!;2021-07-05T06:07:17.000Z;3 likes;-
8;fruehling68;Ein interessanter Gedanke…wenn alle plötzlich nicht mehr mitmachen. Aber scheinbar gab es so viele die gerne im Gleichschritt mit maschiert sind und nur ein kleiner Teil war opportun. Es musste so kommen wie es kam,, selbst das ist noch zu wenig gewesen, wie viele waren danach noch voll auf Hitlers Seite….erschreckend selbst als Kind in den Siebzigern habe ich von alten Männern noch gesehen, wie sie sich Hitlergruss ausgerichtet haben 😟;2021-07-05T05:26:12.000Z;0;-
9;fruehling68;Ein interessanter Gedanke…wenn alle plötzlich nicht mehr mitmachen. Aber scheinbar gab es so viele die gerne im Gleichschritt mit maschiert sind und nur ein kleiner Teil war opportun. Es musste so kommen wie es kam,, selbst das ist noch zu wenig gewesen, wie viele waren danach noch voll auf Hitlers Seite….erschreckend selbst als Kind in den Siebzigern habe ich von alten Männern noch gesehen, wie sie sich Hitlergruss ausgerichtet haben 😟;2021-07-05T05:25:56.000Z;3 likes;-
