Link: ;https://www.instagram.com/p/CPyN-sqoYOy/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;aleksbluebell;Bitte 👏🏻 macht mit den Schauspielern/innen einen zusätzlichen Film 🎥 😍;2021-06-10T18:20:27.000Z;5 likes;-
2;prof.nicolifrantz;Wow! Sehr gut! 👏👏;2021-06-08T13:21:31.000Z;0;-
3;thats_traveller;Was für ein Albtraum;2021-06-07T15:53:49.000Z;0;-
4;die_muellerin_naeht;"Unglaublich wie sehr es mich mitnimmt, dieses ""dabei sein""😢 So unvorstellbar was da gerade passierte und was passieren wird. Und so wichtig diese Erinnerungen wach zu halten und an diese jungen Menschen zu erinnern.";2021-06-07T15:49:29.000Z;4 likes;-
5;dreggdier;Genau deswegen habe ich mich auch angemeldet 😀;2021-06-07T15:42:40.000Z;0;-
6;oberlanderalexander;❤️;2021-06-07T15:22:37.000Z;0;-
7;lavendaschaff;Ja ich hab zwar einen, aber benutze ihn nie, jetzt freue ich mich ueber Eure Posts und schaue daher öfter drauf!;2021-06-07T10:38:18.000Z;0;-
8;nadine.bndl;😍;2021-06-07T10:37:14.000Z;0;-
9;pietscholten123;In english, because my German isn’t good enough. I have also created this account just to be part of your history. I have tremendous respect for those who take action, no matter the consequences, when unjust is done. Many thanks for the makers of this insta account.;2021-06-07T08:25:17.000Z;9 likes;-
10;smartsue3;Es ist unglaublich interessant die Geschichte von Sophie zu verfolgen. Lieben Dank dafür ♡;2021-06-07T07:17:40.000Z;5 likes;-
11;natalie_andrea_;Ich bin immer wieder etwas entsetzt wie hier viele Leute sachluche Kritik mit unangebrachter Kritik verwechseln. Das hier ist ein Projekt welches kostenlos zur Verfügung gestellt wird. Was sich gewisse Leute hier rausnehmen ist schon etwas krass 🙄;2021-06-07T06:46:47.000Z;12 likes;-
11-1;kaaadrooo;@natalie_andrea_ „kostenlos“ ist nicht ganz richtig. Während andere große Blogger*innenAccounts durch Werbung finanziert werden, wird dieser Account, hinter dem SWR und BR stehen, durch die Rundfunkgebühren finanziert. Und diese beiden Sender möchten mit diesem Projekt ihrem Auftrag aus dem Rundfunkstaatsvertrag nachkommen.;2021-06-07T09:33:09.000Z;8 likes;11
11-2;frauenvondamals;@natalie_andrea_ Auch wenn ein Angebot nichts (über meine Rundfunkgebühren hinaus) kostet, darf man Inhalte schon kritisieren, kontextualisieren und korrigieren. Übrigens: Viele von uns machen Angebote wie Podcasts oder Blogs, in die wir noch unser eigenes Geld reinstecken - und stellen uns dennoch jeden Tag dem konstruktiven Austausch mit unseren Follower:innen. Weil uns am Herzen liegt, Gutes zu liefern. (Und wir liefern diesen Kontext auch hier, in unserer Freizeit und ohne Lohn, weil wir es wichtig finden.);2021-06-07T10:58:15.000Z;9 likes;11
11-3;natalie_andrea_;"@frauenvondamals oke, für mich als Schweizerin ist er in dem Fall kostenlos. Und ich spreche hier sich nicht von sachlicher Kritik, die darf immer angegeben werden. Aber vieles was ich lese ist meiner Meinung nach nicht wirklich konstrultiv, darum geht es mir. Und was möchtest du mir mir dem Beitrag bez. Blogger sagen? Das macht ihr ja auch freiwillig oder? Nervt euch da unsachliche Kritil nicht auch?
Mir geht es darum dass man nicht immer alles kritisieren MUSS wenn einem das kostenlose Format nicht gefällt, dann kann man ja einfach aufhören das zu konsumieren?!";2021-06-07T13:41:11.000Z;2 likes;11
11-4;natalie_andrea_;@kaaadrooo dann ist er für mich kostenlos 🤷🏽‍♀️ lebe in der schweiz 😉;2021-06-07T13:41:49.000Z;1 like;11
11-5;frauenvondamals;"@natalie_andrea_ Auf diesem Kanal wird auch konstruktive Kritik schnell als unsachlich diffamiert, und da ""unsachlich"" ein dehnbarer Begriff ist, war mir nicht erschließlich,.welche Art Kritik du meinst. Der Punkt, dass das Angebot kostenlos ist, tut allerdings so oder so nichts zur Sache. Es geht hier ja auch um wichtige erinnerungskulturelle Aspekte Wenn ein verzerrtes Geschichtsbild vermittelt wird oder Geschichtsverdrehung in den Kommentaren passiert (und das ist hier streckenweise der Fall), wenn aus Widerstand eine Soap gemacht wird, dann ist das ein umso größeres Problem, je größer die Reichweite ist. Umd das darf und muss kritisiert werden. Natürlich sachlich - und wem's nicht passt, kann ja praktizieren, was er/sie selbst als Methode der Wahl empfiehlt und weiterscrollen - oder? 😉";2021-06-07T15:23:58.000Z;7 likes;11
11-6;frauenvondamals;@natalie_andrea_ Und wir in Deutschland Ansässigen zahlen - dürfen wir deiner Meinung nach dann trotzdem nicht kritisieren? 😉;2021-06-07T15:26:01.000Z;2 likes;11
11-7;lagrancostanza;@natalie_andrea_ Okay, Verständnisfrage: Wo liegt denn für dich, auf dieses Projekt bezogen, die Grenze zwischen sachlicher und unangebrachter Kritik?;2021-06-07T16:09:50.000Z;0;11
11-8;natalie_andrea_;@frauenvondamals ihr dürft alles machen 🤷🏽‍♀️ ich kann hier nichts verbieten. Ich persönlich finde es lächerlich ewas zu kritisieren das auf einer Plattform wie Instagram zur Verfügung gestellt wird. Keiner hier hat ein Anrecht auf irgendetwas, ausser unterhaltung, wems nicht passt, kann sich ander unterhaltung suchen 😅;2021-06-07T18:43:37.000Z;5 likes;11
11-9;natalie_andrea_;"@lagrancostanza wenn z.b. schreibt man will mehr stories oder man soll es grundsätzlich andees machen, das ist für mich unsachlich.
Wenn hier etwas inhaltlich nicht stimmts wäre das sachlich. Meiner Meinung nach.
Man könnte meinen hier wird sinnloses und bösartiges kritisieren so sehr verteidigt 😅 ist wohl allen zu langweilig geworden im letzten jahr";2021-06-07T18:46:17.000Z;0;11
11-10;natalie_andrea_;@frauenvondamals doch natürlich spielt es eine Rolle ob man zahlt dafür oder nicht 😅 würdest du deine arbeit genau gleich machen wenn du 5k bekommst oder nichts? Und neeeein ich mein keine freiwilligen arbeit. 🙄 wie bereits mehrfach erwähnt, habe immer von unsachlicher kritik gesprochen. Dass wie nämlich langsam zim trend und auch das darf kritisierr werden. Warum man sich da so getriggert und eingeschränkt fühlt erschliesst sich mir nicht;2021-06-07T18:51:34.000Z;0;11
11-11;kaaadrooo;@natalie_andrea_ na da könnte man jetzt aber schon auch fragen, wieso dich die Kritik so triggert? Vor allem, jetzt da Du weißt, dass es sich nicht um einen „kostenlosen“ Account handelt. Und der da der Rundfunkstaatsvertrag vor allem zum Auftrag hat „als Medium und Faktor des Prozesses freier individueller und öffentlicher Meinungs- bildung zu wirken und dadurch die demokratischen, sozialen und kulturellen Bedürfnisse der Gesellschaft zu erfüllen,“ ist Kritik und Auseinandersetzung mit den Inhalten sogar Teil der Erfüllung dieses Auftrags😅 .;2021-06-07T19:28:32.000Z;4 likes;11
11-12;frauenvondamals;"@natalie_andrea_ Dann nenn doch mal ein Beispiel für unsachliche Kritik, damit wir wissen, was du meinst. Dein Argument re. ""kostenlos"" verstehe ich immer weniger. Ja, du bist Schweizerin und musst nichts bezahlen. Wir in Deutschland Ansässigen tun das. Und die Leute, die es machen, werden bezahlt. Deshalb beschimpfe ich sie trotzdem nicht, sondern erwarte eine professionelle Geschichtsvermittlung in Übereinstimmung mit dem Bildungsauftrag der öffentlich-rechtlichen Anstalten. Ganz einfach. Hab einen schönen Abend!";2021-06-07T19:36:41.000Z;5 likes;11
11-13;lagrancostanza;@natalie_andrea_ danke für deine Antwort. Auch wenn ich ehrlich gesagt sagen muss, dass ich keins von deinen Beispielen unbedingt als unsachlich ansehen würde (das wären für mich eher Beleidigungen etc), auch we Ich finde, man darf an öffentlich-rechtliche Projekte zur Geschichtsvermittlung schon gewisse Ansprüche stellen - dass es inhaltlich korrekt ist, ist ja irgendwie das mindeste, was man erwarten kann, sondern auch wie etwas vermittelt wird, was eben nicht Erwähnung findet etc. Die Kritik hier als sinnlos und bösartig abzutun (findest du die von dir genannten Beispiele wirklich bösartig?) find ich jetzt irgendwie unnötig emotionalisiert.;2021-06-07T20:28:34.000Z;4 likes;11
11-14;lagrancostanza;@lagrancostanza meh, aus Versehen zu früh auf posten geklickt. Emotionalisiert war kein gutes Wort, ich meinte eher abwertend.;2021-06-07T20:31:15.000Z;1 like;11
11-15;natalie_andrea_;@kaaadrooo 😅 naja, ich hab einen kommentar dazu gemacht das ich unsachliche kritik nicht gut finde und da stürmen drei leute her die von mir verlangen mich genauer zu erklären 🤷🏽‍♀️ ich bin hier wirklich nicht die die getriggerd daher kommt. Auch scheint man offenbar weder verstehen zu WOLLEN was ich meine noch liest man meine Kommentare richtig, was für mich noch mehr zeigt das man einfach etwas kritisieren WILL und das dann noch unsachlich 🤷🏽‍♀️😅 aber ich sags nochmal, für die Leute hinten im Raum: wenn etwas geschichtlich falsch sein sollte ist es etwas anderes als wenn man das Format kritisiert 😂🙈 ich weiss nicht wieso dass das so schwierig ist. Wir haben in der schweiz genau die gleichen „rundfunkbeiträge“ zu zahlen. Wenn mir da das format nicht passt dann such ich mir halt was anderes, tausenden anderen passt diesw format super. Stimmt aber etwas nicht was sie erzählen, dann bringe ich das an. War es jetzt verständlich genug oder wollt ihr nich 3 mal nachfragen 😅 wie man zu 3. auf jemanden einereden kann der anderer Meinung ist verstehe ich auch nicht so recht. Könnte man ja auch stehen lassen mit: joah, sin wir anderer Meinung. Und das mach ich jetzt 😅;2021-06-08T04:51:44.000Z;1 like;11
11-16;natalie_andrea_;@frauenvondamals habe beispiele genannt. Kannst in meine. Anderene kommentaren nachlesen. 😴;2021-06-08T04:51:47.000Z;0;11
11-17;ichbinsophiescholl;"@frauenvondamals @lagrancostanza @kaaadrooo @natalie_andrea_ #teamsoffer Liebe Diskutierende,
das Projekt @ichbinsophiescholl ist in dieser Art ein Novum und viele Erkenntnisse entstehen erst während der 10-monatigen Laufzeit unseres Kanals. Wir freuen uns sehr über den regen Austausch unter den User:innen aus den unterschiedlichen Altersgruppen, mit unterschiedlichem Bildungsgrad und Hintergrundwissen zu historischen Themen sehr.
Wir wissen es auch zu schätzen, dass ihr euch aktiv in die Diskussion einbringt. Bitte berücksichtigt dabei, dass Menschen mit weniger fundiertem wissenschaftlich historischem Hintergrund nicht die Adressat:innen eurer Kritik an diesem Projekt sind, damit ausgewogene sachliche Diskussionen entstehen können. Wir möchten euch deshalb bitten, eure Kritik zu den einzelnen Postings in Kommentaren direkt an uns zu richten, statt auf die Kommentare anderer User:innen zu antworten. Fragen, Anregungen und Kritik an Konzept und Umsetzung kommen per Mail an teamsoffer@SWR.de direkt bei den Macher:innen an.";2021-06-08T06:47:21.000Z;19 likes;11
12;ela.wirth;Ist der Pfarrer Dietrich Bonhoeffer?;2021-06-06T21:02:27.000Z;1 like;-
13;annagoldenblatt;Ihr Lieben. Ich wollte euch nur wissen lassen das ich mir nur hierfür ein Insta account geholt habe. Und wenn ihr wüsstet was für ein Riesen socialmedia-Muffel ich bin wüsstest ihr was für ein riesen großes Kompliment das ist. ❤️klasse❤️;2021-06-06T21:02:02.000Z;119 likes;-
13-1;ichbinsophiescholl;#teamsoffer Das freut uns unglaublich zu hören liebe Anna! Schön dass du Teil dieses Formats bist ♥️;2021-06-07T08:12:09.000Z;28 likes;13
14;we.love.saarland;@juicesaar;2021-06-06T19:26:14.000Z;1 like;-
15;we.love.saarland;❤️❤️❤️;2021-06-06T19:25:58.000Z;2 likes;-
