Link: ;https://www.instagram.com/p/CZrCEQgMane/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;hazel_foxx808;Ein bisschen wie weiße Nächte;2022-02-16T12:43:42.000Z;0;-
2;ansgarwfl;Ziehe deine Mitglieder deiner Familie noch näher in den Kontakt und vor allem vertraute Personen wie beste Freunde damit ihr weiterhin so gut zurecht kommt. Ihr könnt euch auch verteilen dann seit ihr so viele das es unübersichtlich ist und das Regime die Zeit nicht verwenden möchte um die ganzen Standorte abzusuchen wäre das eine Idee?;2022-02-08T21:27:59.000Z;0;-
3;ansgarwfl;Mit meinem Bruder und Schwester wenn sie wieder mal schlecht gelaunt sind;2022-02-08T21:24:21.000Z;0;-
4;christina.aware;Das war das letzte Mal, dass Sophie ihre Eltern gesehen hat oder?;2022-02-08T09:51:12.000Z;0;-
5;helgadancke;"Es ist tröstlich, dass du mit deinem Vater, deiner Familie noch einmal zusammen sein konntest. Auch das Treffen und Lachen mit deiner Schulfreundin. Mit dem Wissen, was bald geschieht, finde ich es tröstlich , denn die Menschen, die zurück bleiben, haben wenigstens diese Erinnerungen.
Ich bewundere jeden Tag mehr euren Mut und euren Kampfgeist.";2022-02-08T08:30:08.000Z;1 like;-
6;elinbedelis;"Bin ich die einzige Person, die mit Näherrücken des 22. Februars bei jedem Post ein bisschen unruhig wird 😬 Es ist so frustrierend, dass man ""Sophie"" so begleitet hat und absolut nichts am Ausgang der Situation ändern kann";2022-02-08T00:19:50.000Z;1 like;-
7;nataschapetzold;Genieße die Zeit mit deinem Papa, mein weiß erst zu schätzen was man hatte wenn es zu spät ist, zeig ihm wie du ihn liebst ❤️;2022-02-07T23:58:40.000Z;0;-
8;netterholger;Sophie, sei froh, dass dein Vater sich Sorgen um dich macht, so sind Eltern, meine auch, gerade meine Mama! Es ist schön, dass du dich mit deinem Vater so gut verstehst! Der Krieg bringt viel Leid über die Menschheit!! Wie war der Spaziergang mit deinem Vater? Sophie, ich würde dich gerne einiges fragen, aber da werden wir nicht die Zeit für haben. Ein hübsches Mädchen bist du.;2022-02-07T23:17:17.000Z;0;-
9;derockerus;@blackfox808 Möglich? Ich denke auf jeden Fall. 👍🤝;2022-02-07T21:25:24.000Z;0;-
10;holtegele;Lach nicht aber mir tut es gut wenn ich mit meinen Hund spazieren gehe das entspannt mich total;2022-02-07T21:22:07.000Z;2 likes;-
11;ceeeweee;❤️;2022-02-07T20:32:43.000Z;0;-
12;nichtsophiescholl;"Im Konzentrationslager Sachsenhausen wurden Häftlinge ab 1940 auf einer eigens dafür eingerichteten Teststrecke dazu gezwungen Schuhe zu testen. Sie mussten jeden Tag 48 Kilometer laufen. Die Strecke kann man heute noch in der Gedenkstätte besichtigen.
Zu Beginn besteht das ""Schuhläuferkommando"" aus 120 Häftlingen, später sind es 150 bis 170.

Die Häftlinge mussten in Kolonnen in militärischer Ordnung von 6 Uhr morgens bis 17 Uhr mit einer einstündigen Mittagspause marschieren.

""Die SS nutzte den Marsch als Gelegenheit zu zahlreichen Schikanen und Prügeleien an den Häftlingen, die auf diese Weise täglich bis zu 48 km zurückzulegen hatten.
(...)
Mit der Anzahl von 170 Häftlingen wurden auf diese Weise also täglich 6.800 bis 8.160 Testkilometer zurückgelegt.""
Anne Sudrow: Der Schuh im Nationalsozialismus, S. 531f";2022-02-07T19:53:46.000Z;13 likes;-
13;jawiesodasdenn;Gibt es Belege dafür, dass die Flugblätter es tatsächlich bis nach Ulm ins getuschel geschafft haben? Die Weiße Rose hat da ja auch verteilt, oder?;2022-02-07T19:22:34.000Z;0;-
14;annaisabel_r;Was ist eigentlich aus Sophies Eltern geworden? Das muss ja schrecklich gewesen sein, beide Kinder zu verlieren!;2022-02-07T19:05:38.000Z;0;-
15;anjamuller565;Das ist so wenn man Kinder hat. Besonders in solchen Zeiten. Spazierengehen, reden und zusammen schweigen ist ein guter Plan. Bleib doch ein bisschen länger. Deine Familie braucht Dich und ihr habt soviel gearbeitet in den letzten Monaten.;2022-02-07T18:03:05.000Z;0;-
16;kathafuer;@ichbinsophiescholl Wurde nicht erst vor einigen Tagen darauf hingewiesen, dass es Robert Scholl bereut hat, seine Kinder nie in München besucht zu haben? Bin verwirrt.;2022-02-07T17:29:47.000Z;1 like;-
17;susikauslue;Er sieht wirklich sehr besorgt 😟 aus.;2022-02-07T17:13:46.000Z;0;-
18;gwen_gloeckchen;Liebe Sophie! Es freut mich, dass du dich so wunderbar mit deinem Papa verstehst. Bei meinem Vater und mir ist es ähnlich. Wir reden über dieses und jenes, Musik, alte Schiffe oder schweigen uns einfach nur glücklich an. Leider sehen wir uns sehr selten und dann genieße ich die Zeit mit meinem Papa in vollen Zügen... 💕🥰💕 Liebe Grüße zuhause!;2022-02-07T15:55:31.000Z;1 like;-
19;3melie_;Weiß man etwas ob die Eltern es zu dieser Zeit wirklich geahnt haben? Gibt es dazu Infos;2022-02-07T15:32:31.000Z;1 like;-
20;katrinbarbara;❤️❤️❤️;2022-02-07T14:22:11.000Z;2 likes;-
21;wildweaselgeschichten;Toll, dass du dich so gut mit deinem Vater verstehst! Bestimmt hat er unfassbare Angst um euch, wenn er etwas ahnt.;2022-02-07T14:10:56.000Z;14 likes;-
22;la_alemana_cordobesa;"Wenn man nicht wüsste, dass alles real wäre und man am Drehbuch mitschreiben dürfte, würde wahrscheinlich jetzt mehr als einer sagen: ""bitte fahr einfach nicht nach München zurück und hör auf deinen Vater.""";2022-02-07T14:05:37.000Z;1 like;-
23;madame.ladylike;Mit meinem Mann. 🥰 Da schwingen die Seelen im Gleichklang und man spürt die Liebe. ♥️;2022-02-07T13:15:33.000Z;4 likes;-
