Link: ;https://www.instagram.com/p/CTgnPJDsnVi/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;ncls.sch;@niklas.sthmr;2021-09-15T12:23:14.000Z;1 like;-
2;the.sin030;fürchtest du denn nicht, dass einer deiner vorgesetzten aus der fabrik oder jemand von der gestapo hier mitliest?;2021-09-09T00:49:53.000Z;0;-
3;anita.a.199;Wunderschöne Zeichnung 💙;2021-09-08T18:37:16.000Z;0;-
4;renatesusen;LP am;2021-09-08T14:08:49.000Z;0;-
5;michelle.lueling;"Ich find es gut, dass ihr in den Kommentaren drauf hinweist, dass es hier in Bezug auf Sophie eine filtive Situation ist. Aber wäre es auch für weitere Posts möglich, das kurz in der Bildbeschreibung zu erwähnen? Vllt nur ein ""Weiteres zum fiktiven Teil der Bildunterschrift in den Kommentaren"". Um die Situation näher zu bringen, finde ich eure Rangehensweise gut 😁";2021-09-08T10:45:26.000Z;2 likes;-
6;jessy_j._m;"Ich habe sehr lange nur die Bildunterschrift gelesen und gar nicht mitbekommen, was für hilfreiche und weiterführende Kommentare ihr als Redaktion dazu macht. Bitte einen Hinweis darauf geben à la ""weitere Infos in den Kommentaren"" 🙏🏼🙏🏼🙏🏼";2021-09-07T21:09:54.000Z;2 likes;-
7;netratz;🔥❤️;2021-09-07T10:59:22.000Z;0;-
8;katrinpruchniewski;Pass auf dich auf.😢;2021-09-07T10:55:05.000Z;0;-
9;ta_nj_a_88;Tolles Projekt auch mit fiktiven Elementen. 👏 Wer es genauer haben möchte muss eben diverse Biografien und Geschichtsbücher lesen!;2021-09-07T10:11:36.000Z;3 likes;-
10;eifachniid;😂;2021-09-07T09:52:30.000Z;0;-
11;katharina.helling;"An die Kritiker der Kritiker:
Stellen wir doch mal Fiktion bzw die hier erzählte Geschichte und hist Realität gg-über:
Story hier:
Der Bombenangriff fand (nach Korrektur) in der Nacht zum 29.08.1942 statt
Muths Villa wurde nicht getroffen, dies sei erst nach Sophies Tod geschehen.
Ihr Hilfe ist daher fiktiv.

Historische Realität bzw die anderswo erzählte Geschichte
Der erste schwere Bombenangriff auf München war in der Nacht 19./20.09.1942 (ua Münchner Stadtchronik, Links im Kommebtar)
Die Villa Muths wurde getroffen. (Hans Scholl Biographie v Barbara Ellermeier mit diversen Quellenangaben)
Sophie half Muth (Brief vom 04.10.1942 an Lisa)

Welche Geschichte erwartet ihr hier? Die erste oder die zweite?";2021-09-07T09:43:09.000Z;8 likes;-
11-1;katharina.helling;"https://www.muenchen.de/rathaus/Stadtverwaltung/Direktorium/Stadtarchiv/Chronik/1942.html
Oder

also neben der Stadtchronik z. B. auch hier https://www.bavariathek.bayern/wiederaufbau/orte/detail/muenchen/2
Oder

http://www.rijo.homepage.t-online.de/pdf/DE_MU_WK2_brennende.pdf";2021-09-07T09:44:23.000Z;4 likes;11
12;dankl2021;"Ich liebe dieses Projekt, nicht nur die Idee, wie man die Geschichte vermitteln kann, sondern auch die Ausführung. Schauspieler, Bühnenbild, etc. Die Inszenierung ist hervorragend, aber ich kann nicht leugnen, dass die fiktionalen Zusätze, die bestimmte Grenzen überschreiten, mich davon abhalten, die Geschichte weiter zu verfolgen. Es ist eine Sache, sich vorzustellen, wie sie die Dinge getan haben, die sie getan haben, und eine andere, zu behaupten, dass sie Dinge getan haben, die nicht wahr sind oder von denen man nicht weiß, ob sie es getan haben.
Ich disqualifiziere das Projekt nicht, mein Ansatz ist sehr persönlich, weil ich Sophies wahre Geschichte immer sehr interessant fand.";2021-09-07T08:46:11.000Z;3 likes;-
13;katharina.helling;"Die damals 12 jährige Anita schilderte die Erlebnisse dieses ersten schwereren Luftangriffs in München so: „Des war schon nah dran. Bei uns war ja noch lange Ruhe im Vergleich zu Köln. Jetzt war die Gewissheit da, dass es näher kommt. Des war das erste Mal, dass der Luftkrieg in der Nähe war. Jetzt kommen’s zu uns.“
München wurde bereits 1937 ua wg seiner grenznahen Lage, kriegswichtigen Industrie und als Verkehrsknotenpunkt als in erhöhtem Maße ‚luftempfindlich‘ eingestuft und nicht zuletzt auch wegen seiner propagandistischen Bedeutung als „Hauptstadt der Bewegung“ - vorbereitet war es dennoch völlig unzureichend.. Die Pläne zur Errichtung von Luftschutzkellern etc. waren nicht ansatzweise umgesetzt.
Auf Grund seiner frontfernen, geographischen Lage im Südwesten und der technischen Möglichkeiten war es jedoch länger als zB die Städte in anderen Teilen des Reiches verschont geblieben (wie auch schon quasi im 1. Weltkrieg).";2021-09-07T08:31:31.000Z;8 likes;-
13-1;katharina.helling;"„Am Anfang waren die Bomben (daher) noch eine „Sensation“ Die erste Begegnung der Stadt und ihrer Bürger mit der drohenden Gefahr aus der Luft in Form eines einsamen französischen Bomberkommandos am frühen Morgen des 5. Juni 1940 wirkte militärisch gesehen im Vergleich zu den späteren Flächenbombardements fast noch wie ein Lausbubenstreich. Für die Einwohnerinnen und Einwohner der Maxvorstadt besaßen die Folgen Unterhaltungswert - zumindest für diejenigen, die nicht von den Schäden betroffen waren: ‚Da sind wir hin’gangen, kurz darauf auch zum Gollierplatz. Des war was, was ma’ besichtigt hat. Der Einschlag war gegenüber der Pinakothek, bisserl mehr stadteinwärts, auf der Ostseite“, erinnert sich Georg Trenz.
Der erste feindliche Bombenabwurf auf München sorgte in der ganzen Stadt und auch in seiner Familie für Gesprächsstoff und ließ sie eine Besichtigungstour von Neuhausen zur dicht von Schaulustigen umlagerten Barer Straße 48 in die Maxvorstadt unternehmen: „Ja, des woaß i a no’, da san mir a hing’angen. Da is halbert München hinmarschiert und hat si’ des ang’schaut. So bled is ma’. Ma’ hat überhaupt koa Ahnung g’habt, was no’ kummt. Damals woar des a Sensation.‘“
Auch wenn es hin und wieder und in häufiger werdenden Anzahl zu einzelnen kleinen Angriffen kam.. „Die Bevölkerung wiegte sich im vermeintlichen „Luftschutzkeller des Reiches“ weiterhin in Sicherheit.";2021-09-07T08:32:07.000Z;4 likes;13
13-2;katharina.helling;"Dieses trügerische Gefühl der absoluten Sicherheit, das sich anschaulich in dem Kinderreim „Bomben auf Berlin, Rosen auf Wien, München wollen wir schonen, da wollen wir später wohnen“‘ artikulierte, wurde in der Folgezeit noch dadurch verstärkt, dass bis zu diesem ersten großen Angriff im Herbst 1942 wenig passiert ist.

Um die Bevölkerung auf die Gefahr vorzubereiten, gab es „Luftschutzaktionen“: z. B. eine Aufklärungsschau zum „Selbstschutz“, der die Wichtigkeit von Volksgasmaske, die Anforderungen an ein luftschutzbereites Hause, etc. zeigte. Außerdem zeigten 36 Münchner Schaufenster, wie das Haus gut luftschutzvorbereitet sein soll.“";2021-09-07T08:32:26.000Z;4 likes;13
13-3;katharina.helling;"Als vergleichsweise sicherer ""Luftschutzkeller des Reiches"" musste Bayern deswegen nach Kriegsbeginn, besonders aber ab 1940 (""Erweiterte Kinderlandverschickung"") sowie ab 1943 große Mengen ""Evakuierter"" aus den stärker durch den Luftkrieg gefährdeten Gebieten Nord- und Westdeutschlands aufnehmen. Was auf Grund der immer angespannteren VersorgungsSituation auch zu Spannungen führte.
Ende Juni 1945 zählte man insgesamt rund 678.000 Evakuierte aus anderen Reichsgebieten in Bayern.

Der Angriff, bei dem auch die Villa Muth stark beschädigt wurde, und deswg hier gemeint sein müsste, war der erste große Angriff auf München und fand in der Nacht vom 19./20. September 1942 statt.

In der Stadtchronik wurde nachträglich folgendes ergänzt: Der Angriff wurde von etwa 30 englischen Bombern geflogen. Frühzeitiges Flak-Feuer verhinderte, dass der Gegner in geschlossener Formation anfliegen konnte. Es wurden 55 Minenbomben von je 835 kg Gewicht abgeworfen. 4.179 Häuser wurden beschädigt, davon 63 total und 267 schwer. Rund 4.000 Haushaltungen mit 6.069 Personen meldeten sich als obdachlos. Neben 140 Toten waren auch 413 Verletzte zu beklagen.“
Besonders betroffen war Schwabing und hier der Bereich um den Elisabethplatz, aber auch das Stadtzentrum (Sonnenstraße vom Sendlinger-Tor-Platz bis zum Karlsplatz, sowie ein großer Gebäudekomplex westlich des Wittelsbacher Brunnens) und Vorstädte im Westen, Süden und Osten Münchens).";2021-09-07T08:33:00.000Z;5 likes;13
13-4;katharina.helling;"Quellen:
Auszug aus der Stadtchronik: https://www.muenchen.de/rathaus/Stadtverwaltung/Direktorium/Stadtarchiv/Chronik/1942.html
Zur Aufnahme von Flüchtlingen: https://www.historisches-lexikon-bayerns.de/Lexikon/Luftkrieg_(Zweiter_Weltkrieg)#Technische_und_operative_M.C3.B6glichkeiten
Das Übrige: http://www.rijo.homepage.t-online.de/pdf/DE_MU_WK2_brennende.pdf";2021-09-07T08:33:21.000Z;5 likes;13
13-5;katharina.helling;Beim Datum 28./29.08.1942 bzw 19./20.92.1942 weichen meine Quellen von denen von #teamSoffer ab. Da ich die Daten nicht verändern wollte, habe ich das Datum aus meinen Quellen genommen. Es müsste sich aber in jedem Fall um den ersten schweren Angriff in München handeln. Der eben im Vergleich zu anderen Teilen des Reiches erst relativ spät war.;2021-09-07T08:36:35.000Z;6 likes;13
14;ichbinsophiescholl;"#TeamSoffer Unsere Aussage im Redaktionskommentar, dass am 7. September 1942 die Bombardierung Münchens begann, ist falsch. Hier ist uns ein Fehler unterlaufen. Wir bitten dies zu entschuldigen.

Der erste Angriff aus der Luft erfolgte bereits 1940, im Jahr 1942 kam es am 29.8. zu einem schweren Luftangriff: „In der Nacht zum 29. August 1942 brach über München das Unheil herein, das die Zerstörung der Stadt einleitete. Das britische Bomberkommando versetzte der ""Hauptstadt der Bewegung"" an diesem schwarzen Samstag den bisher schwersten Schlag des Zweiten Weltkrieges."" (Hans-Günter Richardi: Bomber über München. Der Luftkrieg 1939 bis 1945, S. 79f. ) Die Nationalsozialisten setzten bereits zuvor im Zweiten Weltkrieg auf die massive Bombardierungen von zivilen Gebieten, z. B. in England.";2021-09-07T08:11:47.000Z;184 likes;-
14-1;katharina.helling;"@ichbinsophiescholl Seid ihr sicher? Lt der Münchner Stadtchronik und auch lt der Hans Scholl Biographie von Barbara Ellermeier war dieser Fliegerangriff am 19./20.09.1942…?

https://www.muenchen.de/rathaus/Stadtverwaltung/Direktorium/Stadtarchiv/Chronik/1942.html";2021-09-07T08:25:15.000Z;8 likes;14
14-2;palandtine;@ichbinsophiescholl ich finde es schade, dass so viel Fiktion eingebaut wird. Die Bombardierung Münchens bzw. Der Villa Muth ist nicht die erste Fiktion. Ich bezweifele auch, dass genügend Follower die Kommentare lesen und so auch erkennen, dass es „nur“ der Spannung dient. Bei allem Respekt vor der Kunst, eine so wichtige Person wie Sophie Scholl hat es verdient, dass ihre Geschichte erzählt wird und nicht, dass sie der Spannung halber „überarbeitet“ wird.;2021-09-07T11:43:40.000Z;22 likes;14
