Link: ;https://www.instagram.com/p/CTCyfsQssKu/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;artem.grauberger;Alles ist dort bombardiert. Beinahe dem Erdboden gleich gemacht.;2021-08-27T07:26:47.000Z;0;-
2;fabiundgregsmum;😢;2021-08-27T06:59:32.000Z;0;-
3;_yoga_tanz;Propaganda kann man durch kritisches Nachdenken entlarven.;2021-08-27T05:01:11.000Z;4 likes;-
3-1;_yoga_tanz;@ichbinsophiescholl das stimmt leider.;2021-08-27T12:24:25.000Z;0;3
3-2;heir.to.randolph.carter;@_yoga_tanz Wie will man lügen entlarven wenn die Wahrheit tief vergraben liegt und verboten wird?;2021-08-27T19:53:02.000Z;0;3
3-3;_yoga_tanz;@heir.to.randolph.carter die Wahrheit lässt sich auf Dauer weder vergraben noch verbieten.;2021-08-27T20:13:47.000Z;0;3
3-4;19mefo86;@_yoga_tanz Ich finde es sehr bestürzend, dass Sie sich persönlich selbst mit Sophie Scholl auf Ihrem IG-Profil vergleichen in Bezug auf die aktuellen Maßnahmen zur Bekämpfung der Pandemie. Sie sind keine Kämpferin für die Freiheit gegen eine Diktatur.;2021-08-28T07:34:15.000Z;0;3
3-5;_yoga_tanz;@19mefo86 welche Pandemie???;2021-08-28T21:56:29.000Z;0;3
4;ichwehrsonst;Mein Opa hatte grosse Löcher in den Oberschenkeln. Er sagte nicht viel dazu.. Ausser das es Schüsse im Krieg waren;2021-08-27T03:22:36.000Z;0;-
5;bogner.anita;😢;2021-08-27T01:56:29.000Z;0;-
6;amanleian;Ca 800000 russische und deutsche Soldaten sind in Stalingrad gefallen, ca 5000 Soldaten haben nur überlebt. Unterdessen ließ die Wehrmacht in der Leningrader Blockade 1,1 Millionen Menschen verhungern. Russland hat im 2. WK 27 Millionen Menschen verloren.;2021-08-26T22:45:22.000Z;4 likes;-
6-1;mswalkingonsunshine;@amanleian so war das. Ein hoher Blutzoll wurde in 🇷🇺 gezahlt, um die Nazis zu besiegen 😢😢😢 Jedes Jahr am 9. Mai gehen die Menschen in Russland auf die Straße, erinnern an die Gefallenen und feiern den Sieg 🏅. Einige Veteranen kamen 1995 in meine Grundschule und erzählten, wie sie in Leningrad gehungert haben, das werde ich nie vergessen 😢😢😢;2021-08-27T05:52:45.000Z;3 likes;6
6-2;heir.to.randolph.carter;@amanleian Dass so viele Russen starben ist Stalins Schuld. Er schickte teils unbewaffnete und Schlecht ausgebildete Soldaten jn das Feuer der Deutschen MGs.;2021-08-27T19:55:01.000Z;3 likes;6
6-3;luca_acpb;@amanleian bitte bei der Wahrheit bleiben! Die Russen haben si hohe Verluste da Stalin und seine Generäle schlecht bis unbewaffnete ohne Munition gezwungen hat anzugreifen! Dazu haben die Russen zb über eine Millionen Soldaten der Wehrmacht als gefangene durch Moskau laufen lassen, davor wurde ihnen Abführmittel gegeben;2021-08-27T22:31:21.000Z;0;6
6-4;amanleian;@heir.to.randolph.carter genau! Was hatten die Deutschen denn da bitte zu suchen? Genau, nämlich nichts!;2021-08-27T22:44:28.000Z;0;6
6-5;amanleian;@luca_acpb stories, Belege bitte! Und selbst wenn es so war: bis heute werden immer noch Orte gefunden, an denen Massenerschießungen durch die Wehrmacht vorgenommen wurden.;2021-08-27T22:46:18.000Z;0;6
6-6;luca_acpb;@amanleian wenn man schon so überheblich nach belegen fragt sollte man dich nicht direkt danach selber widersprechen! Es sind keine Storys sondern Fakten ! Es gibt Zahlreiche Dokumentar Berichte von Historikern, überlebenden der Roten Armee aber auch von Wehrmacht Angehörigen die es gesehen haben! Dazu kommt das meine beiden Uropas so wie der Onkel meine Oma im Krieg gewesen sind! Davon einer eben genau einer der In Russischer Gefangenschaft gewesen ist!;2021-08-27T23:11:25.000Z;0;6
6-7;luca_acpb;@amanleian er gibt keine Angabe von Orten! Wo hatten die Deutschen nichts zu suchen? Schlesien? Pommern? Sudetenland? Oder was hatten die Russen in Finnland zu suchen?;2021-08-27T23:16:27.000Z;0;6
6-8;luca_acpb;@luca_acpb es gibt sogar zahlreiche Historische Bilder die das belegen;2021-08-27T23:17:55.000Z;0;6
6-9;luca_acpb;@amanleian dazu gibt es von der Roten Armee genauso Verbrechen, zb als die Russen ca 5000! Polen erschossen haben in Kathyn;2021-08-27T23:25:56.000Z;0;6
6-10;luca_acpb;@amanleian wer die Rote Armee ernsthaft mit Respekt ansieht und als Befreier ansieht sollte definitiv mal zum Psychologen!;2021-08-27T23:29:04.000Z;0;6
6-11;amanleian;@luca_acpb whataboutism?;2021-08-28T01:34:27.000Z;0;6
6-12;amanleian;@luca_acpb in Russland! Überfall auf die Sowjetunion 1941;2021-08-28T01:35:59.000Z;0;6
6-13;heir.to.randolph.carter;@amanleian unbewaffnete gegen eine Armee Antennen zu lassen Grenzt nichtsdestotrotz an ein Kriegsverbrwchen;2021-08-28T09:40:07.000Z;0;6
7;natuerlich_tana;@clalix09;2021-08-26T21:33:11.000Z;1 like;-
8;conna_bn;Deutsches Programm BBC? Hat eine meiner Großmütter gehört…;2021-08-26T21:10:18.000Z;0;-
8-1;heir.to.randolph.carter;@conna_bn Verbotenerweise. Da hat sie Glück gehabt, dass sie nicht belauscht und verraten wurde;2021-08-27T19:57:01.000Z;0;8
8-2;conna_bn;@heir.to.randolph.carter ja! Weiß ich;2021-08-28T17:15:46.000Z;0;8
