Link: ;https://www.instagram.com/p/CVpttxejAUc/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;zora.bln;Wie heißt das Lied?😍;2021-11-03T05:58:02.000Z;1 like;-
2;giselaute;👏👏👏👏;2021-11-01T05:06:01.000Z;1 like;-
3;stef_short;Wenn nur alle so denken würden....alles passt auch in die Jetzt Zeit.....;2021-10-31T23:04:48.000Z;1 like;-
4;ikramova316;🙌;2021-10-31T07:01:57.000Z;1 like;-
5;vanessamichellex;"Ich persönlich bin der Meinung, dass Sophie ihrer Schwester Inge etwas über das geplante Treffen mit ihrem Freund hätte erzählen müssen. Ihre Schwester Inge scheint ein sehr herzensguter Mensch gewesen zu sein, dem sehr viel an Sophie und dem Rest der Familie Scholl gelegen hat. Sie wäre überrascht gewesen und vielleicht etwas wütend, immerhin ist es ihr Freund. Aber ich bin mir auch sicher, dass sie es akzeptiert hätte. Natürlich hätte ich ihr den genauen Grund nicht genannt, aber so gar nichts finde ich nicht gut. Ich erinnere mich noch sehr genau daran, dass Inge eine Zeit lang dachte, dass Sophie sich an Otl ""ramschmeißen"" würde. Kein Wunder bei solchen Aktionen - wirkt es doch für jemanden, der so gar nicht involviert wurde sehr verdächtig.";2021-10-31T00:20:51.000Z;3 likes;-
6;stephanium;From Ulm to Munich..?;2021-10-30T18:23:28.000Z;0;-
7;v_to_the_iki;Es macht den Eindruck, dass du zum jetzigen Zeitpunkt noch nicht ganz verstehst in welcher großen Gefahr du wirklich bist, stimmt das?;2021-10-30T18:01:51.000Z;3 likes;-
8;ellie.ella40;Wann geht es denn zurück nach München?;2021-10-30T17:33:51.000Z;1 like;-
9;marenkarnatz;Du strahlst solche Lebensfreude, solchen Tatendrang aus, das wirkt bis zu mir, über alle Entfernung und Zeit! Ich wünsche Dir viele gute neue Kontakte und dass Deine Lieben bald wieder bei Dir sind!;2021-10-30T16:44:49.000Z;2 likes;-
10;ines_s_2;❤️🔥;2021-10-30T16:38:41.000Z;1 like;-
11;crossing.morten;Was bist du für eine mutige Frau!;2021-10-30T16:34:10.000Z;4 likes;-
12;dominic.what.zit.tooya;Fast schon unglaublich, dass mein Opa nur 7 Jahre jünger ist und noch lebt... er erzählt mir immer so viel aus der Zeit und ich versuche so gut es geht alles aufzubehmen oder aufzuschreiben;2021-10-30T14:49:51.000Z;22 likes;-
13;katharina.helling;Was war denn mit der Einrichtung bei Stuttgart von der Dir gestern erzählt wurde?;2021-10-30T14:28:46.000Z;7 likes;-
14;katharina.helling;".
🗓 Ende Oktober-Anfang November 1942

▪️ Der polnische Untergrundkämpfer und Kurier Kozielewski mit dem Decknamen Jan Karski bringt der polnischen Exilregierung in London Berichte über die Deportationen aus Warschau und die Vernichtungslager; er trifft auch mit Churchill, anderen britischen Regierungsmitgliedern und internationalen Journalisten zusammen.
〰️
http://www.holocaust-chronologie.de/chronologie/1942/oktober.html";2021-10-30T14:19:01.000Z;12 likes;-
15;martin_hell_;Du strahlst so viel Hoffnung aus.. ❤❤🌹🤍🤍🤍❤;2021-10-30T13:53:04.000Z;5 likes;-
16;brusseecharlie;👏👏👏🔥;2021-10-30T13:33:20.000Z;0;-
17;anna_falkenhorst;Wahnsinn, wie die Zeit vergeht 😮;2021-10-30T12:58:10.000Z;4 likes;-
18;evie_lu;Endlich, an den Weg zu studieren an die Uni;2021-10-30T12:50:23.000Z;0;-
19;giusy79_;Du siehst so glücklich aus Sophie. Ich wünsche dir viel Glück auf deinem Weg ❤️;2021-10-30T12:50:15.000Z;6 likes;-
