Link: ;https://www.instagram.com/p/COkOXbZnnGK/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;plasa_gemeinschaft;"Ich war damals an der ASH Berlin...ich war mega aufgeregt, hab mich aber auch gefreut mit intellektuell hohem Anspruch und vor allem mit Argumenten und Belegen über die wichtigen Themen unserer Zeit zu debattieren.
.
Also ganz anders, als in den meisten Social Medias :(
.
Auch wenn danach leider nciht so viel passiert ist in der Praxis...dem beschleunigten Bachelor-/Masterverfahren und dem fehlenden BAföG sei ""dank""";2021-05-26T16:29:04.000Z;3 likes;-
2;harnek.sp;He was, ich verstehe nichts;2021-05-16T20:33:28.000Z;1 like;-
3;sunilsen409;So absolutely Beautiful looking for you 😊😍😍;2021-05-14T14:09:35.000Z;1 like;-
4;leomaticio;Schon den Hausmeister kennen gelernt?;2021-05-14T10:40:34.000Z;1 like;-
5;josefienepreussner;Ich musste selber ein Referat über Sophie Scholl machen diese Seite hat mir sehr geholfen;2021-05-14T07:15:50.000Z;4 likes;-
6;josefienepreussner;Ich musste selber ein Referat über Sophie Scholl machen diese Seite hat mir sehr geholfen;2021-05-14T07:15:31.000Z;2 likes;-
7;alixbayer;@manuscript__ 💕;2021-05-13T20:03:37.000Z;1 like;-
8;schorths;Also ich habe an meinem ersten Tag auch gleich ein paar nette Kommilitoninnen kennengelernt. 😂 Man muss ja weiter denken. Aber in Ernst... Mit diesen bleibt man meist das ganze Studium zusammen. Eigentlich interessant. Warum ist das so?;2021-05-13T06:06:05.000Z;12 likes;-
8-1;ichbinsophiescholl;@schorths Ich bin mir auch sicher, dass diese wunderbaren Menschen mich noch sehr lang begleiten werden. Ein schöner Gedanke. ♥️;2021-05-13T12:42:43.000Z;21 likes;8
9;tarotcarlo;"Ich finde das Projekt aus heutiger Sicht sehr interessant und innovativ im Vergleich zu all den Themen, die sonst auf dieser Plattform geschehen wie zum Beispiel Rabattcodes bei unterkomplexen Produkten!
Liebe Grüße!";2021-05-12T22:19:36.000Z;1 like;-
10;diamantenringe;Digga was;2021-05-12T10:11:10.000Z;1 like;-
11;bianca.s89;Sie ist Jana aus Kassel 😂😜;2021-05-11T15:12:00.000Z;2 likes;-
12;bellmvsa;Durch ein Virus was in ca. 70 Jahren die Welt beherrschen wird, habe ich momentan keine Schule. aber es ist schön zu sehen wie du dich einlebst!!;2021-05-10T17:42:29.000Z;1 like;-
