Link: ;https://www.instagram.com/p/CZtXTLTsuOX/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;erlqueen;#TeamSoffer warum haben manche der Bilder ein SWR/BR-Logo? Sind es die besonders eindrucksvollen Bilder, die en wahrscheinlichsten geteilt werden?;2022-02-12T10:53:56.000Z;0;-
2;pattastrophe_allestero;Lachen tut gut und löst auch die schlimmsten Situationen für einen Moment. Man verharmlost nichts, wenn man mal die Situation für einen Moment entspannt;2022-02-10T11:58:51.000Z;0;-
3;cosmicbluesc;Was ist der Unterschied zwischen der Sonne und Adolf Hitler? Die Sonne geht im Osten auf, Hitler geht im Osten unter 😂.;2022-02-10T07:30:02.000Z;0;-
4;mchen_12345;🙌🔥🔥🔥;2022-02-09T21:38:20.000Z;0;-
5;sabineheissner;Sophie hast Du gesehen, dass die Menschen Dir und Hans und Alexander und Prof. Huber und und und ein Denkmal setzten nach dem Weltkrieg?? Der Himmel hat doch sooo große Fenster ❤️❤️❤️❤️❤️❤️;2022-02-09T16:03:44.000Z;0;-
6;martinaminz;Zufälligerweise war ich gestern in Ulm, nah am Bahnhof…und musste an dich denken, Sophie.;2022-02-09T15:49:11.000Z;0;-
7;lucy_tns;Ich verstehe den Witz nicht 🥶;2022-02-09T06:49:42.000Z;0;-
8;charlotte.apr;Weiß jemand wer die Schauspieler auf dem Bild ist?;2022-02-09T00:21:14.000Z;0;-
9;nimsajt;Soll die Klassenkameradin etwa Anne Frank sein? Die Frau auf den Bild erinnert mich ein bisschen an sie...;2022-02-08T22:36:11.000Z;0;-
10;on_thewoodway;😢;2022-02-08T17:12:21.000Z;0;-
11;m_sommersprosse;@renrenn_healthyfood lachen obwohl man es nicht darf oder will? Kommt mir jetzt gar nicht bekannt vor😉;2022-02-08T16:06:32.000Z;0;-
12;dada_dagmi;Galgenhumor nennen wir das, in unserer Familie immer wieder ein überraschendes Phänomen....😂😢;2022-02-08T16:04:30.000Z;1 like;-
13;annakareninapaulus;Weisst du welche Strafe dir blühen könnte, wenn das mit den Flugblättern auffliegt?;2022-02-08T16:03:16.000Z;4 likes;-
14;andrealein84;"Nur noch 10 Tage bis zum 18. Februar 😢 Ich möchte Sophie am liebsten zurufen: "" Sei vorsichtig!! Keine Flugblätter in der Uni!"" Schrecklich zu wissen was geschehen wird. 💔";2022-02-08T15:23:25.000Z;13 likes;-
15;harnek.sp;Tut mir leid, ich verstehe den Witz nicht;2022-02-08T14:54:08.000Z;0;-
16;pxulxfrxnk;Warum ist auf einigen Bildern unten links SWR vermerkt und auf anderen nicht?;2022-02-08T14:47:55.000Z;1 like;-
17;niklas_070806;Endet die Reise in 15 Tagen?;2022-02-08T14:05:51.000Z;13 likes;-
18;any.91_;Wenn man den Humor verliert,ist es doch eh vorbei. Also lieber drüber lachen 😊;2022-02-08T13:34:16.000Z;0;-
19;mysterious_flower_art;Wenn dir Witze über ernste Themen weiterhelfen, diese Themen zu verkraften, ist nichts moralisch Verwerfliches daran, solange dir die Ernsthaftigkeit weiterhin bewusst bleibt. Aber bei dir mache ich mir da keine Sorgen. Du solltest diesen Humor aber mit Vorsicht genießen, da ihn nicht jeder versteht.;2022-02-08T13:02:25.000Z;17 likes;-
20;michaela_hanauer;Oft kann man mit einem Witz die Leute sogar besser erreichen als mit der sachlich geschilderten Wahrheit. Wahrscheinlich waren diese Flüsterwitze deshalb verboten - es steckt zu viel Erkenntnis in einem ehrlichen Lachen!;2022-02-08T11:54:36.000Z;6 likes;-
21;felixtheoneandonly;Loki?;2022-02-08T11:49:12.000Z;0;-
22;marrysdarling;Über alles und jeden dürfen Witze gemacht werden, vor allem über sich selbst!;2022-02-08T11:20:26.000Z;1 like;-
23;gabyd166;Humor ist, wenn man trotzdem lacht ♥️ Bleib wie du bist 👍🏻;2022-02-08T10:50:35.000Z;0;-
24;dr.med.dorothea.leinung;Meine Großtante machte damals den Witz, dass H. in den Teppich beißt, wenn er sich ärgert. Sie wurde denunziert und für diese Bemerkung ins Zuchthaus gesteckt.;2022-02-08T10:49:16.000Z;5 likes;-
25;leevlinda_lou;Schließe mich meinen Vorrednern an... Verstehe allerdings den Witz nicht 🙈;2022-02-08T10:30:07.000Z;5 likes;-
26;giusy79_;Lachen tut Herz und Seele gut! ❤️;2022-02-08T10:26:20.000Z;0;-
27;hendrikvonboykott;Kommt daher „zum Lachen in den Keller gehen“ - ich Google es selbst!;2022-02-08T10:09:58.000Z;2 likes;-
28;mandel_89;#teamsoffer werden die Eltern ihre Kinder Hans und Sophie bei der Verhandlung nochmals sehen können?;2022-02-08T10:03:20.000Z;7 likes;-
29;katrinpruchniewski;"Ich lache über jeden Hitler Witz. Muss auch sein.
Der ist auch ein Witz.";2022-02-08T09:33:40.000Z;1 like;-
30;thegr8benni;Humor ist einzige Ausweg aus dem alltäglichen Wahnsinn, so in der Richtung hat das auch Hermann Hesse schon gesagt.;2022-02-08T09:29:46.000Z;1 like;-
31;5a3eth;Lachen ist wichtig, Humor ist heilsam und hilft mir immer über die kritischen Phasen hinweg… man muss nur aufpassen, wen man teilhaben lässt- nicht jeder hat oder versteht Humor;2022-02-08T09:12:25.000Z;12 likes;-
32;claudiadriesen;Ich finde es sehr schön, das Sophie so ausgelassen Lachen kann. Aber ich muß jetzt immer mehr dran denken, was mit ihnen passieren wird, noch 14 Tage. Was werden sie in den 2 Wochen alles ein letztes Mal machen. Sophie war ein letztes mal bei ihren Eltern in Ulm, hätte sie die Zeit mit/bei ihren Eltern mehr genossen? Was wird Hans ein letztes Mal machen? Ich frage mich, wenn Sophie wüsste, was auf sie zu kommt, ob sie alles genau so machen würde wie es die Weise Rose getan hat? Sophie war so eine tapfere, kämpferische (für die gute Sache) mutige, und auch (ängstliche), nachdenkliche und hinterfragende junge Frau.;2022-02-08T08:59:58.000Z;11 likes;-
33;jogroe;Gerade in so einer Situation braucht es Humor. Der Humor kann Demagogen demaskieren. Gibts noch mehr Flüsterwitze?;2022-02-08T08:53:04.000Z;6 likes;-
34;ithaka_dae;Man sagt, wenn du über irgendetwas lachen kannst, dann kannst du es auch ändern!;2022-02-08T08:46:47.000Z;33 likes;-
35;_mrshippie;War das der letzte Besuch in Ulm vor der Verhaftung?;2022-02-08T08:37:18.000Z;29 likes;-
